position_ss,lastname,firstname,nationality,age,dob,wst_rider_id,fis_code,number_of_results_ss,points_ss,concat_id,gender,created_at,updated_at
15,Brearley,Liam,CAN,17,2/27/03 0:00,87932,9101066,3 / (14),558.96,liambrearleycan,m,11/21/20 8:22,11/21/20 8:22
16,Kimata,Ryoma,JPN,18,7/24/02 0:00,91175,9300804,3 / (9),557.71,ryomakimatajpn,m,11/21/20 8:22,11/21/20 8:22
17,Bergrem,Torgeir,NOR,29,9/20/91 0:00,74846,9420060,3 / (6),546.31,torgeirbergremnor,m,11/21/20 8:22,11/21/20 8:22
18,Hamada,Kaito,JPN,21,10/14/99 0:00,89955,9300738,3 / (6),538.85,kaitohamadajpn,m,11/21/20 8:22,11/21/20 8:22
19,Kadono,Yuki,JPN,24,5/18/96 0:00,80971,9300591,3 / (3),534.03,yukikadonojpn,m,11/21/20 8:22,11/21/20 8:22
20,Rinnekangas,Rene,FIN,21,9/25/99 0:00,87638,9180149,3 / (6),524.5,renerinnekangasfin,m,11/21/20 8:22,11/21/20 8:22
21,Kawakami,Aoto,JPN,16,7/12/04 0:00,90215,9300911,3 / (10),513.03,aotokawakamijpn,m,11/21/20 8:22,11/21/20 8:22
22,Tischendorf,Fridtjof,NOR,23,3/29/97 0:00,85722,9420140,3 / (9),511.91,fridtjoftischendorfnor,m,11/21/20 8:22,11/21/20 8:22
23,Smits,Seppe,BEL,29,7/13/91 0:00,70756,1064997,3 / (6),506.19,seppesmitsbel,m,11/21/20 8:22,11/21/20 8:22
24,Ciccarelli,Michael,CAN,24,9/4/96 0:00,79384,9100401,3 / (6),504.41,michaelciccarellican,m,11/21/20 8:22,11/21/20 8:22
25,Spalding,Cam,CAN,,,97420,9101189,3 / (12),502.11,camspaldingcan,m,11/21/20 8:22,11/21/20 8:22
26,Mack,Kyle,USA,23,7/6/97 0:00,71811,9530894,3 / (5),500.13,kylemackusa,m,11/21/20 8:22,11/21/20 8:22
27,Van Der Velden,Niek,NED,20,5/28/00 0:00,90838,9400053,3 / (7),489.61,niekvan der veldenned,m,11/21/20 8:22,11/21/20 8:22
28,Khadarin,Vlad,RUS,22,2/22/98 0:00,87235,9480582,3 / (6),486.88,vladkhadarinrus,m,11/21/20 8:22,11/21/20 8:22
29,Collins,Tiarn,NZL,21,11/9/99 0:00,93344,9410044,3 / (5),486.71,tiarncollinsnzl,m,11/21/20 8:22,11/21/20 8:22
30,Thoenen,Moritz,SUI,23,12/9/96 0:00,82802,9510319,3 / (5),458.91,moritzthoenensui,m,11/21/20 8:22,11/21/20 8:22
31,Huber,Nicolas,SUI,25,1/14/95 0:00,86955,9510438,3 / (6),445.32,nicolashubersui,m,11/21/20 8:22,11/21/20 8:22
32,Gjerdalen,Bendik,NOR,22,1/26/98 0:00,88313,9420143,3 / (7),444.86,bendikgjerdalennor,m,11/21/20 8:22,11/21/20 8:22
33,Buffey,William,CAN,18,7/16/02 0:00,90797,9100947,3 / (6),444.21,williambuffeycan,m,11/21/20 8:22,11/21/20 8:22
34,Retzlaff,Dave,USA,,,95411,9531294,3 / (11),442.21,daveretzlaffusa,m,11/21/20 8:22,11/21/20 8:22
35,Fitzsimons,Sean,USA,20,9/22/00 0:00,82777,9531194,3 / (6),439.77,seanfitzsimonsusa,m,11/21/20 8:22,11/21/20 8:22
36,Kleivdal,Stian,NOR,23,4/29/97 0:00,82751,9420129,3 / (7),438.82,stiankleivdalnor,m,11/21/20 8:22,11/21/20 8:22
37,Jacob,Legault,CAN,,,96660,9101074,3 / (8),436.45,legaultjacobcan,m,11/21/20 8:22,11/21/20 8:22
38,Chomlack,Jadyn,CAN,18,9/19/02 0:00,91331,9101067,3 / (10),435.06,jadynchomlackcan,m,11/21/20 8:22,11/21/20 8:22
39,Boesiger,Jonas,SUI,25,4/5/95 0:00,80754,9510288,3 / (7),433.71,jonasboesigersui,m,11/21/20 8:22,11/21/20 8:22
40,Bullock-Womble,Fynn,USA,,,96984,,3 / (4),433.16,fynnbullock-wombleusa,m,11/21/20 8:22,11/21/20 8:22
41,Jobin,Francis,CAN,22,9/21/98 0:00,84410,9100693,3 / (5),422.25,francisjobincan,m,11/21/20 8:22,11/21/20 8:22
42,Kleveland,Marcus,NOR,21,4/25/99 0:00,82158,9420145,3 / (4),412.1,marcusklevelandnor,m,11/21/20 8:22,11/21/20 8:22
43,Rowe,Storm,USA,20,4/16/00 0:00,82041,9531153,3 / (10),409.57,stormroweusa,m,11/21/20 8:22,11/21/20 8:22
44,Jarvis,Carter,CAN,21,2/19/99 0:00,87781,9100655,3 / (8),408.75,carterjarviscan,m,11/21/20 8:22,11/21/20 8:22
45,Lauzi,Emiliano,ITA,26,9/22/94 0:00,80711,9290268,3 / (7),405.2,emilianolauziita,m,11/21/20 8:22,11/21/20 8:22
46,Kirkhus,Oyvind,NOR,,,93529,9420164,3 / (8),400,oyvindkirkhusnor,m,11/21/20 8:22,11/21/20 8:22
47,Vicktor,Noah,GER,19,8/18/01 0:00,91469,9200131,3 / (13),399.56,noahvicktorger,m,11/21/20 8:22,11/21/20 8:22
48,Finestone,Finn,CAN,17,3/23/03 0:00,96698,9101116,3 / (10),398.63,finnfinestonecan,m,11/21/20 8:22,11/21/20 8:22
49,Hasegawa,Taiga,JPN,,,93682,9300953,3 / (6),397.63,taigahasegawajpn,m,11/21/20 8:22,11/21/20 8:22
50,Rehnberg,Mikko,FIN,23,4/16/97 0:00,87639,9180118,3 / (6),396.17,mikkorehnbergfin,m,11/21/20 8:22,11/21/20 8:22
51,Jarvilehto,Kalle,FIN,25,7/21/95 0:00,82408,9180120,3 / (9),394.44,kallejarvilehtofin,m,11/21/20 8:22,11/21/20 8:22
52,Canter,Jake,USA,17,7/19/03 0:00,90895,9531350,3 / (9),381.19,jakecanterusa,m,11/21/20 8:22,11/21/20 8:22
53,Ulstein,Isak,NOR,22,3/2/98 0:00,82749,9420138,3 / (5),380.49,isakulsteinnor,m,11/21/20 8:22,11/21/20 8:22
54,Tveiten,Sindre,NOR,22,4/5/98 0:00,92592,9420153,3 / (9),376.33,sindretveitennor,m,11/21/20 8:22,11/21/20 8:22
55,Framarin,Loris,ITA,22,1/1/98 0:00,80699,9290318,3 / (7),375.94,lorisframarinita,m,11/21/20 8:22,11/21/20 8:22
56,Cox,Matthew,AUS,22,6/9/98 0:00,75364,9040200,3 / (7),369.13,matthewcoxaus,m,11/21/20 8:22,11/21/20 8:22
57,MacDougall,Jack,CAN,20,11/19/00 0:00,94663,9100828,3 / (5),365.42,jackmacdougallcan,m,11/21/20 8:22,11/21/20 8:22
58,Stassel,Ryan,USA,28,10/23/92 0:00,74792,9530618,3 / (5),358.24,ryanstasselusa,m,11/21/20 8:22,11/21/20 8:22
59,Millauer,Clemens,AUT,25,12/15/94 0:00,86506,9050251,3 / (3),358.19,clemensmillaueraut,m,11/21/20 8:22,11/21/20 8:22
60,Taklo,Johannes,NOR,,,93190,9420163,3 / (10),354.87,johannestaklonor,m,11/21/20 8:22,11/21/20 8:22
61,Watanabe,Rikuto,JPN,,,95432,9300985,3 / (7),354.67,rikutowatanabejpn,m,11/21/20 8:22,11/21/20 8:22
62,Smith,Truth,CAN,16,3/4/04 0:00,91327,9101123,3 / (10),353.26,truthsmithcan,m,11/21/20 8:22,11/21/20 8:22
63,Modesti,Michael,CAN,19,7/12/01 0:00,91040,9100907,3 / (7),350.35,michaelmodestican,m,11/21/20 8:22,11/21/20 8:22
64,Gill,Liam,CAN,17,7/30/03 0:00,88090,9101051,3 / (12),348.18,liamgillcan,m,11/21/20 8:22,11/21/20 8:22
65,McCormick,Matt,GBR,23,2/2/97 0:00,77485,9220040,3 / (5),345.89,mattmccormickgbr,m,11/21/20 8:22,11/21/20 8:22
66,Yamada,Yuto,JPN,,,98297,9300861,3 / (8),343.37,yutoyamadajpn,m,11/21/20 8:22,11/21/20 8:22
67,Parrot,Max,CAN,26,6/6/94 0:00,83656,9100565,3 / (4),341.23,maxparrotcan,m,11/21/20 8:22,11/21/20 8:22
68,Comeau,Lucas,CAN,18,8/12/02 0:00,91459,9100941,3 / (10),341.15,lucascomeaucan,m,11/21/20 8:22,11/21/20 8:22
69,Eckhoff,Mathias,NOR,21,1/10/99 0:00,88950,9420142,3 / (6),340.74,mathiaseckhoffnor,m,11/21/20 8:22,11/21/20 8:22
70,Otsuka,Takeru,JPN,19,4/2/01 0:00,89562,9300781,3 / (3),340.14,takeruotsukajpn,m,11/21/20 8:22,11/21/20 8:22
71,Laframboise,Nicolas,CAN,20,4/10/00 0:00,92867,9101080,3 / (6),340.08,nicolaslaframboisecan,m,11/21/20 8:22,11/21/20 8:22
72,Goulet,Hunter,USA,,,97647,,3 / (6),338.39,huntergouletusa,m,11/21/20 8:22,11/21/20 8:22
73,Demchuck,Keenan,CAN,,,96348,9101006,3 / (10),334.1,keenandemchuckcan,m,11/21/20 8:22,11/21/20 8:22
74,Vilhelmsson,Baldur,ISL,,,94723,9250012,3 / (10),332.27,baldurvilhelmssonisl,m,11/21/20 8:22,11/21/20 8:22
75,Toutant,Sebastien,CAN,28,11/9/92 0:00,72265,9100477,2 / (2),331.97,sebastientoutantcan,m,11/21/20 8:22,11/21/20 8:22
76,Davern,Mitchell,NZL,18,3/21/02 0:00,96093,9410049,3 / (6),328.89,mitchelldavernnzl,m,11/21/20 8:22,11/21/20 8:22
77,Wolf,Casper,NED,19,4/6/01 0:00,90986,9400067,3 / (9),328.04,casperwolfned,m,11/21/20 8:22,11/21/20 8:22
78,Fricz,Botond Istvan,HUN,19,12/29/00 0:00,90983,9240028,3 / (7),323.46,botond istvanfriczhun,m,11/21/20 8:22,11/21/20 8:22
79,Vockensperger,Leon,GER,21,8/25/99 0:00,91350,9200135,3 / (8),322.55,leonvockenspergerger,m,11/21/20 8:22,11/21/20 8:22
80,Mathisen,William,SWE,,,94026,9500160,3 / (7),322.33,williammathisenswe,m,11/21/20 8:22,11/21/20 8:22
81,Garcia Knight,Carlos,NZL,23,5/6/97 0:00,87289,9410042,3 / (5),312.1,carlosgarcia knightnzl,m,11/21/20 8:22,11/21/20 8:22
82,Izzard,William,CAN,23,7/21/97 0:00,96696,9100653,3 / (8),312.04,williamizzardcan,m,11/21/20 8:22,11/21/20 8:22
83,Laesser,Martin,SUI,22,1/24/98 0:00,86861,9510407,3 / (7),310.15,martinlaessersui,m,11/21/20 8:22,11/21/20 8:22
84,Menzies,Dane,CAN,15,3/27/05 0:00,92604,9101168,3 / (10),309.56,danemenziescan,m,11/21/20 8:22,11/21/20 8:22
85,Stevens,Liam,CAN,23,3/21/97 0:00,86792,9100515,3 / (6),308.7,liamstevenscan,m,11/21/20 8:22,11/21/20 8:22
86,Koven,Sam,CAN,19,9/10/01 0:00,83283,9101044,3 / (12),304.01,samkovencan,m,11/21/20 8:22,11/21/20 8:22
87,Matveev,Mikhail,RUS,24,5/22/96 0:00,81947,9480456,3 / (5),300.9,mikhailmatveevrus,m,11/21/20 8:22,11/21/20 8:22
88,Guetl,Leon,GER,19,3/19/01 0:00,89696,9200129,3 / (14),300,leonguetlger,m,11/21/20 8:22,11/21/20 8:22
89,Vandeweyer,Stef,BEL,21,8/6/99 0:00,75555,9060009,3 / (8),299.3,stefvandeweyerbel,m,11/21/20 8:22,11/21/20 8:22
90,Lee,Minsik,KOR,20,7/5/00 0:00,91111,9320133,3 / (1),296.68,minsikleekor,m,11/21/20 8:22,11/21/20 8:22
91,Schaerer,Michael,SUI,23,12/23/96 0:00,76241,9510290,2 / (2),296.61,michaelschaerersui,m,11/21/20 8:22,11/21/20 8:22
92,Skjomming,Kristian,NOR,,,96484,,3 / (9),295.96,kristianskjommingnor,m,11/21/20 8:22,11/21/20 8:22
93,Healy,Will,USA,18,3/11/02 0:00,95407,9531311,3 / (6),292.22,willhealyusa,m,11/21/20 8:22,11/21/20 8:22
94,Massitti,Mateo,CAN,19,4/9/01 0:00,87820,9100861,3 / (3),291.78,mateomassittican,m,11/21/20 8:22,11/21/20 8:22
95,Hrones,Jakub,CZE,,,88066,9150266,3 / (12),290.97,jakubhronescze,m,11/21/20 8:22,11/21/20 8:22
96,Jaros,Samuel,SVK,,,84996,9700047,3 / (4),289.28,samueljarossvk,m,11/21/20 8:22,11/21/20 8:22
97,Groterud,Magnus,NOR,,,93196,9420171,3 / (9),288.04,magnusgroterudnor,m,11/21/20 8:22,11/21/20 8:22
98,Frijns,Joewen,BEL,,,92203,9060015,3 / (6),287.32,joewenfrijnsbel,m,11/21/20 8:22,11/21/20 8:22
99,Adams,Gabriel,GBR,17,2/14/03 0:00,90976,9220090,3 / (9),285.49,gabrieladamsgbr,m,11/21/20 8:22,11/21/20 8:22
100,Otsubo,Shuzaburo,JPN,17,11/14/03 0:00,97883,9300908,3 / (5),283.11,shuzaburootsubojpn,m,11/21/20 8:22,11/21/20 8:22
101,Kristjansson,Marino,ISL,19,12/1/00 0:00,89431,9250023,3 / (10),281.04,marinokristjanssonisl,m,11/21/20 8:22,11/21/20 8:22
102,Lecroy,Kolman,USA,,,96120,9531366,3 / (6),280.71,kolmanlecroyusa,m,11/21/20 8:22,11/21/20 8:22
103,Katko,Grey,USA,,,97089,9531391,3 / (8),280.32,greykatkousa,m,11/21/20 8:22,11/21/20 8:22
104,Kautonen,Valtteri,FIN,,,93246,9180186,3 / (6),279.3,valtterikautonenfin,m,11/21/20 8:22,11/21/20 8:22
105,Vik,Sebastian,NOR,,,93197,9420165,3 / (8),267.4,sebastianviknor,m,11/21/20 8:22,11/21/20 8:22
106,De Sloover,Jules,BEL,,,92575,9060016,3 / (7),267.3,julesde slooverbel,m,11/21/20 8:22,11/21/20 8:22
107,Fitzgerald,Tj,USA,19,9/14/01 0:00,85106,9531271,3 / (5),267.18,tjfitzgeraldusa,m,11/21/20 8:22,11/21/20 8:22
108,Ogiwara,Hiroto,JPN,,,86969,9300971,3 / (6),267.04,hirotoogiwarajpn,m,11/21/20 8:22,11/21/20 8:22
109,Inamura,Keita,JPN,23,3/9/97 0:00,83569,9300671,2 / (2),266.67,keitainamurajpn,m,11/21/20 8:22,11/21/20 8:22
110,Nevakivi,Aleksi,FIN,21,6/12/99 0:00,92580,9180169,3 / (3),265.13,aleksinevakivifin,m,11/21/20 8:22,11/21/20 8:22
111,Olimstad,Markus,NOR,26,1/16/94 0:00,86945,9420146,2 / (2),262.52,markusolimstadnor,m,11/21/20 8:22,11/21/20 8:22
112,BARTET,Titouan,FRA,20,2/22/00 0:00,92081,9190436,3 / (6),261.89,titouanbartetfra,m,11/21/20 8:22,11/21/20 8:22
113,Lewis,Tyson,CAN,14,7/26/06 0:00,91458,,3 / (7),260.63,tysonlewiscan,m,11/21/20 8:22,11/21/20 8:22
114,Ethier,Louis,CAN,14,1/7/06 0:00,95473,,3 / (6),259.96,louisethiercan,m,11/21/20 8:22,11/21/20 8:22
115,Groeneveld,Kai,NED,16,4/27/04 0:00,92837,9400102,3 / (9),259.13,kaigroeneveldned,m,11/21/20 8:22,11/21/20 8:22
116,Rohrt,Odin,NOR,15,12/15/04 0:00,93544,9420169,3 / (7),258.41,odinrohrtnor,m,11/21/20 8:22,11/21/20 8:22
117,Okubo,Yuri,JPN,20,7/27/00 0:00,91146,9300742,2 / (2),255.17,yuriokubojpn,m,11/21/20 8:22,11/21/20 8:22
118,Weaver,Lane,CAN,17,5/10/03 0:00,93358,9101200,3 / (11),252.7,laneweavercan,m,11/21/20 8:22,11/21/20 8:22
119,Johnson,Liam,USA,,,98025,9531414,3 / (7),251.65,liamjohnsonusa,m,11/21/20 8:22,11/21/20 8:22
120,Boggio,Davide,ITA,21,2/26/99 0:00,92713,9290338,3 / (5),251.13,davideboggioita,m,11/21/20 8:22,11/21/20 8:22
121,Hofmann,Patrick,SUI,19,4/24/01 0:00,91716,9510412,3 / (4),250.78,patrickhofmannsui,m,11/21/20 8:22,11/21/20 8:22
122,Denham,Jake,USA,,,92047,9531233,3 / (5),248.72,jakedenhamusa,m,11/21/20 8:22,11/21/20 8:22
123,Junker,Jonas,SUI,20,2/11/00 0:00,92117,9510413,3 / (4),248.13,jonasjunkersui,m,11/21/20 8:22,11/21/20 8:22
124,Fridbjornsson,Benedikt,ISL,16,6/14/04 0:00,89430,9250044,3 / (14),247.67,benediktfridbjornssonisl,m,11/21/20 8:22,11/21/20 8:22
125,Ohashi,Rikuto,JPN,18,12/5/01 0:00,95027,9300841,3 / (3),246.27,rikutoohashijpn,m,11/21/20 8:22,11/21/20 8:22
126,Traasdahl Fornes,Anders,NOR,,,100518,,3 / (3),245.71,anderstraasdahl fornesnor,m,11/21/20 8:22,11/21/20 8:22
127,Su,Yiming,CHN,,,100091,9120055,2 / (2),243.02,yimingsuchn,m,11/21/20 8:22,11/21/20 8:22
128,Yamase,Kensho,JPN,,,95425,9300989,3 / (4),242.95,kenshoyamasejpn,m,11/21/20 8:22,11/21/20 8:22
129,Frischhut,Lukas,AUT,,,92521,9050276,3 / (8),241.01,lukasfrischhutaut,m,11/21/20 8:22,11/21/20 8:22
130,Aizawa,Ryo,JPN,,,90217,9300740,3 / (6),240.74,ryoaizawajpn,m,11/21/20 8:22,11/21/20 8:22
131,Yanez,Alvaro,CHI,18,1/1/02 0:00,82307,9110019,3 / (6),239.17,alvaroyanezchi,m,11/21/20 8:22,11/21/20 8:22
132,Kirkevoll,Embrik,NOR,,,94742,,3 / (6),238.92,embrikkirkevollnor,m,11/21/20 8:22,11/21/20 8:22
133,Vermaat,Sam,NED,,,94925,,3 / (4),238.87,samvermaatned,m,11/21/20 8:22,11/21/20 8:22
134,Bergman,Joonas,FIN,20,5/15/00 0:00,93245,9180170,3 / (4),238.83,joonasbergmanfin,m,11/21/20 8:22,11/21/20 8:22
135,Aragon,Jose Antonio,ESP,,,92433,9490214,3 / (5),238.76,jose antonioaragonesp,m,11/21/20 8:22,11/21/20 8:22
136,Konijnenberg,Sebastien,FRA,23,8/18/97 0:00,87631,9190322,3 / (5),237.4,sebastienkonijnenbergfra,m,11/21/20 8:22,11/21/20 8:22
137,Giblin,Parker,USA,,,96119,9531357,3 / (9),236.94,parkergiblinusa,m,11/21/20 8:22,11/21/20 8:22
138,Mekinc,Naj,SLO,,,91345,9560205,3 / (7),236.93,najmekincslo,m,11/21/20 8:22,11/21/20 8:22
139,Miller,Nicholas,USA,,,97836,1051577,3 / (8),236.89,nicholasmillerusa,m,11/21/20 8:22,11/21/20 8:22
140,Luckerbauer,David,AUT,20,6/10/00 0:00,87593,9050255,3 / (7),236.84,davidluckerbaueraut,m,11/21/20 8:22,11/21/20 8:22
141,Van Hoof,Ilias,BEL,21,5/5/99 0:00,89015,9060011,3 / (7),236.59,iliasvan hoofbel,m,11/21/20 8:22,11/21/20 8:22
142,Cockrell,Billy,GBR,21,1/30/99 0:00,82368,9220101,3 / (7),235.28,billycockrellgbr,m,11/21/20 8:22,11/21/20 8:22
143,De Buck,Sebbe,BEL,25,3/14/95 0:00,75856,9060003,2 / (2),234.73,sebbede buckbel,m,11/21/20 8:22,11/21/20 8:22
144,Nagasawa,Hayato,JPN,18,7/27/02 0:00,90211,9300814,3 / (5),232.05,hayatonagasawajpn,m,11/21/20 8:22,11/21/20 8:22
145,Gauger,Wendelin,SUI,20,3/16/00 0:00,86579,9510403,3 / (7),231.94,wendelingaugersui,m,11/21/20 8:22,11/21/20 8:22
146,Valax,Enzo,FRA,20,10/27/00 0:00,92084,9190422,3 / (6),231.26,enzovalaxfra,m,11/21/20 8:22,11/21/20 8:22
147,Ogasawara,Senan,JPN,,,96846,9300916,3 / (5),228.68,senanogasawarajpn,m,11/21/20 8:22,11/21/20 8:22
148,Tsuji,Hinata,JPN,,,90216,9300779,3 / (5),227.8,hinatatsujijpn,m,11/21/20 8:22,11/21/20 8:22
149,Mather,Samuel,CAN,17,10/15/03 0:00,95450,9101146,3 / (7),227.3,samuelmathercan,m,11/21/20 8:22,11/21/20 8:22
150,McDermott,Eli,USA,,,96556,,3 / (13),226.97,elimcdermottusa,m,11/21/20 8:22,11/21/20 8:22
151,Williams,Max,USA,,,94556,9531317,3 / (6),226.42,maxwilliamsusa,m,11/21/20 8:22,11/21/20 8:22
152,Klebe-Mcculloch,Dashiell,CAN,,,95445,9101137,3 / (7),224.69,dashiellklebe-mccullochcan,m,11/21/20 8:22,11/21/20 8:22
153,Lee,Chaeun,KOR,,,95232,,3 / (7),224.56,chaeunleekor,m,11/21/20 8:22,11/21/20 8:22
154,Fujiya,Ryoji,JPN,,,95431,9300935,2 / (2),222.39,ryojifujiyajpn,m,11/21/20 8:22,11/21/20 8:22
155,Smith,Ethan,GBR,17,6/12/03 0:00,86275,9220081,3 / (12),221.54,ethansmithgbr,m,11/21/20 8:22,11/21/20 8:22
156,Nicholson,Tyler,CAN,25,8/3/95 0:00,83279,9100475,3 / (4),221.54,tylernicholsoncan,m,11/21/20 8:22,11/21/20 8:22
157,Boll,Moritz,SUI,20,7/8/00 0:00,86577,9510387,3 / (8),221.13,moritzbollsui,m,11/21/20 8:22,11/21/20 8:22
158,Machtans,Ben,CAN,17,10/16/03 0:00,95446,9101117,3 / (9),220.9,benmachtanscan,m,11/21/20 8:22,11/21/20 8:22
159,Koenen,Fynn,GER,,,91467,9200146,3 / (9),219.77,fynnkoenenger,m,11/21/20 8:22,11/21/20 8:22
160,Vaisanen,Emppu,FIN,,,93251,9180183,3 / (6),217.88,emppuvaisanenfin,m,11/21/20 8:22,11/21/20 8:22
161,Rovensky,Jan,CZE,,,86898,9150177,3 / (9),217.5,janrovenskycze,m,11/21/20 8:22,11/21/20 8:22
162,Lenchevskiy,Yaroslav,RUS,,,95784,9480723,3 / (9),216.08,yaroslavlenchevskiyrus,m,11/21/20 8:22,11/21/20 8:22
163,Wega,Carter,CAN,13,3/29/07 0:00,93637,,3 / (10),215.36,carterwegacan,m,11/21/20 8:22,11/21/20 8:22
164,Atno,Alex,USA,,,95410,9531301,3 / (3),214.6,alexatnousa,m,11/21/20 8:22,11/21/20 8:22
165,Moon,Jaxson,USA,,,98937,,3 / (6),214.16,jaxsonmoonusa,m,11/21/20 8:22,11/21/20 8:22
166,Larochaix,Noe,FRA,,,81626,9190448,3 / (12),213.69,noelarochaixfra,m,11/21/20 8:22,11/21/20 8:22
167,Breu,Moritz,GER,17,7/6/03 0:00,91598,9200161,3 / (4),213.54,moritzbreuger,m,11/21/20 8:22,11/21/20 8:22
168,Kaufmann,Moritz,AUT,20,7/20/00 0:00,86504,9050256,3 / (5),213.31,moritzkaufmannaut,m,11/21/20 8:22,11/21/20 8:22
169,Ferry,Lucas,USA,,,85132,9531505,3 / (9),212.97,lucasferryusa,m,11/21/20 8:22,11/21/20 8:22
170,Lotorto,Alessandro Marco,SUI,,,86573,9510474,3 / (4),211.44,alessandro marcolotortosui,m,11/21/20 8:22,11/21/20 8:22
171,Riddell,Evan,CAN,16,10/8/04 0:00,93453,9101107,3 / (8),211.2,evanriddellcan,m,11/21/20 8:22,11/21/20 8:22
172,Milenkovic,Matija,SRB,19,2/23/01 0:00,92999,9310011,3 / (15),211.04,matijamilenkovicsrb,m,11/21/20 8:22,11/21/20 8:22
173,Chomlack,Caleb,CAN,16,6/10/04 0:00,91323,9101193,3 / (8),211.01,calebchomlackcan,m,11/21/20 8:22,11/21/20 8:22
174,Sanzhapov,Serhii,UKR,15,3/25/05 0:00,94172,,3 / (9),210.48,serhiisanzhapovukr,m,11/21/20 8:22,11/21/20 8:22
175,Christensson,Conner,CAN,18,10/22/02 0:00,96177,9101053,3 / (10),208.85,connerchristenssoncan,m,11/21/20 8:22,11/21/20 8:22
176,Vallieres,Tyler,USA,,,82920,9531257,3 / (4),208.6,tylervallieresusa,m,11/21/20 8:22,11/21/20 8:22
177,Puenter,Nick,SUI,18,3/1/02 0:00,93061,9510443,3 / (3),208.59,nickpuentersui,m,11/21/20 8:22,11/21/20 8:22
178,Lundstroem,Gustaf,SWE,22,1/17/98 0:00,92004,9500138,3 / (9),208.53,gustaflundstroemswe,m,11/21/20 8:22,11/21/20 8:22
179,Strohmeyer,Till,AUT,18,5/7/02 0:00,94405,9200165,3 / (10),203.74,tillstrohmeyeraut,m,11/21/20 8:22,11/21/20 8:22
180,Krauskopf,Tosh,CAN,15,1/16/05 0:00,91393,,3 / (12),203.33,toshkrauskopfcan,m,11/21/20 8:22,11/21/20 8:22
181,Smelov,Aleksandr,RUS,24,4/22/96 0:00,92525,,3 / (6),203.11,aleksandrsmelovrus,m,11/21/20 8:22,11/21/20 8:22
182,Moretti,Sacha,FRA,22,8/14/98 0:00,89521,9190363,3 / (3),203.04,sachamorettifra,m,11/21/20 8:22,11/21/20 8:22
183,Mork Danielsen,Sander,NOR,,,94623,,3 / (5),202.75,sandermork danielsennor,m,11/21/20 8:22,11/21/20 8:22
184,Blake,Wyatt,USA,,,97820,9531458,3 / (7),202.01,wyattblakeusa,m,11/21/20 8:22,11/21/20 8:22
185,Kudo,Yamato,JPN,,,91686,9300845,3 / (6),200.95,yamatokudojpn,m,11/21/20 8:22,11/21/20 8:22
186,Tongko,Adrian Lee,PHI,24,11/8/96 0:00,83740,9100690,3 / (4),200.07,adrian leetongkophi,m,11/21/20 8:22,11/21/20 8:22
187,Miyamura,Yuto,JPN,,,97916,,3 / (4),199.89,yutomiyamurajpn,m,11/21/20 8:22,11/21/20 8:22
188,Fuser,Elia Manuel,ITA,,,92591,,3 / (7),199.64,elia manuelfuserita,m,11/21/20 8:22,11/21/20 8:22
189,Kallo,Sami,FIN,,,93249,9180167,3 / (3),199.23,samikallofin,m,11/21/20 8:22,11/21/20 8:22
