position_ba,lastname,firstname,nationality,age,dob,wst_rider_id,fis_code,number_of_results_ba,points_ba,concat_id,gender,created_at,updated_at
35,MacDougall,Jack,CAN,20,11/19/00 0:00,94663,9100828,3 / (4),342.26,jackmacdougallcan,m,11/21/20 8:22,11/21/20 8:22
36,Van Der Velden,Niek,NED,20,5/28/00 0:00,90838,9400053,3 / (5),335.95,niekvan der veldenned,m,11/21/20 8:22,11/21/20 8:22
37,Larochaix,Noe,FRA,,,81626,9190448,3 / (7),332.65,noelarochaixfra,m,11/21/20 8:22,11/21/20 8:22
38,McCormick,Matt,GBR,23,2/2/97 0:00,77485,9220040,3 / (3),326.97,mattmccormickgbr,m,11/21/20 8:22,11/21/20 8:22
39,Kleveland,Marcus,NOR,21,4/25/99 0:00,82158,9420145,3 / (3),326.57,marcusklevelandnor,m,11/21/20 8:22,11/21/20 8:22
40,Vandeweyer,Stef,BEL,21,8/6/99 0:00,75555,9060009,3 / (7),320.75,stefvandeweyerbel,m,11/21/20 8:22,11/21/20 8:22
41,Buffey,William,CAN,18,7/16/02 0:00,90797,9100947,3 / (5),318.56,williambuffeycan,m,11/21/20 8:22,11/21/20 8:22
42,Frijns,Joewen,BEL,,,92203,9060015,3 / (6),316.79,joewenfrijnsbel,m,11/21/20 8:22,11/21/20 8:22
43,Davern,Mitchell,NZL,18,3/21/02 0:00,96093,9410049,3 / (4),315.38,mitchelldavernnzl,m,11/21/20 8:22,11/21/20 8:22
44,Farrell,Lyon,USA,21,11/22/98 0:00,88493,9531213,2 / (2),312.23,lyonfarrellusa,m,11/21/20 8:22,11/21/20 8:22
45,Rehnberg,Mikko,FIN,23,4/16/97 0:00,87639,9180118,3 / (6),311.72,mikkorehnbergfin,m,11/21/20 8:22,11/21/20 8:22
46,Kunitake,Hiroaki,JPN,18,2/10/02 0:00,95166,,3 / (4),301.61,hiroakikunitakejpn,m,11/21/20 8:22,11/21/20 8:22
47,Kuhar,Ozbe,SLO,,,96454,9560220,3 / (8),301.34,ozbekuharslo,m,11/21/20 8:22,11/21/20 8:22
48,Puenter,Nick,SUI,18,3/1/02 0:00,93061,9510443,3 / (5),301.12,nickpuentersui,m,11/21/20 8:22,11/21/20 8:22
49,Mattsson,Niklas,SWE,28,3/16/92 0:00,78135,9500081,3 / (3),298.17,niklasmattssonswe,m,11/21/20 8:22,11/21/20 8:22
50,Hofmann,Patrick,SUI,19,4/24/01 0:00,91716,9510412,3 / (4),294.48,patrickhofmannsui,m,11/21/20 8:22,11/21/20 8:22
51,Roisland,Mons,NOR,23,1/28/97 0:00,82747,9420133,3 / (5),293.92,monsroislandnor,m,11/21/20 8:22,11/21/20 8:22
52,Morauskas,Motiejus,LTU,,,88728,1783066,3 / (5),292.43,motiejusmorauskasltu,m,11/21/20 8:22,11/21/20 8:22
53,BARTET,Titouan,FRA,20,2/22/00 0:00,92081,9190436,3 / (7),285.37,titouanbartetfra,m,11/21/20 8:22,11/21/20 8:22
54,Vicktor,Noah,GER,19,8/18/01 0:00,91469,9200131,3 / (4),283.52,noahvicktorger,m,11/21/20 8:22,11/21/20 8:22
55,Kadono,Yuki,JPN,24,5/18/96 0:00,80971,9300591,2 / (2),275.23,yukikadonojpn,m,11/21/20 8:22,11/21/20 8:22
56,Jarvis,Carter,CAN,21,2/19/99 0:00,87781,9100655,3 / (4),275,carterjarviscan,m,11/21/20 8:22,11/21/20 8:22
57,Cornillat,Lucas,FRA,,,95768,9190465,3 / (6),273.62,lucascornillatfra,m,11/21/20 8:22,11/21/20 8:22
58,Hamada,Kaito,JPN,21,10/14/99 0:00,89955,9300738,3 / (3),273.54,kaitohamadajpn,m,11/21/20 8:22,11/21/20 8:22
59,Frischhut,Lukas,AUT,,,92521,9050276,3 / (8),269.86,lukasfrischhutaut,m,11/21/20 8:22,11/21/20 8:22
60,Pentecote,Eliot,FRA,,,91231,9190469,3 / (5),264.67,eliotpentecotefra,m,11/21/20 8:22,11/21/20 8:22
61,Schaerer,Michael,SUI,23,12/23/96 0:00,76241,9510290,3 / (3),263.07,michaelschaerersui,m,11/21/20 8:22,11/21/20 8:22
62,Laesser,Martin,SUI,22,1/24/98 0:00,86861,9510407,3 / (4),260.62,martinlaessersui,m,11/21/20 8:22,11/21/20 8:22
63,Millauer,Clemens,AUT,25,12/15/94 0:00,86506,9050251,3 / (3),255.65,clemensmillaueraut,m,11/21/20 8:22,11/21/20 8:22
64,Koenen,Fynn,GER,,,91467,9200146,3 / (6),249.51,fynnkoenenger,m,11/21/20 8:22,11/21/20 8:22
65,Rinnekangas,Rene,FIN,21,9/25/99 0:00,87638,9180149,3 / (5),249.26,renerinnekangasfin,m,11/21/20 8:22,11/21/20 8:22
66,Oliver,Lenny,FRA,,,91235,9190470,3 / (6),247.02,lennyoliverfra,m,11/21/20 8:22,11/21/20 8:22
67,Strohmeyer,Till,AUT,18,5/7/02 0:00,94405,9200165,3 / (7),246.84,tillstrohmeyeraut,m,11/21/20 8:22,11/21/20 8:22
68,Lenchevskiy,Yaroslav,RUS,,,95784,9480723,3 / (6),246.47,yaroslavlenchevskiyrus,m,11/21/20 8:22,11/21/20 8:22
69,Vockensperger,Leon,GER,21,8/25/99 0:00,91350,9200135,3 / (4),245.83,leonvockenspergerger,m,11/21/20 8:22,11/21/20 8:22
70,Watanabe,Rikuto,JPN,,,95432,9300985,3 / (3),245.68,rikutowatanabejpn,m,11/21/20 8:22,11/21/20 8:22
71,Adams,Gabriel,GBR,17,2/14/03 0:00,90976,9220090,3 / (3),245.46,gabrieladamsgbr,m,11/21/20 8:22,11/21/20 8:22
72,Boudjelal,Yannick,DZA,35,9/15/85 0:00,74281,9190018,3 / (6),243.79,yannickboudjelaldza,m,11/21/20 8:22,11/21/20 8:22
73,Jaros,Samuel,SVK,,,84996,9700047,3 / (3),242.23,samueljarossvk,m,11/21/20 8:22,11/21/20 8:22
74,Bidegain,Pedro,ARG,,,90582,9030063,3 / (5),240.76,pedrobidegainarg,m,11/21/20 8:22,11/21/20 8:22
75,Moretti,Sacha,FRA,22,8/14/98 0:00,89521,9190363,3 / (4),240.12,sachamorettifra,m,11/21/20 8:22,11/21/20 8:22
76,Ehrler,Lukas,SUI,23,1/28/97 0:00,82753,9510368,3 / (3),238.82,lukasehrlersui,m,11/21/20 8:22,11/21/20 8:22
77,Mathisen,William,SWE,,,94026,9500160,3 / (4),236.65,williammathisenswe,m,11/21/20 8:22,11/21/20 8:22
78,Owczarek,Krzysztof,POL,,,98408,9430170,3 / (4),235.02,krzysztofowczarekpol,m,11/21/20 8:22,11/21/20 8:22
79,Mack,Kyle,USA,23,7/6/97 0:00,71811,9530894,3 / (3),232.25,kylemackusa,m,11/21/20 8:22,11/21/20 8:22
80,Venderotte,Tom,FRA,19,7/25/01 0:00,95769,9190453,3 / (6),231.6,tomvenderottefra,m,11/21/20 8:22,11/21/20 8:22
81,Collins,Tiarn,NZL,21,11/9/99 0:00,93344,9410044,3 / (4),229.89,tiarncollinsnzl,m,11/21/20 8:22,11/21/20 8:22
82,Kleivdal,Stian,NOR,23,4/29/97 0:00,82751,9420129,3 / (6),229.67,stiankleivdalnor,m,11/21/20 8:22,11/21/20 8:22
83,Gray,Nathan,FRA,19,11/28/00 0:00,87096,9220049,3 / (4),225.12,nathangrayfra,m,11/21/20 8:22,11/21/20 8:22
84,Salac,Kristian,CZE,,,86901,9150216,3 / (3),224.79,kristiansalaccze,m,11/21/20 8:22,11/21/20 8:22
85,Framarin,Loris,ITA,22,1/1/98 0:00,80699,9290318,3 / (5),223.06,lorisframarinita,m,11/21/20 8:22,11/21/20 8:22
86,Rowe,Storm,USA,20,4/16/00 0:00,82041,9531153,3 / (3),220.61,stormroweusa,m,11/21/20 8:22,11/21/20 8:22
87,McDermott,Eli,USA,,,96556,,3 / (3),215.09,elimcdermottusa,m,11/21/20 8:22,11/21/20 8:22
88,Bergrem,Torgeir,NOR,29,9/20/91 0:00,74846,9420060,3 / (4),213.85,torgeirbergremnor,m,11/21/20 8:22,11/21/20 8:22
89,Teimurov,Mark,RUS,23,6/11/97 0:00,76906,9480585,3 / (3),211.35,markteimurovrus,m,11/21/20 8:22,11/21/20 8:22
90,Zulian,Emil,ITA,23,8/22/97 0:00,76950,9290265,3 / (4),210.21,emilzulianita,m,11/21/20 8:22,11/21/20 8:22
91,Luckerbauer,David,AUT,20,6/10/00 0:00,87593,9050255,3 / (8),209.4,davidluckerbaueraut,m,11/21/20 8:22,11/21/20 8:22
92,Suzuki,Atsuhiro,JPN,,,81739,9300782,3 / (3),207.78,atsuhirosuzukijpn,m,11/21/20 8:22,11/21/20 8:22
93,Abozovik,Nikita,RUS,,,97494,9480695,3 / (4),207.07,nikitaabozovikrus,m,11/21/20 8:22,11/21/20 8:22
94,Spalding,Cam,CAN,,,97420,9101189,3 / (4),205.75,camspaldingcan,m,11/21/20 8:22,11/21/20 8:22
95,Kolarevic,Janko,SRB,23,9/6/97 0:00,91808,9310008,3 / (10),200.88,jankokolarevicsrb,m,11/21/20 8:22,11/21/20 8:22
96,Kikas,Marten,EST,,,89800,9390005,3 / (4),200.36,martenkikasest,m,11/21/20 8:22,11/21/20 8:22
97,Wolf,Casper,NED,19,4/6/01 0:00,90986,9400067,3 / (6),199.59,casperwolfned,m,11/21/20 8:22,11/21/20 8:22
98,Smelov,Aleksandr,RUS,24,4/22/96 0:00,92525,,3 / (5),199.06,aleksandrsmelovrus,m,11/21/20 8:22,11/21/20 8:22
99,Su,Yiming,CHN,,,100091,9120055,2 / (2),199.04,yimingsuchn,m,11/21/20 8:22,11/21/20 8:22
100,Stojak,Tino,CRO,,,92429,9380019,2 / (2),195.99,tinostojakcro,m,11/21/20 8:22,11/21/20 8:22
101,Fridbjornsson,Benedikt,ISL,16,6/14/04 0:00,89430,9250044,3 / (3),193.27,benediktfridbjornssonisl,m,11/21/20 8:22,11/21/20 8:22
102,Zaczyk,MacIej,POL,,,101029,,3 / (3),193.05,maciejzaczykpol,m,11/21/20 8:22,11/21/20 8:22
103,Ayoubi,Hudson,AUS,,,90538,,3 / (3),191.76,hudsonayoubiaus,m,11/21/20 8:22,11/21/20 8:22
104,Guetl,Leon,GER,19,3/19/01 0:00,89696,9200129,3 / (3),190.88,leonguetlger,m,11/21/20 8:22,11/21/20 8:22
105,Vermaat,Sam,NED,,,94925,,2 / (2),189.14,samvermaatned,m,11/21/20 8:22,11/21/20 8:22
106,Yamada,Yuto,JPN,,,98297,9300861,2 / (2),188.09,yutoyamadajpn,m,11/21/20 8:22,11/21/20 8:22
107,Moreno,Valentin,ARG,,,94369,9030115,3 / (6),186.65,valentinmorenoarg,m,11/21/20 8:22,11/21/20 8:22
108,Baskakov,Ilia,RUS,,,93422,9480640,3 / (4),185.58,iliabaskakovrus,m,11/21/20 8:22,11/21/20 8:22
109,Maligoj,Lenart,SLO,,,97723,9560223,3 / (4),185.41,lenartmaligojslo,m,11/21/20 8:22,11/21/20 8:22
110,Smith,Ethan,GBR,17,6/12/03 0:00,86275,9220081,3 / (3),182.92,ethansmithgbr,m,11/21/20 8:22,11/21/20 8:22
111,Anishchanka,Pavel,BLR,,,90008,1664924,3 / (5),181.35,pavelanishchankablr,m,11/21/20 8:22,11/21/20 8:22
112,De Sloover,Jules,BEL,,,92575,9060016,3 / (5),180.25,julesde slooverbel,m,11/21/20 8:22,11/21/20 8:22
113,Jobin,Francis,CAN,22,9/21/98 0:00,84410,9100693,3 / (4),175.3,francisjobincan,m,11/21/20 8:22,11/21/20 8:22
114,Kirkhus,Oyvind,NOR,,,93529,9420164,3 / (3),174.59,oyvindkirkhusnor,m,11/21/20 8:22,11/21/20 8:22
115,Schwan,Philip,GER,20,9/22/00 0:00,92396,9510433,3 / (4),174.39,philipschwanger,m,11/21/20 8:22,11/21/20 8:22
116,Sandbech,Staale,NOR,27,6/3/93 0:00,74165,9420072,2 / (2),173.36,staalesandbechnor,m,11/21/20 8:22,11/21/20 8:22
117,Breu,Moritz,GER,17,7/6/03 0:00,91598,9200161,3 / (4),170.58,moritzbreuger,m,11/21/20 8:22,11/21/20 8:22
118,Leleu,Martin,FRA,,,98129,9190535,3 / (5),169.21,martinleleufra,m,11/21/20 8:22,11/21/20 8:22
119,Bergman,Joonas,FIN,20,5/15/00 0:00,93245,9180170,3 / (3),166,joonasbergmanfin,m,11/21/20 8:22,11/21/20 8:22
120,Framarin,Leo,ITA,,,86566,9290402,3 / (3),164.92,leoframarinita,m,11/21/20 8:22,11/21/20 8:22
121,Merken,Julien,FRA,,,99265,,3 / (5),164.34,julienmerkenfra,m,11/21/20 8:22,11/21/20 8:22
122,Rohrt,Odin,NOR,15,12/15/04 0:00,93544,9420169,3 / (5),163.51,odinrohrtnor,m,11/21/20 8:22,11/21/20 8:22
123,Gyosharkov,Petar,BUL,24,6/29/96 0:00,88296,9090090,3 / (3),158.14,petargyosharkovbul,m,11/21/20 8:22,11/21/20 8:22
124,Gill,Liam,CAN,17,7/30/03 0:00,88090,9101051,3 / (3),158.09,liamgillcan,m,11/21/20 8:22,11/21/20 8:22
125,Ciccarelli,Michael,CAN,24,9/4/96 0:00,79384,9100401,3 / (4),156.04,michaelciccarellican,m,11/21/20 8:22,11/21/20 8:22
126,Landmark,Jesper,SWE,21,1/4/99 0:00,77181,9500137,2 / (2),154.96,jesperlandmarkswe,m,11/21/20 8:22,11/21/20 8:22
127,Valjus,Antti,FIN,,,93252,9180191,2 / (2),154.88,anttivaljusfin,m,11/21/20 8:22,11/21/20 8:22
128,Nevakivi,Aleksi,FIN,21,6/12/99 0:00,92580,9180169,3 / (3),153.16,aleksinevakivifin,m,11/21/20 8:22,11/21/20 8:22
129,Bullock-Womble,Fynn,USA,,,96984,,2 / (2),152.02,fynnbullock-wombleusa,m,11/21/20 8:22,11/21/20 8:22
130,Healy,Will,USA,18,3/11/02 0:00,95407,9531311,2 / (2),149.37,willhealyusa,m,11/21/20 8:22,11/21/20 8:22
131,Fisher,Beau,AUS,,,96028,,2 / (2),148.79,beaufisheraus,m,11/21/20 8:22,11/21/20 8:22
132,Yanez,Alvaro,CHI,18,1/1/02 0:00,82307,9110019,3 / (4),147.11,alvaroyanezchi,m,11/21/20 8:22,11/21/20 8:22
133,van Hoeij,Dylan,BEL,16,11/26/03 0:00,92576,9060023,3 / (4),146.08,dylanvan hoeijbel,m,11/21/20 8:22,11/21/20 8:22
134,Tarakanov,Igor,RUS,,,97662,,3 / (4),144.63,igortarakanovrus,m,11/21/20 8:22,11/21/20 8:22
135,Groterud,Magnus,NOR,,,93196,9420171,3 / (4),142.79,magnusgroterudnor,m,11/21/20 8:22,11/21/20 8:22
136,Mostovoi,Konstantin,RUS,,,100243,9480794,3 / (3),141.94,konstantinmostovoirus,m,11/21/20 8:22,11/21/20 8:22
137,Sutton,Alfred,FRA,,,97381,,3 / (5),141.84,alfredsuttonfra,m,11/21/20 8:22,11/21/20 8:22
138,Ogiwara,Hiroto,JPN,,,86969,9300971,2 / (2),141.17,hirotoogiwarajpn,m,11/21/20 8:22,11/21/20 8:22
139,Deutinger,Maximilian,AUT,,,89417,9050261,3 / (3),139.89,maximiliandeutingeraut,m,11/21/20 8:22,11/21/20 8:22
140,Massitti,Mateo,CAN,19,4/9/01 0:00,87820,9100861,2 / (2),139.24,mateomassittican,m,11/21/20 8:22,11/21/20 8:22
141,Ney,Oscar,FRA,,,91233,9190471,3 / (6),138.45,oscarneyfra,m,11/21/20 8:22,11/21/20 8:22
142,Herzenjak,Anej,SLO,,,95196,9560222,3 / (5),137.78,anejherzenjakslo,m,11/21/20 8:22,11/21/20 8:22
143,Skhvediani,Jaba,GEO,,,96157,9680004,3 / (3),136.59,jabaskhvedianigeo,m,11/21/20 8:22,11/21/20 8:22
144,Katko,Grey,USA,,,97089,9531391,2 / (2),135.58,greykatkousa,m,11/21/20 8:22,11/21/20 8:22
145,Jovic,Todor,SRB,,,97316,9310012,3 / (5),135.07,todorjovicsrb,m,11/21/20 8:22,11/21/20 8:22
146,Almqvist,Gabriel,SWE,,,84586,9500158,2 / (2),134.93,gabrielalmqvistswe,m,11/21/20 8:22,11/21/20 8:22
147,Kaufmann,Moritz,AUT,20,7/20/00 0:00,86504,9050256,3 / (4),132.46,moritzkaufmannaut,m,11/21/20 8:22,11/21/20 8:22
148,Edelman,Stefan Vladislav,SRB,,,96158,9310013,3 / (7),131.43,stefan vladislavedelmansrb,m,11/21/20 8:22,11/21/20 8:22
149,Lee,Chaeun,KOR,,,95232,,3 / (3),129.35,chaeunleekor,m,11/21/20 8:22,11/21/20 8:22
150,Aizawa,Ryo,JPN,,,90217,9300740,2 / (2),128.16,ryoaizawajpn,m,11/21/20 8:22,11/21/20 8:22
151,Boggio,Davide,ITA,21,2/26/99 0:00,92713,9290338,2 / (2),127.49,davideboggioita,m,11/21/20 8:22,11/21/20 8:22
152,Hrones,Jakub,CZE,,,88066,9150266,2 / (2),126.53,jakubhronescze,m,11/21/20 8:22,11/21/20 8:22
153,Schmitt,Matias,ARG,,,85559,9030045,2 / (2),126.49,matiasschmittarg,m,11/21/20 8:22,11/21/20 8:22
154,Ozturk,Edis,BIH,,,97075,9710011,3 / (7),126.38,edisozturkbih,m,11/21/20 8:22,11/21/20 8:22
155,Koven,Sam,CAN,19,9/10/01 0:00,83283,9101044,3 / (5),125.53,samkovencan,m,11/21/20 8:22,11/21/20 8:22
156,Deriban,Karlo,MKD,,,100622,,3 / (4),122.3,karloderibanmkd,m,11/21/20 8:22,11/21/20 8:22
157,Skjomming,Kristian,NOR,,,96484,,3 / (4),122.18,kristianskjommingnor,m,11/21/20 8:22,11/21/20 8:22
158,Tischendorf,Fridtjof,NOR,23,3/29/97 0:00,85722,9420140,3 / (4),121.12,fridtjoftischendorfnor,m,11/21/20 8:22,11/21/20 8:22
159,Johnson,Liam,USA,,,98025,9531414,3 / (3),121.11,liamjohnsonusa,m,11/21/20 8:22,11/21/20 8:22
160,Taklo,Johannes,NOR,,,93190,9420163,3 / (3),120.9,johannestaklonor,m,11/21/20 8:22,11/21/20 8:22
161,Andrasovich,Uladzislau,BLR,,,96599,1664926,3 / (4),120.13,uladzislauandrasovichblr,m,11/21/20 8:22,11/21/20 8:22
162,Ju,Sikyung,KOR,,,97863,9320200,3 / (3),119.94,sikyungjukor,m,11/21/20 8:22,11/21/20 8:22
163,Pauli,Stan,NED,18,10/5/02 0:00,92814,9400090,3 / (3),119.84,stanpaulined,m,11/21/20 8:22,11/21/20 8:22
164,Finestone,Finn,CAN,17,3/23/03 0:00,96698,9101116,3 / (5),118.4,finnfinestonecan,m,11/21/20 8:22,11/21/20 8:22
165,Kristjansson,Marino,ISL,19,12/1/00 0:00,89431,9250023,3 / (3),118.07,marinokristjanssonisl,m,11/21/20 8:22,11/21/20 8:22
166,Laine,Juho,FIN,,,93963,,2 / (2),117.79,juholainefin,m,11/21/20 8:22,11/21/20 8:22
167,Irarrazaval,Inaqui,CHI,28,1/1/92 0:00,78005,9110006,3 / (3),116.2,inaquiirarrazavalchi,m,11/21/20 8:22,11/21/20 8:22
168,Vilhelmsson,Baldur,ISL,,,94723,9250012,3 / (4),116.2,baldurvilhelmssonisl,m,11/21/20 8:22,11/21/20 8:22
169,Jacob,Legault,CAN,,,96660,9101074,3 / (5),115.94,legaultjacobcan,m,11/21/20 8:22,11/21/20 8:22
170,Petit,Noe,FRA,,,97878,9190518,3 / (5),115.33,noepetitfra,m,11/21/20 8:22,11/21/20 8:22
171,Lotorto,Alessandro Marco,SUI,,,86573,9510474,2 / (2),114.92,alessandro marcolotortosui,m,11/21/20 8:22,11/21/20 8:22
172,Van Hoof,Ilias,BEL,21,5/5/99 0:00,89015,9060011,3 / (5),113.48,iliasvan hoofbel,m,11/21/20 8:22,11/21/20 8:22
173,Lundstroem,Gustaf,SWE,22,1/17/98 0:00,92004,9500138,3 / (3),113.03,gustaflundstroemswe,m,11/21/20 8:22,11/21/20 8:22
174,Rodriguez,Lukas,ESP,,,97669,9490234,3 / (4),111.55,lukasrodriguezesp,m,11/21/20 8:22,11/21/20 8:22
175,Ironside,Glen,GBR,21,6/13/99 0:00,88103,9220050,3 / (3),110.87,glenironsidegbr,m,11/21/20 8:22,11/21/20 8:22
176,Legac,Fran,CRO,,,97682,,3 / (8),109.68,franlegaccro,m,11/21/20 8:22,11/21/20 8:22
177,Toledo,Antoni,ESP,,,97866,9490230,3 / (5),105.09,antonitoledoesp,m,11/21/20 8:22,11/21/20 8:22
178,Kautonen,Valtteri,FIN,,,93246,9180186,1 / (1),104.77,valtterikautonenfin,m,11/21/20 8:22,11/21/20 8:22
179,Salleras,Narcis,ESP,,,99186,9490238,3 / (3),103.78,narcissallerasesp,m,11/21/20 8:22,11/21/20 8:22
180,Obradovic,Petar,SRB,,,98196,9310037,3 / (4),103.61,petarobradovicsrb,m,11/21/20 8:22,11/21/20 8:22
181,Grkovic,Vladan,SRB,,,100055,,3 / (4),103.55,vladangrkovicsrb,m,11/21/20 8:22,11/21/20 8:22
182,Partanen,Aatu,FIN,,,93237,9180192,2 / (2),102.89,aatupartanenfin,m,11/21/20 8:22,11/21/20 8:22
183,CHIARADIO DE LA IGLESIA,Federico,ARG,,,86254,9030049,3 / (3),102.75,federicochiaradio de la iglesiaarg,m,11/21/20 8:22,11/21/20 8:22
184,Foy,Rakim,NED,18,2/13/02 0:00,92826,9400080,2 / (2),100.43,rakimfoyned,m,11/21/20 8:22,11/21/20 8:22
185,Fuser,Elia Manuel,ITA,,,92591,,2 / (2),100.26,elia manuelfuserita,m,11/21/20 8:22,11/21/20 8:22
186,Petrovski,Marko,MKD,,,100621,,3 / (4),100.25,markopetrovskimkd,m,11/21/20 8:22,11/21/20 8:22
187,Gjerdalen,Bendik,NOR,22,1/26/98 0:00,88313,9420143,3 / (3),100,bendikgjerdalennor,m,11/21/20 8:22,11/21/20 8:22
188,Tveiten,Sindre,NOR,22,4/5/98 0:00,92592,9420153,3 / (3),99.2,sindretveitennor,m,11/21/20 8:22,11/21/20 8:22
189,Denda,Jeremy,SUI,,,89233,9510488,2 / (2),98.23,jeremydendasui,m,11/21/20 8:22,11/21/20 8:22
190,Karahasanovic,Amar,BIH,,,90412,9710006,3 / (7),97.94,amarkarahasanovicbih,m,11/21/20 8:22,11/21/20 8:22
191,Kim,Sang-Jae,KOR,,,99260,,3 / (3),96.88,sang-jaekimkor,m,11/21/20 8:22,11/21/20 8:22
192,Couderc,Baptiste,FRA,,,92784,9190539,3 / (3),96.64,baptistecoudercfra,m,11/21/20 8:22,11/21/20 8:22
