position_hp,lastname,firstname,nationality,age,dob,WST Rider ID,fis code,number_of_results_hp,points_hp,concat_id,gender,created_at,updated_at
13,Shigeno,Shuichiro,JPN,,,94996,9300976,3 / (5),530.27,shuichiroshigenojpn,m,11/21/20 8:22,11/21/20 8:22
14,Habluetzel,David,SUI,24,4/24/96 0:00,76229,9510324,3 / (6),519.72,davidhabluetzelsui,m,11/21/20 8:22,11/21/20 8:22
15,Miller,Toby,USA,20,2/14/00 0:00,83042,9531142,3 / (5),506.37,tobymillerusa,m,11/21/20 8:22,11/21/20 8:22
16,Davis,Danny,USA,32,6/22/88 0:00,60369,9530002,3 / (3),504.18,dannydavisusa,m,11/21/20 8:22,11/21/20 8:22
17,Tait,Rakai,NZL,21,12/11/98 0:00,85111,9531158,3 / (9),501.63,rakaitaitnzl,m,11/21/20 8:22,11/21/20 8:22
18,Okesson,Joey,USA,,,96999,9531364,3 / (8),476.66,joeyokessonusa,m,11/21/20 8:22,11/21/20 8:22
19,Lee,Chaeun,KOR,,,95232,,3 / (4),468.2,chaeunleekor,m,11/21/20 8:22,11/21/20 8:22
20,Podladtchikov,Iouri,SUI,32,9/13/88 0:00,66812,9510223,3 / (3),465.28,iouripodladtchikovsui,m,11/21/20 8:22,11/21/20 8:22
21,Wachendorfer,Ryan,USA,24,2/3/96 0:00,81197,9530811,3 / (7),454.5,ryanwachendorferusa,m,11/21/20 8:22,11/21/20 8:22
22,Foster,Lucas,USA,21,9/17/99 0:00,92114,9531230,3 / (10),448.08,lucasfosterusa,m,11/21/20 8:22,11/21/20 8:22
23,Lee,Kwang Ki,KOR,27,10/13/93 0:00,79924,9320033,3 / (9),432.17,kwang kileekor,m,11/21/20 8:22,11/21/20 8:22
24,Wolle,Jason,USA,20,11/30/99 0:00,94559,9531295,3 / (8),431.88,jasonwolleusa,m,11/21/20 8:22,11/21/20 8:22
25,Coyne,Jack,USA,18,1/17/02 0:00,90779,9531302,3 / (7),426.98,jackcoyneusa,m,11/21/20 8:22,11/21/20 8:22
26,Zhang,Yiwei,CHN,28,10/3/92 0:00,80528,1124933,3 / (3),423.74,yiweizhangchn,m,11/21/20 8:22,11/21/20 8:22
27,Pates,Jake,USA,22,7/30/98 0:00,82989,9530983,3 / (4),397.28,jakepatesusa,m,11/21/20 8:22,11/21/20 8:22
28,Lechner,Christoph,GER,19,12/8/00 0:00,92477,9200133,3 / (7),386.75,christophlechnerger,m,11/21/20 8:22,11/21/20 8:22
29,Nakagawa,Kaishu,JPN,,,93137,9300901,3 / (3),367.1,kaishunakagawajpn,m,11/21/20 8:22,11/21/20 8:22
30,Fair,Shawn,CAN,19,6/1/01 0:00,91032,9100854,3 / (6),358.61,shawnfaircan,m,11/21/20 8:22,11/21/20 8:22
31,Lee,Joon-Sik,KOR,18,3/7/02 0:00,94553,9320173,3 / (9),356.41,joon-sikleekor,m,11/21/20 8:22,11/21/20 8:22
32,Lee,Hyun-Jun,KOR,,,95239,9320181,3 / (9),344.96,hyun-junleekor,m,11/21/20 8:22,11/21/20 8:22
33,Wang,Ziyang,CHN,,,97572,1124985,3 / (4),340.98,ziyangwangchn,m,11/21/20 8:22,11/21/20 8:22
34,Bullock-Womble,Fynn,USA,,,96984,,3 / (7),337.55,fynnbullock-wombleusa,m,11/21/20 8:22,11/21/20 8:22
35,Kim,Kangsan,KOR,,,99191,,3 / (11),333.2,kangsankimkor,m,11/21/20 8:22,11/21/20 8:22
36,Lecroy,Kolman,USA,,,96120,9531366,3 / (8),314.97,kolmanlecroyusa,m,11/21/20 8:22,11/21/20 8:22
37,O Connor,Seamus,IRL,23,10/4/97 0:00,75808,1274973,3 / (4),308.69,seamuso connorirl,m,11/21/20 8:22,11/21/20 8:22
38,Allenspach,Elias Gian,SUI,19,5/14/01 0:00,88792,,3 / (3),305.38,elias gianallenspachsui,m,11/21/20 8:22,11/21/20 8:22
39,Biele,Gian Andrin,SUI,17,6/20/03 0:00,88788,9510455,3 / (6),302.26,gian andrinbielesui,m,11/21/20 8:22,11/21/20 8:22
40,Bowman,Joshua,USA,22,8/8/98 0:00,82668,9531115,3 / (8),302.09,joshuabowmanusa,m,11/21/20 8:22,11/21/20 8:22
41,Bockstaller,Benedikt,GER,,,93071,9200147,3 / (6),298.7,benediktbockstallerger,m,11/21/20 8:22,11/21/20 8:22
42,Livingston,Derek,CAN,29,1/5/91 0:00,79209,9100194,3 / (3),297.38,dereklivingstoncan,m,11/21/20 8:22,11/21/20 8:22
43,Kweon,Leejun,KOR,23,10/24/97 0:00,86412,9320093,3 / (7),290.44,leejunkweonkor,m,11/21/20 8:22,11/21/20 8:22
44,Ivanov,Victor,SUI,21,3/21/99 0:00,86860,9510386,3 / (6),288.8,victorivanovsui,m,11/21/20 8:22,11/21/20 8:22
45,Hasler,Jonas,SUI,,,92544,,3 / (4),286.41,jonashaslersui,m,11/21/20 8:22,11/21/20 8:22
46,Kikuchihara,Koyata,JPN,,,95076,9300940,3 / (3),284.58,koyatakikuchiharajpn,m,11/21/20 8:22,11/21/20 8:22
47,Stante,Tit,SLO,22,10/11/98 0:00,80748,9560193,3 / (4),266,titstanteslo,m,11/21/20 8:22,11/21/20 8:22
48,Reeves,Joshua,CAN,,,96695,,3 / (6),265.53,joshuareevescan,m,11/21/20 8:22,11/21/20 8:22
49,Pershad,Kiran,CAN,20,4/28/00 0:00,87920,9100953,3 / (9),260.73,kiranpershadcan,m,11/21/20 8:22,11/21/20 8:22
50,Tourki,Liam,FRA,21,3/25/99 0:00,81604,9190385,3 / (5),253.62,liamtourkifra,m,11/21/20 8:22,11/21/20 8:22
51,Gennero,Lorenzo,ITA,23,6/30/97 0:00,86558,9290295,3 / (5),245.05,lorenzogenneroita,m,11/21/20 8:22,11/21/20 8:22
52,Golay,Eliot,SUI,,,98301,9510485,3 / (4),239.91,eliotgolaysui,m,11/21/20 8:22,11/21/20 8:22
53,Lenchevskiy,Yaroslav,RUS,,,95784,9480723,3 / (4),239.01,yaroslavlenchevskiyrus,m,11/21/20 8:22,11/21/20 8:22
54,Gu,Ao,CHN,,,93914,1124957,3 / (5),234.52,aoguchn,m,11/21/20 8:22,11/21/20 8:22
55,Goulet,Hunter,USA,,,97647,,3 / (5),233.67,huntergouletusa,m,11/21/20 8:22,11/21/20 8:22
56,Gray,Charles,USA,,,97749,9531416,3 / (5),229.48,charlesgrayusa,m,11/21/20 8:22,11/21/20 8:22
57,Gill,Liam,CAN,17,7/30/03 0:00,88090,9101051,3 / (8),228.58,liamgillcan,m,11/21/20 8:22,11/21/20 8:22
58,Lechner,Florian,GER,14,12/26/05 0:00,93820,,3 / (4),221.37,florianlechnerger,m,11/21/20 8:22,11/21/20 8:22
59,Collins,Jack,CAN,22,9/19/98 0:00,78363,9100651,3 / (4),210.51,jackcollinscan,m,11/21/20 8:22,11/21/20 8:22
60,Suikov,Maksim,RUS,,,94554,9480555,3 / (3),204.93,maksimsuikovrus,m,11/21/20 8:22,11/21/20 8:22
61,Fan,Xiaobing,CHN,,,96066,1124970,3 / (5),193.02,xiaobingfanchn,m,11/21/20 8:22,11/21/20 8:22
62,Wang,Xin,CHN,,,96910,9120012,3 / (4),190.83,xinwangchn,m,11/21/20 8:22,11/21/20 8:22
63,Choi,Yoonjae,KOR,,,94882,,3 / (7),189.09,yoonjaechoikor,m,11/21/20 8:22,11/21/20 8:22
64,Adams,Braeden,CAN,22,3/26/98 0:00,89205,9100713,3 / (9),186.47,braedenadamscan,m,11/21/20 8:22,11/21/20 8:22
65,Giblin,Parker,USA,,,96119,9531357,3 / (4),183.53,parkergiblinusa,m,11/21/20 8:22,11/21/20 8:22
66,Cavanagh,Connor,USA,,,98883,,3 / (5),174.91,connorcavanaghusa,m,11/21/20 8:22,11/21/20 8:22
67,Seo,Gyeong,KOR,,,96474,9320182,3 / (3),173.74,gyeongseokor,m,11/21/20 8:22,11/21/20 8:22
68,Eldood,Kamal,CAN,,,97960,,3 / (4),172.14,kamaleldoodcan,m,11/21/20 8:22,11/21/20 8:22
69,Hirano,Manato,JPN,,,95808,,3 / (5),169.24,manatohiranojpn,m,11/21/20 8:22,11/21/20 8:22
70,Petrick,Ryder,CAN,19,3/11/01 0:00,91460,9101032,3 / (4),169.18,ryderpetrickcan,m,11/21/20 8:22,11/21/20 8:22
71,Ito,Aito,JPN,,,94071,9300769,2 / (2),168.97,aitoitojpn,m,11/21/20 8:22,11/21/20 8:22
72,Depriest,Brooklyn,USA,14,2/21/06 0:00,96997,,3 / (5),168.85,brooklyndepriestusa,m,11/21/20 8:22,11/21/20 8:22
73,Abozovik,Nikita,RUS,,,97494,9480695,3 / (4),168.77,nikitaabozovikrus,m,11/21/20 8:22,11/21/20 8:22
74,Schwan,Philip,GER,20,9/22/00 0:00,92396,9510433,3 / (3),167.95,philipschwanger,m,11/21/20 8:22,11/21/20 8:22
75,Serrano,Shane,USA,25,2/10/95 0:00,81890,9530954,2 / (2),167.15,shaneserranousa,m,11/21/20 8:22,11/21/20 8:22
76,Craig,Fletcher,NZL,19,5/25/01 0:00,94323,9410046,2 / (2),163.53,fletchercraignzl,m,11/21/20 8:22,11/21/20 8:22
77,Fedorowycz,Lys,USA,,,98824,,3 / (4),163.4,lysfedorowyczusa,m,11/21/20 8:22,11/21/20 8:22
78,Kaneko,Keita,JPN,,,94995,,2 / (2),162.63,keitakanekojpn,m,11/21/20 8:22,11/21/20 8:22
79,Langston,Jake,USA,,,97000,9531480,3 / (5),161.55,jakelangstonusa,m,11/21/20 8:22,11/21/20 8:22
80,Brearley,Liam,CAN,17,2/27/03 0:00,87932,9101066,1 / (1),159.2,liambrearleycan,m,11/21/20 8:22,11/21/20 8:22
81,Kuchisubo,Raio,JPN,19,6/9/01 0:00,89482,9300754,2 / (2),155.41,raiokuchisubojpn,m,11/21/20 8:22,11/21/20 8:22
82,Lauffer,Logan,USA,18,1/24/02 0:00,97567,9531410,3 / (4),152.77,loganlaufferusa,m,11/21/20 8:22,11/21/20 8:22
83,Gao,Hongbo,CHN,,,96069,1124969,3 / (3),151.82,hongbogaochn,m,11/21/20 8:22,11/21/20 8:22
84,Maeda,Rion,JPN,,,94994,9300923,2 / (2),151.76,rionmaedajpn,m,11/21/20 8:22,11/21/20 8:22
85,Scherrer,Ian,CAN,19,2/27/01 0:00,96220,,3 / (3),151.71,ianscherrercan,m,11/21/20 8:22,11/21/20 8:22
86,Strobel,Seth,CAN,16,7/20/04 0:00,96230,9101106,3 / (5),149.64,sethstrobelcan,m,11/21/20 8:22,11/21/20 8:22
87,Schrott,Mark,GER,,,94813,9200189,3 / (5),139.55,markschrottger,m,11/21/20 8:22,11/21/20 8:22
88,MacIsaac,Jordan,CAN,,,97955,,3 / (5),136.26,jordanmacisaaccan,m,11/21/20 8:22,11/21/20 8:22
89,Melville Ives,Cam,NZL,,,99105,,3 / (4),135.62,cammelville ivesnzl,m,11/21/20 8:22,11/21/20 8:22
90,Lewis,Tyson,CAN,14,7/26/06 0:00,91458,,3 / (4),133.76,tysonlewiscan,m,11/21/20 8:22,11/21/20 8:22
91,Schipani,Dante,USA,,,97781,9531471,3 / (5),132.81,danteschipaniusa,m,11/21/20 8:22,11/21/20 8:22
92,Schuetz,Nicolas,SUI,,,91725,9510483,3 / (4),132.36,nicolasschuetzsui,m,11/21/20 8:22,11/21/20 8:22
93,Kelly,Connor,USA,,,85884,,3 / (3),132.17,connorkellyusa,m,11/21/20 8:22,11/21/20 8:22
94,Connolly,John,USA,,,97761,,3 / (3),131.05,johnconnollyusa,m,11/21/20 8:22,11/21/20 8:22
95,Tarakanov,Igor,RUS,,,97662,,3 / (3),129.91,igortarakanovrus,m,11/21/20 8:22,11/21/20 8:22
96,Kreienbuehl,Gabriel Tim,SUI,,,91077,,3 / (3),126.54,gabriel timkreienbuehlsui,m,11/21/20 8:22,11/21/20 8:22
97,KRALJ KOS,Max,SLO,,,81399,9560168,2 / (2),124.97,maxkralj kosslo,m,11/21/20 8:22,11/21/20 8:22
98,Nagata,Hironori,JPN,,,84326,9300805,1 / (1),124.87,hironorinagatajpn,m,11/21/20 8:22,11/21/20 8:22
99,Vo,Ryan,CAN,16,2/27/04 0:00,96224,9101134,3 / (4),124.3,ryanvocan,m,11/21/20 8:22,11/21/20 8:22
100,George,Quentin,CAN,18,4/26/02 0:00,94065,9100975,3 / (4),123.25,quentingeorgecan,m,11/21/20 8:22,11/21/20 8:22
101,Matteoli,Ian,ITA,,,87524,,2 / (2),121.57,ianmatteoliita,m,11/21/20 8:22,11/21/20 8:22
102,Okawa,Kotaro,JPN,,,95886,9300835,1 / (1),118.3,kotarookawajpn,m,11/21/20 8:22,11/21/20 8:22
103,Yabu,Ryota,JPN,,,94993,9300922,1 / (1),114.1,ryotayabujpn,m,11/21/20 8:22,11/21/20 8:22
104,Kim,Sang-Jae,KOR,,,99260,,3 / (3),113.53,sang-jaekimkor,m,11/21/20 8:22,11/21/20 8:22
105,Shimasaki,Haku,JPN,,,96715,,3 / (3),110.8,hakushimasakijpn,m,11/21/20 8:22,11/21/20 8:22
106,Ju,Sikyung,KOR,,,97863,9320200,2 / (2),110.23,sikyungjukor,m,11/21/20 8:22,11/21/20 8:22
107,Hoepfl,Johannes,GER,25,8/12/95 0:00,77864,9200089,1 / (1),109.8,johanneshoepflger,m,11/21/20 8:22,11/21/20 8:22
108,Bucher,Jeremy,SUI,,,92981,9510487,2 / (2),108.25,jeremybuchersui,m,11/21/20 8:22,11/21/20 8:22
109,Stepanov,Daniil,RUS,,,99569,,3 / (3),107.56,daniilstepanovrus,m,11/21/20 8:22,11/21/20 8:22
110,Magee,Chris,USA,,,98251,9531455,3 / (3),105.09,chrismageeusa,m,11/21/20 8:22,11/21/20 8:22
111,Teixeira,Augustinho,BRA,,,99140,,3 / (5),104.7,augustinhoteixeirabra,m,11/21/20 8:22,11/21/20 8:22
112,Shimasaki,Kyu,JPN,,,96527,,3 / (3),101.88,kyushimasakijpn,m,11/21/20 8:22,11/21/20 8:22
113,Briggs,Lucas,CAN,16,8/2/04 0:00,96229,9101108,3 / (4),100.7,lucasbriggscan,m,11/21/20 8:22,11/21/20 8:22
114,Burns,Owen,CAN,17,5/11/03 0:00,92619,9101056,3 / (4),100.36,owenburnscan,m,11/21/20 8:22,11/21/20 8:22
115,Saito,Sota,JPN,,,94998,9300941,1 / (1),100,sotasaitojpn,m,11/21/20 8:22,11/21/20 8:22
116,Eckhardt,Gregory,SUI,,,93665,,3 / (3),99.57,gregoryeckhardtsui,m,11/21/20 8:22,11/21/20 8:22
117,Kim,Hyobin,KOR,,,99344,,3 / (6),98.59,hyobinkimkor,m,11/21/20 8:22,11/21/20 8:22
118,Tyler,Hayden,USA,,,96979,,3 / (3),97.21,haydentylerusa,m,11/21/20 8:22,11/21/20 8:22
119,Rohrt,Odin,NOR,15,12/15/04 0:00,93544,9420169,2 / (2),95.63,odinrohrtnor,m,11/21/20 8:22,11/21/20 8:22
120,Sandblom,Shayne,USA,,,97832,9531481,3 / (3),95,shaynesandblomusa,m,11/21/20 8:22,11/21/20 8:22
121,Guseli,Valentino,AUS,15,4/1/05 0:00,88527,9040291,2 / (2),94.78,valentinoguseliaus,m,11/21/20 8:22,11/21/20 8:22
122,Minamino,Yo,JPN,,,95807,9300898,3 / (3),94.59,yominaminojpn,m,11/21/20 8:22,11/21/20 8:22
123,Yamada,Ryusei,JPN,,,100725,,1 / (1),93.6,ryuseiyamadajpn,m,11/21/20 8:22,11/21/20 8:22
124,Kawahara,Shiryu,JPN,,,96524,,2 / (2),91.25,shiryukawaharajpn,m,11/21/20 8:22,11/21/20 8:22
125,Ledezma,Luccas,USA,,,98030,,3 / (5),91.21,luccasledezmausa,m,11/21/20 8:22,11/21/20 8:22
126,Ullah,Siddhartha,GBR,,,97802,,3 / (3),90.62,siddharthaullahgbr,m,11/21/20 8:22,11/21/20 8:22
127,Ferguson,Ben,USA,25,1/21/95 0:00,76852,9530659,1 / (1),88.77,benfergusonusa,m,11/21/20 8:22,11/21/20 8:22
128,Doi,Takumi,JPN,,,96525,,1 / (1),88.25,takumidoijpn,m,11/21/20 8:22,11/21/20 8:22
129,Thoreson,Hayden,USA,,,98827,,3 / (3),87.89,haydenthoresonusa,m,11/21/20 8:22,11/21/20 8:22
130,Pyle,Eric,CAN,23,5/9/97 0:00,98484,,3 / (4),87.83,ericpylecan,m,11/21/20 8:22,11/21/20 8:22
131,Copenhaver,Clay,USA,,,96972,,2 / (2),84.5,claycopenhaverusa,m,11/21/20 8:22,11/21/20 8:22
132,Barbieri,Alessandro,USA,,,99728,,2 / (2),82.61,alessandrobarbieriusa,m,11/21/20 8:22,11/21/20 8:22
133,Taklo,Johannes,NOR,,,93190,9420163,2 / (2),81.55,johannestaklonor,m,11/21/20 8:22,11/21/20 8:22
134,Negishi,Shin,JPN,,,93647,9300883,1 / (1),81.27,shinnegishijpn,m,11/21/20 8:22,11/21/20 8:22
135,Shaw,Noah,CAN,14,6/6/06 0:00,96222,,3 / (4),79.19,noahshawcan,m,11/21/20 8:22,11/21/20 8:22
136,Malcolm,George,CAN,19,11/3/01 0:00,94673,9100976,3 / (3),78.52,georgemalcolmcan,m,11/21/20 8:22,11/21/20 8:22
137,Orr,Sumner,USA,,,98825,,2 / (2),78.49,sumnerorrusa,m,11/21/20 8:22,11/21/20 8:22
138,Lee,Hyun-Su,KOR,,,99258,,1 / (1),78.03,hyun-suleekor,m,11/21/20 8:22,11/21/20 8:22
139,Strobel,Rhys,CAN,,,97950,,3 / (4),77.58,rhysstrobelcan,m,11/21/20 8:22,11/21/20 8:22
140,Yu,Jingtao,CHN,,,98675,,2 / (2),77.35,jingtaoyuchn,m,11/21/20 8:22,11/21/20 8:22
141,Haefliger,Lars,SUI,,,97424,,2 / (2),76.51,larshaefligersui,m,11/21/20 8:22,11/21/20 8:22
142,Hoffman,Chris,USA,,,97650,,2 / (2),75,chrishoffmanusa,m,11/21/20 8:22,11/21/20 8:22
143,Aota,Wataru,JPN,,,91501,9300741,1 / (1),74.88,wataruaotajpn,m,11/21/20 8:22,11/21/20 8:22
144,Jones,Dayton,CAN,17,8/9/03 0:00,96213,9101058,3 / (4),74.5,daytonjonescan,m,11/21/20 8:22,11/21/20 8:22
145,Li,Jian,CHN,,,97571,1124986,3 / (3),73.56,jianlichn,m,11/21/20 8:22,11/21/20 8:22
146,Hicks,Kieran,CAN,10,3/7/10 0:00,96562,,3 / (4),73.27,kieranhickscan,m,11/21/20 8:22,11/21/20 8:22
147,Tanaka,Yo,JPN,,,74392,9300943,2 / (2),73.16,yotanakajpn,m,11/21/20 8:22,11/21/20 8:22
148,Shinei,Yuta,JPN,,,95894,9300826,1 / (1),72.95,yutashineijpn,m,11/21/20 8:22,11/21/20 8:22
149,Guisolan,Aristide,SUI,,,97621,9510465,3 / (4),71.9,aristideguisolansui,m,11/21/20 8:22,11/21/20 8:22
150,Vito,Louie,USA,32,3/20/88 0:00,64517,7535030,1 / (1),71.88,louievitousa,m,11/21/20 8:22,11/21/20 8:22
151,Scanland,Cyrus,CAN,,,97946,,3 / (4),71.23,cyrusscanlandcan,m,11/21/20 8:22,11/21/20 8:22
152,Modesti,Michael,CAN,19,7/12/01 0:00,91040,9100907,2 / (2),69.39,michaelmodestican,m,11/21/20 8:22,11/21/20 8:22
153,Okajima,Toa,JPN,,,96522,,2 / (2),69.35,toaokajimajpn,m,11/21/20 8:22,11/21/20 8:22
154,Hamric,Jesse,USA,,,97844,,1 / (1),66.67,jessehamricusa,m,11/21/20 8:22,11/21/20 8:22
155,Allen,Luke,USA,,,98688,9531488,3 / (4),64.97,lukeallenusa,m,11/21/20 8:22,11/21/20 8:22
156,Aikawa,Takaki,JPN,,,96516,,2 / (2),64.41,takakiaikawajpn,m,11/21/20 8:22,11/21/20 8:22
157,Kim,Gyeonguk,KOR,19,2/8/01 0:00,93169,,1 / (1),63.58,gyeongukkimkor,m,11/21/20 8:22,11/21/20 8:22
158,Waibl,Clemens,AUT,,,21452,9050068,1 / (1),60.69,clemenswaiblaut,m,11/21/20 8:22,11/21/20 8:22
159,Kon,Hakuto,JPN,,,99462,,2 / (2),60.37,hakutokonjpn,m,11/21/20 8:22,11/21/20 8:22
160,Takahashi,Yushin,JPN,,,100886,,2 / (2),60.15,yushintakahashijpn,m,11/21/20 8:22,11/21/20 8:22
161,Montalvo,Trey,CAN,,,99417,,3 / (4),59.47,treymontalvocan,m,11/21/20 8:22,11/21/20 8:22
162,Wang,Jian,CHN,,,96896,9120120,2 / (2),59.17,jianwangchn,m,11/21/20 8:22,11/21/20 8:22
163,Murakami,Konosuke,JPN,,,99517,,1 / (1),59.15,konosukemurakamijpn,m,11/21/20 8:22,11/21/20 8:22
164,Ishizaki,Tasuku,JPN,37,12/6/82 0:00,73922,,1 / (1),58.57,tasukuishizakijpn,m,11/21/20 8:22,11/21/20 8:22
165,Nagai,Eito,JPN,,,100929,,2 / (2),58.31,eitonagaijpn,m,11/21/20 8:22,11/21/20 8:22
166,Montalvo,Blake,CAN,,,99418,,3 / (4),58.22,blakemontalvocan,m,11/21/20 8:22,11/21/20 8:22
167,Kallos,Anderson,CAN,15,5/2/05 0:00,99868,,3 / (4),58.06,andersonkalloscan,m,11/21/20 8:22,11/21/20 8:22
168,Leuenberger,Lukas,SUI,,,93059,,2 / (2),56.53,lukasleuenbergersui,m,11/21/20 8:22,11/21/20 8:22
169,Sigel,Gus,USA,,,98708,,2 / (2),56.42,gussigelusa,m,11/21/20 8:22,11/21/20 8:22
170,Choi,Seongjun,KOR,,,100496,,3 / (3),56.1,seongjunchoikor,m,11/21/20 8:22,11/21/20 8:22
171,Mitsumori,Taichi,JPN,,,98110,9300936,1 / (1),55.22,taichimitsumorijpn,m,11/21/20 8:22,11/21/20 8:22
172,Miltimore,Jacob,CAN,17,2/25/03 0:00,93495,9101019,2 / (2),54.93,jacobmiltimorecan,m,11/21/20 8:22,11/21/20 8:22
173,Hauri,Marco,SUI,20,11/18/00 0:00,90851,9510427,1 / (1),54.81,marcohaurisui,m,11/21/20 8:22,11/21/20 8:22
174,Baden,Nikolas,USA,22,1/13/98 0:00,80000,9531009,1 / (1),54.23,nikolasbadenusa,m,11/21/20 8:22,11/21/20 8:22
175,Bietenholz,Leo,SUI,,,97679,,2 / (2),52.62,leobietenholzsui,m,11/21/20 8:22,11/21/20 8:22
176,Take,Shinnosuke,JPN,,,98141,,2 / (2),52.44,shinnosuketakejpn,m,11/21/20 8:22,11/21/20 8:22
177,Staudt,Bernhard,GER,,,79361,9200171,1 / (1),51.84,bernhardstaudtger,m,11/21/20 8:22,11/21/20 8:22
178,Menzies,Dane,CAN,15,3/27/05 0:00,92604,9101168,2 / (2),51.69,danemenziescan,m,11/21/20 8:22,11/21/20 8:22
179,Lovelock,Zephyr,NZL,,,97602,,1 / (1),51.68,zephyrlovelocknzl,m,11/21/20 8:22,11/21/20 8:22
180,Wopnford,Owen,CAN,20,12/1/99 0:00,89186,9100788,3 / (3),51.14,owenwopnfordcan,m,11/21/20 8:22,11/21/20 8:22
181,Nishizuka,Zensei,JPN,,,99661,,3 / (3),50.07,zenseinishizukajpn,m,11/21/20 8:22,11/21/20 8:22
182,Hofmann,Patrick,SUI,19,4/24/01 0:00,91716,9510412,1 / (1),49.95,patrickhofmannsui,m,11/21/20 8:22,11/21/20 8:22
183,Murayama,Makoto,JPN,44,5/14/76 0:00,73935,9300579,1 / (1),49.35,makotomurayamajpn,m,11/21/20 8:22,11/21/20 8:22
184,Rose,Michael,USA,,,84066,,2 / (2),49.13,michaelroseusa,m,11/21/20 8:22,11/21/20 8:22
185,Kim,Danny,CAN,11,7/29/09 0:00,100653,,2 / (2),48.6,dannykimcan,m,11/21/20 8:22,11/21/20 8:22
186,Martin,Kade,USA,,,96973,,2 / (2),48.4,kademartinusa,m,11/21/20 8:22,11/21/20 8:22
187,Kauranen,Mitja,FIN,,,93243,,1 / (1),48.34,mitjakauranenfin,m,11/21/20 8:22,11/21/20 8:22
188,Ploetzeneder,Max,AUT,,,79642,,1 / (1),47.88,maxploetzenederaut,m,11/21/20 8:22,11/21/20 8:22
189,Gordillo-Faulkner,Mateo,CAN,,,99413,,3 / (4),47.64,mateogordillo-faulknercan,m,11/21/20 8:22,11/21/20 8:22
190,Denda,Jeremy,SUI,,,89233,9510488,2 / (2),46.75,jeremydendasui,m,11/21/20 8:22,11/21/20 8:22
191,Take,Seishiro,JPN,,,99660,,2 / (2),46.29,seishirotakejpn,m,11/21/20 8:22,11/21/20 8:22
192,Shi,Shangqian,CHN,,,98671,9120015,1 / (1),45.76,shangqianshichn,m,11/21/20 8:22,11/21/20 8:22
193,Rice,Brian,USA,,,98906,,1 / (1),45.71,brianriceusa,m,11/21/20 8:22,11/21/20 8:22
194,Rawdon-Harris,Ethan,CAN,,,97958,,3 / (4),45.67,ethanrawdon-harriscan,m,11/21/20 8:22,11/21/20 8:22
195,Heninger,Dexter,CAN,,,99406,,2 / (2),44.69,dexterheningercan,m,11/21/20 8:22,11/21/20 8:22
196,Toledo,Antoni,ESP,,,97866,9490230,1 / (1),44.54,antonitoledoesp,m,11/21/20 8:22,11/21/20 8:22
197,Holland,Hayden,CAN,,,98466,,3 / (3),44.23,haydenhollandcan,m,11/21/20 8:22,11/21/20 8:22
198,Bergstrom,Gunnar,USA,,,101016,,2 / (2),44.12,gunnarbergstromusa,m,11/21/20 8:22,11/21/20 8:22
199,Striukov,Timofei,RUS,,,99570,,1 / (1),44.09,timofeistriukovrus,m,11/21/20 8:22,11/21/20 8:22
200,Fedorowycz,Levko,USA,,,98902,,2 / (2),43.72,levkofedorowyczusa,m,11/21/20 8:22,11/21/20 8:22
201,Hoeksema,Steven,CAN,,,99411,,3 / (4),43.17,stevenhoeksemacan,m,11/21/20 8:22,11/21/20 8:22
