position, 'lastname', 'firstname', 'nationality',age,date of birth,WST Rider ID,fis code,points
71, 'Hahnl', 'Marie', 'GER',null,null,95335,9205088,256.28
72, 'Zaveska', 'Laura', 'CZE',13,'2006-10-30',99223,null,255.57
73, 'Weiler', 'Danielle', 'USA',null,null,96933,null,254.01
74, 'Volopichova', 'Vanessa', 'CZE',null,null,99076,null,252.03
75, 'Sorensen', 'Ella', 'USA',null,null,98868,null,248.57
76, 'Medlova', 'Klaudia', 'SVK',26,'1993-10-26',81727,1709938,248.2
77, 'Mittermueller', 'Silvia', 'GER',37,'1983-08-08',32669,1708267,245.63
78, 'Rose', 'Acacia', 'NOR',null,null,94573,9425058,243.94
79, 'Brookes', 'Mia', 'GBR',null,null,97672,null,238.29
80, 'Tanno', 'Livia', 'SUI',18,'2002-07-27',92535,9515187,237.62
81, 'Romanova', 'Varvara', 'RUS',null,null,97654,null,237.53
82, 'Moroco', 'Alyssa', 'USA',null,null,96934,null,234.57
83, 'Coady', 'Tess', 'AUS',19,'2000-11-02',90557,9045103,233.33
84, 'Yoshika', 'Yuri', 'JPN',24,'1996-02-22',84863,9305266,233.15
85, 'Kampesaether', 'Live', 'NOR',null,null,100428,null,232.53
86, 'Avelar', 'Rori', 'USA',null,null,98723,9535546,232.25
87, 'Somaini', 'Carla', 'SUI',29,'1991-10-13',80734,9515153,232.05
88, 'Hahnl', 'Laura', 'GER',null,null,95336,null,230.24
89, 'Mylius', 'Maria', 'NOR',null,null,92494,9425054,228.76
90, 'Hanicova', 'Eva', 'SVK',null,null,97628,1709950,225.99
91, 'Dhondt', 'Brooke', 'CAN',15,'2005-03-09',93624,null,217.68
92, 'Engholm', 'Novalie', 'SWE',null,null,100426,null,214.25
93, 'Plur De La Rosa', 'Manola', 'GER',14,'2006-08-03',96340,null,211.15
94, 'Sakakibara', 'Kokona', 'JPN',null,null,99510,null,210.64
95, 'Kellogg', 'Makayla', 'USA',18,'2002-03-06',94174,null,208.24
96, 'Saarela', 'Enni', 'FIN',null,null,96441,null,204.93
97, 'Marguerite', 'Sweeney', 'CAN',null,null,95650,9105386,202.04
98, 'Nakagawa', 'Ayano', 'JPN',null,null,97902,null,199.87
99, 'O Brien', 'Spencer', 'CAN',32,'1988-02-02',20671,7105013,198.14
100, 'Hallen', 'Veda', 'USA',null,null,98864,null,197.38
101, 'Ren', 'Ziyan', 'CHN',null,null,96056,9125012,197.23
102, 'Fukada', 'Mari', 'JPN',null,null,100741,null,195.3
103, 'Hyatt', 'Kianah', 'CAN',18,'2002-08-28',92616,9105404,195.05
104, 'Hendrix', 'Barrett', 'USA',null,null,96988,null,194.53
105, 'Guo', 'Junyan', 'CHN',null,null,96919,9125071,194.11
106, 'Equy', 'Noemie', 'FRA',null,null,92072,9195205,192.98
107, 'Williams ', 'Darcy-Jane', 'GBR',null,null,99215,null,192.13
108, 'Cowan', 'Lola', 'USA',null,null,98229,null,191.29
109, 'Tomanova', 'Anna', 'CZE',null,null,99077,null,190.93
110, 'Suitiala', 'Ella', 'FIN',31,'1989-10-01',85514,9185036,188.85
111, 'Steeg', 'Philippa', 'GER',null,null,98609,null,187.25
112, 'Yoshida', 'Remi', 'JPN',null,null,99482,null,187.01
113, 'Colsters', 'Shania', 'NED',null,null,99298,null,186.69
114, 'Lane Hopkins', 'Luca Mai', 'GBR',17,'2002-11-13',96140,9225011,185.99
115, 'Poluzzi', 'Marilu', 'ITA',null,null,86549,9295175,184.41
116, 'Kolodziej', 'Shirly', 'SUI',null,null,94140,null,182.85
117, 'Raisanen', 'Ida', 'FIN',null,null,93268,9185070,182.75
118, 'Yanez', 'Antonia', 'CHI',21,'1999-10-05',96053,1119982,179.81
119, 'Lehtinen', 'Sini', 'FIN',20,'2000-05-25',93267,9185075,179.33
120, 'Zvadova', 'Viktorie', 'CZE',null,null,99225,null,178.28
121, 'Van Vreden', 'Romy', 'NED',null,null,94927,9405053,173.89
122, 'Espeli Olsen', 'Kamilla', 'NOR',null,null,96132,null,172.12
123, 'Napess', 'Lounah', 'CAN',null,null,96609,9105474,169.35
124, 'Bogdanova', 'Elizaveta', 'RUS',null,null,91094,9485287,169.24
125, 'Pribosic', 'Urska', 'SLO',30,'1990-07-26',79937,1569959,167.8
126, 'Kashevnik', 'Nika', 'RUS',null,null,94714,9485307,166.85
127, 'Derminio', 'Lauren', 'USA',null,null,99121,null,166.37
129, 'Stepanova', 'Eseniya', 'RUS',null,null,97655,null,161.89
130, 'Morii', 'Kiara', 'JPN',null,null,96870,null,161.07
131, 'Norman', 'Hahna', 'USA',null,null,98869,null,161.06
132, 'Stroh', 'Karolina', 'GER',null,null,94810,null,159.45
133, 'Luurila', 'Maija', 'FIN',null,null,95658,null,159.11
134, 'Sano', 'Kokomi', 'JPN',null,null,100742,null,157.84
135, 'Holzfeind', 'Kristina', 'AUT',null,null,99217,null,157.02
136, 'Duchow', 'Ellie', 'USA',null,null,97817,9535539,154.32
137, 'Li', 'Dongyu', 'CHN',null,null,93917,9125005,152.95
138, 'Salgueira', 'Luan', 'FRA',19,'2001-01-01',81655,9190442,152.14
139, 'Fillion', 'Oceane', 'CAN',22,'1998-09-02',91853,9105340,151.99
140, 'Flynn', 'Rebecca', 'USA',null,null,98765,null,149.83
141, 'Salis', 'Andrina', 'SUI',null,null,93064,null,149.63
142, 'Jaakkola', 'Milja', 'FIN',null,null,95667,null,149.38
143, 'Kvamme', 'Jenny', 'NOR',null,null,98269,null,149.07
144, 'Kostenko', 'Elena', 'RUS',25,'1995-08-29',89882,9485178,146.73
145, 'Suzuki', 'Momo', 'JPN',null,null,100744,null,146.55
146, 'Loginova', 'Anastasiia', 'RUS',null,null,94603,9485339,144.62
147, 'Zung', 'Kiara', 'AUT',null,null,92700,9055102,144.07
148, 'Kimura', 'Ryo', 'JPN',null,null,91139,9305360,142.75
149, 'Kulik', 'Kristyna Leony', 'CZE',null,null,96147,9155039,140.8
150, 'Maeda', 'Suzuha', 'JPN',null,null,98211,9305453,140.72
151, 'Sarkipaju', 'Telma', 'FIN',null,null,97426,9185080,140.49
152, 'Dowley', 'Eve', 'AUS',null,null,96015,9045123,138.45
153, 'Birkkjaer', 'Bailey', 'CAN',23,'1996-12-14',91463,9105343,137.84
154, 'Jugovac', 'Lea', 'CRO',25,'1994-11-07',86375,1389930,135.26
155, 'Gale', 'Madison', 'CAN',18,'2002-03-19',95604,9105430,134.42
156, 'Tmusic', 'Katarina', 'SRB',null,null,95753,9315001,133.33
157, 'Zvadova', 'Sara', 'CZE',null,null,99224,null,130.63
158, 'Araya', 'Rino', 'JPN',null,null,95790,9305377,128.48
159, 'Zhai', 'Yue', 'CHN',null,null,92445,1129993,127.53
160, 'Komuro', 'Yuna', 'JPN',19,'2000-11-19',81776,null,125.95
161, 'Harinen', 'Ada', 'FIN',null,null,100611,null,125.47
162, 'Cook', 'Ava', 'CAN',null,null,97943,null,125.18
163, 'Ignjatov', 'Jelena', 'SRB',25,'1995-05-22',95314,1319997,124.7
164, 'Grempel', 'Mia', 'GER',null,null,93576,9205089,122.66
165, 'Aizawa', 'Mao', 'JPN',null,null,90219,9305334,121.61
166, 'Cospolich', 'Alina', 'USA',null,null,96935,null,121.5
167, 'Evensen', 'Emilie', 'NOR',33,'1987-07-14',70621,null,121.08
168, 'Plur De La Rosa', 'Lucia', 'GER',null,null,97275,null,120.94
169, 'Zhang', 'Tong', 'CHN',null,null,96059,9125011,120.89
170, 'Hjalland', 'Tina', 'NOR',null,null,99331,null,119.26
171, 'Phillips', 'Molly', 'FRA',null,null,94632,9195252,116.7
172, 'Bakke', 'Emma', 'NOR',null,null,95307,null,115.79
173, 'Maheux', 'Emeraude', 'CAN',null,null,97928,null,115.16
174, 'Burri', 'Ariane', 'SUI',20,'2000-04-14',88779,9515168,114.63
175, 'Walker', 'Jenna', 'CAN',null,null,98468,null,113.76
176, 'Rue', 'Thea Christine', 'NOR',null,null,99333,null,112.96
177, 'Chen', 'Alexandra', 'AUS',null,null,92293,9045098,111.5
178, 'Loetscher', 'Isabelle', 'SUI',null,null,88803,9515197,108.51
179, 'Lora', 'Anna', 'AUT',26,'1994-08-18',93604,null,105.75
180, 'Kristiansen Rue', 'Andrea', 'NOR',null,null,99339,null,105.52
181, 'Mauro', 'Bella', 'USA',null,null,96936,null,105.03
182, 'Kato', 'Imari', 'JPN',null,null,100743,null,104.26
183, 'Nastic', 'Nicole', 'CRO',null,null,98192,null,102.33
184, 'Zaradna', 'Paulina', 'POL',null,null,99563,null,101.67
185, 'MacIejewska', 'Martyna', 'POL',null,null,97670,9435081,100.92
186, 'Johansen', 'Hege', 'NOR',null,null,97101,null,100.77
187, 'Klacar', 'Asja', 'BIH',null,null,97369,1719915,100
187, 'Cornell', 'Nora', 'ESP',null,null,100531,null,100
189, 'Geremia', 'Felicity', 'CAN',null,null,96569,null,99.6
190, 'Benneker', 'Olivia', 'SUI',null,null,94955,null,97.27
191, 'Elvy', 'Sascha', 'AUS',null,null,99422,null,96.65
192, 'Sakakibara', 'Niina', 'JPN',null,null,99507,null,95.85
193, 'McCaffrey', 'Angelina', 'CAN',null,null,98488,null,93.83
194, 'Pizzutto', 'Matilde', 'ITA',null,null,99006,9295192,91.54
195, 'Poggi Silveira', 'Morena', 'ARG',null,null,97540,1039981,90.97
196, 'Li', 'Rongrong', 'CHN',null,null,100226,null,89.94
197, 'Locatin', 'Giorgia', 'ITA',null,null,80688,9295119,87.96
198, 'Walz', 'Janina', 'GER',12,'2008-01-01',100769,null,87.62
199, 'Leenderts', 'Anine', 'NOR',18,'2001-11-05',93207,null,87.59
200, 'Scheidegger', 'Yuna', 'SUI',null,null,96744,null,87.45
201, 'Chavez Martinez', 'Maria Azul', 'ARG',null,null,96050,1039974,86.96
202, 'Mueller', 'Paulina', 'GER',null,null,99291,null,86.42
203, 'Takizawa', 'Futaba', 'JPN',null,null,100597,null,85.97
204, 'Allen', 'Cerys', 'GBR',20,'2000-04-20',82326,9225010,85.7
205, 'Jin', 'Rongxi', 'CHN',null,null,100219,null,84.98
206, 'Hlynsdottir', 'Anna Kamilla', 'ISL',null,null,97436,1259947,84.33
207, 'Desjardins', 'Rose', 'CAN',null,null,96236,null,82.56
208, 'Gennero', 'Emma', 'ITA',null,null,87512,9295171,82.04
209, 'Tsuchiya', 'Hanon', 'JPN',null,null,100767,null,81.94
210, 'Collins', 'Kaiya', 'NZL',null,null,97605,null,81.6
211, 'Haensel', 'Ronja', 'AUT',null,null,96457,9055105,81.28
212, 'Osther', 'Cornelia', 'NOR',null,null,97645,null,80.71
213, 'Heinonen', 'Heta', 'FIN',null,null,100164,null,80.66
214, 'Remans', 'Sky', 'BEL',null,null,99807,null,80.23
215, 'Kaikuranta', 'Jasmin', 'FIN',null,null,96551,null,79.21
216, 'Da Silva', 'Aroa', 'ESP',null,null,100532,null,78.89
217, 'Hill', 'Maisie', 'GBR',19,'2001-02-12',92534,9225000,78.58
218, 'Martinelli', 'Olga', 'ITA',null,null,97277,9295173,77.98
219, 'Schipani', 'Elena', 'USA',null,null,98861,null,77.74
220, 'Peck', 'Dana', 'USA',null,null,98027,null,77.52
221, 'Steinthorsdottir', 'Bergdis', 'ISL',null,null,99035,null,77.03
222, 'Sebkova', 'Tereza', 'CZE',null,null,94190,9155035,76.03
223, 'Hasler', 'Leonie', 'SUI',null,null,99622,null,75.9
224, 'Paul', 'Ilvy', 'AUT',null,null,96749,null,75.87
225, 'Maekawa', 'Saya', 'JPN',null,null,99506,null,75.66
226, 'Chymcakova', 'Anna', 'CZE',null,null,100443,null,75.26
227, 'Boland', 'Riley', 'CAN',null,null,99948,null,74.97
228, 'Seijas Fidalgo', 'Andrea', 'ESP',null,null,100851,null,73.98
229, 'Healey', 'Nora', 'USA',22,'1998-06-16',84507,9535374,73.73
230, 'Coumont', 'Summer', 'CAN',null,null,96589,null,73.61
231, 'Ikola', 'Henna', 'FIN',22,'1998-04-26',84790,9185051,73.03
232, 'Oram', 'Viviana', 'USA',null,null,98764,null,73.01
233, 'Utsumi', 'Kirari', 'JPN',null,null,98177,null,72.85
234, 'Petkovska', 'Marija', 'MKD',null,null,99797,null,71.71
235, 'Wright', 'Emily', 'CAN',null,null,100143,null,70.08
236, 'Paul', 'Ronja', 'AUT',null,null,96750,null,69.89
237, 'Kato', 'Hinoka', 'JPN',null,null,99512,null,69.89
238, 'Herleiksplass', 'Karoline', 'NOR',22,'1997-10-21',74162,9425039,69.51
239, 'Valcl', 'Tinkara Tanja', 'SLO',null,null,95193,9565009,68.82
240, 'Tan', 'Chu', 'CHN',null,null,100220,null,68.6
241, 'Dahle Stavanes', 'Eira', 'NOR',null,null,100429,null,68.31
242, 'Merickova', 'Eliska', 'CZE',null,null,99073,null,68.04
243, 'Overland', 'Ashyln', 'USA',null,null,100710,null,67
244, 'Murase', 'Yura', 'JPN',null,null,93686,null,66.67
245, 'Ren', 'Zizheng', 'CHN',null,null,96060,9125013,66.32
246, 'Murawskaia', 'Darina', 'BLR',null,null,92426,1669960,65.74
247, 'Watanabe', 'Nami', 'JPN',null,null,98164,null,64.82
248, 'Kokushkina', 'Maria', 'RUS',null,null,100234,null,64.43
249, 'Hlynsdottir', 'Unnur Solveig', 'ISL',null,null,97439,1259948,63.83
250, 'Petrig', 'Celia', 'SUI',25,'1995-02-28',80756,9515142,63.36
251, 'Van Lieshout', 'Sam', 'NED',null,null,94630,null,63.03
252, 'Jong De', 'Jacquelina', 'NED',14,'2006-03-08',88775,null,62.49
253, 'Roegenaes', 'Caroline Amalie', 'NOR',null,null,100435,null,62.33
254, 'Moffat', 'Krystina', 'CAN',null,null,99401,null,61.84
255, 'Ito', 'Kureha', 'JPN',null,null,99509,null,61.38
256, 'Bruck', 'Sophia', 'USA',null,null,100654,null,61.14
257, 'Starblanket', 'Ava', 'CAN',null,null,98467,null,60.23
258, 'Van Griensven', 'Demi', 'NED',null,null,99818,null,60.16
259, 'Bogart', 'Kailey', 'USA',null,null,98061,null,59.94
260, 'Oswald', 'Ronja', 'SUI',null,null,98603,null,59.54
261, 'Kunitake', 'Maki', 'JPN',null,null,95000,9305336,58.94
262, 'Arvanitidou', 'Eleni', 'GRE',null,null,100629,null,58.77
263, 'Pouch', 'Olivie', 'CZE',null,null,99294,null,58.39
264, 'Banados', 'Maria Teresa', 'CHI',null,null,96048,1119984,58.35
265, 'Spalding', 'Avery', 'CAN',null,null,93332,null,58.08
266, 'Gregori', 'Jennifer', 'ITA',23,'1997-04-10',81850,9295189,57.13
266, 'Klacar', 'Adna', 'BIH',null,null,97368,1719914,57.13
268, 'Cook', 'Kaeleigh', 'CAN',null,null,98481,null,56.86
269, 'Olejniczak', 'Emma', 'FRA',null,null,99923,null,56.82
270, 'Gerry', 'Isabella', 'USA',null,null,100989,null,56.78
271, 'Okado', 'Rion', 'JPN',null,null,99505,null,55.49
272, 'Raun', 'Lissel', 'EST',null,null,100098,1399913,55.38
273, 'Sanchez', 'Selenata', 'ESP',null,null,100509,null,55.31
274, 'Jekel', 'Lily', 'AUS',null,null,97547,null,54.49
275, 'Kuoppala', 'Khaila', 'FIN',null,null,100163,null,54.23
276, 'Saijo', 'Karen', 'JPN',null,null,99504,null,54.15
277, 'Puustinen', 'Reetta', 'FIN',null,null,100162,null,53.76
278, 'Kono', 'Kanna', 'JPN',null,null,99652,null,52.79
279, 'Forno', 'Anna Maria', 'ITA',null,null,97115,null,52.32
280, 'Suzuki', 'Tokuko', 'JPN',null,null,76161,9305308,51.99
281, 'Pecanin', 'Uma', 'BIH',null,null,99364,null,51.99
282, 'Gorshenina', 'Anastasiya', 'RUS',null,null,101082,null,51.89
283, 'Meier', 'Julia', 'SUI',null,null,94951,null,51.37
284, 'Springinsfeld', 'Camila', 'ARG',null,null,94358,1039970,50.63
285, 'Klemm', 'Lua Marie', 'GER',null,null,99064,null,49.79
286, 'Good', 'Natalie', 'NZL',30,'1990-01-09',84755,9415023,49.78
287, 'Misund', 'Ine Marie', 'NOR',null,null,92496,9425053,49.67
288, 'Wada', 'Rein', 'JPN',null,null,95427,9305375,49.03
289, 'Thomassen', 'Ziggy', 'NED',null,null,99229,null,48.75
290, 'Hekne Herskedal', 'Aliya', 'NOR',null,null,100719,null,48.59
291, 'Meersteiner', 'Madeleine', 'GER',null,null,92987,null,48.4
292, 'Heimoz', 'Anina', 'SUI',null,null,99958,null,47.88
293, 'Dobreska', 'Neda', 'MKD',null,null,99203,null,47.8
294, 'Fuchs', 'Joanna', 'GER',null,null,100439,null,47.77
295, 'Karrer', 'Sophia', 'AUT',null,null,100508,null,46.97
296, 'Smirnova', 'Maria', 'RUS',null,null,100233,null,46.69
296, 'Proydina', 'Juliya', 'RUS',null,null,94583,9485309,46.69
298, 'Van Griensven', 'Daniek', 'NED',null,null,99234,null,46.39
299, 'Kvaale', 'Mette', 'NOR',null,null,95876,null,45.76
300, 'Hara', 'Yukino', 'JPN',null,null,95185,9305433,45.71
301, 'Milutinovic', 'Angelina Gina', 'SRB',null,null,92997,9315000,45.48
302, 'Cardone', 'Amanda', 'CHI',null,null,99124,null,45.04
303, 'Grangila', 'Elena', 'ITA',null,null,99184,null,44.73
304, 'Okado', 'Riria', 'JPN',null,null,100762,null,44.53
305, 'Gorcsosova', 'Ella', 'SVK',null,null,101011,null,44.52
306, 'Schindler', 'Jule', 'GER',null,null,100963,null,43.77
307, 'Nakamori', 'Hanna', 'JPN',null,null,100830,null,43.56
308, 'Nerandzic', 'Nadja', 'SRB',null,null,99205,null,42.83
309, 'Noskova', 'Denisa', 'CZE',null,null,99864,null,42.45
310, 'Arellano', 'Josefa', 'CHI',null,null,100201,null,42.43
311, 'Mikuni', 'Momoka', 'JPN',null,null,99552,9305446,42.22
312, 'Scott', 'Penelope', 'USA',null,null,100253,null,41.91
313, 'Reinalter', 'Anna-Selina', 'SUI',null,null,99959,null,41.76
314, 'Wilson', 'Beth', 'CAN',19,'2001-09-28',91609,9105393,41.53
315, 'Marzinotto', 'Laura', 'CAN',null,null,100144,null,41.35
316, 'Merkhoffer', 'Melina', 'GER',26,'1994-01-09',82929,9205071,40.84
317, 'Larkiala', 'Stella', 'FIN',null,null,96552,null,40.4
318, 'Tanaka', 'Yuna', 'JPN',null,null,89378,null,40
319, 'Karrer', 'Hanna', 'AUT',null,null,100507,null,39.39
320, 'Coffey', 'Peighton', 'USA',null,null,98726,null,39.32
321, 'Wick', 'Lura', 'SUI',null,null,98256,null,39.06
322, 'Olsen', 'Gabby', 'CAN',null,null,100601,null,38.92
323, 'Ewoldt', 'Django', 'USA',null,null,95849,9535584,38.75
324, 'Hipp', 'Helene', 'GER',null,null,100964,null,38.27
325, 'Antyasova', 'Tianina', 'RUS',null,null,100236,null,37.97
326, 'Belikova', 'Dariya', 'RUS',null,null,94713,9485308,37.75
327, 'Black', 'Margie', 'USA',null,null,96505,9535502,37.75
327, 'Willemsen', 'Zo�', 'NED',null,null,99742,null,37.75
329, 'Ghostkeeper', 'Mya', 'CAN',null,null,97859,null,36.81
330, 'Janett', 'Soha', 'SUI',null,null,99519,null,36.54
331, 'Naudi', 'Aixa', 'AND',null,null,100525,null,36.54
332, 'Johnsen', 'Pia', 'NOR',null,null,100430,null,36.29
333, 'Bachmann', 'Johanna', 'GER',null,null,99290,null,35.98
334, 'Charlec', 'Maelis', 'FRA',null,null,98664,9195263,35.8
335, 'Krasneva', 'Varvara', 'CAN',23,'1997-09-08',95439,9105403,35.56
336, 'Solomon', 'Charley', 'CAN',null,null,100664,null,35.51
337, 'Djogic', 'Andjela', 'SRB',null,null,100624,null,35.46
338, 'Kokko', 'Anna-Sofia', 'FIN',null,null,97149,null,34.83
339, 'Ogawa', 'Hikaru', 'JPN',null,null,84345,9305287,34.76
340, 'Fernandez', 'Nerea', 'AND',null,null,100521,null,34.52
341, 'Bietenholz', 'Anouk', 'SUI',null,null,98365,null,34.19
342, 'Johnsen', 'Emilie', 'NOR',null,null,99330,null,34.12
343, 'Yanow', 'Chloe', 'CAN',null,null,97858,null,33.65
344, 'Makela', 'Maaru', 'FIN',null,null,100161,null,33.61
345, 'Simanaviciute', 'Goda', 'LTU',null,null,98193,null,33.33
345, 'Weinberg', 'Rochelle', 'USA',null,null,97789,null,33.33
345, 'Shute', 'Samantha', 'CAN',null,null,97384,null,33.33
348, 'Peetz', 'Emma', 'GER',null,null,100965,null,33.13
349, 'Huang', 'Zhixin', 'CHN',null,null,100227,9125128,32.73
350, 'Hanson', 'MacKenzie', 'CAN',null,null,99350,null,32.71
351, 'Alba', 'Sonora', 'USA',null,null,96995,null,32.23
352, 'Schrott', 'Tina', 'GER',null,null,95274,null,32.05
353, 'Steinsdottir', 'Lilja Ros', 'ISL',null,null,97462,1259940,32.03
354, 'Corti', 'Tosca', 'SUI',null,null,98364,null,31.97
355, 'Klaussen', 'Emilie', 'NOR',null,null,96486,null,31.95
356, 'Lundberg', 'Julia', 'SWE',null,null,89239,9505041,31.73
357, 'Eising', 'Dakoda', 'CAN',null,null,99351,null,31.57
358, 'Hisaoka', 'Karin', 'JPN',null,null,101025,null,31.47
359, 'Jovanovic', 'Jana', 'SRB',null,null,101013,null,31.37
360, 'Edwinsdottir', 'Vildis', 'ISL',null,null,97463,1259944,30.78
361, 'Nymoen', 'Ingvild', 'NOR',null,null,88934,9425050,30.48
362, 'Honda', 'Nanami', 'JPN',null,null,100766,null,30.33
363, 'Handa', 'Saara', 'JPN',null,null,95184,null,29.93
364, 'Wyss', 'Merlin', 'SUI',null,null,98613,null,29.86
365, 'Vachet', 'Gaia', 'ITA',null,null,92585,null,29.82
366, 'Dhawornvej', 'Lily', 'USA',null,null,97785,null,29.66
367, 'Rix', 'Lela', 'USA',null,null,98863,null,29.52
368, 'Irhina', 'Elizaveta', 'RUS',null,null,100235,null,29.15
369, 'Kroell', 'Elisa', 'AUT',null,null,97868,null,28.89
370, 'Hyry', 'Eevastiina', 'FIN',null,null,100689,null,28.79
371, 'Viererbe', 'Leila', 'GER',null,null,100966,null,28.3
