Key,position,lastname,firstname,nationality,age,date of birth,WST Rider ID,fis code,number of results,points,
OhashiRikuto,125,Ohashi,Rikuto,JPN,18,12/5/01 0:00,95027,9300841,3 / (3),246.27,Ohashi
Traasdahl FornesAnders,126,Traasdahl Fornes,Anders,NOR,,,100518,,3 / (3),245.71,Traasdahl Fornes
SuYiming,127,Su,Yiming,CHN,,,100091,9120055,2 / (2),243.02,Su
YamaseKensho,128,Yamase,Kensho,JPN,,,95425,9300989,3 / (4),242.95,Yamase
FrischhutLukas,129,Frischhut,Lukas,AUT,,,92521,9050276,3 / (8),241.01,Frischhut
AizawaRyo,130,Aizawa,Ryo,JPN,,,90217,9300740,3 / (6),240.74,Aizawa
YanezAlvaro,131,Yanez,Alvaro,CHI,18,1/1/02 0:00,82307,9110019,3 / (6),239.17,Yanez
KirkevollEmbrik,132,Kirkevoll,Embrik,NOR,,,94742,,3 / (6),238.92,Kirkevoll
VermaatSam,133,Vermaat,Sam,NED,,,94925,,3 / (4),238.87,Vermaat
BergmanJoonas,134,Bergman,Joonas,FIN,20,5/15/00 0:00,93245,9180170,3 / (4),238.83,Bergman
AragonJose Antonio,135,Aragon,Jose Antonio,ESP,,,92433,9490214,3 / (5),238.76,Aragon
KonijnenbergSebastien,136,Konijnenberg,Sebastien,FRA,23,8/18/97 0:00,87631,9190322,3 / (5),237.4,Konijnenberg
GiblinParker,137,Giblin,Parker,USA,,,96119,9531357,3 / (9),236.94,Giblin
MekincNaj,138,Mekinc,Naj,SLO,,,91345,9560205,3 / (7),236.93,Mekinc
MillerNicholas,139,Miller,Nicholas,USA,,,97836,1051577,3 / (8),236.89,Miller
LuckerbauerDavid,140,Luckerbauer,David,AUT,20,6/10/00 0:00,87593,9050255,3 / (7),236.84,Luckerbauer
Van HoofIlias,141,Van Hoof,Ilias,BEL,21,5/5/99 0:00,89015,9060011,3 / (7),236.59,Van Hoof
CockrellBilly,142,Cockrell,Billy,GBR,21,1/30/99 0:00,82368,9220101,3 / (7),235.28,Cockrell
De BuckSebbe,143,De Buck,Sebbe,BEL,25,3/14/95 0:00,75856,9060003,2 / (2),234.73,De Buck
NagasawaHayato,144,Nagasawa,Hayato,JPN,18,7/27/02 0:00,90211,9300814,3 / (5),232.05,Nagasawa
GaugerWendelin,145,Gauger,Wendelin,SUI,20,3/16/00 0:00,86579,9510403,3 / (7),231.94,Gauger
ValaxEnzo,146,Valax,Enzo,FRA,20,10/27/00 0:00,92084,9190422,3 / (6),231.26,Valax
OgasawaraSenan,147,Ogasawara,Senan,JPN,,,96846,9300916,3 / (5),228.68,Ogasawara
TsujiHinata,148,Tsuji,Hinata,JPN,,,90216,9300779,3 / (5),227.8,Tsuji
MatherSamuel,149,Mather,Samuel,CAN,,,95450,9101146,3 / (7),227.3,Mather
McDermottEli,150,McDermott,Eli,USA,,,96556,,3 / (13),226.97,McDermott
WilliamsMax,151,Williams,Max,USA,,,94556,9531317,3 / (6),226.42,Williams
Klebe-MccullochDashiell,152,Klebe-Mcculloch,Dashiell,CAN,,,95445,9101137,3 / (7),224.69,Klebe-Mcculloch
LeeChaeun,153,Lee,Chaeun,KOR,,,95232,,3 / (7),224.56,Lee
FujiyaRyoji,154,Fujiya,Ryoji,JPN,,,95431,9300935,2 / (2),222.39,Fujiya
SmithEthan,155,Smith,Ethan,GBR,17,6/12/03 0:00,86275,9220081,3 / (12),221.54,Smith
NicholsonTyler,156,Nicholson,Tyler,CAN,25,8/3/95 0:00,83279,9100475,3 / (4),221.54,Nicholson
BollMoritz,157,Boll,Moritz,SUI,20,7/8/00 0:00,86577,9510387,3 / (8),221.13,Boll
MachtansBen,158,Machtans,Ben,CAN,,,95446,9101117,3 / (9),220.9,Machtans
KoenenFynn,159,Koenen,Fynn,GER,,,91467,9200146,3 / (9),219.77,Koenen
VaisanenEmppu,160,Vaisanen,Emppu,FIN,,,93251,9180183,3 / (6),217.88,Vaisanen
RovenskyJan,161,Rovensky,Jan,CZE,,,86898,9150177,3 / (9),217.5,Rovensky
LenchevskiyYaroslav,162,Lenchevskiy,Yaroslav,RUS,,,95784,9480723,3 / (9),216.08,Lenchevskiy
WegaCarter,163,Wega,Carter,CAN,,,93637,,3 / (10),215.36,Wega
AtnoAlex,164,Atno,Alex,USA,,,95410,9531301,3 / (3),214.6,Atno
MoonJaxson,165,Moon,Jaxson,USA,,,98937,,3 / (6),214.16,Moon
LarochaixNoe,166,Larochaix,Noe,FRA,,,81626,9190448,3 / (12),213.69,Larochaix
BreuMoritz,167,Breu,Moritz,GER,17,7/6/03 0:00,91598,9200161,3 / (4),213.54,Breu
KaufmannMoritz,168,Kaufmann,Moritz,AUT,20,7/20/00 0:00,86504,9050256,3 / (5),213.31,Kaufmann
FerryLucas,169,Ferry,Lucas,USA,,,85132,9531505,3 / (9),212.97,Ferry
LotortoAlessandro Marco,170,Lotorto,Alessandro Marco,SUI,,,86573,9510474,3 / (4),211.44,Lotorto
RiddellEvan,171,Riddell,Evan,CAN,16,10/8/04 0:00,93453,9101107,3 / (8),211.2,Riddell
MilenkovicMatija,172,Milenkovic,Matija,SRB,19,2/23/01 0:00,92999,9310011,3 / (15),211.04,Milenkovic
ChomlackCaleb,173,Chomlack,Caleb,CAN,16,6/10/04 0:00,91323,9101193,3 / (8),211.01,Chomlack
SanzhapovSerhii,174,Sanzhapov,Serhii,UKR,15,3/25/05 0:00,94172,,3 / (9),210.48,Sanzhapov
MiskimanSean,175,Miskiman,Sean,CAN,20,5/3/00 0:00,87792,9100751,3 / (3),210.05,Miskiman
ChristenssonConner,176,Christensson,Conner,CAN,18,10/22/02 0:00,96177,9101053,3 / (10),208.85,Christensson
VallieresTyler,177,Vallieres,Tyler,USA,,,82920,9531257,3 / (4),208.6,Vallieres
PuenterNick,178,Puenter,Nick,SUI,18,3/1/02 0:00,93061,9510443,3 / (3),208.59,Puenter
LundstroemGustaf,179,Lundstroem,Gustaf,SWE,22,1/17/98 0:00,92004,9500138,3 / (9),208.53,Lundstroem
StrohmeyerTill,180,Strohmeyer,Till,AUT,18,5/7/02 0:00,94405,9200165,3 / (10),203.74,Strohmeyer
KrauskopfTosh,181,Krauskopf,Tosh,CAN,15,1/16/05 0:00,91393,,3 / (12),203.33,Krauskopf
SmelovAleksandr,182,Smelov,Aleksandr,RUS,24,4/22/96 0:00,92525,,3 / (6),203.11,Smelov
MorettiSacha,183,Moretti,Sacha,FRA,22,8/14/98 0:00,89521,9190363,3 / (3),203.04,Moretti
Mork DanielsenSander,184,Mork Danielsen,Sander,NOR,,,94623,,3 / (5),202.75,Mork Danielsen
BlakeWyatt,185,Blake,Wyatt,USA,,,97820,9531458,3 / (7),202.01,Blake
KudoYamato,186,Kudo,Yamato,JPN,,,91686,9300845,3 / (6),200.95,Kudo
TongkoAdrian Lee,187,Tongko,Adrian Lee,PHI,23,11/8/96 0:00,83740,9100690,3 / (4),200.07,Tongko
MiyamuraYuto,188,Miyamura,Yuto,JPN,,,97916,,3 / (4),199.89,Miyamura
FuserElia Manuel,189,Fuser,Elia Manuel,ITA,,,92591,,3 / (7),199.64,Fuser
KalloSami,190,Kallo,Sami,FIN,,,93249,9180167,3 / (3),199.23,Kallo
TeixeiraAugustinho,191,Teixeira,Augustinho,BRA,,,99140,,3 / (12),198.57,Teixeira
KakuShusei,192,Kaku,Shusei,JPN,,,98217,,3 / (3),198.25,Kaku
GrayNathan,193,Gray,Nathan,FRA,19,11/28/00 0:00,87096,9220049,3 / (8),196.45,Gray
MaffeiAlberto,194,Maffei,Alberto,ITA,25,5/11/95 0:00,80676,9290315,3 / (4),195.8,Maffei
SuzukiAtsuhiro,195,Suzuki,Atsuhiro,JPN,,,81739,9300782,3 / (3),195.47,Suzuki
DendaJeremy,196,Denda,Jeremy,SUI,,,89233,9510488,3 / (4),194.94,Denda
StangKaris,197,Stang,Karis,USA,,,96948,,3 / (8),193.36,Stang
BrcicDante,198,Brcic,Dante,CRO,,,91715,9380038,3 / (13),192.27,Brcic
ThelenAxel,199,Thelen,Axel,FIN,22,11/15/97 0:00,90978,9180154,2 / (2),191.99,Thelen
VoRyan,200,Vo,Ryan,CAN,,,96224,9101134,3 / (6),190.19,Vo
AlmqvistGabriel,201,Almqvist,Gabriel,SWE,,,84586,9500158,3 / (7),189.93,Almqvist
FreitasJaden,202,Freitas,Jaden,USA,16,7/20/04 0:00,98018,,3 / (6),189.34,Freitas
FreyLeopold,203,Frey,Leopold,GER,,,97271,,3 / (5),188.83,Frey
SchwanPhilip,204,Schwan,Philip,GER,20,9/22/00 0:00,92396,9510433,3 / (6),188.37,Schwan
SchmittMatias,205,Schmitt,Matias,ARG,,,85559,9030045,3 / (4),187.09,Schmitt
BriggsLucas,206,Briggs,Lucas,CAN,,,96229,9101108,3 / (7),183.54,Briggs
IrarrazavalInaqui,207,Irarrazaval,Inaqui,CHI,28,1/1/92 0:00,78005,9110006,3 / (4),183.53,Irarrazaval
ZulianEmil,208,Zulian,Emil,ITA,23,8/22/97 0:00,76950,9290265,3 / (4),182.05,Zulian
Fairgrieve-ParkKalin,209,Fairgrieve-Park,Kalin,CAN,20,4/5/00 0:00,91778,9100868,3 / (5),181.55,Fairgrieve-Park
CastroJaime,210,Castro,Jaime,ESP,,,94513,9490217,3 / (7),181.36,Castro
VallesCole,211,Valles,Cole,USA,,,95414,9531341,3 / (7),181.1,Valles
KarhilaRoni,212,Karhila,Roni,FIN,,,95037,9180194,3 / (5),180.3,Karhila
MorauskasMotiejus,213,Morauskas,Motiejus,LTU,,,88728,1783066,3 / (11),179.64,Morauskas
OliverLenny,214,Oliver,Lenny,FRA,,,91235,9190470,3 / (6),179.26,Oliver
PetrickRyder,215,Petrick,Ryder,CAN,19,3/11/01 0:00,91460,9101032,3 / (6),178.83,Petrick
TylerHayden,216,Tyler,Hayden,USA,,,96979,,3 / (6),178.77,Tyler
IronsideGlen,217,Ironside,Glen,GBR,21,6/13/99 0:00,88103,9220050,3 / (10),178.76,Ironside
MerkenJulien,218,Merken,Julien,FRA,,,99265,,3 / (4),177.83,Merken
LivieroNicola,219,Liviero,Nicola,ITA,21,4/23/99 0:00,86560,9290314,3 / (6),176.8,Liviero
FramarinLeo,220,Framarin,Leo,ITA,,,86566,9290402,3 / (6),175.45,Framarin
van HoeijDylan,221,van Hoeij,Dylan,BEL,16,11/26/03 0:00,92576,9060023,3 / (5),173.75,van Hoeij
CHIARADIO DE LA IGLESIAFederico,222,CHIARADIO DE LA IGLESIA,Federico,ARG,,,86254,9030049,3 / (6),173.69,CHIARADIO DE LA IGLESIA
KristjanssonEgill Gunnar,223,Kristjansson,Egill Gunnar,ISL,,,95745,9250004,3 / (6),171.23,Kristjansson
LeeDongheon,224,Lee,Dongheon,KOR,,,100181,,3 / (6),171.09,Lee
KnopKamil,225,Knop,Kamil,POL,,,97423,9430166,3 / (4),170.34,Knop
LandmarkJesper,226,Landmark,Jesper,SWE,21,1/4/99 0:00,77181,9500137,3 / (8),170.29,Landmark
FenningLenny,227,Fenning,Lenny,GBR,,,96540,,3 / (8),170.2,Fenning
DurandAlois,228,Durand,Alois,GER,16,12/2/03 0:00,91590,9200184,3 / (4),170.16,Durand
EthierLaurent,229,Ethier,Laurent,CAN,,,95474,,3 / (6),169.72,Ethier
WidnigFelix,230,Widnig,Felix,AUT,29,1/6/91 0:00,90294,9050107,3 / (4),169.14,Widnig
TessandJakob,231,Tessand,Jakob,NOR,,,96483,,3 / (3),168.8,Tessand
Brune OlsenAnders Johannes,232,Brune Olsen,Anders Johannes,NOR,,,98565,,3 / (4),168.48,Brune Olsen
MurphyKeyser,233,Murphy,Keyser,USA,,,97740,9531476,3 / (5),168.22,Murphy
MoriiMiruki,234,Morii,Miruki,JPN,,,95018,9300944,3 / (4),167.99,Morii
HrstkaLadislav,235,Hrstka,Ladislav,CZE,18,11/14/01 0:00,81043,9150165,3 / (9),167.91,Hrstka
SaijoKazuki,236,Saijo,Kazuki,JPN,,,93680,9300807,3 / (4),167.11,Saijo
LovelockZephyr,237,Lovelock,Zephyr,NZL,,,97602,,3 / (3),166.83,Lovelock
FantuzDawson,238,Fantuz,Dawson,CAN,,,96214,9101078,3 / (7),166.47,Fantuz
KakuYusei,239,Kaku,Yusei,JPN,,,98221,9300925,3 / (4),166.28,Kaku
LaufferLogan,240,Lauffer,Logan,USA,18,1/24/02 0:00,97567,9531410,3 / (6),166.22,Lauffer
TsujiHaruhi,241,Tsuji,Haruhi,JPN,,,96829,9300947,3 / (3),162.53,Tsuji
AnishchankaPavel,242,Anishchanka,Pavel,BLR,,,90008,1664924,3 / (5),161.47,Anishchanka
RiceBrian,243,Rice,Brian,USA,,,98906,,3 / (7),160.66,Rice
TokarczykPiotr,244,Tokarczyk,Piotr,POL,29,7/11/91 0:00,78786,9430115,3 / (4),159.78,Tokarczyk
KeulingBrendan,245,Keuling,Brendan,CAN,18,9/22/02 0:00,91326,9101177,3 / (6),159.6,Keuling
KlundtCarson,246,Klundt,Carson,USA,,,99251,,3 / (8),159.38,Klundt
NegishiUkyo,247,Negishi,Ukyo,JPN,,,96737,9300972,3 / (3),159.37,Negishi
FinnemoreSamuel,248,Finnemore,Samuel,NZL,,,97596,,3 / (4),158.11,Finnemore
ErshovPetr,249,Ershov,Petr,RUS,,,94835,,3 / (6),157.04,Ershov
HauschildtKian Christopher,250,Hauschildt,Kian Christopher,BRA,,,99305,,3 / (6),156.68,Hauschildt
KauranenMitja,251,Kauranen,Mitja,FIN,,,93243,,3 / (5),156.47,Kauranen
LittleAlec,252,Little,Alec,USA,,,91676,9531203,3 / (4),156.21,Little
NunezJascha,253,Nunez,Jascha,AUT,,,100457,,3 / (10),156.05,Nunez
