riderName, position, points, sponsors, age, nationality, stance, height, residence, resort, website, facebook, twitter, nationality_full  
Redmond Gerard, 1, 882.98, Burton Snowboards | Celtek | Mountain Dew | Von Zipper | Wend Wax | Woodward Copper | , 20, USA, Regular, 5ft.4in., Silverthorne, Copper, www.redgerard.net, www.facebook.com/redgerard, www.twitter.com/@RedmondGerard, United States, , , , 
Joshua Reeves, 253, 155.24, , , CAN, , , , , , , , Canada, , , , 
Bouchard Eli, 254, 154.64, , , CAN, , , , , , , , Canada, , , , 
Ian Scherrer, 255, 154.58, , , CAN, , , , , , , , Canada, , , , 
Roni Aalto, 256, 153.58, , , FIN, , , , , , , , Finland, , , , 
Oskar Klein, 257, 153.22, , 19, CAN, , , , , , , , Canada, , , , 
Julien Cannicionnie, 258, 153.19, , , CAN, , , , , , , , Canada, , , , 
Jonah Cantelon, 259, 152.94, , , CAN, , , , , , , , Canada, , , , 
Jeremy Bucher, 260, 152.87, , , SUI, , , , , , , , Switzerland, , , , 
Jinichiro Abe, 261, 152.8, , , JPN, , , , , , , , Japan, , , , 
Jan Matteoli, 262, 152.61, , , ITA, , , , , , , , Italy, , , , 
Lucas Cornillat, 263, 152.08, , , FRA, , , , , , , , France, , , , 
Dante Schipani, 264, 151.23, , , USA, , , , , , , , United States, , , , 
Kaishi Obata, 265, 150.89, , , JPN, , , , , , , , Japan, , , , 
Kira Kimura, 266, 150.79, , , JPN, , , , , , , , Japan, , , , 
Casper Holtzapfel, 267, 150.44, , , NED, , , , , , , , NED, , , , 
Tobias Lunn, 268, 150.15, , , NOR, , , , , , , , Norway, , , , 
Moritz Amsuess, 269, 148.97, OutOf Goggles | Rip Curl | Santa Cruz | Santo Loco Shop | , 21, AUT, Goofy, , , , , , , Austria, , , , 
Vetle Rygh, 270, 148.91, , , NOR, , , , , , , , Norway, , , , 
Jakob Ganserer, 271, 148.17, , , GER, , , , , , , , Germany, , , , 
Erik Bastiaansen, 272, 147.82, Ride Snowboards | Smith | , 22, NED, Regular, , Terneuzen, , , , , NED, , , , 
Krzysztof Owczarek, 273, 147.06, , , POL, , , , , , , , Poland, , , , 
Lukas Behensky, 274, 146.78, , , AUT, , , , , , , , Austria, , , , 
Mathis Lamoureux, 275, 146.71, , , CAN, , , , , , , , Canada, , , , 
Owen Burns, 276, 146.1, , 17, CAN, , , , , , , , Canada, , , , 
Pedro Bidegain, 277, 145.27, , , ARG, , , , , , , , Argentina, , , , 
Patrice Poulin, 278, 145.25, , 20, CAN, , , , , , , , Canada, , , , 
Rakim Foy, 279, 144.94, , 18, NED, , , , , , , , NED, , , , 
Stan Pauli, 280, 144.81, K2 Snowboarding | , 18, NED, Goofy, , , , , , , NED, , , , 
Shayne Sandblom, 281, 144.5, , , USA, , , , , , , , United States, , , , 
Harry Waite, 282, 144.37, , , GBR, , , , , , , , United Kingdom, , , , 
Liam Berger, 283, 143.13, , , CAN, , , , , , , , Canada, , , , 
Mafuyu Shirakawa, 284, 143.09, , , JPN, , , , , , , , Japan, , , , 
Thom Wijnstra, 285, 142.86, , , NED, , , , , , , , NED, , , , 
Nikita Abozovik, 286, 142.81, , , RUS, , , , , , , , Russian Federation, , , , 
Maxwell Eibl, 287, 142.6, , , CAN, , , , , , , , Canada, , , , 
Chris Hoffman, 288, 141.25, , , RUS, , , , , , , , United States, , , , 
Jan Jaromin, 289, 140.69, , 18, POL, , , Myslowice, , , , , Poland, , , , 
Aidan Coleborrk, 290, 140.63, , , CAN, , , , , , , , Canada, , , , 
Connor Cavanagh, 291, 140.28, , , USA, , , , , , , , United States, , , , 
Dominik Holzinger, 292, 137.98, , , AUT, , , , , , , , Austria, , , , 
Riley Zawalykut, 293, 136.84, , , CAN, , , , , , , , Canada, , , , 
William Almqvist, 294, 136.68, , , SWE, , , , , , , , Sweden, , , , 
 IgorTarakanov, 295, 136.39, , 
, RUS, , , , , , , , Russian Federation, , , , 
Anthon Bosch, 296, 135.28, Burton Snowboards | , 24, RSA, Regular, 180cm, Transtrand, Kläppen| Sälen, anthonbosch.com, https://www.facebook.com/anthon.bosch, , RSA, , , , 
Martin Leleu, 297, 135.25, , , FRA, , , , , , , , France, , , , 
Jonas Mork Danielsen, 298, 134.68, , , NOR, , , , , , , , Norway, , , , 
Raymond Prentice, 299, 134.68, , , GBR, , , , , , , , United Kingdom, , , , 
Jace Dibben, 300, 134.47, , 19, CAN, , , , , , , , Canada, , , , 
Ozbe Kuhar, 0, , , , SLO, , , , , , , , , , , , 
Jared Mortenson, 0, , , , USA, , , , , , , , , , , , 
Marcello Grassis, 0, , , , ITA, , , , , , , , , , , , 
Sikyung Ju, 0, , , , KOR, , , , , , , , , , , , 
Ethen Goebel, 0, , , , USA, , , , , , , , , , , , 
Antti Valjus, 0, , , , FIN, , , , , , , , , , , , 
Paul Frischhut, 0, , , , AUT, , , , , , , , , , , , 
Manuel Fasola, 0, , , , ARG, , , , , , , , , , , , 
Stian Kronlund, 0, , , 18, NOR, Regular, , , , , , , , , , , 
Jakob Svendsen Tessan, 0, , , , NOR, , , , , , , , , , , , 
Niklas Sukke, 0, , , , NOR, , , , , , , , , , , , 
Jack Coyne, 0, , Anon Optics | Burton Snowboards | , 18, USA, Regular, , Edwards, , , , , , , , , 
Maximilian Deutinger, 0, , , , AUT, , , , , , , , , , , , 
Anders Fornes, 0, , , , NOR, , , , , , , , , , , , 
Hudson Ayoubi, 0, , , , AUS, , , , , , , , , , , , 
Wikohika Tui, 0, , , , NZL, , , , , , , , , , , , 
Jumpei Kawashita, 0, , , , JPN, , , , , , , , , , , , 
Boris Mouton, 0, , Monster Energy | Vans | , 23, SUI, Goofy, 5ft.8in., Bex, Thyon central Camps, , www.facebook.com/boris.mouton, www.twitter.com/borismouton, , , , , 
Kim Gyeong Uk, 0, , Capita | FLUX BINDINGS | 686 | , 19, KOR, Regular, , Changwon, , , , , , , , , 
Janko Kolarevic, 0, , , 23, SRB, , , , , , , , , , , , 
Charles-éric D’Astous, 0, , , 16, CAN, , , , , , , , , , , , 
Quentin George, 0, , , 18, CAN, , , , , , , , , , , , 
Kade Martin, 0, , , , USA, , , , , , , , , , , , 
Jaime Castro, 0, , , , ESP, , , , , , , , , , , , 
Henry Burns, 0, , , , CAN, , , , , , , , , , , , 
Felix Reicher, 0, , , , AUT, , , , , , , , , , , , 
Juhani Huuhtanen, 0, , , , FIN, , , , , , , , , , , , 
Adrian Hovde Pettersen, 0, , , , NOR, , , , , , , , , , , , 
Petar Gyosharkov, 0, , , 24, BUL, Regular, , Samokov, , , , , , , , , 
Joshua Cielen, 0, , , , CAN, , , , , , , , , , , , 
Noe Petit, 0, , , , FRA, , , , , , , , , , , , 
Juan Cachat, 0, , Vans | , 20, FRA, Goofy, , Thollon Les Memises, , , , , , , , , 
Bart Poll, 0, , , , NED, , , , , , , , , , , , 
Ben Buchel, 0, , , , CAN, , , , , , , , , , , , 
Jere Hietikko, 0, , , , FIN, , , , , , , , , , , , 
Aleksander Ostreng, 0, , Hoppipolla | Monster Energy | Rome | , 29, NOR, Regular, 176cm, Rykkinn, Kirkerudbakken and Geilo, , , , , , , , 
Lucas Hendriks, 0, , , , NED, , , , , , , , , , , , 
Bo Roll, 0, , , , NOR, , , , , , , , , , , , 
Niklas Mattsson, 0, , Colour Wear | Dragon | Rome | Transform Gloves | , 28, SWE, Regular, 186cm, Sundsvall, Sidelake, , , , , , , , 
Bodie Heflin, 0, , , , USA, , , , , , , , , , , , 
Emil Frey, 0, , , , GER, , , , , , , , , , , , 
Tom Venderotte, 0, , , 19, FRA, , , , , , , , , , , , 
Kristian Salac, 0, , , , CZE, , , , , , , , , , , , 
Grant Shambo, 0, , , , USA, , , , , , , , , , , , 
Nanno Hensold, 0, , , , GER, , , , , , , , , , , , 
Valentin Moreno, 0, , , , ARG, , , , , , , , , , , , 
Luis Eckert, 0, , , 24, GER, Goofy, , , , , , , , , , , 
Morris Gifford, 0, , , , USA, , , , , , , , , , , , 
Wei He, 0, , , , CHN, , , , , , , , , , , , 
Niklas Huber, 0, , , 16, GER, , , , , , , , , , , , 
Corben Marchiel, 351, 119.4, , , CAN, , , , , , , , Canada, , , , 
Spencer MacAulay, 352, 119.34, , , CAN, , , , , , , , Canada, , , , 
Nick Fox, 353, 118.24, , , USA, , , , , , , , United States, , , , 
Gus Sigel, 354, 118.21, , , USA, , , , , , , , United States, , , , 
Kyle Carr, 355, 118.19, , , CAN, , , , , , , , Canada, , , , 
Connor Kelly, 356, 117.54, , , CAN, , , , , , , , Canada, , , , 
Hyun Jun Lee, 357, 117.32, , , KOR, , , , , , , , Korea, Republic of, , , , 
Yuri Chemodurov, 358, 117.29, , 30, RUS, Goofy, , Yushno-Sakhalinsk, , , , , Russian Federation, , , , 
Hanato Minamiya, 359, 116.81, , , JPN, , , , , , , , Japan, , , , 
Diego Ceron, 360, 116.72, , 27, CHI, , , , , , , , CHI, , , , 
Gian Andrin Biele, 361, 116.55, 015 Boards & Lifestyle | , 17, SUI, , , Stallikon, LAAX, , , , Switzerland, , , , 
Hinata Sakaue, 362, 116.49, , , JPN, , , , , , , , Japan, , , , 
Samuel Fejgl, 363, 115.36, , , CZE, , , , , , , , Czech Republic, , , , 
Haoyu Liu, 364, 115.24, , , CHN, , , , , , , , China, , , , 
Charles Gray, 365, 115.18, , , USA, , , , , , , , United States, , , , 
Stephon Bulat, 366, 115.0, , , CAN, , , , , , , , Canada, , , , 
Ilya Baskakov, 367, 114.83, , , RUS, , , , , , , , Russian Federation, , , , 
MacIej Zaczyk, 368, 114.15, , , POL, , , , , , , , Poland, , , , 
Oscar Ney, 369, 113.86, , , FRA, , , , , , , , France, , , , 
Donovan Schiele, 370, 113.23, , , CAN, , , , , , , , Canada, , , , 
Vojtech Horky, 371, 112.61, , , CZE, , , , , , , , Czech Republic, , , , 
Roope Patronen, 372, 111.92, , , FIN, , , , , , , , Finland, , , , 
Eito Ishida, 373, 111.69, , , JPN, , , , , , , , Japan, , , , 
Kosuke Muranaka, 374, 111.57, , , JPN, , , , , , , , Japan, , , , 
Jeremy Allen, 375, 110.87, , 18, CAN, , , , , , , , Canada, , , , 
Mark Teymurov, 376, 110.57, , 23, RUS, , , , , , , , Russian Federation, , , , 
Antoni Toledo, 377, 110.23, , , ESP, , , , , , , , Spain, , , , 
Lukas Rodriguez, 378, 110.11, , , ESP, , , , , , , , Spain, , , , 
Marten Kikas, 379, 109.82, , , EST, , , , , , , , Estonia, , , , 
Chase Layzell, 380, 109.46, , 18, CAN, , , , , , , , Canada, , , , 
Noah Watson, 381, 109.45, , , CAN, , , , , , , , Canada, , , , 
Jonas Berdal, 382, 109.33, , , NOR, , , , , , , , Norway, , , , 
Volodymyr Kropov, 383, 109.26, , , UKR, , , , , , , , Ukraine, , , , 
Juho Virsunen, 384, 109.13, , , FIN, , , , , , , , Finland, , , , 
Sunny Steele, 385, 108.94, , 17, AUS, , , , , , , , Australia, , , , 
Andreas Granli-Sommerud, 386, 108.63, , , NOR, , , , , , , , Norway, , , , 
Joshua Robertson-Hahn, 387, 108.58, , , AUS, , , , , , , , Australia, , , , 
Youngkyo Won, 388, 107.19, , , KOR, , , , , , , , Korea, Republic of, , , , 
Nayte Brown, 389, 106.66, , , CAN, , , , , , , , Canada, , , , 
Maxymilian Jablonski, 390, 106.58, , , CAN, , , , , , , , Canada, , , , 
Konstantin Mostovoi, 391, 106.39, , , RUS, , , , , , , , Russian Federation, , , , 
Nooa Kervinen, 392, 106.08, , , FIN, , , , , , , , Finland, , , , 
Reynar Hlynsson, 393, 105.75, , , ISL, , , , , , , , Iceland, , , , 
Maddox McCorrister, 394, 105.66, , , CAN, , , , , , , , Canada, , , , 
Luca Merimee, 395, 105.48, , , FRA, , , , , , , , France, , , , 
Charlie Lane, 396, 105.36, , , GBR, , , , , , , , United Kingdom, , , , 
Xuesong Gao, 397, 105.32, , , CHN, , , , , , , , China, , , , 
Colton Eckert, 398, 105.23, , 17, CAN, , , , , , , , Canada, , , , 
Kaito Mukai, 399, 104.52, , , JPN, , , , , , , , Japan, , , , 
Eliot Pentecote, 399, 104.52, , , FRA, , , , , , , , France, , , , 
Takuya Uehara, 401, 104.19, , 29, JPN, , , , , , , , Japan, , , , 
Xavier Pothier, 402, 102.98, , , CAN, , , , , , , , Canada, , , , 
Riku Hirai, 403, 102.35, , , JPN, , , , , , , , Japan, , , , 
Lorenzo Peeters, 404, 102.07, Capita | , , BEL, Goofy, , , , , , , Belgium, , , , 
Walker Netland, 405, 101.91, , , USA, , , , , , , , United States, , , , 
Luka Kamissek, 406, 101.65, , , GER, , , , , , , , Germany, , , , 
Roman Zanka, 407, 101.32, , , CZE, , , , , , , , Czech Republic, , , , 
Peter Lotz, 408, 101.3, , , GER, , , , , , , , Germany, , , , 
Tadeas Nedielka, 409, 101.23, , , SVK, , , , , , , , Slovakia, , , , 
Thorbjorn Haug, 410, 101.02, , , NOR, , , , , , , , Norway, , , , 
Daia Okajima, 411, 100.96, , , JPN, , , , , , , , Japan, , , , 
Timon Matena, 412, 100.39, , , CZE, , , , , , , , Czech Republic, , , , 
Tyler Harrison, 413, 100.2, , , CAN, , , , , , , , Canada, , , , 
Fredrik Fredlund, 414, 100.0, , , SWE, , , , , , , , Sweden, , , , 
Tuomas Turpeinen, 415, 99.95, , , FIN, , , , , , , , Finland, , , , 
Gyeong Seo, 416, 99.59, , , KOR, , , , , , , , Korea, Republic of, , , , 
Eric Dovjak, 417, 99.47, , , AUT, , , , , , , , Austria, , , , 
Colin Hunter, 418, 99.39, , , CAN, , , , , , , , Canada, , , , 
Jaba Skhvediani, 0, , , , GEO, , , , , , , , , , , , 
Narcis Salleras, 420, 98.4, , , ESP, , , , , , , , Spain, , , , 
Yannick Boudjelal, 0, , , 35, DZA, Goofy, , , , , , , , , , , 
Mac Rogers, 422, 97.93, , , NZL, , , , , , , , New Zealand, , , , 
Bart Falhaber, 423, 97.82, , , NED, , , , , , , , NED, , , , 
Storm Hafsahl, 424, 97.59, , , NOR, , , , , , , , Norway, , , , 
Aatu Partanen, 425, 97.56, , , FIN, , , , , , , , Finland, , , , 
Borgthor Johannsson, 426, 96.97, , , ISL, , , , , , , , Iceland, , , , 
Alfred Sutton, 427, 96.47, , , FRA, , , , , , , , France, , , , 
Mika Schweizer, 428, 96.45,  | , 12, GER, Goofy, 142, Kempten, Allgaeu Valley in Bavaria - Germany, , https://www.facebook.com/groups/1042965525731760/?ref=group_header, , Germany, , , , 
Wayu Inokuchi, 429, 96.17, , , JPN, , , , , , , , Japan, , , , 
Jiahao Zhang, 430, 95.97, , , CHN, , , , , , , , China, , , , 
George Cavers, 431, 95.59, , , USA, , , , , , , , United States, , , , 
Sang-Jae Kim, 432, 95.29, , , KOR, , , , , , , , Korea, Republic of, , , , 
Steven Hoeksema, 433, 94.95, , , CAN, , , , , , , , Canada, , , , 
Topias Joensuu, 434, 94.71, , , FIN, , , , , , , , Finland, , , , 
Emil Sundsvold Bjonness, 434, 94.71, , , NOR, , , , , , , , Norway, , , , 
Wenlong Yang, 436, 94.64, , , CHN, , , , , , , , China, , , , 
Anderson Kallos, 437, 94.6, , , CAN, , , , , , , , Canada, , , , 
Jackson Steed, 438, 94.59, , , CAN, , , , , , , , Canada, , , , 
Anton Muhonen, 439, 94.03, , , SWE, , , , , , , , Sweden, , , , 
Zachary Batchelor, 440, 93.93, , , CAN, , , , , , , , Canada, , , , 
Rio Tucker, 441, 93.88, , , CAN, , , , , , , , Canada, , , , 
Kaito Jinguuji, 442, 93.87, , , JPN, , , , , , , , Japan, , , , 
Morten Kleivdal, 443, 93.85, K2 Snowboarding | Von Zipper | , 29, NOR, Regular, 183, Geilo, Geilo| Norway, , , , Norway, , , , 
Christian Christensen, 444, 93.11, , , NOR, , , , , , , , Norway, , , , 
Yuuto Saito, 445, 92.36, , , JPN, , , , , , , , Japan, , , , 
Leonardo Sitzia, 446, 92.3, , , GER, , , , , , , , Germany, , , , 
Petter Teksle, 447, 91.99, , , NOR, , , , , , , , Norway, , , , 
Petr Zverina, 448, 91.29, , , CZE, , , , , , , , Czech Republic, , , , 
Joseph Jed, 449, 91.1, , , CAN, , , , , , , , Canada, , , , 
Genest Alexis, 450, 91.06, , , CAN, , , , , , , , Canada, , , , 
Blake Montalvo, 451, 90.87, , , CAN, , , , , , , , Canada, , , , 
Roahan Duncan, 452, 90.64, , , GBR, , , , , , , , United Kingdom, , , , 
Dante Vera, 453, 90.18, , , ARG, , , , , , , , Argentina, , , , 
Fuki Oki, 454, 90.11, , , JPN, , , , , , , , Japan, , , , 
George Malcolm, 455, 89.97, , , CAN, , , , , , , , Canada, , , , 
Jesse James Parkinson, 455, 89.97, Go Pro Cameras | Quiksilver | Skullcandy | , 15, AUS, Regular, , , , , , , Australia, , , , 
Rune De Beats, 457, 89.85, , , BEL, , , , , , , , Belgium, , , , 
Gavin Berghorn, 458, 88.76, , , USA, , , , , , , , United States, , , , 
Nicholas Bridgman, 459, 88.47, Northwave | Smith | , 27, ITA, Goofy, 179, Jesolo Lido, Seiser Alm, , Nicholas Bridgman, , Italy, , , , 
Felix Axelsson, 460, 88.23, , , SWE, , , , , , , , Sweden, , , , 
Nathan Pare, 461, 88.18, , , USA, , , , , , , , United States, , , , 
Tyson Delaurier, 462, 87.85, , , CAN, , , , , , , , Canada, , , , 
Ethan Rawdon-Harris, 463, 87.31, , , CAN, , , , , , , , Canada, , , , 
Cyrus Scanland, 464, 87.17, , , CAN, , , , , , , , Canada, , , , 
Lars Häfliger, 465, 87.12, , , SUI, , , , , , , , Switzerland, , , , 
Perron Justin, 466, 87.08, , , CAN, , , , , , , , Canada, , , , 
Dillon Henricksen, 467, 86.99, , , USA, , , , , , , , United States, , , , 
Vaclav Toman, 468, 86.19, , 17, CZE, Goofy, , Prague, , , , , Czech Republic, , , , 
Leonhard Schwiersch, 469, 85.26, , , GER, , , , , , , , Germany, , , , 
Gabriel Kreienbühl, 470, 85.1, , , SUI, , , , , , , , Switzerland, , , , 
Takeru Mukai, 471, 84.71, , , JPN, , , , , , , , Japan, , , , 
Daniel Alkefjaerd, 472, 84.65, Dr.Zipe | , 23, SWE, Regular, , , , , , , Sweden, , , , 
Juho-Joonas Laine, 473, 84.44, , , FIN, , , , , , , , Finland, , , , 
Siarhei Zabela, 474, 84.16, , , BLR, , , , , , , , Belarus, , , , 
Sigurd Vargdal, 475, 84.11, , , NOR, , , , , , , , Norway, , , , 
James Foord-Kelcey, 476, 83.79, , , CAN, , , , , , , , Canada, , , , 
Kieran Hicks, 477, 83.79, Lib Technologies | Von Zipper | , 10, CAN, Goofy, , , , , , , Canada, , , , 
Connor Todd, 478, 83.7, , , CAN, , , , , , , , Canada, , , , 
Jedrzej MacZugowski, 479, 83.38, , , POL, , , , , , , , Poland, , , , 
Vegard Ulseth Sylte, 480, 83.36, , , NOR, , , , , , , , Norway, , , , 
Jordan MacIsaac, 481, 83.23, , , CAN, , , , , , , , Canada, , , , 
Bo Warren, 482, 82.96, Lib Technologies | , 23, USA, , , , , , , , United States, , , , 
Linus Hannibal, 483, 82.56, , , GER, , , , , , , , Germany, , , , 
Brooklyn Depriest, 484, 82.24, Volcom | , 14, USA, Regular, , Rocklin, , , , , United States, , , , 
Yuki Fujiwara, 485, 82.09, , , JPN, , , , , , , , Japan, , , , 
Cesar Barin, 486, 82.06, , , FRA, , , , , , , , France, , , , 
Cesare Girotto, 487, 81.91, , , ITA, , , , , , , , Italy, , , , 
Jacob Nickel, 488, 81.85, , , CAN, , , , , , , , Canada, , , , 
Timo Krall, 489, 81.72, , , AUT, , , , , , , , Austria, , , , 
Kamal Eldood, 490, 81.37, , , CAN, , , , , , , , Canada, , , , 
Mauro Soic, 491, 80.98, , , CRO, , , , , , , , CRO, , , , 
Joao Plur De La Rosa, 492, 80.69, , 10, GER, , , , , , , , Germany, , , , 
Simon Mikalsen Ostby, 493, 80.63, , , NOR, , , , , , , , Norway, , , , 
Maxson Chen, 494, 80.36, , , AUS, , , , , , , , Australia, , , , 
Jules Buraud, 495, 79.85, , , FRA, , , , , , , , France, , , , 
Jan Golinczak, 496, 79.82, , 13, POL, Goofy, , Warsaw, , , , , Poland, , , , 
Mason Hamilton, 497, 79.62, , , CAN, , , , , , , , Canada, , , , 
Wyatt Ernst, 498, 79.51, , , CAN, , , , , , , , Canada, , , , 
Chris Magee, 499, 78.83, , , USA, , , , , , , , United States, , , , 
Maxim Lebedev, 500, 78.8, , , CZE, , , , , , , , Czech Republic, , , , 
Kale Ostapovich, 501, 78.77, , , CAN, , , , , , , , Canada, , , , 
Todor Jovic, 502, 78.4, , , SRB, , , , , , , , Serbia, , , , 
Connor Kelly, 503, 78.39, , , USA, , , , , , , , United States, , , , 
Cam Melville Ives, 504, 78.05, , , NZL, , , , , , , , New Zealand, , , , 
Petter Karoliussen, 505, 77.97, , , NOR, , , , , , , , Norway, , , , 
Ethan Inman, 506, 77.91, , , CAN, , , , , , , , Canada, , , , 
Jonas Kroell, 507, 77.69, , , AUT, , , , , , , , Austria, , , , 
Pedro Pizarro, 508, 77.62, , , CHI, , , , , , , , CHI, , , , 
Toranosuke Yonemura, 509, 77.34, , , JPN, , , , , , , , Japan, , , , 
Derek Lemke, 510, 77.15, , , USA, , , , , , , , United States, , , , 
Markus Vognild Rustad, 511, 77.02, , 24, NOR, Regular, , Oslo, , , , , Norway, , , , 
Paul Pfrommer, 512, 76.95, , , GER, , , , , , , , Germany, , , , 
Chase Argue, 513, 76.93, , , CAN, , , , , , , , Canada, , , , 
Miki Pajer, 514, 76.81, Analog | Anon Optics | Burton Snowboards | , 23, CZE, Goofy, , , , , , , Czech Republic, , , , 
Amar Karahasanovic, 515, 76.5, , , BIH, , , , , , , , Bosnia and Herzegovina, , , , 
Hyobin Kim, 516, 76.38, , , KOR, , , , , , , , Korea, Republic of, , , , 
Indiana Wilson, 517, 76.23, , , CAN, , , , , , , , Canada, , , , 
Carter Kaemingh, 518, 76.08, , , CAN, , , , , , , , Canada, , , , 
Ville Jukola, 519, 75.88, , , FIN, , , , , , , , Finland, , , , 
Niels Billiet, 520, 75.55, , , BEL, , , , , , , , Belgium, , , , 
Samu Ahonen, 521, 75.44, , , FIN, , , , , , , , Finland, , , , 
Teruki Yoshida, 522, 75.41, , , JPN, , , , , , , , Japan, , , , 
Alexander Dale Nyqvist, 523, 75.08, , , NOR, , , , , , , , Norway, , , , 
Jalen Brandsoy, 524, 74.16, , , USA, , , , , , , , United States, , , , 
Lewis Moore, 525, 74.05, , , GBR, , , , , , , , United Kingdom, , , , 
Maximilian Bender, 526, 73.75, , , GER, , , , , , , , Germany, , , , 
Birkir Thor Arason, 527, 73.73, , , ISL, , , , , , , , Iceland, , , , 
Lasse Steffensen, 528, 73.48, , , NOR, , , , , , , , Norway, , , , 
Karlo Deriban, 529, 73.47, , , MKD, , , , , , , , Macedonia, The Former Yugoslav Republic of, , , , 
Harald Gietzler, 530, 73.4, , , AUT, , , , , , , , Austria, , , , 
Daniel Paulicek, 531, 73.26, , 27, CZE, , , , , , , , Czech Republic, , , , 
Edis Ozturk, 532, 72.52, , , BIH, , , , , , , , Bosnia and Herzegovina, , , , 
Tate Schiele, 533, 72.52, , , CAN, , , , , , , , Canada, , , , 
Keita Fukami, 534, 71.93, , , JPN, , , , , , , , Japan, , , , 
Lukas Leuenberger, 535, 71.85, , , SUI, , , , , , , , Switzerland, , , , 
Cobi Campbell, 536, 71.42, , , CAN, , , , , , , , Canada, , , , 
Jet Hughes, 537, 71.4, , , NZL, , , , , , , , New Zealand, , , , 
Nahuel Springinsfeld, 538, 71.18, , , ARG, , , , , , , , Argentina, , , , 
Kwang-Ki Lee, 538, 71.18, , 27, KOR, Goofy, 155cm, Gyeonggi-Do, , , , , Korea, Republic of, , , , 
Jayce Downs, 540, 70.68, , , CAN, , , , , , , , Canada, , , , 
Evan Wrobel, 541, 70.42, , , USA, , , , , , , , United States, , , , 
Zebastian Landmark, 542, 70.03, 32 Snowboard Boots | Lib Technologies | Union Bindings | , 29, SWE, Regular, 189, Leksand, kläppen, , , , Sweden, , , , 
Baptiste Couderc, 543, 69.73, , , FRA, , , , , , , , France, , , , 
Gytis Vebra, 544, 69.66, , , LTU, , , , , , , , Lithuania, , , , 
Haavard Hagen, 545, 69.47, , , NOR, , , , , , , , Norway, , , , 
Ville Ikola, 546, 68.95, , , FIN, , , , , , , , Finland, , , , 
Griffin Levy, 547, 68.93, , , CAN, , , , , , , , Canada, , , , 
Charlie Bergantino, 548, 68.88, , , USA, , , , , , , , United States, , , , 
Joyal Vincent, 549, 68.86, , , CAN, , , , , , , , Canada, , , , 
Thom Vogel, 550, 68.8, , , NED, , , , , , , , NED, , , , 
Wesley Muresan, 551, 68.58, , , USA, , , , , , , , United States, , , , 
Vicente Banados, 552, 68.31, , , CHI, , , , , , , , CHI, , , , 
Keitaro Hiraoka, 553, 67.81, , 21, JPN, Regular, 160cm, Osaka, Whistler, , https://www.facebook.com/profile.php?id=100005018760366&fref=ts, , Japan, , , , 
Kalle Repo, 554, 67.52, , , FIN, , , , , , , , Finland, , , , 
Jeremy Toews, 555, 67.51, , , CAN, , , , , , , , Canada, , , , 
Valetino Guseli, 556, 66.67, Never Summer | Volcom | , 15, AUS, Regular, , Red Hill, , , , , Australia, , , , 
Nico Winkler, 556, 66.67, , 18, AUT, Regular, , Jenbach, Ziller Valley, nicowinkler.com, , , Austria, , , , 
Niclas Bothe, 556, 66.67, , 18, GER, Goofy, , , , , , , Germany, , , , 
Kael Hill, 556, 66.67, DC | Endeavor | Spy | , 30, CAN, Goofy, 5ft.7, Cochrane, , , , , Canada, , , , 
Faris Biogradlic, 556, 66.67, , , BIH, , , , , , , , Bosnia and Herzegovina, , , , 
Jake Adams, 556, 66.67, , , CAN, , , , , , , , Canada, , , , 
Nahuel Tagliaferro, 562, 66.61, , , AND, , , , , , , , Andorra, , , , 
Leo Bietenholz, 563, 66.38, , , SUI, , , , , , , , Switzerland, , , , 
Kolbeinn Thor Finnsson, 564, 66.29, , , ISL, , , , , , , , Iceland, , , , 
Rhys Strobel, 565, 65.67, , , CAN, , , , , , , , Canada, , , , 
Rocco Jamieson, 566, 65.64, , , NZL, , , , , , , , New Zealand, , , , 
Julian Sverresvold, 567, 65.43, , , NOR, , , , , , , , Norway, , , , 
Haruka Konuma, 568, 65.17, , , JPN, , , , , , , , Japan, , , , 
Vladislav Edelman, 569, 65.03, , , SRB, , , , , , , , Serbia, , , , 
Nicolas Schütz, 570, 64.9, , , SUI, , , , , , , , Switzerland, , , , 
Max Rokosh, 571, 64.58, , , CAN, , , , , , , , Canada, , , , 
Yua Kakimoto, 572, 64.31, , , JPN, , , , , , , , Japan, , , , 
Benjamin Yanez, 573, 64.07, , 17, CHI, , , , , , , , CHI, , , , 
Nolan Hoenie, 574, 63.66, , , USA, , , , , , , , United States, , , , 
Ignasio Perez Guerra, 575, 63.57, , , AND, , , , , , , , Andorra, , , , 
Karl Urquhart, 576, 63.07, , , CAN, , , , , , , , Canada, , , , 
Michael Dammert, 577, 63.04, , , GER, , , , , , , , Germany, , , , 
Bojan Skenderovski, 578, 62.63, , , MKD, , , , , , , , Macedonia, The Former Yugoslav Republic of, , , , 
Sam Fawcett, 579, 62.03, , , CAN, , , , , , , , Canada, , , , 
Shoki Yasue, 580, 61.68, , , JPN, , , , , , , , Japan, , , , 
Astvaldur Ari Gudmundsson, 581, 61.59, , , ISL, , , , , , , , Iceland, , , , 
Yoonjae Choi, 582, 61.55, , , KOR, , , , , , , , Korea, Republic of, , , , 
Vinson Chen, 582, 61.55, , , AUS, , , , , , , , Australia, , , , 
Gunnar Bergstrom, 584, 61.18, , , USA, , , , , , , , United States, , , , 
