riderName, position, points, sponsors, age, nationality, stance, height, residence, resort, website, facebook, twitter, nationality_full  
Eira Dahle Stavanes,  241,  68.31, , , NOR, , , , , , , , Norway, , , , 
Eliska Merickova,  242,  68.04, , , CZE, , , , , , , , Czech Republic, , , , 
Ashyln Overland,  243,  67, , , USA, , , , , , , , United States, , , , 
Yura Murase,  244,  66.67, , , JPN, , , , , , , , Japan, , , , 
Zizheng Ren,  245,  66.32, , , CHN, , , , , , , , China, , , , 
Darina Murawskaia,  246,  65.74, , , BLR, , , , , , , , Belarus, , , , 
Nami Watanabe,  247,  64.82, , , JPN, , , , , , , , Japan, , , , 
Maria Kokushkina,  248,  64.43, , , RUS, , , , , , , , Russian Federation, , , , 
Unnur Solveig Hlynsdottir,  249,  63.83, , , ISL, , , , , , , , Iceland, , , , 
Celia Petrig,  250,  63.36,  | , 25, SUI, Goofy, , Trachslau, , , , , Switzerland, , , , 
Sam Van Lieshout,  251,  63.03, , , NED, , , , , , , , NED, , , , 
Jacquelina De Jong,  252,  62.49,  | , 14, NED, Goofy, 152, Innsbruck, Seegrube, , jackydejo, , NED, , , , 
Caroline Amalie Roegenaes,  253,  62.33, , , NOR, , , , , , , , Norway, , , , 
Krystina Moffat,  254,  61.84, , , CAN, , , , , , , , Canada, , , , 
Kureha Ito,  255,  61.38, , , JPN, , , , , , , , Japan, , , , 
Sophia Bruck,  256,  61.14, , , USA, , , , , , , , United States, , , , 
Ava Starblanket,  257,  60.23, , , CAN, , , , , , , , Canada, , , , 
Demi Van Griensven,  258,  60.16, , , NED, , , , , , , , NED, , , , 
Kailey Bogart,  259,  59.94, , , USA, , , , , , , , United States, , , , 
Ronja Oswald,  260,  59.54, , , SUI, , , , , , , , Switzerland, , , , 
Maki Kunitake,  261,  58.94, , , JPN, , , , , , , , Japan, , , , 
Eleni Arvanitidou,  262,  58.77, , , GRE, , , , , , , , GRE, , , , 
Olivie Pouch,  263,  58.39, , , CZE, , , , , , , , Czech Republic, , , , 
Maria Teresa Banados Palma,  264,  58.35, , , CHI, , , , , , , , CHI, , , , 
Avery Spalding,  265,  58.08, , , CAN, , , , , , , , Canada, , , , 
Jenny Gregori,  266,  57.13, Salomon | , 23, ITA, Goofy, , , , , , , Italy, , , , 
Adna Klacar,  266,  57.13, , , BIH, , , , , , , , Bosnia and Herzegovina, , , , 
Kaeleigh Cook,  268,  56.86, , , CAN, , , , , , , , Canada, , , , 
Emma Olejniczak,  269,  56.82, , , FRA, , , , , , , , France, , , , 
Isabella Gerry,  270,  56.78, , , USA, , , , , , , , United States, , , , 
Rion Okado,  271,  55.49, , , JPN, , , , , , , , Japan, , , , 
Lissel Raun,  272,  55.38, , , EST, , , , , , , , Estonia, , , , 
Selenata Sanchez,  273,  55.31, , , ESP, , , , , , , , Spain, , , , 
Lily Jekel,  274,  54.49, , 17, AUS, , , , , , , , Australia, , , , 
Khaila Kuoppala,  275,  54.23, , , FIN, , , , , , , , Finland, , , , 
Karen Saijo,  276,  54.15, , , JPN, , , , , , , , Japan, , , , 
Reetta Puustinen,  277,  53.76, , , FIN, , , , , , , , Finland, , , , 
Kanna Kono,  278,  52.79, , , JPN, , , , , , , , Japan, , , , 
Anna Forno,  279,  52.32, , , ITA, , , , , , , , Italy, , , , 
Tokuko Suzuki,  280,  51.99, , , JPN, , , , , , , , Japan, , , , 
Uma Pecanin,  281,  51.99, , , BIH, , , , , , , , Bosnia and Herzegovina, , , , 
Anastasiya Gorshenina,  282,  51.89, , , RUS, , , , , , , , Russian Federation, , , , 
Julia Meier,  283,  51.37, , , SUI, , , , , , , , Switzerland, , , , 
Camila Springinsfeld,  284,  50.63, , , ARG, , , , , , , , Argentina, , , , 
Lua Marie Klemm,  285,  49.79, , , GER, , , , , , , , Germany, , , , 
Natalie Good,  286,  49.78, , 30, NZL, Regular, , , , , , , New Zealand, , , , 
Ine Marie Misund,  287,  49.67, , , NOR, , , , , , , , Norway, , , , 
Rein Wada,  288,  49.03, , , JPN, , , , , , , , Japan, , , , 
Thomassen Ziggy,  289,  48.75, , , NED, , , , , , , , NED, , , , 
Aliya Hekne Herskedal,  290,  48.59, , , NOR, , , , , , , , Norway, , , , 
Madeleine Meersteiner,  291,  48.4, , , GER, , , , , , , , Germany, , , , 
Anina Heimoz,  292,  47.88, , , SUI, , , , , , , , Switzerland, , , , 
Neda Dobreska,  293,  47.8, , , MKD, , , , , , , , Macedonia, The Former Yugoslav Republic of, , , , 
Joana Fuchs,  294,  47.77, , , GER, , , , , , , , Germany, , , , 
Sophia Karrer,  295,  46.97, , , AUT, , , , , , , , Austria, , , , 
Maria Smirnova,  296,  46.69, , , RUS, , , , , , , , Russian Federation, , , , 
Yulia Proydina,  296,  46.69, , , RUS, , , , , , , , Russian Federation, , , , 
Daniek Griensven,  298,  46.39, , , NED, , , , , , , , NED, , , , 
Mette Kvaale,  299,  45.76, , , NOR, , , , , , , , Norway, , , , 
Yukino Hara,  300,  45.71, , , JPN, , , , , , , , Japan, , , , 
Angelina Milutinovich,  301,  45.48, , , SRB, , , , , , , , Serbia, , , , 
Amanda Cardone,  302,  45.04, , , CHI, , , , , , , , CHI, , , , 
Elena Grangila,  303,  44.73, , , ITA, , , , , , , , Italy, , , , 
Riria Okado,  304,  44.53, , , JPN, , , , , , , , Japan, , , , 
Ella Gorcsosova,  305,  44.52, , , SVK, , , , , , , , Slovakia, , , , 
Jule Schindler,  306,  43.77, , , GER, , , , , , , , Germany, , , , 
Hanna Nakamori,  307,  43.56, , , JPN, , , , , , , , Japan, , , , 
Nadja Nerandzic,  308,  42.83, , , SRB, , , , , , , , Serbia, , , , 
Denisa Noskova,  309,  42.45, , , CZE, , , , , , , , Czech Republic, , , , 
Josefa Arellano,  310,  42.43, , , CHI, , , , , , , , CHI, , , , 
Momoka Mikuni,  311,  42.22, , , JPN, , , , , , , , Japan, , , , 
Penelope Scott,  312,  41.91, , , USA, , , , , , , , United States, , , , 
Anna-Selina Reinalter,  313,  41.76, , , SUI, , , , , , , , Switzerland, , , , 
Beth Wilson,  314,  41.53, , 19, CAN, , , , , , , , Canada, , , , 
Laura Marzinotto,  315,  41.35, , , CAN, , , , , , , , Canada, , , , 
Melina Merkhoffer,  316,  40.84,  | , 26, GER, Regular, , Taunusstein, , , , , Germany, , , , 
Stella Larkiala,  317,  40.4, , , FIN, , , , , , , , Finland, , , , 
Yuuna Tanaka,  318,  40, , , JPN, , , , , , , , Japan, , , , 
Hanna Karrer,  319,  39.39, , , AUT, , , , , , , , Austria, , , , 
Peighton Coffey,  320,  39.32, , , USA, , , , , , , , United States, , , , 
Lura Wick,  321,  39.06, , , SUI, , , , , , , , Switzerland, , , , 
Gabby Olsen,  322,  38.92, , , CAN, , , , , , , , Canada, , , , 
Django Ewoldt,  323,  38.75, , , USA, , , , , , , , United States, , , , 
Helene Hipp,  324,  38.27, , , GER, , , , , , , , Germany, , , , 
Tianina Antyasova,  325,  37.97, , , RUS, , , , , , , , Russian Federation, , , , 
Dariya Belikova,  326,  37.75, , , RUS, , , , , , , , Russian Federation, , , , 
Margie Black,  327,  37.75, , , USA, , , , , , , , United States, , , , 
Zoë Willemsen,  327,  37.75, , , NED, , , , , , , , NED, , , , 
Mya Ghostkeeper,  329,  36.81, , , CAN, , , , , , , , Canada, , , , 
Soha Janett,  330,  36.54, , , SUI, , , , , , , , Switzerland, , , , 
Aixa Naudi,  331,  36.54, , , AND, , , , , , , , Andorra, , , , 
Pia Johnsen,  332,  36.29, , , NOR, , , , , , , , Norway, , , , 
Johanna Bachmann,  333,  35.98, , , GER, , , , , , , , Germany, , , , 
Maelis Charlec,  334,  35.8, , , FRA, , , , , , , , France, , , , 
Varvara Krasneva,  335,  35.56, , 23, CAN, , , , , , , , Canada, , , , 
Charley Solomon,  336,  35.51, , , CAN, , , , , , , , Canada, , , , 
Andjela Djogic,  337,  35.46, , , SRB, , , , , , , , Serbia, , , , 
Anna-Sofia Kokko,  338,  34.83, , , FIN, , , , , , , , Finland, , , , 
Hikaru Ogawa,  339,  34.76, , , JPN, , , , , , , , Japan, , , , 
Nerea Fernandez,  340,  34.52, , , AND, , , , , , , , Andorra, , , , 
Anouk Bietenholz,  341,  34.19, , , SUI, , , , , , , , Switzerland, , , , 
Emilie Johnsen,  342,  34.12, , , NOR, , , , , , , , Norway, , , , 
Chloe Yanow,  343,  33.65, , , CAN, , , , , , , , Canada, , , , 
Maaru Makela,  344,  33.61, , , FIN, , , , , , , , Finland, , , , 
Goda Simanaviciute,  345,  33.33, , , LTU, , , , , , , , Lithuania, , , , 
Rochelle Weinberg,  345,  33.33, , , USA, , , , , , , , United States, , , , 
Samatha Shute,  345,  33.33, , , CAN, , , , , , , , Canada, , , , 
Emma Peetz,  348,  33.13, , , GER, , , , , , , , Germany, , , , 
Zhixin Huang,  349,  32.73, , , CHN, , , , , , , , China, , , , 
MacKenzie Hanson,  350,  32.71, , , CAN, , , , , , , , Canada, , , , 
Sonora Alba,  351,  32.23, , , USA, , , , , , , , United States, , , , 
Tina Schrott,  352,  32.05, , , GER, , , , , , , , Germany, , , , 
Lilja Ros Steinsdottir,  353,  32.03, , , ISL, , , , , , , , Iceland, , , , 
Tosca Corti,  354,  31.97, , , SUI, , , , , , , , Switzerland, , , , 
Emilie Klaussen,  355,  31.95, , , NOR, , , , , , , , Norway, , , , 
Julia Lundberg,  356,  31.73, Burton Snowboards | Smith | , , SWE, Goofy, 169 cm, , , , , , Sweden, , , , 
Dakoda Eising,  357,  31.57, , , CAN, , , , , , , , Canada, , , , 
Karin Hisaoka,  358,  31.47, , , JPN, , , , , , , , Japan, , , , 
Jana Jovanovic,  359,  31.37, , , SRB, , , , , , , , Serbia, , , , 
Vildis Edwinsdottir,  360,  30.78, , , ISL, , , , , , , , Iceland, , , , 
Ingvild Nymoen,  361,  30.48, , , NOR, , , , , , , , Norway, , , , 
Nanami Honda,  362,  30.33, , , JPN, , , , , , , , Japan, , , , 
Saara Handa,  363,  29.93, , , JPN, , , , , , , , Japan, , , , 
Merlin Wyss,  364,  29.86, , , SUI, , , , , , , , Switzerland, , , , 
Gaia Vachet,  365,  29.82, , , ITA, , , , , , , , Italy, , , , 
Lily Dhawornvej,  366,  29.66, , , USA, , , , , , , , United States, , , , 
Lela Rix,  367,  29.52, , , USA, , , , , , , , United States, , , , 
Elizaveta Irhina,  368,  29.15, , , RUS, , , , , , , , Russian Federation, , , , 
Elisa Kroell,  369,  28.89, , , AUT, , , , , , , , Austria, , , , 
Eevastiina Hyry,  370,  28.79, , , FIN, , , , , , , , Finland, , , , 
Leila Viererbe,  371,  28.3, , , GER, , , , , , , , Germany, , , , 
Patricija Ivanovaite,  372,  28.14, , , LTU, , , , , , , , Lithuania, , , , 
Andi Osmond,  372,  28.14, , , CAN, , , , , , , , Canada, , , , 
Kaede Tanaka,  374,  28.07, , , JPN, , , , , , , , Japan, , , , 
Anna Lena Dürr,  375,  27.85, , , SUI, , , , , , , , Switzerland, , , , 
Kinsley White,  376,  27.62, , , USA, , , , , , , , United States, , , , 
Camille Poulat,  377,  26.88, , , FRA, , , , , , , , France, , , , 
Sol Snorradottir,  378,  26.86, , , ISL, , , , , , , , Iceland, , , , 
Rosalie Bauer,  379,  26.67, , , GER, , , , , , , , Germany, , , , 
Clara Moreau,  380,  26.53, , , FRA, , , , , , , , France, , , , 
Elle Valkenborgh,  381,  26.43, , , BEL, , , , , , , , Belgium, , , , 
Page Gordon,  382,  25.99, , , CAN, , , , , , , , Canada, , , , 
Lisa Demke,  383,  25.93, , , SUI, , , , , , , , Switzerland, , , , 
Hiroka Kitano,  384,  25.43, , , JPN, , , , , , , , Japan, , , , 
Tanja Wolf,  385,  25.09, , , AUT, , , , , , , , Austria, , , , 
Iina Saarela,  386,  24.65, , , FIN, , , , , , , , Finland, , , , 
Mak Yen-Linn,  387,  24.47, , , AUT, , , , , , , , Austria, , , , 
Risa Nakasima,  388,  24.38, Deeluxe | Union Bindings | , 2, JPN, Regular, 165, Ko-To-Ku, Breckenridge, ameblo.jp/rissa-men/, https://www.facebook.com/risa.nakashima.73, , Japan, , , , 
Eva Firnesz,  389,  24.08, , , CAN, , , , , , , , Canada, , , , 
Lynne Graf,  390,  24.07, , , SUI, , , , , , , , Switzerland, , , , 
Caitlyn Langer,  391,  24.01, , , USA, , , , , , , , United States, , , , 
Zoe MacGeorge,  392,  23.96, , , SUI, , , , , , , , Switzerland, , , , 
Nora Synnove Topp Oye,  393,  23.93, , , NOR, , , , , , , , Norway, , , , 
Neda Milenkovic,  394,  23.73, , , SRB, , , , , , , , Serbia, , , , 
Gabriella Holden,  395,  23.6, , , USA, , , , , , , , United States, , , , 
Ashley Bogart,  396,  23.43, , , USA, , , , , , , , United States, , , , 
Amy McCarthy,  397,  23.34, , , CAN, , , , , , , , Canada, , , , 
Tina Kalinovska,  397,  23.34, , , LAT, , , , , , , , LAT, , , , 
Stella Picchedda,  399,  22.88, , , FRA, , , , , , , , France, , , , 
Mila Nyvelt,  400,  22.58, , , AUT, , , , , , , , Austria, , , , 
Sonora Alba,  351,  32.23, , , USA, , , , , , , , United States, , , , 
Tina Schrott,  352,  32.05, , , GER, , , , , , , , Germany, , , , 
Lilja Ros Steinsdottir,  353,  32.03, , , ISL, , , , , , , , Iceland, , , , 
Tosca Corti,  354,  31.97, , , SUI, , , , , , , , Switzerland, , , , 
Emilie Klaussen,  355,  31.95, , , NOR, , , , , , , , Norway, , , , 
Julia Lundberg,  356,  31.73, Burton Snowboards | Smith | , , SWE, Goofy, 169 cm, , , , , , Sweden, , , , 
Dakoda Eising,  357,  31.57, , , CAN, , , , , , , , Canada, , , , 
Karin Hisaoka,  358,  31.47, , , JPN, , , , , , , , Japan, , , , 
Jana Jovanovic,  359,  31.37, , , SRB, , , , , , , , Serbia, , , , 
Vildis Edwinsdottir,  360,  30.78, , , ISL, , , , , , , , Iceland, , , , 
Ingvild Nymoen,  361,  30.48, , , NOR, , , , , , , , Norway, , , , 
Nanami Honda,  362,  30.33, , , JPN, , , , , , , , Japan, , , , 
Saara Handa,  363,  29.93, , , JPN, , , , , , , , Japan, , , , 
Merlin Wyss,  364,  29.86, , , SUI, , , , , , , , Switzerland, , , , 
Gaia Vachet,  365,  29.82, , , ITA, , , , , , , , Italy, , , , 
Lily Dhawornvej,  366,  29.66, , , USA, , , , , , , , United States, , , , 
Lela Rix,  367,  29.52, , , USA, , , , , , , , United States, , , , 
Elizaveta Irhina,  368,  29.15, , , RUS, , , , , , , , Russian Federation, , , , 
Elisa Kroell,  369,  28.89, , , AUT, , , , , , , , Austria, , , , 
Eevastiina Hyry,  370,  28.79, , , FIN, , , , , , , , Finland, , , , 
Leila Viererbe,  371,  28.3, , , GER, , , , , , , , Germany, , , , 
Patricija Ivanovaite,  372,  28.14, , , LTU, , , , , , , , Lithuania, , , , 
Andi Osmond,  372,  28.14, , , CAN, , , , , , , , Canada, , , , 
Kaede Tanaka,  374,  28.07, , , JPN, , , , , , , , Japan, , , , 
Anna Lena Dürr,  375,  27.85, , , SUI, , , , , , , , Switzerland, , , , 
Kinsley White,  376,  27.62, , , USA, , , , , , , , United States, , , , 
Camille Poulat,  377,  26.88, , , FRA, , , , , , , , France, , , , 
Sol Snorradottir,  378,  26.86, , , ISL, , , , , , , , Iceland, , , , 
Rosalie Bauer,  379,  26.67, , , GER, , , , , , , , Germany, , , , 
Clara Moreau,  380,  26.53, , , FRA, , , , , , , , France, , , , 
Elle Valkenborgh,  381,  26.43, , , BEL, , , , , , , , Belgium, , , , 
Page Gordon,  382,  25.99, , , CAN, , , , , , , , Canada, , , , 
Lisa Demke,  383,  25.93, , , SUI, , , , , , , , Switzerland, , , , 
Hiroka Kitano,  384,  25.43, , , JPN, , , , , , , , Japan, , , , 
Tanja Wolf,  385,  25.09, , , AUT, , , , , , , , Austria, , , , 
Iina Saarela,  386,  24.65, , , FIN, , , , , , , , Finland, , , , 
Mak Yen-Linn,  387,  24.47, , , AUT, , , , , , , , Austria, , , , 
Risa Nakasima,  388,  24.38, Deeluxe | Union Bindings | , 2, JPN, Regular, 165, Ko-To-Ku, Breckenridge, ameblo.jp/rissa-men/, https://www.facebook.com/risa.nakashima.73, , Japan, , , , 
Eva Firnesz,  389,  24.08, , , CAN, , , , , , , , Canada, , , , 
Lynne Graf,  390,  24.07, , , SUI, , , , , , , , Switzerland, , , , 
Caitlyn Langer,  391,  24.01, , , USA, , , , , , , , United States, , , , 
Zoe MacGeorge,  392,  23.96, , , SUI, , , , , , , , Switzerland, , , , 
Nora Synnove Topp Oye,  393,  23.93, , , NOR, , , , , , , , Norway, , , , 
Neda Milenkovic,  394,  23.73, , , SRB, , , , , , , , Serbia, , , , 
Gabriella Holden,  395,  23.6, , , USA, , , , , , , , United States, , , , 
Ashley Bogart,  396,  23.43, , , USA, , , , , , , , United States, , , , 
Amy McCarthy,  397,  23.34, , , CAN, , , , , , , , Canada, , , , 
Tina Kalinovska,  397,  23.34, , , LAT, , , , , , , , LAT, , , , 
Stella Picchedda,  399,  22.88, , , FRA, , , , , , , , France, , , , 
Mila Nyvelt,  400,  22.58, , , AUT, , , , , , , , Austria, , , , 
Sonora Alba,  351,  32.23, , , USA, , , , , , , , United States, , , , 
Tina Schrott,  352,  32.05, , , GER, , , , , , , , Germany, , , , 
Lilja Ros Steinsdottir,  353,  32.03, , , ISL, , , , , , , , Iceland, , , , 
Tosca Corti,  354,  31.97, , , SUI, , , , , , , , Switzerland, , , , 
Emilie Klaussen,  355,  31.95, , , NOR, , , , , , , , Norway, , , , 
Julia Lundberg,  356,  31.73, Burton Snowboards | Smith | , , SWE, Goofy, 169 cm, , , , , , Sweden, , , , 
Dakoda Eising,  357,  31.57, , , CAN, , , , , , , , Canada, , , , 
Karin Hisaoka,  358,  31.47, , , JPN, , , , , , , , Japan, , , , 
Jana Jovanovic,  359,  31.37, , , SRB, , , , , , , , Serbia, , , , 
Vildis Edwinsdottir,  360,  30.78, , , ISL, , , , , , , , Iceland, , , , 
Ingvild Nymoen,  361,  30.48, , , NOR, , , , , , , , Norway, , , , 
Nanami Honda,  362,  30.33, , , JPN, , , , , , , , Japan, , , , 
Saara Handa,  363,  29.93, , , JPN, , , , , , , , Japan, , , , 
Merlin Wyss,  364,  29.86, , , SUI, , , , , , , , Switzerland, , , , 
Gaia Vachet,  365,  29.82, , , ITA, , , , , , , , Italy, , , , 
Lily Dhawornvej,  366,  29.66, , , USA, , , , , , , , United States, , , , 
Lela Rix,  367,  29.52, , , USA, , , , , , , , United States, , , , 
Elizaveta Irhina,  368,  29.15, , , RUS, , , , , , , , Russian Federation, , , , 
Elisa Kroell,  369,  28.89, , , AUT, , , , , , , , Austria, , , , 
Eevastiina Hyry,  370,  28.79, , , FIN, , , , , , , , Finland, , , , 
Leila Viererbe,  371,  28.3, , , GER, , , , , , , , Germany, , , , 
Patricija Ivanovaite,  372,  28.14, , , LTU, , , , , , , , Lithuania, , , , 
Andi Osmond,  372,  28.14, , , CAN, , , , , , , , Canada, , , , 
Kaede Tanaka,  374,  28.07, , , JPN, , , , , , , , Japan, , , , 
Anna Lena Dürr,  375,  27.85, , , SUI, , , , , , , , Switzerland, , , , 
Kinsley White,  376,  27.62, , , USA, , , , , , , , United States, , , , 
Camille Poulat,  377,  26.88, , , FRA, , , , , , , , France, , , , 
Sol Snorradottir,  378,  26.86, , , ISL, , , , , , , , Iceland, , , , 
Rosalie Bauer,  379,  26.67, , , GER, , , , , , , , Germany, , , , 
Clara Moreau,  380,  26.53, , , FRA, , , , , , , , France, , , , 
Elle Valkenborgh,  381,  26.43, , , BEL, , , , , , , , Belgium, , , , 
Page Gordon,  382,  25.99, , , CAN, , , , , , , , Canada, , , , 
Lisa Demke,  383,  25.93, , , SUI, , , , , , , , Switzerland, , , , 
Hiroka Kitano,  384,  25.43, , , JPN, , , , , , , , Japan, , , , 
Tanja Wolf,  385,  25.09, , , AUT, , , , , , , , Austria, , , , 
Iina Saarela,  386,  24.65, , , FIN, , , , , , , , Finland, , , , 
Mak Yen-Linn,  387,  24.47, , , AUT, , , , , , , , Austria, , , , 
Risa Nakasima,  388,  24.38, Deeluxe | Union Bindings | , 2, JPN, Regular, 165, Ko-To-Ku, Breckenridge, ameblo.jp/rissa-men/, https://www.facebook.com/risa.nakashima.73, , Japan, , , , 
Eva Firnesz,  389,  24.08, , , CAN, , , , , , , , Canada, , , , 
Lynne Graf,  390,  24.07, , , SUI, , , , , , , , Switzerland, , , , 
Caitlyn Langer,  391,  24.01, , , USA, , , , , , , , United States, , , , 
Zoe MacGeorge,  392,  23.96, , , SUI, , , , , , , , Switzerland, , , , 
Nora Synnove Topp Oye,  393,  23.93, , , NOR, , , , , , , , Norway, , , , 
Neda Milenkovic,  394,  23.73, , , SRB, , , , , , , , Serbia, , , , 
Gabriella Holden,  395,  23.6, , , USA, , , , , , , , United States, , , , 
Ashley Bogart,  396,  23.43, , , USA, , , , , , , , United States, , , , 
Amy McCarthy,  397,  23.34, , , CAN, , , , , , , , Canada, , , , 
Tina Kalinovska,  397,  23.34, , , LAT, , , , , , , , LAT, , , , 
Stella Picchedda,  399,  22.88, , , FRA, , , , , , , , France, , , , 
Mila Nyvelt,  400,  22.58, , , AUT, , , , , , , , Austria, , , , 
Sonora Alba,  351,  32.23, , , USA, , , , , , , , United States, , , , 
Tina Schrott,  352,  32.05, , , GER, , , , , , , , Germany, , , , 
Lilja Ros Steinsdottir,  353,  32.03, , , ISL, , , , , , , , Iceland, , , , 
Tosca Corti,  354,  31.97, , , SUI, , , , , , , , Switzerland, , , , 
Emilie Klaussen,  355,  31.95, , , NOR, , , , , , , , Norway, , , , 
Julia Lundberg,  356,  31.73, Burton Snowboards | Smith | , , SWE, Goofy, 169 cm, , , , , , Sweden, , , , 
Dakoda Eising,  357,  31.57, , , CAN, , , , , , , , Canada, , , , 
Karin Hisaoka,  358,  31.47, , , JPN, , , , , , , , Japan, , , , 
Jana Jovanovic,  359,  31.37, , , SRB, , , , , , , , Serbia, , , , 
Vildis Edwinsdottir,  360,  30.78, , , ISL, , , , , , , , Iceland, , , , 
Ingvild Nymoen,  361,  30.48, , , NOR, , , , , , , , Norway, , , , 
Nanami Honda,  362,  30.33, , , JPN, , , , , , , , Japan, , , , 
Saara Handa,  363,  29.93, , , JPN, , , , , , , , Japan, , , , 
Merlin Wyss,  364,  29.86, , , SUI, , , , , , , , Switzerland, , , , 
Gaia Vachet,  365,  29.82, , , ITA, , , , , , , , Italy, , , , 
Lily Dhawornvej,  366,  29.66, , , USA, , , , , , , , United States, , , , 
Lela Rix,  367,  29.52, , , USA, , , , , , , , United States, , , , 
Elizaveta Irhina,  368,  29.15, , , RUS, , , , , , , , Russian Federation, , , , 
Elisa Kroell,  369,  28.89, , , AUT, , , , , , , , Austria, , , , 
Eevastiina Hyry,  370,  28.79, , , FIN, , , , , , , , Finland, , , , 
Leila Viererbe,  371,  28.3, , , GER, , , , , , , , Germany, , , , 
Patricija Ivanovaite,  372,  28.14, , , LTU, , , , , , , , Lithuania, , , , 
Andi Osmond,  372,  28.14, , , CAN, , , , , , , , Canada, , , , 
Kaede Tanaka,  374,  28.07, , , JPN, , , , , , , , Japan, , , , 
Anna Lena Dürr,  375,  27.85, , , SUI, , , , , , , , Switzerland, , , , 
Kinsley White,  376,  27.62, , , USA, , , , , , , , United States, , , , 
Camille Poulat,  377,  26.88, , , FRA, , , , , , , , France, , , , 
Sol Snorradottir,  378,  26.86, , , ISL, , , , , , , , Iceland, , , , 
Rosalie Bauer,  379,  26.67, , , GER, , , , , , , , Germany, , , , 
Clara Moreau,  380,  26.53, , , FRA, , , , , , , , France, , , , 
Elle Valkenborgh,  381,  26.43, , , BEL, , , , , , , , Belgium, , , , 
Page Gordon,  382,  25.99, , , CAN, , , , , , , , Canada, , , , 
Lisa Demke,  383,  25.93, , , SUI, , , , , , , , Switzerland, , , , 
Hiroka Kitano,  384,  25.43, , , JPN, , , , , , , , Japan, , , , 
Tanja Wolf,  385,  25.09, , , AUT, , , , , , , , Austria, , , , 
Iina Saarela,  386,  24.65, , , FIN, , , , , , , , Finland, , , , 
Mak Yen-Linn,  387,  24.47, , , AUT, , , , , , , , Austria, , , , 
Risa Nakasima,  388,  24.38, Deeluxe | Union Bindings | , 2, JPN, Regular, 165, Ko-To-Ku, Breckenridge, ameblo.jp/rissa-men/, https://www.facebook.com/risa.nakashima.73, , Japan, , , , 
Eva Firnesz,  389,  24.08, , , CAN, , , , , , , , Canada, , , , 
Lynne Graf,  390,  24.07, , , SUI, , , , , , , , Switzerland, , , , 
Caitlyn Langer,  391,  24.01, , , USA, , , , , , , , United States, , , , 
Zoe MacGeorge,  392,  23.96, , , SUI, , , , , , , , Switzerland, , , , 
Nora Synnove Topp Oye,  393,  23.93, , , NOR, , , , , , , , Norway, , , , 
Neda Milenkovic,  394,  23.73, , , SRB, , , , , , , , Serbia, , , , 
Gabriella Holden,  395,  23.6, , , USA, , , , , , , , United States, , , , 
Ashley Bogart,  396,  23.43, , , USA, , , , , , , , United States, , , , 
Amy McCarthy,  397,  23.34, , , CAN, , , , , , , , Canada, , , , 
Tina Kalinovska,  397,  23.34, , , LAT, , , , , , , , LAT, , , , 
Stella Picchedda,  399,  22.88, , , FRA, , , , , , , , France, , , , 
Mila Nyvelt,  400,  22.58, , , AUT, , , , , , , , Austria, , , , 
Sonora Alba,  351,  32.23, , , USA, , , , , , , , United States, , , , 
Tina Schrott,  352,  32.05, , , GER, , , , , , , , Germany, , , , 
Lilja Ros Steinsdottir,  353,  32.03, , , ISL, , , , , , , , Iceland, , , , 
Tosca Corti,  354,  31.97, , , SUI, , , , , , , , Switzerland, , , , 
Emilie Klaussen,  355,  31.95, , , NOR, , , , , , , , Norway, , , , 
Julia Lundberg,  356,  31.73, Burton Snowboards | Smith | , , SWE, Goofy, 169 cm, , , , , , Sweden, , , , 
Dakoda Eising,  357,  31.57, , , CAN, , , , , , , , Canada, , , , 
Karin Hisaoka,  358,  31.47, , , JPN, , , , , , , , Japan, , , , 
Jana Jovanovic,  359,  31.37, , , SRB, , , , , , , , Serbia, , , , 
Vildis Edwinsdottir,  360,  30.78, , , ISL, , , , , , , , Iceland, , , , 
Ingvild Nymoen,  361,  30.48, , , NOR, , , , , , , , Norway, , , , 
Nanami Honda,  362,  30.33, , , JPN, , , , , , , , Japan, , , , 
Saara Handa,  363,  29.93, , , JPN, , , , , , , , Japan, , , , 
Merlin Wyss,  364,  29.86, , , SUI, , , , , , , , Switzerland, , , , 
Gaia Vachet,  365,  29.82, , , ITA, , , , , , , , Italy, , , , 
Lily Dhawornvej,  366,  29.66, , , USA, , , , , , , , United States, , , , 
Lela Rix,  367,  29.52, , , USA, , , , , , , , United States, , , , 
Elizaveta Irhina,  368,  29.15, , , RUS, , , , , , , , Russian Federation, , , , 
Elisa Kroell,  369,  28.89, , , AUT, , , , , , , , Austria, , , , 
Eevastiina Hyry,  370,  28.79, , , FIN, , , , , , , , Finland, , , , 
Leila Viererbe,  371,  28.3, , , GER, , , , , , , , Germany, , , , 
Patricija Ivanovaite,  372,  28.14, , , LTU, , , , , , , , Lithuania, , , , 
Andi Osmond,  372,  28.14, , , CAN, , , , , , , , Canada, , , , 
Kaede Tanaka,  374,  28.07, , , JPN, , , , , , , , Japan, , , , 
Anna Lena Dürr,  375,  27.85, , , SUI, , , , , , , , Switzerland, , , , 
Kinsley White,  376,  27.62, , , USA, , , , , , , , United States, , , , 
Camille Poulat,  377,  26.88, , , FRA, , , , , , , , France, , , , 
Sol Snorradottir,  378,  26.86, , , ISL, , , , , , , , Iceland, , , , 
Rosalie Bauer,  379,  26.67, , , GER, , , , , , , , Germany, , , , 
Clara Moreau,  380,  26.53, , , FRA, , , , , , , , France, , , , 
