lastName, firstName, position, points, sponsors, age, nationality, nationality_full, stance, height, residence, resort, website, facebook, twitter, rider_concat_id, 
van Hoeij,  Dylan, 220, 173.75,  | , 16, BEL, belgium, Regular, , Lommel, , , , , dylanvan hoeijbel, 
CHIARADIO DE LA IGLESIA,  Federico, 221, 173.69, , , ARG, argentina, , , , , , , , federicochiaradio de la iglesiaarg, 
Kristjansson,  Egill Gunnar, 222, 171.23, , , ISL, iceland, , , , , , , , egill gunnarkristjanssonisl, 
Lee,  Dongheon, 223, 171.09, , , KOR, korea, , , , , , , , dongheonleekor, 
Knop,  Kamil, 224, 170.34, , , POL, poland, , , , , , , , kamilknoppol, 
Landmark,  Jesper, 225, 170.29, Dragon | Gnu | Union Bindings |  | , 21, SWE, sweden, Regular, 178 cm, Leksand, Kläppen Ski Resort, www.vimeo.com/user14726408, Jeppe Landmark, , jesperlandmarkswe, 
Fenning,  Lenny, 226, 170.2, , , GBR, united kingdom, , , , , , , , lennyfenninggbr, 
Durand,  Alois, 227, 170.16, , 16, GER, germany, , , , , , , , aloisdurandger, 
Ethier,  Laurent, 228, 169.72, , 41, CAN, canada, , , , , , , , laurentethiercan, 
Widnig,  Felix, 229, 169.14, Bataleon | , 29, AUT, austria, Regular, 180, Zlan, Dobratsch, www.instagram.com/flex_snow/, www.facebook.com/flexsnowbo/, , felixwidnigaut, 
Tessand,  Jakob, 230, 168.8, , , NOR, norway, , , , , , , , jakobtessandnor, 
Brune Olsen,  Anders Johannes, 231, 168.48, , , NOR, norway, , , , , , , , anders johannesbrune olsennor, 
Murphy,  Keyser, 232, 168.22, , , USA, united states, , , , , , , , keysermurphyusa, 
Morii,  Miruki, 233, 167.99, , , JPN, japan, , , , , , , , mirukimoriijpn, 
Hrstka,  Ladislav, 234, 167.91, , 19, CZE, czech republic, , , , , , , , ladislavhrstkacze, 
Saijo,  Kazuki, 235, 167.11, , , JPN, japan, , , , , , , , kazukisaijojpn, 
Lovelock,  Zephyr, 236, 166.83, , , NZL, new zealand, , , , , , , , zephyrlovelocknzl, 
Fantuz,  Dawson, 237, 166.47, , 17, CAN, canada, , , , , , , , dawsonfantuzcan, 
Kaku,  Yusei, 238, 166.28, , , JPN, japan, , , , , , , , yuseikakujpn, 
Lauffer,  Logan, 239, 166.22, , 18, USA, united states, Goofy, , Rifle, , , , , loganlaufferusa, 
Tsuji,  Haruhi, 240, 162.53, , , JPN, japan, , , , , , , , haruhitsujijpn, 
Anishchanka,  Pavel, 241, 161.47, , , BLR, belarus, , , , , , , , pavelanishchankablr, 
Rice,  Brian, 242, 160.66, , , USA, united states, , , , , , , , brianriceusa, 
Tokarczyk,  Piotr, 243, 159.78, , 29, POL, poland, Regular, 161, Nowy Targ, tatry, snownt.pl.tl, , , piotrtokarczykpol, 
Keuling,  Brendan, 244, 159.6, , 18, CAN, canada, , , , , , , , brendankeulingcan, 
Klundt,  Carson, 245, 159.38, , , USA, united states, , , , , , , , carsonklundtusa, 
Negishi,  Ukyo, 246, 159.37, , , JPN, japan, , , , , , , , ukyonegishijpn, 
Finnemore,  Samuel, 247, 158.11, , , NZL, new zealand, , , , , , , , samuelfinnemorenzl, 
Ershov,  Petr, 248, 157.04, , , RUS, russian federation, , , , , , , , petrershovrus, 
Hauschildt,  Kian Christopher, 249, 156.68, , , BRA, brazil, , , , , , , , kian christopherhauschildtbra, 
Kauranen,  Mitja, 250, 156.47, , , FIN, finland, , , , , , , , mitjakauranenfin, 
Little,  Alec, 251, 156.21, , , USA, united states, , , , , , , , aleclittleusa, 
Nunez,  Jascha, 252, 156.05, , , AUT, austria, , , , , , , , jaschanunezaut, 
Reeves,  Joshua, 253, 155.24, , , CAN, canada, , , , , , , , joshuareevescan, 
Bouchard,  Eli, 254, 154.64, , 12, CAN, canada, , , , , , , , elibouchardcan, 
Scherrer,  Ian, 255, 154.58, , 19, CAN, canada, , , , , , , , ianscherrercan, 
Rodriguez,  Lukas, 256, 154.5, , , ESP, spain, , , , , , , , lukasrodriguezesp, 
Aalto,  Roni, 257, 153.58, , , FIN, finland, , , , , , , , roniaaltofin, 
Klein,  Oskar, 258, 153.22, , 19, CAN, canada, , , , , , , , oskarkleincan, 
Canniccioni,  Julien, 259, 153.19, , 17, CAN, canada, , , , , , , , juliencanniccionican, 
Cantelon,  Jonah, 260, 152.94, , 17, CAN, canada, , , , , , , , jonahcanteloncan, 
Bucher,  Jeremy, 261, 152.87, , , SUI, switzerland, , , , , , , , jeremybuchersui, 
Abe,  Jinichiro, 262, 152.8, , , JPN, japan, , , , , , , , jinichiroabejpn, 
Matteoli,  Ian, 263, 152.61, , , ITA, italy, , , , , , , , ianmatteoliita, 
Cornillat,  Lucas, 264, 152.08, , , FRA, france, , , , , , , , lucascornillatfra, 
Schipani,  Dante, 265, 151.23, , , USA, united states, , , , , , , , danteschipaniusa, 
Obata,  Kaishi, 266, 150.89, , , JPN, japan, , , , , , , , kaishiobatajpn, 
Kimura,  Kira, 267, 150.79, , , JPN, japan, , , , , , , , kirakimurajpn, 
Holtzapfel,  Casper, 268, 150.44, , , NED, ned, , , , , , , , casperholtzapfelned, 
Lunn,  Tobias, 269, 150.15, , , NOR, norway, , , , , , , , tobiaslunnnor, 
Amsuess,  Moritz, 270, 148.97, OutOf Goggles | Rip Curl | Santa Cruz | Santo Loco Shop | , 22, AUT, austria, Goofy, , , , , , , moritzamsuessaut, 
Rygh,  Vetle, 271, 148.91, , , NOR, norway, , , , , , , , vetleryghnor, 
Ganserer,  Jakob, 272, 148.17, , , GER, germany, , , , , , , , jakobgansererger, 
Bastiaansen,  Erik, 273, 147.82, Ride Snowboards | Smith | , 22, NED, ned, Regular, , Terneuzen, , , , , erikbastiaansenned, 
Owczarek,  Krzysztof, 274, 147.06, , , POL, poland, , , , , , , , krzysztofowczarekpol, 
Behensky,  Lukas, 275, 146.78, , , AUT, austria, , , , , , , , lukasbehenskyaut, 
Lamoureux,  Mathis, 276, 146.71, , , CAN, canada, , , , , , , , mathislamoureuxcan, 
Burns,  Owen, 277, 146.1, , 17, CAN, canada, , , , , , , , owenburnscan, 
Bidegain,  Pedro, 278, 145.27, , , ARG, argentina, , , , , , , , pedrobidegainarg, 
Poulin,  Patrice, 279, 145.25, , 20, CAN, canada, , , , , , , , patricepoulincan, 
Foy,  Rakim, 280, 144.94, , 18, NED, ned, , , , , , , , rakimfoyned, 
Pauli,  Stan, 281, 144.81, K2 Snowboarding | , 18, NED, ned, Goofy, , , , , , , stanpaulined, 
Sandblom,  Shayne, 282, 144.5, , , USA, united states, , , , , , , , shaynesandblomusa, 
Waite,  Harrison, 283, 144.37, , , GBR, united kingdom, , , , , , , , harrisonwaitegbr, 
Berger,  Liam, 284, 143.13, , 15, CAN, canada, , , , , , , , liambergercan, 
Merimee Mantovani,  Luca, 285, 143.11, , , FRA, france, , , , , , , , lucamerimee mantovanifra, 
Shirakawa,  Mafuyu, 286, 143.09, , , JPN, japan, , , , , , , , mafuyushirakawajpn, 
Wijnstra,  Thom, 287, 142.86, , , NED, ned, , , , , , , , thomwijnstraned, 
Abozovik,  Nikita, 288, 142.81, , , RUS, russian federation, , , , , , , , nikitaabozovikrus, 
Eibl,  Maxwell, 289, 142.6, , 16, CAN, canada, , , , , , , , maxwelleiblcan, 
Hoffman,  Chris, 290, 141.25, , , RUS, united states, , , , , , , , chrishoffmanusa, 
Jaromin,  Jan, 291, 140.69, , 18, POL, poland, , , Myslowice, , , , , janjarominpol, 
Colebrook,  Aidan, 292, 140.63, , , CAN, canada, , , , , , , , aidancolebrookcan, 
Cavanagh,  Connor, 293, 140.28, , , USA, united states, , , , , , , , connorcavanaghusa, 
Holzinger,  Dominik, 294, 137.98, , , AUT, austria, , , , , , , , dominikholzingeraut, 
Allemand,  Romain, 295, 137.35, , , FRA, france, , , , , , , , romainallemandfra, 
Zawalykut,  Riley, 296, 136.84, , , CAN, canada, , , , , , , , rileyzawalykutcan, 
Almqvist,  William, 297, 136.68, , , SWE, sweden, , , , , , , , williamalmqvistswe, 
Tarakanov,  Igor, 298, 136.39, , , , russian federation, , , , , , , , igortarakanovrus, 
Bosch,  Anthon, 299, 135.28, Burton Snowboards | , 24, RSA, rsa, Regular, 180cm, Transtrand, Kläppen| Sälen, anthonbosch.com, https://www.facebook.com/anthon.bosch, , anthonboschrsa, 
Leleu,  Martin, 300, 135.25, , , FRA, france, , , , , , , , martinleleufra, 
Mork Danielsen,  Jonas, 301, 134.68, , , NOR, norway, , , , , , , , jonasmork danielsennor, 
Prentice,  Raymond, 302, 134.68, , , GBR, united kingdom, , , , , , , , raymondprenticegbr, 
Dibben,  Jace, 303, 134.47, , 19, CAN, canada, , , , , , , , jacedibbencan, 
Kuhar,  Ozbe, 304, 134.18, , , SLO, slo, , , , , , , , ozbekuharslo, 
Toledo,  Antoni, 305, 133.54, , , ESP, spain, , , , , , , , antonitoledoesp, 
Mortenson,  Jared, 306, 133.52, , , USA, united states, , , , , , , , jaredmortensonusa, 
Grassis,  Marcello, 307, 132.61, , , ITA, italy, , , , , , , , marcellograssisita, 
Ju,  Sikyung, 308, 132.37, , , KOR, korea, , , , , , , , sikyungjukor, 
Goebel,  Ethen, 309, 132.36, , , USA, united states, , , , , , , , ethengoebelusa, 
Valjus,  Antti, 310, 131.57, , , FIN, finland, , , , , , , , anttivaljusfin, 
Frischhut,  Paul, 311, 131.43, , , AUT, austria, , , , , , , , paulfrischhutaut, 
Fasola,  Manuel, 312, 131.06, , , ARG, argentina, , , , , , , , manuelfasolaarg, 
Kronlund,  Stian, 313, 130.72, , 18, NOR, norway, Regular, , , , , , , stiankronlundnor, 
Svendsen Tessan,  Jakob, 314, 130.64, , , NOR, norway, , , , , , , , jakobsvendsen tessannor, 
Sukke,  Niklas, 315, 129.99, , , NOR, norway, , , , , , , , niklassukkenor, 
Coyne,  Jack, 316, 129.79, Anon Optics | Burton Snowboards | , 18, USA, united states, Regular, , Edwards, , , , , jackcoyneusa, 
Deutinger,  Maximilian, 317, 129.44, , , AUT, austria, , , , , , , , maximiliandeutingeraut, 
Fornes,  Anders, 318, 129.03, , , NOR, norway, , , , , , , , andersfornesnor, 
Ayoubi,  Hudson, 319, 128.81, , , AUS, australia, , , , , , , , hudsonayoubiaus, 
Wikohika,  Tui, 320, 128.74, , , NZL, new zealand, , , , , , , , tuiwikohikanzl, 
Kawashita,  Jumpei, 321, 128.4, , , JPN, japan, , , , , , , , jumpeikawashitajpn, 
Mouton,  Boris, 322, 128.29, Monster Energy | Vans | , 23, SUI, switzerland, Goofy, 5ft.8in., Bex, Thyon central Camps, , www.facebook.com/boris.mouton, www.twitter.com/borismouton, borismoutonsui, 
Kim,  Gyeonguk, 323, 127.37, Capita | FLUX BINDINGS | 686 | , 19, KOR, korea, Regular, , Changwon, , , , , gyeongukkimkor, 
Kolarevic,  Janko, 324, 127.17, , 23, SRB, serbia, , , , , , , , jankokolarevicsrb, 
D'Astous,  Charles-Eric, 325, 127.07, , 16, CAN, canada, , , , , , , , charles-ericd'astouscan, 
George,  Quentin, 326, 126.81, , 18, CAN, canada, , , , , , , , quentingeorgecan, 
Martin,  Kade, 327, 126.71, , , USA, united states, , , , , , , , kademartinusa, 
Burns,  Henry, 328, 126.17, , 17, CAN, canada, , , , , , , , henryburnscan, 
Reicher,  Felix, 329, 126.0, , , AUT, austria, , , , , , , , felixreicheraut, 
Huuhtanen,  Juhani, 330, 125.85, , , FIN, finland, , , , , , , , juhanihuuhtanenfin, 
Hovde Pettersen,  Adrian, 331, 125.54, , , NOR, norway, , , , , , , , adrianhovde pettersennor, 
Gyosharkov,  Petar, 332, 125.51, , 24, BUL, bul, Regular, , Samokov, , , , , petargyosharkovbul, 
Cielen,  Joshua, 333, 125.43, , 18, CAN, canada, , , , , , , , joshuacielencan, 
Petit,  Noe, 334, 124.89, , , FRA, france, , , , , , , , noepetitfra, 
Cachat,  Juan, 335, 124.59, Vans | , 20, FRA, france, Goofy, , Thollon Les Memises, , , , , juancachatfra, 
Poll,  Bart, 336, 124.3, , , NED, ned, , , , , , , , bartpollned, 
Buchel,  Ben, 337, 124.15, , , CAN, canada, , , , , , , , benbuchelcan, 
Hietikko,  Jere, 338, 123.85, , , FIN, finland, , , , , , , , jerehietikkofin, 
OESTRENG,  Aleksander, 339, 123.27, Hoppipolla | Monster Energy | Rome | , 29, NOR, norway, Regular, 176cm, Rykkinn, Kirkerudbakken and Geilo, , , , aleksanderoestrengnor, 
Hendriks,  Lucas, 340, 123.04, , , NED, ned, , , , , , , , lucashendriksned, 
Boudjelal,  Yannick, 341, 122.43, , 35, DZA, , Goofy, , , , , , , yannickboudjelal, 
Roll,  Bo, 342, 122.31, , , NOR, norway, , , , , , , , borollnor, 
Mattsson,  Niklas, 343, 122.15, Colour Wear | Dragon | Rome | Transform Gloves | , 28, SWE, sweden, Regular, 186cm, Sundsvall, Sidelake, , , , niklasmattssonswe, 
Heflin,  Bodie, 344, 121.34, , , USA, united states, , , , , , , , bodieheflinusa, 
Frey,  Emil, 345, 121.25, , , GER, germany, , , , , , , , emilfreyger, 
Venderotte,  Tom, 346, 121.14, , 19, FRA, france, , , , , , , , tomvenderottefra, 
Salac,  Kristian, 347, 121.0, , , CZE, czech republic, , , , , , , , kristiansalaccze, 
Shambo,  Grant, 348, 120.93, , , USA, united states, , , , , , , , grantshambousa, 
Hensold,  Nanno, 349, 120.9, , , GER, germany, , , , , , , , nannohensoldger, 
Moreno,  Valentin, 350, 120.76, , , ARG, argentina, , , , , , , , valentinmorenoarg, 
Eckert,  Luis, 351, 120.72, , 24, GER, germany, Goofy, , , , , , , luiseckertger, 
Gifford,  Morris, 352, 120.15, , , USA, united states, , , , , , , , morrisgiffordusa, 
He,  Wei, 353, 119.96, , , CHN, china, , , , , , , , weihechn, 
Huber,  Niklas, 354, 119.93, , 16, GER, germany, , , , , , , , niklashuberger, 
Marchiel,  Corben, 355, 119.4, , , CAN, canada, , , , , , , , corbenmarchielcan, 
MacAulay,  Spencer, 356, 119.34, , 17, CAN, canada, , , , , , , , spencermacaulaycan, 
Fox,  Nick, 357, 118.24, , , USA, united states, , , , , , , , nickfoxusa, 
Sigel,  Gus, 358, 118.21, , , USA, united states, , , , , , , , gussigelusa, 
Carr,  Kyle, 359, 118.19, , 17, CAN, canada, , , , , , , , kylecarrcan, 
Kelly,  Connor, 360, 117.54, , 14, CAN, canada, , , , , , , , connorkellycan, 
Lee,  Hyun-Jun, 361, 117.32, , , KOR, korea, , , , , , , , hyun-junleekor, 
Chemodurov,  Yuriy, 362, 117.29, , 30, RUS, russian federation, Goofy, , Yushno-Sakhalinsk, , , , , yuriychemodurovrus, 
Minamiya,  Hanato, 363, 116.81, , , JPN, japan, , , , , , , , hanatominamiyajpn, 
Ceron,  Diego, 364, 116.72, , 27, CHI, chi, , , , , , , , diegoceronchi, 
Biele,  Gian Andrin, 365, 116.55, 015 Boards & Lifestyle | , 17, SUI, switzerland, , , Stallikon, LAAX, , , , gian andrinbielesui, 
Sakaue,  Hinata, 366, 116.49, , , JPN, japan, , , , , , , , hinatasakauejpn, 
Fejgl,  Samuel, 367, 115.36, , , CZE, czech republic, , , , , , , , samuelfejglcze, 
Liu,  Haoyu, 368, 115.24, , , CHN, china, , , , , , , , haoyuliuchn, 
Gray,  Charles, 369, 115.18, , , USA, united states, , , , , , , , charlesgrayusa, 
Bulat,  Stephan, 370, 115.0, , , CAN, canada, , , , , , , , stephanbulatcan, 
Baskakov,  Ilia, 371, 114.83, , , RUS, russian federation, , , , , , , , iliabaskakovrus, 
Zaczyk,  MacIej, 372, 114.15, , , POL, poland, , , , , , , , maciejzaczykpol, 
Ney,  Oscar, 373, 113.86, , , FRA, france, , , , , , , , oscarneyfra, 
Schiele,  Donovan, 374, 113.23, , , CAN, canada, , , , , , , , donovanschielecan, 
Horky,  Vojtech, 375, 112.61, , , CZE, czech republic, , , , , , , , vojtechhorkycze, 
Patronen,  Roope, 376, 111.92, , , FIN, finland, , , , , , , , roopepatronenfin, 
Ishida,  Eito, 377, 111.69, , , JPN, japan, , , , , , , , eitoishidajpn, 
Muranaka,  Kosuke, 378, 111.57, , , JPN, japan, , , , , , , , kosukemuranakajpn, 
Allen,  Jeremy, 379, 110.87, , 18, CAN, canada, , , , , , , , jeremyallencan, 
Teimurov,  Mark, 380, 110.57, , 23, RUS, russian federation, , , , , , , , markteimurovrus, 
Kikas,  Marten, 381, 109.82, , , EST, estonia, , , , , , , , martenkikasest, 
Layzell,  Chase, 382, 109.46, , 19, CAN, canada, , , , , , , , chaselayzellcan, 
Watson,  Noah, 383, 109.45, , 15, CAN, canada, , , , , , , , noahwatsoncan, 
Berdal Holm,  Jonas, 384, 109.33, , , NOR, norway, , , , , , , , jonasberdal holmnor, 
Kropov,  Volodymyr, 385, 109.26, , , UKR, ukraine, , , , , , , , volodymyrkropovukr, 
Virsunen,  Juho, 386, 109.13, , , FIN, finland, , , , , , , , juhovirsunenfin, 
Steele,  Sunny, 387, 108.94, , 17, AUS, australia, , , , , , , , sunnysteeleaus, 
Granli-Sommerud,  Andreas, 388, 108.63, , , NOR, norway, , , , , , , , andreasgranli-sommerudnor, 
ROBERTSON-HAHN,  Joshua, 389, 108.58, , , AUS, australia, , , , , , , , joshuarobertson-hahnaus, 
Salleras,  Narcis, 390, 107.56, , , ESP, spain, , , , , , , , narcissallerasesp, 
Won,  Youngkyo, 391, 107.19, , , KOR, korea, , , , , , , , youngkyowonkor, 
Brown,  Nayte, 392, 106.66, , , CAN, canada, , , , , , , , naytebrowncan, 
Jablonski,  Max, 393, 106.58, , 16, CAN, canada, , , , , , , , maxjablonskican, 
Mostovoi,  Konstantin, 394, 106.39, , , RUS, russian federation, , , , , , , , konstantinmostovoirus, 
Kervinen,  Nooa, 395, 106.08, , , FIN, finland, , , , , , , , nooakervinenfin, 
Hlynsson,  Reynar, 396, 105.75, , , ISL, iceland, , , , , , , , reynarhlynssonisl, 
McCorrister,  Maddox, 397, 105.66, , 10, CAN, canada, , , , , , , , maddoxmccorristercan, 
Lane,  Charlie, 398, 105.36, , , GBR, united kingdom, , , , , , , , charlielanegbr, 
Gao,  Xuesong, 399, 105.32, , , CHN, china, , , , , , , , xuesonggaochn, 
Eckert,  Coltan, 400, 105.23, , 17, CAN, canada, , , , , , , , coltaneckertcan, 
Miskiman,  Sean, 401, 105.02, , 20, CAN, canada, Regular, , Calgary, , , , , seanmiskimancan, 
Mukai,  Kaito, 402, 104.52, , , JPN, japan, , , , , , , , kaitomukaijpn, 
Pentecote,  Eliot, 402, 104.52, , , FRA, france, , , , , , , , eliotpentecotefra, 
Uehara,  Takuya, 404, 104.19, , 29, JPN, japan, , , , , , , , takuyaueharajpn, 
Pothier,  Xavier, 405, 102.98, , , CAN, canada, , , , , , , , xavierpothiercan, 
Hirai,  Riku, 406, 102.35, , , JPN, japan, , , , , , , , rikuhiraijpn, 
Peeters,  Lorenzo, 407, 102.07, Capita | , , BEL, belgium, Goofy, , , , , , , lorenzopeetersbel, 
Netland,  Walker, 408, 101.91, , , USA, united states, , , , , , , , walkernetlandusa, 
Kamissek,  Luka, 409, 101.65, , , GER, germany, , , , , , , , lukakamissekger, 
Zanka,  Roman, 410, 101.32, , , CZE, czech republic, , , , , , , , romanzankacze, 
Lotz,  Peter, 411, 101.3, , , GER, germany, , , , , , , , peterlotzger, 
Nedielka,  Tadeas, 412, 101.23, , , SVK, slovakia, , , , , , , , tadeasnedielkasvk, 
Haug,  Thorbjorn, 413, 101.02, , , NOR, norway, , , , , , , , thorbjornhaugnor, 
Okajima,  Daia, 414, 100.96, , , JPN, japan, , , , , , , , daiaokajimajpn, 
Matena,  Timon, 415, 100.39, , , CZE, czech republic, , , , , , , , timonmatenacze, 
Harrison,  Tyler, 416, 100.2, , 14, CAN, canada, , , , , , , , tylerharrisoncan, 
Fredlund,  Fredrik, 417, 100.0, , , SWE, sweden, , , , , , , , fredrikfredlundswe, 
Turpeinen,  Tuomas, 418, 99.95, , , FIN, finland, , , , , , , , tuomasturpeinenfin, 
Seo,  Gyeong, 419, 99.59, , , KOR, korea, , , , , , , , gyeongseokor, 
Dovjak,  Eric, 420, 99.47, , , AUT, austria, , , , , , , , ericdovjakaut, 
Hunter,  Colin, 421, 99.39, , , CAN, canada, , , , , , , , colinhuntercan, 
Skhvediani,  Jaba, 422, 98.9, , , GEO, , , , , , , , , jabaskhvediani, 
Rogers,  Mac, 423, 97.93, , , NZL, new zealand, , , , , , , , macrogersnzl, 
Falhaber,  Bart, 424, 97.82, , , NED, ned, , , , , , , , bartfalhaberned, 
Hafsahl,  Storm, 425, 97.59, , , NOR, norway, , , , , , , , stormhafsahlnor, 
Partanen,  Aatu, 426, 97.56, , , FIN, finland, , , , , , , , aatupartanenfin, 
Johansson,  Borgthor Omar, 427, 96.97, , , ISL, iceland, , , , , , , , borgthor omarjohanssonisl, 
Sutton,  Alfred, 428, 96.47, , , FRA, france, , , , , , , , alfredsuttonfra, 
Schweizer,  Mika, 429, 96.45,  | , 12, GER, germany, Goofy, 142, Kempten, Allgaeu Valley in Bavaria - Germany, , https://www.facebook.com/groups/1042965525731760/?ref=group_header, , mikaschweizerger, 
Inokuchi,  Wayu, 430, 96.17, , , JPN, japan, , , , , , , , wayuinokuchijpn, 
Zhang,  Jiahao, 431, 95.97, , , CHN, china, , , , , , , , jiahaozhangchn, 
Cavers,  George, 432, 95.59, , , USA, united states, , , , , , , , georgecaversusa, 
Kim,  Sang-Jae, 433, 95.29, , , KOR, korea, , , , , , , , sang-jaekimkor, 
Hoeksema,  Steven, 434, 94.95, , , CAN, canada, , , , , , , , stevenhoeksemacan, 
Joensuu,  Topias, 435, 94.71, , , FIN, finland, , , , , , , , topiasjoensuufin, 
Sundsvold Bjonness,  Emil, 435, 94.71, , , NOR, norway, , , , , , , , emilsundsvold bjonnessnor, 
Yang,  Wenlong, 437, 94.64, , , CHN, china, , , , , , , , wenlongyangchn, 
Kallos,  Anderson, 438, 94.6, , 15, CAN, canada, , , , , , , , andersonkalloscan, 
Steed,  Jackson, 439, 94.59, , , CAN, canada, , , , , , , , jacksonsteedcan, 
Muhonen,  Anton, 440, 94.03, , , SWE, sweden, , , , , , , , antonmuhonenswe, 
Batchelor,  Zachary, 441, 93.93, , 14, CAN, canada, , , , , , , , zacharybatchelorcan, 
Tucker,  Rio, 442, 93.88, , 16, CAN, canada, , , , , , , , riotuckercan, 
Jinguji,  Kaito, 443, 93.87, , , JPN, japan, , , , , , , , kaitojingujijpn, 
Kleivdal,  Morten, 444, 93.85, K2 Snowboarding | Von Zipper | , 29, NOR, norway, Regular, 183, Geilo, Geilo| Norway, , , , mortenkleivdalnor, 
Christensen,  Christian, 445, 93.11, , , NOR, norway, , , , , , , , christianchristensennor, 
Saito,  Yuto, 446, 92.36, , , JPN, japan, , , , , , , , yutosaitojpn, 
Sitzia,  Leonardo, 447, 92.3, , , GER, germany, , , , , , , , leonardositziager, 
Teksle,  Petter, 448, 91.99, , , NOR, norway, , , , , , , , pettertekslenor, 
Zverina,  Petr, 449, 91.29, , , CZE, czech republic, , , , , , , , petrzverinacze, 
Jedrej,  Joseph, 450, 91.1, , , CAN, canada, , , , , , , , josephjedrejcan, 
Alexis,  Genest, 451, 91.06, , , CAN, canada, , , , , , , , genestalexiscan, 
Montalvo,  Blake, 452, 90.87, , , CAN, canada, , , , , , , , blakemontalvocan, 
Duncan,  Roahan, 453, 90.64, , , GBR, united kingdom, , , , , , , , roahanduncangbr, 
Vera,  Dante, 454, 90.18, , , ARG, argentina, , , , , , , , danteveraarg, 
Oki,  Fuki, 455, 90.11, , , JPN, japan, , , , , , , , fukiokijpn, 
Malcolm,  George, 456, 89.97, , 19, CAN, canada, , , , , , , , georgemalcolmcan, 
Parkinson,  Jesse, 456, 89.97, Go Pro Cameras | Quiksilver | Skullcandy | , 15, AUS, australia, Regular, , , , , , , jesseparkinsonaus, 
De Baets,  Rune, 458, 89.85, , , BEL, belgium, , , , , , , , runede baetsbel, 
Berghorn,  Gavin, 459, 88.76, , , USA, united states, , , , , , , , gavinberghornusa, 
Bridgman,  Nicholas, 460, 88.47, Northwave | Smith | , 27, ITA, italy, Goofy, 179, Jesolo Lido, Seiser Alm, , Nicholas Bridgman, , nicholasbridgmanita, 
Axelsson,  Felix, 461, 88.23, , , SWE, sweden, , , , , , , , felixaxelssonswe, 
Pare,  Nathan, 462, 88.18, , , USA, united states, , , , , , , , nathanpareusa, 
Delaurier,  Tyson, 463, 87.85, , , CAN, canada, , , , , , , , tysondelauriercan, 
Rawdon-Harris,  Ethan, 464, 87.31, , , CAN, canada, , , , , , , , ethanrawdon-harriscan, 
Scanland,  Cyrus, 465, 87.17, , 17, CAN, canada, , , , , , , , cyrusscanlandcan, 
Haefliger,  Lars, 466, 87.12, , , SUI, switzerland, , , , , , , , larshaefligersui, 
Justin,  Perron, 467, 87.08, , , CAN, canada, , , , , , , , perronjustincan, 
Henricksen,  Dillon, 468, 86.99, , , USA, united states, , , , , , , , dillonhenricksenusa, 
Toman,  Vaclav, 469, 86.19, , 17, CZE, czech republic, Goofy, , Prague, , , , , vaclavtomancze, 
Schwiersch,  Leonhard, 470, 85.26, , , GER, germany, , , , , , , , leonhardschwierschger, 
Kreienbuehl,  Gabriel Tim, 471, 85.1, , , SUI, switzerland, , , , , , , , gabriel timkreienbuehlsui, 
Mukai,  Takeru, 472, 84.71, , , JPN, japan, , , , , , , , takerumukaijpn, 
Alkefjaerd,  Daniel, 473, 84.65, Dr.Zipe | , 23, SWE, sweden, Regular, , , , , , , danielalkefjaerdswe, 
Laine,  Juho, 474, 84.44, , , FIN, finland, , , , , , , , juholainefin, 
Zabela,  Siarhei, 475, 84.16, , , BLR, belarus, , , , , , , , siarheizabelablr, 
Vargdal,  Sigurd, 476, 84.11, , , NOR, norway, , , , , , , , sigurdvargdalnor, 
Foord-Kelcey,  James, 477, 83.79, , , CAN, canada, , , , , , , , jamesfoord-kelceycan, 
Hicks,  Kieran, 478, 83.79, Lib Technologies | Von Zipper | , 10, CAN, canada, Goofy, , , , , , , kieranhickscan, 
Todd,  Connor, 479, 83.7, , 18, CAN, canada, , , , , , , , connortoddcan, 
MacZugowski,  Jedrzej, 480, 83.38, , , POL, poland, , , , , , , , jedrzejmaczugowskipol, 
Ulseth Sylte,  Vegard, 481, 83.36, , , NOR, norway, , , , , , , , vegardulseth syltenor, 
MacIsaac,  Jordan, 482, 83.23, , 18, CAN, canada, , , , , , , , jordanmacisaaccan, 
Warren,  Bo, 483, 82.96, Lib Technologies | , 23, USA, united states, , , , , , , , bowarrenusa, 
Hannibal,  Linus, 484, 82.56, , , GER, germany, , , , , , , , linushannibalger, 
Depriest,  Brooklyn, 485, 82.24, Volcom | , 14, USA, united states, Regular, , Rocklin, , , , , brooklyndepriestusa, 
Fujiwara,  Yuki, 486, 82.09, , , JPN, japan, , , , , , , , yukifujiwarajpn, 
Barin,  Cesar, 487, 82.06, , , FRA, france, , , , , , , , cesarbarinfra, 
Girotto,  Cesare Emanuele, 488, 81.91, , , ITA, italy, , , , , , , , cesare emanuelegirottoita, 
Nickel,  Jacob, 489, 81.85, , , CAN, canada, , , , , , , , jacobnickelcan, 
Krall,  Timo, 490, 81.72, , , AUT, austria, , , , , , , , timokrallaut, 
Eldood,  Kamal, 491, 81.37, , 17, CAN, canada, , , , , , , , kamaleldoodcan, 
Soic,  Mauro, 492, 80.98, , , CRO, cro, , , , , , , , maurosoiccro, 
Plur De La Rosa,  Joao, 493, 80.69, , 10, GER, germany, , , , , , , , joaoplur de la rosager, 
Mikalsen Ostby,  Simon, 494, 80.63, , , NOR, norway, , , , , , , , simonmikalsen ostbynor, 
