lastName, firstName, position, points, sponsors, age, nationality, nationality_full, stance, height, residence, resort, website, facebook, twitter 
McCaffrey,  Angelina, 192, 93.83, , , CAN, Canada, , , , , , , , , , 
Pizzutto,  Matilde, 193, 91.54, , , ITA, Italy, , , , , , , , , , 
Poggi Silveira,  Morena, 194, 90.97, , , ARG, Argentina, , , , , , , , , , 
Li,  Rongrong, 195, 89.94, , , CHN, China, , , , , , , , , , 
Locatin,  Giorgia, 196, 87.96, , , ITA, Italy, , , , , , , , , , 
Walz,  Janina, 197, 87.62, , 12, GER, Germany, , , , , , , , , , 
Leenderts,  Anine, 198, 87.59, , 18, NOR, Norway, , , , , , , , , , 
Scheidegger,  Yuna, 199, 87.45, , , SUI, Switzerland, , , , , , , , , , 
Chavez Martinez,  Maria Azul, 200, 86.96, , , ARG, Argentina, , , , , , , , , , 
Mueller,  Paulina, 201, 86.42, , , GER, Germany, , , , , , , , , , 
Sola,  Federica, 202, 86.38, , , ITA, Italy, , , , , , , , , , 
Takizawa,  Futaba, 203, 85.97, , , JPN, Japan, , , , , , , , , , 
Allen,  Cerys, 204, 85.7, Never Summer | Pow Gloves | Westbeach | , 20, GBR, United Kingdom, Goofy, 4ft.6, Buckingham, The Snow centre Hemel, www.cerysallen.co.uk, cerysallen, , , , 
Jin,  Rongxi, 205, 84.98, , , CHN, China, , , , , , , , , , 
Hlynsdottir,  Anna Kamilla, 206, 84.33, , , ISL, Iceland, , , , , , , , , , 
Desjardins,  Rose, 207, 82.56, , , CAN, Canada, , , , , , , , , , 
Gennero,  Emma, 208, 82.04, , , ITA, Italy, , , , , , , , , , 
Tsuchiya,  Hanon, 209, 81.94, , , JPN, Japan, , , , , , , , , , 
Collins,  Kaiya, 210, 81.6, , , NZL, New Zealand, , , , , , , , , , 
Haensel,  Ronja, 211, 81.28, , , AUT, Austria, , , , , , , , , , 
Osther,  Cornelia, 212, 80.71, , , , Norway, , , , , , , , , , 
Heinonen,  Heta, 213, 80.66, , , FIN, Finland, , , , , , , , , , 
Remans,  Sky, 214, 80.23, , , BEL, Belgium, , , , , , , , , , 
Kaikuranta,  Jasmin, 215, 79.21, , , FIN, Finland, , , , , , , , , , 
Da Silva,  Aroa, 216, 78.89, , , ESP, Spain, , , , , , , , , , 
Hill,  Maisie, 217, 78.58, , 19, GBR, United Kingdom, , , , , , , , , , 
Martinelli,  Olga, 218, 77.98, , , ITA, Italy, , , , , , , , , , 
Schipani,  Elena, 219, 77.74, , , USA, United States, , , , , , , , , , 
Peck,  Dana, 220, 77.52, , , USA, United States, , , , , , , , , , 
Steinthorsdottir,  Bergdis, 221, 77.03, , , ISL, Iceland, , , , , , , , , , 
Sebkova,  Tereza, 222, 76.03, , , CZE, Czech Republic, , , , , , , , , , 
Hasler,  Leonie, 223, 75.9, , , SUI, Switzerland, , , , , , , , , , 
Paul,  Ilvy, 224, 75.87, , , AUT, Austria, , , , , , , , , , 
Maekawa,  Saya, 225, 75.66, , , JPN, Japan, , , , , , , , , , 
Chymcakova,  Anna, 226, 75.26, , , CZE, Czech Republic, , , , , , , , , , 
Boland,  Riley, 227, 74.97, , , CAN, Canada, , , , , , , , , , 
Pouch,  Olivie, 228, 74.01, , , CZE, Czech Republic, , , , , , , , , , 
Seijas Fidalgo,  Andrea, 229, 73.98, , , ESP, Spain, , , , , , , , , , 
Healey,  Nora, 230, 73.73, POC | , 22, USA, United States, Regular, 5ft.8in., Plymouth, Waterville Valley, , , , , , 
Coumont,  Summer, 231, 73.61, , , CAN, Canada, , , , , , , , , , 
Ikola,  Henna, 232, 73.03, Burton Snowboards | , 22, FIN, Finland, Goofy, 150cm, Hyvinkää, Sveitsin hiihtokeskus| Hyvinkää| Finland, , , , , , 
Oram,  Viviana, 233, 73.01, , , USA, United States, , , , , , , , , , 
Utsumi,  Kirari, 234, 72.85, , , JPN, Japan, , , , , , , , , , 
Petkovska,  Marija, 235, 71.71, , , MKD, Macedonia, The Former Yugoslav Republic of, , , , , , , , , , 
Wright,  Emily, 236, 70.08, , , CAN, Canada, , , , , , , , , , 
Paul,  Ronja, 237, 69.89, , , AUT, Austria, , , , , , , , , , 
Kato,  Hinoka, 238, 69.89, , , JPN, Japan, , , , , , , , , , 
Herleiksplass,  Karoline, 239, 69.51, , 23, NOR, Norway, , , , , , , , , , 
Valcl,  Tinkara Tanja, 240, 68.82, , , SLO, SLO, , , , , , , , , , 
Tan,  Chu, 241, 68.6, , , CHN, China, , , , , , , , , , 
Dahle Stavanes,  Eira, 242, 68.31, , , NOR, Norway, , , , , , , , , , 
Merickova,  Eliska, 243, 68.04, , , CZE, Czech Republic, , , , , , , , , , 
Overland,  Ashyln, 244, 67.0, , , USA, United States, , , , , , , , , , 
Murase,  Yura, 245, 66.67, , , JPN, Japan, , , , , , , , , , 
Ren,  Zizheng, 246, 66.32, , , CHN, China, , , , , , , , , , 
Murawskaia,  Darina, 247, 65.74, , , BLR, Belarus, , , , , , , , , , 
Watanabe,  Nami, 248, 64.82, , , JPN, Japan, , , , , , , , , , 
Kokushkina,  Maria, 249, 64.43, , , RUS, Russian Federation, , , , , , , , , , 
Hlynsdottir,  Unnur Solveig, 250, 63.83, , , ISL, Iceland, , , , , , , , , , 
Petrig,  Celia, 251, 63.36,  | , 25, SUI, Switzerland, Goofy, , Trachslau, , , , , , , 
Van Lieshout,  Sam, 252, 63.03, , , NED, NED, , , , , , , , , , 
Jong De,  Jacquelina, 253, 62.49,  | , 14, NED, NED, Goofy, 152, Innsbruck, Seegrube, , jackydejo, , , , 
Roegenaes,  Caroline Amalie, 254, 62.33, , , NOR, Norway, , , , , , , , , , 
Moffat,  Krystina, 255, 61.84, , , CAN, Canada, , , , , , , , , , 
Ito,  Kureha, 256, 61.38, , , JPN, Japan, , , , , , , , , , 
Bruck,  Sophia, 257, 61.14, , , USA, United States, , , , , , , , , , 
Starblanket,  Ava, 258, 60.23, , , CAN, Canada, , , , , , , , , , 
Van Griensven,  Demi, 259, 60.16, , , NED, NED, , , , , , , , , , 
Bogart,  Kailey, 260, 59.94, , , USA, United States, , , , , , , , , , 
Oswald,  Ronja, 261, 59.54, , , SUI, Switzerland, , , , , , , , , , 
Kunitake,  Maki, 262, 58.94, , , JPN, Japan, , , , , , , , , , 
Arvanitidou,  Eleni, 263, 58.77, , , GRE, GRE, , , , , , , , , , 
Banados,  Maria Teresa, 264, 58.35, , , CHI, CHI, , , , , , , , , , 
Spalding,  Avery, 265, 58.08, , , CAN, Canada, , , , , , , , , , 
Klemm,  Lua Marie, 266, 57.45, , , GER, Germany, , , , , , , , , , 
Gregori,  Jennifer, 267, 57.13, Salomon | , 23, ITA, Italy, Goofy, , , , , , , , , 
Klacar,  Adna, 267, 57.13, , , BIH, Bosnia and Herzegovina, , , , , , , , , , 
Cook,  Kaeleigh, 269, 56.86, , , CAN, Canada, , , , , , , , , , 
Olejniczak,  Emma, 270, 56.82, , , FRA, France, , , , , , , , , , 
Gerry,  Isabella, 271, 56.78, , , USA, United States, , , , , , , , , , 
Okado,  Rion, 272, 55.49, , , JPN, Japan, , , , , , , , , , 
Raun,  Lissel, 273, 55.38, , , EST, Estonia, , , , , , , , , , 
Sanchez,  Selenata, 274, 55.31, , , ESP, Spain, , , , , , , , , , 
Jekel,  Lily, 275, 54.49, , 17, AUS, Australia, , , , , , , , , , 
Kuoppala,  Khaila, 276, 54.23, , , FIN, Finland, , , , , , , , , , 
Saijo,  Karen, 277, 54.15, , , JPN, Japan, , , , , , , , , , 
Puustinen,  Reetta, 278, 53.76, , , FIN, Finland, , , , , , , , , , 
Kono,  Kanna, 279, 52.79, , , JPN, Japan, , , , , , , , , , 
Forno,  Anna Maria, 280, 52.32, , , ITA, Italy, , , , , , , , , , 
Suzuki,  Tokuko, 281, 51.99, , , JPN, Japan, , , , , , , , , , 
Pecanin,  Uma, 282, 51.99, , , BIH, Bosnia and Herzegovina, , , , , , , , , , 
Gorshenina,  Anastasiya, 283, 51.89, , , RUS, Russian Federation, , , , , , , , , , 
Meier,  Julia, 284, 51.37, , , SUI, Switzerland, , , , , , , , , , 
Springinsfeld,  Camila, 285, 50.63, , , ARG, Argentina, , , , , , , , , , 
Good,  Natalie, 286, 49.78, , 30, NZL, New Zealand, Regular, , , , , , , , , 
Misund,  Ine Marie, 287, 49.67, , , NOR, Norway, , , , , , , , , , 
Wada,  Rein, 288, 49.03, , , JPN, Japan, , , , , , , , , , 
Thomassen,  Ziggy, 289, 48.75, , , NED, NED, , , , , , , , , , 
Hekne Herskedal,  Aliya, 290, 48.59, , , NOR, Norway, , , , , , , , , , 
Meersteiner,  Madeleine, 291, 48.4, , , GER, Germany, , , , , , , , , , 
Heimoz,  Anina, 292, 47.88, , , SUI, Switzerland, , , , , , , , , , 
Dobreska,  Neda, 293, 47.8, , , MKD, Macedonia, The Former Yugoslav Republic of, , , , , , , , , , 
Fuchs,  Joanna, 294, 47.77, , , GER, Germany, , , , , , , , , , 
Karrer,  Sophia, 295, 46.97, , , AUT, Austria, , , , , , , , , , 
Smirnova,  Maria, 296, 46.69, , , RUS, Russian Federation, , , , , , , , , , 
Proydina,  Juliya, 296, 46.69, , , RUS, Russian Federation, , , , , , , , , , 
Van Griensven,  Daniek, 298, 46.39, , , NED, NED, , , , , , , , , , 
Kvaale,  Mette, 299, 45.76, , , NOR, Norway, , , , , , , , , , 
Hara,  Yukino, 300, 45.71, , , JPN, Japan, , , , , , , , , , 
Milutinovic,  Angelina Gina, 301, 45.48, , , SRB, Serbia, , , , , , , , , , 
Cardone,  Amanda, 302, 45.04, , , CHI, CHI, , , , , , , , , , 
Grangila,  Elena, 303, 44.73, , , ITA, Italy, , , , , , , , , , 
Okado,  Riria, 304, 44.53, , , JPN, Japan, , , , , , , , , , 
Gorcsosova,  Ella, 305, 44.52, , , SVK, Slovakia, , , , , , , , , , 
Schindler,  Jule, 306, 43.77, , , GER, Germany, , , , , , , , , , 
Nakamori,  Hanna, 307, 43.56, , , JPN, Japan, , , , , , , , , , 
Nerandzic,  Nadja, 308, 42.83, , , SRB, Serbia, , , , , , , , , , 
Noskova,  Denisa, 309, 42.45, , , CZE, Czech Republic, , , , , , , , , , 
Arellano,  Josefa, 310, 42.43, , , CHI, CHI, , , , , , , , , , 
Mikuni,  Momoka, 311, 42.22, , , JPN, Japan, , , , , , , , , , 
Scott,  Penelope, 312, 41.91, , , USA, United States, , , , , , , , , , 
Reinalter,  Anna-Selina, 313, 41.76, , , SUI, Switzerland, , , , , , , , , , 
Wilson,  Beth, 314, 41.53, , 19, CAN, Canada, , , , , , , , , , 
Marzinotto,  Laura, 315, 41.35, , , CAN, Canada, , , , , , , , , , 
Merkhoffer,  Melina, 316, 40.84,  | , 26, GER, Germany, Regular, , Taunusstein, , , , , , , 
Larkiala,  Stella, 317, 40.4, , , FIN, Finland, , , , , , , , , , 
Tanaka,  Yuna, 318, 40.0, , , JPN, Japan, , , , , , , , , , 
Karrer,  Hanna, 319, 39.39, , , AUT, Austria, , , , , , , , , , 
Coffey,  Peighton, 320, 39.32, , , USA, United States, , , , , , , , , , 
Wick,  Lura, 321, 39.06, , , SUI, Switzerland, , , , , , , , , , 
Olsen,  Gabby, 322, 38.92, , , CAN, Canada, , , , , , , , , , 
Ewoldt,  Django, 323, 38.75, , , USA, United States, , , , , , , , , , 
Hipp,  Helene, 324, 38.27, , , GER, Germany, , , , , , , , , , 
Antyasova,  Tianina, 325, 37.97, , , RUS, Russian Federation, , , , , , , , , , 
Belikova,  Dariya, 326, 37.75, , , RUS, Russian Federation, , , , , , , , , , 
Black,  Margie, 327, 37.75, , , USA, United States, , , , , , , , , , 
Willemsen,  Zoë, 327, 37.75, , , NED, NED, , , , , , , , , , 
Ghostkeeper,  Mya, 329, 36.81, , , CAN, Canada, , , , , , , , , , 
Janett,  Soha, 330, 36.54, , , SUI, Switzerland, , , , , , , , , , 
Naudi,  Aixa, 331, 36.54, , , AND, Andorra, , , , , , , , , , 
Johnsen,  Pia, 332, 36.29, , , NOR, Norway, , , , , , , , , , 
Bachmann,  Johanna, 333, 35.98, , , GER, Germany, , , , , , , , , , 
Charlec,  Maelis, 334, 35.8, , , FRA, France, , , , , , , , , , 
Krasneva,  Varvara, 335, 35.56, , 23, CAN, Canada, , , , , , , , , , 
Solomon,  Charley, 336, 35.51, , , CAN, Canada, , , , , , , , , , 
Djogic,  Andjela, 337, 35.46, , , SRB, Serbia, , , , , , , , , , 
Kokko,  Anna-Sofia, 338, 34.83, , , FIN, Finland, , , , , , , , , , 
Ogawa,  Hikaru, 339, 34.76, , , JPN, Japan, , , , , , , , , , 
Fernandez,  Nerea, 340, 34.52, , , AND, Andorra, , , , , , , , , , 
Bietenholz,  Anouk, 341, 34.19, , , SUI, Switzerland, , , , , , , , , , 
Johnsen,  Emilie, 342, 34.12, , , NOR, Norway, , , , , , , , , , 
Yanow,  Chloe, 343, 33.65, , , CAN, Canada, , , , , , , , , , 
Makela,  Maaru, 344, 33.61, , , FIN, Finland, , , , , , , , , , 
Weinberg,  Rochelle, 345, 33.33, , , USA, United States, , , , , , , , , , 
Shute,  Samantha, 345, 33.33, , , CAN, Canada, , , , , , , , , , 
Simanaviciute,  Goda, 345, 33.33, , , LTU, Lithuania, , , , , , , , , , 
Peetz,  Emma, 348, 33.13, , , GER, Germany, , , , , , , , , , 
Jamnig,  Noelle Christin, 349, 32.73, , , AUT, Austria, , , , , , , , , , 
Huang,  Zhixin, 349, 32.73, , , CHN, China, , , , , , , , , , 
Hanson,  MacKenzie, 351, 32.71, , , CAN, Canada, , , , , , , , , , 
Alba,  Sonora, 352, 32.23, , , USA, United States, , , , , , , , , , 
Schrott,  Tina, 353, 32.05, , , GER, Germany, , , , , , , , , , 
Steinsdottir,  Lilja Ros, 354, 32.03, , , ISL, Iceland, , , , , , , , , , 
Corti,  Tosca, 355, 31.97, , , SUI, Switzerland, , , , , , , , , , 
Klaussen,  Emilie, 356, 31.95, , , NOR, Norway, , , , , , , , , , 
Lundberg,  Julia, 357, 31.73, Burton Snowboards | Smith | , , SWE, Sweden, Goofy, 169 cm, , , , , , , , 
Eising,  Dakoda, 358, 31.57, , , CAN, Canada, , , , , , , , , , 
Hisaoka,  Karin, 359, 31.47, , , JPN, Japan, , , , , , , , , , 
Jovanovic,  Jana, 360, 31.37, , , SRB, Serbia, , , , , , , , , , 
Edwinsdottir,  Vildis, 361, 30.78, , , ISL, Iceland, , , , , , , , , , 
Nymoen,  Ingvild, 362, 30.48, , , NOR, Norway, , , , , , , , , , 
Honda,  Nanami, 363, 30.33, , , JPN, Japan, , , , , , , , , , 
Handa,  Saara, 364, 29.93, , , JPN, Japan, , , , , , , , , , 
Wyss,  Merlin, 365, 29.86, , , SUI, Switzerland, , , , , , , , , , 
Vachet,  Gaia, 366, 29.82, , , ITA, Italy, , , , , , , , , , 
Dhawornvej,  Lily, 367, 29.66, , , USA, United States, , , , , , , , , , 
Rix,  Lela, 368, 29.52, , , USA, United States, , , , , , , , , , 
Irhina,  Elizaveta, 369, 29.15, , , RUS, Russian Federation, , , , , , , , , , 
Kroell,  Elisa, 370, 28.89, , , AUT, Austria, , , , , , , , , , 
Hyry,  Eevastiina, 371, 28.79, , , FIN, Finland, , , , , , , , , , 
Viererbe,  Leila, 372, 28.3, , , GER, Germany, , , , , , , , , , 
Ivanovaite,  Patricija, 373, 28.14, , , LTU, Lithuania, , , , , , , , , , 
Osmond,  Andi, 373, 28.14, , , CAN, Canada, , , , , , , , , , 
Tanaka,  Kaede, 375, 28.07, , , JPN, Japan, , , , , , , , , , 
Dürr,  Anna Lena, 376, 27.85, , , SUI, Switzerland, , , , , , , , , , 
White,  Kinsley, 377, 27.62, , , USA, United States, , , , , , , , , , 
Poulat,  Camille, 378, 26.88, , , FRA, France, , , , , , , , , , 
Snorradottir,  Sol, 379, 26.86, , , ISL, Iceland, , , , , , , , , , 
Bauer,  Rosalie, 380, 26.67, , , GER, Germany, , , , , , , , , , 
Moreau,  Clara, 381, 26.53, , , FRA, France, , , , , , , , , , 
Valkenborgh,  Elle, 382, 26.43, , , BEL, Belgium, , , , , , , , , , 
Gordon,  Paige, 383, 25.99, , , CAN, Canada, , , , , , , , , , 
Demke,  Lisa, 384, 25.93, , , SUI, Switzerland, , , , , , , , , , 
Kitano,  Hiroka, 385, 25.43, , , JPN, Japan, , , , , , , , , , 
Wolf,  Tanja, 386, 25.09, , , AUT, Austria, , , , , , , , , , 
Saarela,  Iina, 387, 24.65, , , FIN, Finland, , , , , , , , , , 
Yen-Linn,  Mak, 388, 24.47, , , AUT, Austria, , , , , , , , , , 
Nakashima,  Risa, 389, 24.38, Deeluxe | Union Bindings | , 2, JPN, Japan, Regular, 165, Ko-To-Ku, Breckenridge, ameblo.jp/rissa-men/, https://www.facebook.com/risa.nakashima.73, , , , 
Firnesz,  Eva, 390, 24.08, , , CAN, Canada, , , , , , , , , , 
Graf,  Lynne, 391, 24.07, , , SUI, Switzerland, , , , , , , , , , 
Langer,  Caitlyn, 392, 24.01, , , USA, United States, , , , , , , , , , 
MacGeorge,  Zoe, 393, 23.96, , , SUI, Switzerland, , , , , , , , , , 
Bierbaum,  Bianca, 393, 23.96, , , GER, Germany, , , , , , , , , , 
Topp Oye,  Nora Synnove, 395, 23.93, , , NOR, Norway, , , , , , , , , , 
Milenkovic,  Neda, 396, 23.73, , , SRB, Serbia, , , , , , , , , , 
Holden,  Gabriella, 397, 23.6, , , USA, United States, , , , , , , , , , 
Bogart,  Ashley, 398, 23.43, , , USA, United States, , , , , , , , , , 
McCarthy,  Amy, 399, 23.34, , , CAN, Canada, , , , , , , , , , 
Kalinovska,  Tina, 399, 23.34, , , LAT, LAT, , , , , , , , , , 
Picchedda,  Stella, 401, 22.88, , , FRA, France, , , , , , , , , , 
Nyvelt,  Mila, 402, 22.58, , , AUT, Austria, , , , , , , , , , 
Sprenger,  Samira, 403, 22.27, , , SUI, Switzerland, , , , , , , , , , 
Gabriele,  Katie, 404, 22.04, , , USA, United States, , , , , , , , , , 
Maeda,  Saaya, 405, 21.85, , , JPN, Japan, , , , , , , , , , 
Brearley,  Emma, 405, 21.85, , , CAN, Canada, , , , , , , , , , 
Fedchenko,  Diana, 407, 21.49, , , RUS, Russian Federation, , , , , , , , , , 
Kato,  Yuki, 408, 21.23, , , JPN, Japan, , , , , , , , , , 
Vollelv,  Frida, 409, 21.01, , , NOR, Norway, , , , , , , , , , 
Hankova,  Stepanka, 409, 21.01, , , CZE, Czech Republic, , , , , , , , , , 
Nordeen,  Aj - Alexandra, 409, 21.01, , , USA, United States, , , , , , , , , , 
Joenvaara,  Janni, 412, 20.83, , , FIN, Finland, , , , , , , , , , 
Meyer,  Binia Lia, 413, 20.52, , , SUI, Switzerland, , , , , , , , , , 
Okada,  Riri, 414, 20.51, , , JPN, Japan, , , , , , , , , , 
Arakawa,  Yui, 415, 20.38, , , JPN, Japan, , , , , , , , , , 
Peyachew,  Mia, 416, 19.98, , , CAN, Canada, , , , , , , , , , 
Ootjers,  Britt, 417, 19.95, , , NED, NED, , , , , , , , , , 
Bowater-Antrim,  Amelia, 418, 19.28, , , USA, United States, , , , , , , , , , 
Bourdais,  Marine, 419, 19.13, , , FRA, France, , , , , , , , , , 
Klim,  Mathilde, 420, 19.04, , , DEN, DEN, , , , , , , , , , 
Hrychuck,  Jayden, 420, 19.04, , , CAN, Canada, , , , , , , , , , 
Chisholm,  Mary, 422, 18.88, , , CAN, Canada, , , , , , , , , , 
Lukaschek,  Ida, 423, 18.81, , , GER, Germany, , , , , , , , , , 
Pascuet,  Elia, 424, 18.72, , , AND, Andorra, , , , , , , , , , 
Uzicanin,  Alaia, 425, 18.53, , , BIH, Bosnia and Herzegovina, , , , , , , , , , 
Becirevic,  Tea, 425, 18.53, , , BIH, Bosnia and Herzegovina, , , , , , , , , , 
Bertetic,  Aurora, 425, 18.53, , , CRO, CRO, , , , , , , , , , 
Kasper,  Katharina, 425, 18.53, , , GER, Germany, , , , , , , , , , 
Georgalli,  Lucia, 429, 18.29, , , NZL, New Zealand, , , , , , , , , , 
Markelji,  Vita, 430, 18.19, , , AUT, Austria, , , , , , , , , , 
Gill,  Olivia, 431, 18.0, , , USA, United States, , , , , , , , , , 
Oram,  Malena, 432, 17.35, , , USA, United States, , , , , , , , , , 
Aalto,  Renee, 433, 17.3, , , FIN, Finland, , , , , , , , , , 
Martin,  Monika Ros, 433, 17.3, , , ISL, Iceland, , , , , , , , , , 
Kato,  Manae, 435, 17.27, , , JPN, Japan, , , , , , , , , , 
Parkkisenniemi,  Emmi, 436, 17.17, Burton Snowboards | , 21, FIN, Finland, , , , , , , , , , 
Imper,  Niah Johanna, 437, 17.14, , , SUI, Switzerland, , , , , , , , , , 
Loibl,  Nina, 438, 16.89, , , GER, Germany, , , , , , , , , , 
Trtnik,  Lana, 439, 16.59, , , SLO, SLO, , , , , , , , , , 
Pelchat,  Amalia, 440, 16.58, , , CAN, Canada, , , , , , , , , , 
Cedillo,  Noa, 441, 16.57, , , ESP, Spain, , , , , , , , , , 
Storgard,  Sofia, 442, 16.16, , , CAN, Canada, , , , , , , , , , 
Scott,  Pippa, 443, 16.11, , , USA, United States, , , , , , , , , , 
Doty,  Cailin, 444, 16.03, , , USA, United States, , , , , , , , , , 
Vojvodic,  Marta, 445, 15.97, , , SRB, Serbia, , , , , , , , , , 
Leyval,  Mailys, 446, 15.58, , , FRA, France, , , , , , , , , , 
Klebeck,  Kiana, 447, 15.5, , , AUT, Austria, , , , , , , , , , 
Fasola Demingue,  Issa, 448, 15.48, , , ARG, Argentina, , , , , , , , , , 
Pollock,  Margaux, 449, 15.38, , , USA, United States, , , , , , , , , , 
Nishioka,  Ayuko, 450, 15.15, , , JPN, Japan, , , , , , , , , , 
Palomeque Serrao,  Joaquina, 451, 15.12, , , ARG, Argentina, , , , , , , , , , 
Vötsch,  Andrea, 451, 15.12, , , AUT, Austria, , , , , , , , , , 
Boyano,  Valentina, 453, 14.99, , , ARG, Argentina, , , , , , , , , , 
MacDonald,  Kylie, 454, 14.69, , , CAN, Canada, , , , , , , , , , 
Stefansdottir,  Adalheidur Dis, 454, 14.69, , , ISL, Iceland, , , , , , , , , , 
Malinauskaite,  Guoda Saule, 454, 14.69, , , LTU, Lithuania, , , , , , , , , , 
Gallardo,  Elisenda, 457, 14.59, , , AND, Andorra, , , , , , , , , , 
Vanaernam,  Jessie, 458, 14.06, , , USA, United States, , , , , , , , , , 
Dadadottir,  Alis Helga, 459, 14.0, , , ISL, Iceland, , , , , , , , , , 
Welling,  Ronja, 459, 14.0, , , FIN, Finland, , , , , , , , , , 
Dzon,  Antoaneta, 461, 14.0, , , MKD, Macedonia, The Former Yugoslav Republic of, , , , , , , , , , 
Ranzoni,  Ladina, 462, 13.88, , , SUI, Switzerland, , , , , , , , , , 
Magrufova,  Kamila, 463, 13.72, , , RUS, Russian Federation, , , , , , , , , , 
Bowler,  Margaret Grace, 464, 13.51, , , USA, United States, , , , , , , , , , 
Nagoshi,  Misaki, 464, 13.51, , , JPN, Japan, , , , , , , , , , 
Rotegaard,  Hedda, 466, 13.48, , , NOR, Norway, , , , , , , , , , 
Gomariz,  Laia, 467, 12.76, , , ESP, Spain, , , , , , , , , , 
Firnesz,  Eryn, 468, 12.58, , , CAN, Canada, , , , , , , , , , 
Veitch,  Maya, 469, 12.43, , , CAN, Canada, , , , , , , , , , 
Boesl,  Magdalena, 470, 12.39, , , GER, Germany, , , , , , , , , , 
Bontognali,  Marisol, 471, 12.29, , , SUI, Switzerland, , , , , , , , , , 
Scotti,  Clara, 472, 12.25, , , ARG, Argentina, , , , , , , , , , 
Perko,  Sabrina, 472, 12.25, , , AUT, Austria, , , , , , , , , , 
Castillo,  Victoria, 474, 12.21, , , FRA, France, , , , , , , , , , 
Kegode,  Zahra-Kadi, 475, 12.15, , , USA, United States, , , , , , , , , , 
Salinas Sanchis,  Sofia, 476, 11.91, , , AND, Andorra, , , , , , , , , , 
Deputter,  Lynn, 477, 11.8, , , BEL, Belgium, , , , , , , , , , 
Ozahata,  Riko, 478, 11.73, , , JPN, Japan, , , , , , , , , , 
Delago,  Mia, 479, 11.25, , , GER, Germany, , , , , , , , , , 
Oefner,  Lea, 480, 11.24, , , AUT, Austria, , , , , , , , , , 
Sasaki,  Hiyori, 480, 11.24, , , JPN, Japan, , , , , , , , , , 
Diaz,  Azahara, 482, 11.04, , , ESP, Spain, , , , , , , , , , 
Jarvela,  Neea, 483, 10.91, , , FIN, Finland, , , , , , , , , , 
Tomasdottir,  Julietta Idunn, 483, 10.91, , , ISL, Iceland, , , , , , , , , , 
Secord,  Rachel, 485, 10.76, , , CAN, Canada, , , , , , , , , , 
Abou,  Lola, 486, 10.75, , 22, FRA, France, Goofy, , , , , , , , , 
Helgadottir,  Lif, 486, 10.75, , , ISL, Iceland, , , , , , , , , , 
Bugden,  Ella, 486, 10.75, , , CAN, Canada, , , , , , , , , , 
Harko,  Dalma, 489, 10.71, , , HUN, Hungary, , , , , , , , , , 
Isaacs,  Annika, 490, 10.36, , , USA, United States, , , , , , , , , , 
Pedersen Rektorli,  Julie, 491, 10.29, , , NOR, Norway, , , , , , , , , , 
Caslavska,  Stepanka, 491, 10.29, , , CZE, Czech Republic, , , , , , , , , , 
Meyer,  Deva, 493, 10.1, , , AUT, Austria, , , , , , , , , , 
Choi,  Elle, 494, 10.02, , , CAN, Canada, , , , , , , , , , 
Smigel,  Sophia, 495, 9.93, , , CAN, Canada, , , , , , , , , , 
Vötsch,  Emma, 496, 9.55, , , AUT, Austria, , , , , , , , , , 
Dominguez,  Maiatane, 497, 9.43, , , AND, Andorra, , , , , , , , , , 
Yoshidomi,  Megumi, 498, 9.35, , , JPN, Japan, , , , , , , , , , 
McCaffrey,  Emmica, 499, 9.21, , , CAN, Canada, , , , , , , , , , 
Lounis,  Lénnie Camille, 500, 9.15, , , SUI, Switzerland, , , , , , , , , , 
