lastName, firstName, position, points, sponsors, age, nationality, nationality_full, stance, height, residence, resort, website, facebook, twitter 
Cai,  Xuetong, 1, 1000.0, Burton Snowboards | Nike | , 27, CHN, China, Goofy, 1.65cm, Beijing, Yabuli, x?c, I donft.t have it., www.twitter.com/625166141@qq.com, , , 
Walker,  Jenna, 57, 161.68, , , CAN, Canada, , , , , , , , , , 
Mondani,  Samuela, 58, 157.36, , , SUI, Switzerland, , , , , , , , , , 
Coumont,  Summer, 59, 142.61, , , CAN, Canada, , , , , , , , , , 
Neal,  Kaylie, 60, 140.16, , , USA, United States, , , , , , , , , , 
Quintieri,  Kaiya, 61, 132.05, , , USA, United States, , , , , , , , , , 
Kawahara,  Riju, 62, 131.6, , , JPN, Japan, , , , , , , , , , 
Kutcher,  Stella, 63, 127.83, , , CAN, Canada, , , , , , , , , , 
Cook,  Ava, 64, 126.35, , , CAN, Canada, , , , , , , , , , 
Inaba,  Mikoto, 65, 123.82, , , JPN, Japan, , , , , , , , , , 
Ohashi,  Sorana, 66, 123.3, , , JPN, Japan, , , , , , , , , , 
Taka,  Eveliina, 67, 120.0, , , FIN, Finland, , , , , , , , , , 
Thomas,  Kristen, 68, 116.72, , , USA, United States, , , , , , , , , , 
Buckley,  Katy, 69, 116.57, , , USA, United States, , , , , , , , , , 
Pancochova,  Sarka, 70, 115.43, Flow | Level | Red Bull | Volcom | Zeal Optics | , 29, CZE, Czech Republic, Regular, 162, Uh.Brod, Morava picho, , , , , , 
Candrian,  Sina, 71, 114.28, Giro | Head | Neff | , 31, SUI, Switzerland, Goofy, , Flims, Laax, WWW.SINACANDRIAN.CH, Sina Candrian, www.twitter.com/Sina Candrian, , , 
Powers,  Victoria, 72, 109.3, , , USA, United States, , , , , , , , , , 
Ewoldt,  Django, 73, 107.04, , , USA, United States, , , , , , , , , , 
Hardt,  Sarah, 74, 106.68, , , GER, Germany, , , , , , , , , , 
Elvy,  Sascha, 75, 106.07, , , AUS, Australia, , , , , , , , , , 
Hallen,  Veda, 76, 103.14, , , USA, United States, , , , , , , , , , 
Ballantyne,  Becca, 77, 102.15, Ride Snowboards | , , CAN, Canada, , , , , , , , , , 
Partridge,  Natalie, 78, 100.14, , , USA, United States, , , , , , , , , , 
Kolodziej,  Shirly, 79, 100.0, , , SUI, Switzerland, , , , , , , , , , 
Pelfrey,  Kanoe, 80, 99.86, Von Zipper | , 26, USA, United States, Regular, , Fairview, , , , , , , 
Shibata,  Nanako, 81, 99.58, , , JPN, Japan, , , , , , , , , , 
Chen,  Alexandra, 82, 95.8, , , AUS, Australia, , , , , , , , , , 
Jong De,  Jacquelina, 83, 94.34,  | , 14, NED, NED, Goofy, 152, Innsbruck, Seegrube, , jackydejo, , , , 
Graven,  Isla, 84, 92.9, , , CAN, Canada, , , , , , , , , , 
Wei,  Xinzhuo, 85, 88.45, , , CHN, China, , , , , , , , , , 
Nishizuka,  Rinka, 86, 85.53, , , JPN, Japan, , , , , , , , , , 
Wang,  Pinxuan, 87, 85.25, , , CHN, China, , , , , , , , , , 
Bakke,  Emma, 88, 85.13, , , NOR, Norway, , , , , , , , , , 
Perach,  Yugala, 89, 84.83, , 14, GER, Germany, , , , , , , , , , 
Sarkipaju,  Telma, 90, 84.04, , , FIN, Finland, , , , , , , , , , 
Mogi,  Megumi, 91, 82.36, , , JPN, Japan, , , , , , , , , , 
Tahara,  Yumiko, 92, 80.53, , , JPN, Japan, , , , , , , , , , 
Connor,  Meredith, 93, 80.28, , , USA, United States, , , , , , , , , , 
Poon,  Marylin, 94, 75.27, , , USA, United States, , , , , , , , , , 
Benneker,  Olivia, 95, 74.19, , , SUI, Switzerland, , , , , , , , , , 
Boulanger,  Kinsey, 96, 73.39, , , CAN, Canada, , , , , , , , , , 
Goto,  Hinako, 97, 71.12, , , JPN, Japan, , , , , , , , , , 
Kurosawa,  Mahiro, 98, 70.03, , , JPN, Japan, , , , , , , , , , 
Starblanket,  Ava, 99, 69.11, , , CAN, Canada, , , , , , , , , , 
Bossard,  Madita, 100, 68.47, , , SUI, Switzerland, , , , , , , , , , 
Zhou,  Patti Yizhu, 101, 67.49, , , CHN, China, , , , , , , , , , 
Kwon,  Sunoo, 102, 66.67, Samsung | , 21, KOR, Korea, Republic of, Regular, 172, Ganwon Do, PHOENIX PYEONGCHANG, blog.naver.com/sunoo114, , , , , 
Haensel,  Ronja, 103, 66.42, , , AUT, Austria, , , , , , , , , , 
Romanova,  Varvara, 104, 65.52, , , RUS, Russian Federation, , , , , , , , , , 
Scheidegger,  Yuna, 105, 64.72, , , SUI, Switzerland, , , , , , , , , , 
Verdnik,  Kaja, 106, 64.65, , 21, SLO, SLO, Regular, 165, , Rogla|Slovenia, , Kaja Verdnik, , , , 
Immonen,  Veera, 107, 63.68, , , FIN, Finland, , , , , , , , , , 
Roberts,  Kali, 108, 62.64, , , CAN, Canada, , , , , , , , , , 
Hedrich,  Anne, 109, 58.18, , , GER, Germany, , , , , , , , , , 
Cohen,  Gabby, 110, 57.15, , , USA, United States, , , , , , , , , , 
Salis,  Andrina, 111, 56.01, , , SUI, Switzerland, , , , , , , , , , 
Mittermueller,  Silvia, 112, 55.31, Breckenridge Resort | Planet Sports | Purl | Ride Snowboards | Vans | , 37, GER, Germany, Goofy, 167cm, München, Breckenridge| CO| USA, www.silviamittermuller.com, https://www.facebook.com/pages/Silvia-Mitterm%C3%BCller/184129604995477?ref=hl, www.twitter.com/SilviaMittermul, , , 
Smigel,  Sophia, 113, 53.45, , , CAN, Canada, , , , , , , , , , 
Mueller,  Lena, 114, 53.07, , 17, SUI, Switzerland, , , , , , , , , , 
Sakaue,  Mito, 115, 52.76, , , JPN, Japan, , , , , , , , , , 
Wilson,  Beth, 116, 51.93, , 19, CAN, Canada, , , , , , , , , , 
Lisle,  Olivia, 117, 51.33, , , USA, United States, , , , , , , , , , 
Bockhorni,  Heli, 118, 50.47, , , GER, Germany, , , , , , , , , , 
Yang,  Le, 118, 50.47, , , CHN, China, , , , , , , , , , 
Imura,  Noa, 120, 49.95, , , JPN, Japan, , , , , , , , , , 
Seidler,  Katie, 121, 49.53, , , CAN, Canada, , , , , , , , , , 
Kim,  Bea, 122, 48.49, , , USA, United States, , , , , , , , , , 
Hagiwara,  Kumiko, 123, 48.15, , 44, JPN, Japan, Regular, , Sibukawa, royal hill ski aeria, , , , , , 
Tarasoff,  Reese, 124, 46.65, , , CAN, Canada, , , , , , , , , , 
Roll,  Bettina, 125, 46.54, , , NOR, Norway, , , , , , , , , , 
Cook,  Kaeleigh, 126, 45.18, , , CAN, Canada, , , , , , , , , , 
Schipani,  Elena, 127, 44.43, , , USA, United States, , , , , , , , , , 
Plur De La Rosa,  Manola, 128, 43.2, , 14, GER, Germany, , , , , , , , , , 
Danuser,  Mona, 129, 43.17, , , SUI, Switzerland, , , , , , , , , , 
Brookes,  Mia, 130, 40.75, Burton Snowboards | , 13, GBR, United Kingdom, , , , , , , , , , 
Jekel,  Lily, 131, 40.54, , 17, AUS, Australia, , , , , , , , , , 
Tucker,  Julie, 132, 39.37, , , CAN, Canada, , , , , , , , , , 
Hyatt,  Kianah, 133, 39.29, , 18, CAN, Canada, , , , , , , , , , 
Holden,  Gabriella, 134, 38.03, , , USA, United States, , , , , , , , , , 
Choi,  Ye-Woon, 135, 37.74, , , KOR, Korea, Republic of, , , , , , , , , , 
Sato,  Rin, 136, 37.63, , , JPN, Japan, , , , , , , , , , 
Koeppe,  Skylar, 137, 36.78, , , USA, United States, , , , , , , , , , 
Yamazaki,  Tsuki, 138, 36.68, , , JPN, Japan, , , , , , , , , , 
Hahnl,  Marie, 139, 36.28, , , GER, Germany, , , , , , , , , , 
Collins,  Kaiya, 140, 36.0, , , NZL, New Zealand, , , , , , , , , , 
Osther,  Cornelia, 141, 35.8, , , , Norway, , , , , , , , , , 
Corti,  Tosca, 142, 35.7, , , SUI, Switzerland, , , , , , , , , , 
Gricol,  Jordyn, 143, 34.65, , , USA, United States, , , , , , , , , , 
Hata,  Reina, 144, 33.99, , , JPN, Japan, , , , , , , , , , 
Janett,  Soha, 145, 33.81, , , SUI, Switzerland, , , , , , , , , , 
Chung,  Ji Hye, 146, 33.74, , 35, KOR, Korea, Republic of, Regular, 161cm, Seoul, pheonix park, , , , , , 
Bogdanova,  Elizaveta, 147, 33.33, , , RUS, Russian Federation, , , , , , , , , , 
Vatne-Larsen,  Thea Cassandra, 147, 33.33, , 19, NOR, Norway, , , , , , , , , , 
Fujisaki,  Yuzuki, 149, 31.17, , , JPN, Japan, , , , , , , , , , 
Choi,  Elle, 150, 30.85, , , CAN, Canada, , , , , , , , , , 
Oswald,  Ronja, 151, 30.81, , , SUI, Switzerland, , , , , , , , , , 
Saarela,  Enni, 152, 29.8, , , FIN, Finland, , , , , , , , , , 
Chavez Martinez,  Maria Azul, 152, 29.8, , , ARG, Argentina, , , , , , , , , , 
Kluge,  Xenia, 154, 29.7, , , GER, Germany, , , , , , , , , , 
Mylius,  Maria, 155, 28.71, , , NOR, Norway, , , , , , , , , , 
Espeli Olsen,  Stine, 156, 28.51, , , NOR, Norway, , , , , , , , , , 
Meier,  Julia, 157, 28.04, , , SUI, Switzerland, , , , , , , , , , 
Proydina,  Juliya, 158, 27.65, , , RUS, Russian Federation, , , , , , , , , , 
Yamada,  Rinoka, 158, 27.65, , , JPN, Japan, , , , , , , , , , 
Kitazawa,  Asuka, 160, 27.63, , , JPN, Japan, , , , , , , , , , 
De Jong,  Jacky, 161, 27.62, , , NED, NED, , , , , , , , , , 
Fenton,  Summer, 162, 27.44, DVS | KINDSnacks | Nikita | Nixon | POC | Union Bindings | YEA.NICE | Zeal Optics | , 26, USA, United States, Goofy, 5ft.2 ft., San Francisco, Boreal & Northstar at Tahoe, instagram.com/summerfenton, https://www.facebook.com/summerfenton, , , , 
Mori,  Masako, 163, 27.31, , , JPN, Japan, , , , , , , , , , 
Narita,  Keiko, 164, 26.88, , , JPN, Japan, , , , , , , , , , 
Beer,  Ava, 165, 26.53, , , USA, United States, , , , , , , , , , 
Lonar,  Ingrid, 166, 25.99, , , NOR, Norway, , , , , , , , , , 
Gregory,  Megan, 167, 24.86, , , USA, United States, , , , , , , , , , 
Curci,  Channing, 167, 24.86, , , USA, United States, , , , , , , , , , 
Toyama,  Ichigo, 169, 24.29, , , JPN, Japan, , , , , , , , , , 
Leenderts,  Anine, 170, 24.08, , 18, NOR, Norway, , , , , , , , , , 
Dhawornvej,  Lily, 171, 23.66, , , USA, United States, , , , , , , , , , 
Kondo,  Yuki, 172, 23.62, , , JPN, Japan, , , , , , , , , , 
Steeg,  Philippa, 173, 23.37, , , GER, Germany, , , , , , , , , , 
Wick,  Lura, 174, 23.11, , , SUI, Switzerland, , , , , , , , , , 
Rule,  Peyton, 175, 22.69, , , CAN, Canada, , , , , , , , , , 
Kostenko,  Elena, 176, 22.36, Spy | VR Boardwear | , 25, RUS, Russian Federation, Goofy, , Sankt-Peterburg, , , , , , , 
Hendrix,  Devin, 177, 21.07, , , USA, United States, , , , , , , , , , 
Norman,  Hahna, 178, 21.01, , , USA, United States, , , , , , , , , , 
Bietenholz,  Anouk, 179, 20.87, , , SUI, Switzerland, , , , , , , , , , 
Kristiansen Rue,  Andrea, 180, 19.98, , , NOR, Norway, , , , , , , , , , 
Shaw,  Maelle, 181, 19.72, , , CAN, Canada, , , , , , , , , , 
Douglas-Crampton,  Zoe, 182, 19.21, , , CAN, Canada, , , , , , , , , , 
Clarke,  Gabi, 183, 19.2, , , CAN, Canada, , , , , , , , , , 
Lisiecka,  Maria, 184, 19.04, , , NOR, Norway, , , , , , , , , , 
Klebeck,  Kiana, 185, 18.77, , , AUT, Austria, , , , , , , , , , 
Weinberg,  Rochelle, 186, 18.72, , , USA, United States, , , , , , , , , , 
Lee,  Bo Yeon, 187, 18.32, , , KOR, Korea, Republic of, , , , , , , , , , 
Kaneko,  Hinata, 188, 18.07, , , JPN, Japan, , , , , , , , , , 
Stalker,  Meila, 189, 17.64, , , AUS, Australia, , , , , , , , , , 
Olsen,  Gabby, 190, 17.49, , , CAN, Canada, , , , , , , , , , 
An,  Hyun Ju, 191, 17.41, , , KOR, Korea, Republic of, , , , , , , , , , 
Belikova,  Dariya, 191, 17.41, , , RUS, Russian Federation, , , , , , , , , , 
Mizuguchi,  Yuki, 193, 17.35, , , JPN, Japan, , , , , , , , , , 
Grempel,  Mia, 194, 17.27, , , GER, Germany, , , , , , , , , , 
Wang,  Hanhan, 194, 17.27, , , CHN, China, , , , , , , , , , 
Sprenger,  Samira, 196, 16.77, , , SUI, Switzerland, , , , , , , , , , 
McCafferty,  Brecken, 197, 16.57, , , USA, United States, , , , , , , , , , 
Moore,  Allison, 198, 16.32, , , CAN, Canada, , , , , , , , , , 
Kaneyama,  Narumi, 199, 15.58, , , JPN, Japan, , , , , , , , , , 
Haring,  Simone, 200, 15.38, , , SUI, Switzerland, , , , , , , , , , 
Hoshi,  Sarasa, 201, 14.86, , , JPN, Japan, , , , , , , , , , 
Graf,  Lynne, 202, 14.85, , , SUI, Switzerland, , , , , , , , , , 
Borders,  Chloe, 203, 14.59, , , USA, United States, , , , , , , , , , 
Wyss,  Merlin, 204, 13.02, , , SUI, Switzerland, , , , , , , , , , 
Isaacs,  Annika, 205, 12.76, , , USA, United States, , , , , , , , , , 
Topp Oye,  Nora Synnove, 206, 12.58, , , NOR, Norway, , , , , , , , , , 
Misund,  Ine Marie, 207, 12.54, , , NOR, Norway, , , , , , , , , , 
Eilertsen,  Hanne, 208, 12.43, , 21, NOR, Norway, Regular, , Voyenenga, , , , , , , 
Bowler,  Margaret Grace, 209, 12.27, , , USA, United States, , , , , , , , , , 
Plur De La Rosa,  Lucia, 210, 11.37, , 15, GER, Germany, , , , , , , , , , 
Liu,  Chenchen, 210, 11.37, , , CHN, China, , , , , , , , , , 
Imper,  Niah Johanna, 212, 11.25, , , SUI, Switzerland, , , , , , , , , , 
Morton,  Madeline, 213, 11.04, , , USA, United States, , , , , , , , , , 
Frothinger,  Ava, 214, 10.76, , , USA, United States, , , , , , , , , , 
Nelson,  Sydney, 215, 10.62, , , CAN, Canada, , , , , , , , , , 
Rix,  Lela, 216, 10.29, , , USA, United States, , , , , , , , , , 
Coubes,  Emma, 217, 10.02, , , SUI, Switzerland, , , , , , , , , , 
Lukaschek,  Ida, 218, 9.53, , , GER, Germany, , , , , , , , , , 
Bogart,  Ashley, 219, 9.43, , , USA, United States, , , , , , , , , , 
Lyu,  Zhikun, 220, 9.26, , , CHN, China, , , , , , , , , , 
Sato,  Megumi, 221, 8.99, Drake | Grenade | Northwave | Von Zipper | , 41, JPN, Japan, Regular, , Yokohamasi, , , , , , , 
Jung,  Dawoon, 222, 8.97, , 18, KOR, Korea, Republic of, , , , , , , , , , 
Aoki,  Tomomi, 223, 8.88, , , JPN, Japan, , , , , , , , , , 
Kokushkina,  Maria, 224, 8.3, , , RUS, Russian Federation, , , , , , , , , , 
Scott,  Penelope, 225, 8.12, , , USA, United States, , , , , , , , , , 
Burdick,  Magnolia, 226, 7.91, , , USA, United States, , , , , , , , , , 
Skinner,  Liliana, 227, 7.87, , , SUI, Switzerland, , , , , , , , , , 
Riberdy,  Alena, 228, 6.47, , , USA, United States, , , , , , , , , , 
Lounis,  Lénnie Camille, 229, 6.23, , , SUI, Switzerland, , , , , , , , , , 
Aulejtner,  Malgorzata, 230, 6.1, , , POL, Poland, , , , , , , , , , 
Mailer,  Molly, 231, 5.91, , , CAN, Canada, , , , , , , , , , 
Suzuki,  Miu, 232, 5.89, , , JPN, Japan, , , , , , , , , , 
Mueller,  Paulina, 233, 5.62, , , GER, Germany, , , , , , , , , , 
Ibaragi,  Yukiha, 234, 5.37, , , JPN, Japan, , , , , , , , , , 
Kutcher,  Olive, 235, 5.21, , , CAN, Canada, , , , , , , , , , 
Wild,  Aimee, 236, 5.08, , , USA, United States, , , , , , , , , , 
Reusser,  Eliane, 237, 4.91, , , SUI, Switzerland, , , , , , , , , , 
Sigg,  Lani Tara, 238, 4.64, , , SUI, Switzerland, , , , , , , , , , 
Gorshenina,  Anastasiya, 239, 4.06, , , RUS, Russian Federation, , , , , , , , , , 
Polatty,  Alana, 240, 3.75, , , USA, United States, , , , , , , , , , 
Golland,  Ella, 241, 3.07, , , SUI, Switzerland, , , , , , , , , , 
Kegode,  Zahra-Kadi, 242, 2.46, , , USA, United States, , , , , , , , , , 
Sundquist,  Eliana, 243, 1.71, , , CAN, Canada, , , , , , , , , , 
McCaffrey,  Angelina, 243, 1.71, , , CAN, Canada, , , , , , , , , , 
Demke,  Lisa, 245, 1.53, , , SUI, Switzerland, , , , , , , , , , 
Solomon,  Charley, 246, 1.45, , , CAN, Canada, , , , , , , , , , 
Pilloud,  Anja, 247, 1.22, , , USA, United States, , , , , , , , , , 
