position,lastname,firstname,nationality,age,"date of birth","WST Rider ID","fis code","number of results",points
48,Puenter,Nick,SUI,18,"2002-03-01 00:00:00",93061,9510443,"3 / (5)",301.12
49,Mattsson,Niklas,SWE,28,"1992-03-16 00:00:00",78135,9500081,"3 / (3)",298.17
50,Hofmann,Patrick,SUI,19,"2001-04-24 00:00:00",91716,9510412,"3 / (4)",294.48
51,Roisland,Mons,NOR,23,"1997-01-28 00:00:00",82747,9420133,"3 / (5)",293.92
52,Morauskas,Motiejus,LTU,,,88728,1783066,"3 / (5)",292.43
53,BARTET,Titouan,FRA,20,"2000-02-22 00:00:00",92081,9190436,"3 / (7)",285.37
54,Vicktor,Noah,GER,19,"2001-08-18 00:00:00",91469,9200131,"3 / (4)",283.52
55,Kadono,Yuki,JPN,24,"1996-05-18 00:00:00",80971,9300591,"2 / (2)",275.23
56,Jarvis,Carter,CAN,21,"1999-02-19 00:00:00",87781,9100655,"3 / (4)",275.00
57,Cornillat,Lucas,FRA,,,95768,9190465,"3 / (6)",273.62
58,Hamada,Kaito,JPN,21,"1999-10-14 00:00:00",89955,9300738,"3 / (3)",273.54
59,Frischhut,Lukas,AUT,,,92521,9050276,"3 / (8)",269.86
60,Pentecote,Eliot,FRA,,,91231,9190469,"3 / (5)",264.67
61,Schaerer,Michael,SUI,23,"1996-12-23 00:00:00",76241,9510290,"3 / (3)",263.07
62,Laesser,Martin,SUI,22,"1998-01-24 00:00:00",86861,9510407,"3 / (4)",260.62
63,Millauer,Clemens,AUT,25,"1994-12-15 00:00:00",86506,9050251,"3 / (3)",255.65
64,Koenen,Fynn,GER,,,91467,9200146,"3 / (6)",249.51
65,Rinnekangas,Rene,FIN,21,"1999-09-25 00:00:00",87638,9180149,"3 / (5)",249.26
66,Oliver,Lenny,FRA,,,91235,9190470,"3 / (6)",247.02
67,Strohmeyer,Till,AUT,18,"2002-05-07 00:00:00",94405,9200165,"3 / (7)",246.84
68,Lenchevskiy,Yaroslav,RUS,,,95784,9480723,"3 / (6)",246.47
69,Vockensperger,Leon,GER,21,"1999-08-25 00:00:00",91350,9200135,"3 / (4)",245.83
70,Watanabe,Rikuto,JPN,,,95432,9300985,"3 / (3)",245.68
71,Adams,Gabriel,GBR,17,"2003-02-14 00:00:00",90976,9220090,"3 / (3)",245.46
72,Boudjelal,Yannick,DZA,35,"1985-09-15 00:00:00",74281,9190018,"3 / (6)",243.79
73,Jaros,Samuel,SVK,,,84996,9700047,"3 / (3)",242.23
74,Bidegain,Pedro,ARG,,,90582,9030063,"3 / (5)",240.76
75,Moretti,Sacha,FRA,22,"1998-08-14 00:00:00",89521,9190363,"3 / (4)",240.12
76,Ehrler,Lukas,SUI,23,"1997-01-28 00:00:00",82753,9510368,"3 / (3)",238.82
77,Mathisen,William,SWE,,,94026,9500160,"3 / (4)",236.65
78,Owczarek,Krzysztof,POL,,,98408,9430170,"3 / (4)",235.02
79,Mack,Kyle,USA,23,"1997-07-06 00:00:00",71811,9530894,"3 / (3)",232.25
80,Venderotte,Tom,FRA,19,"2001-07-25 00:00:00",95769,9190453,"3 / (6)",231.60
81,Collins,Tiarn,NZL,20,"1999-11-09 00:00:00",93344,9410044,"3 / (4)",229.89
82,Kleivdal,Stian,NOR,23,"1997-04-29 00:00:00",82751,9420129,"3 / (6)",229.67
83,Gray,Nathan,FRA,19,"2000-11-28 00:00:00",87096,9220049,"3 / (4)",225.12
84,Salac,Kristian,CZE,,,86901,9150216,"3 / (3)",224.79
85,Framarin,Loris,ITA,22,"1998-01-01 00:00:00",80699,9290318,"3 / (5)",223.06
86,Rowe,Storm,USA,20,"2000-04-16 00:00:00",82041,9531153,"3 / (3)",220.61
87,McDermott,Eli,USA,,,96556,,"3 / (3)",215.09
88,Bergrem,Torgeir,NOR,29,"1991-09-20 00:00:00",74846,9420060,"3 / (4)",213.85
89,Teimurov,Mark,RUS,23,"1997-06-11 00:00:00",76906,9480585,"3 / (3)",211.35
90,Zulian,Emil,ITA,23,"1997-08-22 00:00:00",76950,9290265,"3 / (4)",210.21
91,Luckerbauer,David,AUT,20,"2000-06-10 00:00:00",87593,9050255,"3 / (8)",209.40
92,Suzuki,Atsuhiro,JPN,,,81739,9300782,"3 / (3)",207.78
93,Abozovik,Nikita,RUS,,,97494,9480695,"3 / (4)",207.07
94,Spalding,Cam,CAN,,,97420,9101189,"3 / (4)",205.75
95,Kolarevic,Janko,SRB,23,"1997-09-06 00:00:00",91808,9310008,"3 / (10)",200.88
96,Kikas,Marten,EST,,,89800,9390005,"3 / (4)",200.36
97,Wolf,Casper,NED,19,"2001-04-06 00:00:00",90986,9400067,"3 / (6)",199.59
98,Smelov,Aleksandr,RUS,24,"1996-04-22 00:00:00",92525,,"3 / (5)",199.06
99,Su,Yiming,CHN,,,100091,9120055,"2 / (2)",199.04
100,Stojak,Tino,CRO,,,92429,9380019,"2 / (2)",195.99
101,Fridbjornsson,Benedikt,ISL,16,"2004-06-14 00:00:00",89430,9250044,"3 / (3)",193.27
102,Zaczyk,MacIej,POL,,,101029,,"3 / (3)",193.05
103,Ayoubi,Hudson,AUS,,,90538,,"3 / (3)",191.76
104,Guetl,Leon,GER,19,"2001-03-19 00:00:00",89696,9200129,"3 / (3)",190.88
105,Vermaat,Sam,NED,,,94925,,"2 / (2)",189.14
106,Yamada,Yuto,JPN,,,98297,9300861,"2 / (2)",188.09
107,Moreno,Valentin,ARG,,,94369,9030115,"3 / (6)",186.65
108,Baskakov,Ilia,RUS,,,93422,9480640,"3 / (4)",185.58
109,Maligoj,Lenart,SLO,,,97723,9560223,"3 / (4)",185.41
110,Smith,Ethan,GBR,17,"2003-06-12 00:00:00",86275,9220081,"3 / (3)",182.92
111,Anishchanka,Pavel,BLR,,,90008,1664924,"3 / (5)",181.35
112,"De Sloover",Jules,BEL,,,92575,9060016,"3 / (5)",180.25
113,Jobin,Francis,CAN,22,"1998-09-21 00:00:00",84410,9100693,"3 / (4)",175.30
114,Kirkhus,Oyvind,NOR,,,93529,9420164,"3 / (3)",174.59
115,Schwan,Philip,GER,20,"2000-09-22 00:00:00",92396,9510433,"3 / (4)",174.39
116,Sandbech,Staale,NOR,27,"1993-06-03 00:00:00",74165,9420072,"2 / (2)",173.36
117,Breu,Moritz,GER,17,"2003-07-06 00:00:00",91598,9200161,"3 / (4)",170.58
118,Leleu,Martin,FRA,,,98129,9190535,"3 / (5)",169.21
119,Bergman,Joonas,FIN,20,"2000-05-15 00:00:00",93245,9180170,"3 / (3)",166.00
120,Framarin,Leo,ITA,,,86566,9290402,"3 / (3)",164.92
121,Merken,Julien,FRA,,,99265,,"3 / (5)",164.34
122,Rohrt,Odin,NOR,15,"2004-12-15 00:00:00",93544,9420169,"3 / (5)",163.51
123,Gyosharkov,Petar,BUL,24,"1996-06-29 00:00:00",88296,9090090,"3 / (3)",158.14
124,Gill,Liam,CAN,17,"2003-07-30 00:00:00",88090,9101051,"3 / (3)",158.09
125,Ciccarelli,Michael,CAN,24,"1996-09-04 00:00:00",79384,9100401,"3 / (4)",156.04
126,Landmark,Jesper,SWE,21,"1999-01-04 00:00:00",77181,9500137,"2 / (2)",154.96
127,Valjus,Antti,FIN,,,93252,9180191,"2 / (2)",154.88
128,Nevakivi,Aleksi,FIN,21,"1999-06-12 00:00:00",92580,9180169,"3 / (3)",153.16
129,Bullock-Womble,Fynn,USA,,,96984,,"2 / (2)",152.02
130,Healy,Will,USA,18,"2002-03-11 00:00:00",95407,9531311,"2 / (2)",149.37
131,Fisher,Beau,AUS,,,96028,,"2 / (2)",148.79
132,Yanez,Alvaro,CHI,18,"2002-01-01 00:00:00",82307,9110019,"3 / (4)",147.11
133,"van Hoeij",Dylan,BEL,16,"2003-11-26 00:00:00",92576,9060023,"3 / (4)",146.08
134,Tarakanov,Igor,RUS,,,97662,,"3 / (4)",144.63
135,Groterud,Magnus,NOR,,,93196,9420171,"3 / (4)",142.79
136,Mostovoi,Konstantin,RUS,,,100243,9480794,"3 / (3)",141.94
137,Sutton,Alfred,FRA,,,97381,,"3 / (5)",141.84
138,Ogiwara,Hiroto,JPN,,,86969,9300971,"2 / (2)",141.17
139,Deutinger,Maximilian,AUT,,,89417,9050261,"3 / (3)",139.89
140,Massitti,Mateo,CAN,19,"2001-04-09 00:00:00",87820,9100861,"2 / (2)",139.24
141,Ney,Oscar,FRA,,,91233,9190471,"3 / (6)",138.45
142,Herzenjak,Anej,SLO,,,95196,9560222,"3 / (5)",137.78
143,Maffei,Alberto,ITA,25,"1995-05-11 00:00:00",80676,9290315,"3 / (3)",137.34
144,Skhvediani,Jaba,GEO,,,96157,9680004,"3 / (3)",136.59
145,Katko,Grey,USA,,,97089,9531391,"2 / (2)",135.58
146,Jovic,Todor,SRB,,,97316,9310012,"3 / (5)",135.07
147,Almqvist,Gabriel,SWE,,,84586,9500158,"2 / (2)",134.93
148,Kaufmann,Moritz,AUT,20,"2000-07-20 00:00:00",86504,9050256,"3 / (4)",132.46
149,Edelman,"Stefan Vladislav",SRB,,,96158,9310013,"3 / (7)",131.43
150,Lee,Chaeun,KOR,,,95232,,"3 / (3)",129.35
151,Aizawa,Ryo,JPN,,,90217,9300740,"2 / (2)",128.16
152,Boggio,Davide,ITA,21,"1999-02-26 00:00:00",92713,9290338,"2 / (2)",127.49
153,Hrones,Jakub,CZE,,,88066,9150266,"2 / (2)",126.53
154,Schmitt,Matias,ARG,,,85559,9030045,"2 / (2)",126.49
155,Ozturk,Edis,BIH,,,97075,9710011,"3 / (7)",126.38
156,Koven,Sam,CAN,19,"2001-09-10 00:00:00",83283,9101044,"3 / (5)",125.53
157,Deriban,Karlo,MKD,,,100622,,"3 / (4)",122.30
158,Skjomming,Kristian,NOR,,,96484,,"3 / (4)",122.18
159,Tischendorf,Fridtjof,NOR,23,"1997-03-29 00:00:00",85722,9420140,"3 / (4)",121.12
160,Johnson,Liam,USA,,,98025,9531414,"3 / (3)",121.11
161,Taklo,Johannes,NOR,,,93190,9420163,"3 / (3)",120.90
162,Andrasovich,Uladzislau,BLR,,,96599,1664926,"3 / (4)",120.13
163,Ju,Sikyung,KOR,,,97863,9320200,"3 / (3)",119.94
164,Pauli,Stan,NED,18,"2002-10-05 00:00:00",92814,9400090,"3 / (3)",119.84
165,Finn,Finestone,CAN,,,96698,9101116,"3 / (5)",118.40
166,Kristjansson,Marino,ISL,19,"2000-12-01 00:00:00",89431,9250023,"3 / (3)",118.07
167,Laine,Juho,FIN,,,93963,,"2 / (2)",117.79
168,Irarrazaval,Inaqui,CHI,28,"1992-01-01 00:00:00",78005,9110006,"3 / (3)",116.20
169,Vilhelmsson,Baldur,ISL,,,94723,9250012,"3 / (4)",116.20
170,Jacob,Legault,CAN,,,96660,9101074,"3 / (5)",115.94
171,Petit,Noe,FRA,,,97878,9190518,"3 / (5)",115.33
172,Lotorto,"Alessandro Marco",SUI,,,86573,9510474,"2 / (2)",114.92
173,"Van Hoof",Ilias,BEL,21,"1999-05-05 00:00:00",89015,9060011,"3 / (5)",113.48
174,Lundstroem,Gustaf,SWE,22,"1998-01-17 00:00:00",92004,9500138,"3 / (3)",113.03
175,Rodriguez,Lukas,ESP,,,97669,9490234,"3 / (4)",111.55
176,Ironside,Glen,GBR,21,"1999-06-13 00:00:00",88103,9220050,"3 / (3)",110.87
177,Legac,Fran,CRO,,,97682,,"3 / (8)",109.68
178,Toledo,Antoni,ESP,,,97866,9490230,"3 / (5)",105.09
179,Kautonen,Valtteri,FIN,,,93246,9180186,"1 / (1)",104.77
180,Salleras,Narcis,ESP,,,99186,9490238,"3 / (3)",103.78
181,Obradovic,Petar,SRB,,,98196,9310037,"3 / (4)",103.61
182,Grkovic,Vladan,SRB,,,100055,,"3 / (4)",103.55
183,Partanen,Aatu,FIN,,,93237,9180192,"2 / (2)",102.89
184,"CHIARADIO DE LA IGLESIA",Federico,ARG,,,86254,9030049,"3 / (3)",102.75
185,Foy,Rakim,NED,18,"2002-02-13 00:00:00",92826,9400080,"2 / (2)",100.43
186,Fuser,"Elia Manuel",ITA,,,92591,,"2 / (2)",100.26
187,Petrovski,Marko,MKD,,,100621,,"3 / (4)",100.25
188,Gjerdalen,Bendik,NOR,22,"1998-01-26 00:00:00",88313,9420143,"3 / (3)",100.00
189,Tveiten,Sindre,NOR,22,"1998-04-05 00:00:00",92592,9420153,"3 / (3)",99.20
190,Denda,Jeremy,SUI,,,89233,9510488,"2 / (2)",98.23
191,Karahasanovic,Amar,BIH,,,90412,9710006,"3 / (7)",97.94
192,Kim,Sang-Jae,KOR,,,99260,,"3 / (3)",96.88
193,Couderc,Baptiste,FRA,,,92784,9190539,"3 / (3)",96.64
194,Laurenchikj,Vedran,MKD,,,100620,,"3 / (3)",95.44
195,Sanzhapov,Serhii,UKR,15,"2005-03-25 00:00:00",94172,,"2 / (2)",93.84
196,"Mork Danielsen",Sander,NOR,,,94623,,"3 / (3)",93.25
197,Agnew,Joshua,AUS,,,94290,9040258,"3 / (4)",93.04
198,Miller,Nicholas,USA,,,97836,1051577,"3 / (3)",92.31
199,Izzard,William,CAN,,,96696,9100653,"3 / (3)",91.56
200,Bosch,Anthon,RSA,24,"1996-04-16 00:00:00",84589,9500128,"2 / (2)",90.25
201,Vik,Sebastian,NOR,,,93197,9420165,"3 / (3)",89.77
202,Otsubo,Shuzaburo,JPN,16,"2003-11-14 00:00:00",97883,9300908,"2 / (2)",89.31
203,Matteoli,Ian,ITA,,,87524,,"2 / (2)",89.19
204,Teixeira,Augustinho,BRA,,,99140,,"3 / (5)",88.53
205,Mouton,Boris,SUI,23,"1997-01-24 00:00:00",81608,9190362,"2 / (2)",88.45
206,Bubic,Leon,CRO,,,97683,,"3 / (8)",87.71
207,"Le Fur",Honorio,FRA,,,95675,,"3 / (3)",86.93
208,Ganserer,Jakob,GER,,,98010,,"1 / (1)",86.80
209,Chomlack,Jadyn,CAN,18,"2002-09-19 00:00:00",91331,9101067,"3 / (3)",86.38
210,Soic,Mauro,CRO,,,100045,,"3 / (8)",85.10
211,Hasegawa,Taiga,JPN,,,93682,9300953,"1 / (1)",82.96
212,Vallieres,Tyler,USA,,,82920,9531257,"2 / (2)",82.65
213,Maglov,Aleksey,RUS,,,92527,9480570,"1 / (1)",82.44
214,Skenderovski,Bojan,MKD,,,98414,1754974,"3 / (3)",80.22
215,Fornes,Anders,NOR,,,94625,9420167,"2 / (2)",79.47
216,Shmurikov,Egor,RUS,,,100242,,"2 / (2)",79.30
217,Wega,Carter,CAN,,,93637,,"3 / (3)",79.17
218,Lotz,Peter,GER,,,98008,,"2 / (2)",79.07
219,Crouch,Brock,USA,21,"1999-08-22 00:00:00",80857,9531095,"1 / (1)",78.78
220,"Merimee Mantovani",Luca,FRA,,,92793,,"3 / (4)",78.19
221,Peeters,Lorenzo,BEL,,,83408,9060014,"1 / (1)",77.99
222,Holtzapfel,Casper,NED,,,92431,9400070,"1 / (1)",77.61
223,Kim,Gyeonguk,KOR,19,"2001-02-08 00:00:00",93169,,"3 / (4)",76.29
224,Demchuck,Keenan,CAN,,,96348,9101006,"3 / (4)",76.28
225,Frey,Leopold,GER,,,97271,,"3 / (3)",76.15
226,Arvanitidis,Theofilos,GRE,,,101030,,"3 / (3)",76.10
227,Yamase,Kensho,JPN,,,95425,9300989,"1 / (1)",76.03
228,Vogrin,Jan,SLO,,,95412,9560221,"3 / (3)",75.91
229,Fasola,Manuel,ARG,,,99139,9030146,"3 / (3)",75.29
230,Hordii,Yurii,UKR,,,99241,,"2 / (2)",74.32
231,"Kralj Kos",Bono,SLO,,,81401,9560208,"2 / (2)",73.75
232,Springinsfeld,Nahuel,ARG,,,94367,9030137,"2 / (2)",73.61
233,Retzlaff,Dave,USA,,,95411,9531294,"2 / (2)",73.54
234,Vaisanen,Emppu,FIN,,,93251,9180183,"2 / (2)",72.43
235,Tessand,Jakob,NOR,,,96483,,"2 / (2)",71.72
236,Thoenen,Moritz,SUI,23,"1996-12-09 00:00:00",82802,9510319,"2 / (2)",71.71
237,Olimstad,Markus,NOR,26,"1994-01-16 00:00:00",86945,9420146,"2 / (2)",71.13
238,Luengo,Esteeban,ARG,,,92346,,"2 / (2)",70.48
239,Fomchenko,Mihail,RUS,,,91985,9480573,"2 / (2)",70.11
240,Allemand,Romain,FRA,,,96542,,"3 / (3)",70.02
241,Tsuji,Haruhi,JPN,,,96829,9300947,"1 / (1)",69.94
242,Seo,Gyeong,KOR,,,96474,9320182,"3 / (3)",69.38
243,Balicco,Sacha,FRA,,,90414,9190371,"1 / (1)",68.46
244,Yang,Wenlong,CHN,,,96913,1124981,"2 / (2)",66.80
245,Kirkevoll,Embrik,NOR,,,94742,,"3 / (3)",66.75
246,Biogradlic,Faris,BIH,,,86398,1714997,"2 / (2)",66.67
247,"Perez Guerra",Ignasio,AND,,,100703,,"2 / (2)",66.40
248,Pesic,Nemanja,SRB,,,100625,,"2 / (2)",66.29
249,Vera,Dante,ARG,,,96045,9030109,"3 / (4)",66.19
250,Lee,Dongheon,KOR,,,100181,,"2 / (2)",66.18
251,Tagliaferro,Nahuel,AND,,,100538,,"3 / (3)",65.68
252,Weaver,Lane,CAN,17,"2003-05-10 00:00:00",93358,9101200,"3 / (3)",65.41
253,Steele,Sunny,AUS,17,"2003-10-14 00:00:00",96007,9040280,"3 / (4)",65.11
254,Antraygues,Zachary,FRA,,,92786,9190464,"3 / (3)",64.77
255,Kimura,Kira,JPN,,,98184,,"1 / (1)",64.57
256,Garandel,Liam,FRA,,,100495,,"3 / (3)",64.36
257,Nagasawa,Hayato,JPN,18,"2002-07-27 00:00:00",90211,9300814,"3 / (3)",64.04
258,Eckhoff,Mathias,NOR,21,"1999-01-10 00:00:00",88950,9420142,"2 / (2)",63.85
259,Minkov,Mihail,BUL,16,"2003-11-16 00:00:00",100355,9090149,"1 / (1)",62.72
260,Fricz,"Botond Istvan",HUN,19,"2000-12-29 00:00:00",90983,9240028,"1 / (1)",61.68
261,Biele,"Gian Andrin",SUI,17,"2003-06-20 00:00:00",88788,9510455,"2 / (2)",60.67
262,Lunn,Tobias,NOR,,,96211,,"3 / (3)",60.51
263,Leenderts,Emil,NOR,21,"1999-09-17 00:00:00",92106,9420154,"1 / (1)",60.43
264,Choi,Seongjun,KOR,,,100496,,"3 / (3)",60.31
265,Kaku,Shusei,JPN,,,98217,,"1 / (1)",59.80
266,Patronen,Roope,FIN,,,93244,,"2 / (2)",59.27
267,Huber,Niklas,GER,16,"2004-04-17 00:00:00",92995,9200181,"2 / (2)",58.52
268,Legac,Vid,CRO,,,100046,,"3 / (8)",58.39
269,Nunez,Jascha,AUT,,,100457,,"2 / (2)",58.15
270,Ogasawara,Senan,JPN,,,96846,9300916,"2 / (2)",57.70
271,Tourki,Liam,FRA,21,"1999-03-25 00:00:00",81604,9190385,"1 / (1)",57.58
272,Petrov,Vladislav,RUS,,,100239,9480830,"2 / (2)",57.14
273,Doumos,Ioannis,GRE,,,99209,,"3 / (4)",56.34
274,Vebra,Gytis,LTU,,,89866,1783067,"2 / (2)",56.29
275,Ulstein,Isak,NOR,22,"1998-03-02 00:00:00",82749,9420138,"2 / (2)",55.95
276,Mortenson,Jared,USA,,,98026,,"1 / (1)",55.93
277,Kakimoto,Yua,JPN,,,96834,,"1 / (1)",55.54
278,Pecanin,Nedim,BIH,,,90406,9710004,"3 / (3)",54.82
279,"Berdal Holm",Jonas,NOR,,,94621,,"2 / (2)",54.29
280,Frischhut,Paul,AUT,,,95051,,"2 / (2)",54.23
281,Stang,Karis,USA,,,96948,,"2 / (2)",53.38
282,"De Feo",Milco,ITA,,,86574,9290389,"2 / (2)",53.16
283,Sukke,Niklas,NOR,,,99329,,"3 / (3)",53.04
284,Darkov,Marko,MKD,,,98415,,"1 / (1)",52.95
284,Mair,Enzo,ARG,,,94385,,"1 / (1)",52.95
286,"Hovde Pettersen",Adrian,NOR,,,94745,,"2 / (2)",52.88
287,Tsitsos,Christos,GRE,,,99210,,"2 / (2)",52.01
288,Tsuji,Hinata,JPN,,,90216,9300779,"1 / (1)",51.72
289,Kerschhackl,Marco,ITA,20,"2000-09-24 00:00:00",91093,9290368,"1 / (1)",50.89
290,Goulet,Hunter,USA,,,97647,,"1 / (1)",50.20
291,Jaromin,Jan,POL,18,"2001-12-05 00:00:00",90873,9430152,"2 / (2)",50.08
292,"NDOUMBE MOUKOURI",Natan,FRA,15,"2004-12-02 00:00:00",92797,9190523,"3 / (3)",49.12
293,Kreienbuehl,"Gabriel Tim",SUI,,,91077,,"2 / (2)",49.03
294,Depriest,Brooklyn,USA,14,"2006-02-21 00:00:00",96997,,"2 / (2)",48.91
295,Miyamura,Yuto,JPN,,,97916,,"1 / (1)",48.26
296,Groeneveld,Kai,NED,16,"2004-04-27 00:00:00",92837,9400102,"2 / (2)",48.15
297,Andonov,Bojan,MKD,,,91805,1759990,"2 / (2)",48.05
298,Stevens,Liam,CAN,23,"1997-03-21 00:00:00",86792,9100515,"2 / (2)",46.42
299,Alkefjaerd,Daniel,SWE,23,"1997-07-13 00:00:00",89248,9500140,"2 / (2)",46.05
300,Lehwald,Lasse,DEN,23,"1997-08-29 00:00:00",93003,1174975,"2 / (2)",46.01
301,Behensky,Lukas,AUT,,,97666,,"1 / (1)",45.85
302,Menzies,Dane,CAN,15,"2005-03-27 00:00:00",92604,9101168,"2 / (2)",45.78
303,Roll,Bo,NOR,,,98270,,"3 / (3)",45.08
304,"KRALJ KOS",Max,SLO,,,81399,9560168,"1 / (1)",44.73
305,Lee,Minsik,KOR,20,"2000-07-05 00:00:00",91111,9320133,"2 / (0)",44.64
306,Bucher,Jeremy,SUI,,,92981,9510487,"2 / (2)",44.12
307,Kristjansson,"Egill Gunnar",ISL,,,95745,9250004,"1 / (1)",43.72
308,Kallo,Sami,FIN,,,93249,9180167,"3 / (3)",43.70
309,Baez,"Gonzalo Daniel",ARG,,,94383,9030129,"2 / (2)",43.11
310,Yanez,Benjamin,CHI,17,"2003-01-01 00:00:00",82306,9110030,"2 / (2)",43.03
311,Haefliger,Lars,SUI,,,97424,,"2 / (2)",42.54
312,Shirakawa,Mafuyu,JPN,,,81765,9300775,"1 / (1)",42.23
313,"Traasdahl Fornes",Anders,NOR,,,100518,,"1 / (1)",42.23
314,Figueras,Santiago,ARG,,,92338,9030141,"2 / (2)",42.04
315,Moller,Justo,ARG,,,92968,9030140,"2 / (2)",41.81
316,Bastiaansen,Erik,NED,22,"1998-02-23 00:00:00",86114,9400045,"1 / (1)",41.47
317,Nieto,Leo,FRA,,,92078,9190434,"1 / (1)",41.42
318,Ferry,Lucas,USA,,,85132,9531505,"1 / (1)",41.25
319,Christensson,Conner,CAN,18,"2002-10-22 00:00:00",96177,9101053,"2 / (2)",40.76
320,Gennero,Lorenzo,ITA,23,"1997-06-30 00:00:00",86558,9290295,"1 / (1)",40.68
321,"Mikalsen Ostby",Simon,NOR,,,97886,,"2 / (2)",40.09
322,Comeau,Lucas,CAN,18,"2002-08-12 00:00:00",91459,9100941,"2 / (2)",39.99
323,Kim,Taewook,KOR,,,99345,,"3 / (3)",39.65
324,Williams,Max,USA,,,94556,9531317,"1 / (1)",39.60
