position,lastname,firstname,nationality,age,"date of birth","WST Rider ID","fis code","number of results",points
35,Rummel,Courtney,USA,,,96267,,"3 / (10)",347.07
36,Vatne-Larsen,"Thea Cassandra",NOR,19,"2000-12-06 00:00:00",93231,,"3 / (4)",338.15
37,Pancochova,Sarka,CZE,29,"1990-11-01 00:00:00",74989,1159968,"3 / (5)",338.06
38,Mueller,Lena,SUI,17,"2003-01-21 00:00:00",90856,9515207,"3 / (4)",333.67
39,Lantos,Emma,AUT,,,94643,9055092,"3 / (11)",333.33
40,Carlson,Jackie,CAN,,,93334,9105425,"3 / (5)",329.90
41,Kosova,Ekaterina,RUS,24,"1996-04-25 00:00:00",92144,9485164,"3 / (4)",327.47
42,Niemelae,Carola,FIN,21,"1999-02-11 00:00:00",93235,9185071,"3 / (7)",324.79
43,Boesch,Lia-Mara,SUI,26,"1994-09-03 00:00:00",86595,9515157,"3 / (5)",323.23
44,Danuser,Mona,SUI,,,93677,9515205,"3 / (4)",322.08
45,Silvestre,Lucie,FRA,,,84726,9195196,"3 / (9)",320.52
46,Kotani,Yui,JPN,,,99481,,"3 / (3)",315.12
47,Wuorivirta,Karoliina,FIN,,,93968,9185077,"3 / (7)",313.03
48,Onitsuka,Miyabi,JPN,22,"1998-10-12 00:00:00",86188,9305286,"3 / (3)",311.79
49,"Espeli Olsen",Stine,NOR,,,92492,9425055,"3 / (11)",308.08
50,Stalker,Meila,AUS,,,97604,,"3 / (6)",303.45
51,Larochaix,Thalie,FRA,21,"1999-01-14 00:00:00",81637,9195178,"3 / (5)",303.40
52,Fennell,Amber,GBR,13,"2007-02-23 00:00:00",95816,,"3 / (8)",301.37
53,Smith,Hollie,GBR,,,98128,9225022,"3 / (9)",300.21
54,Crompton,Maggie,CAN,,,94719,9105461,"3 / (10)",296.57
55,Maas,Cheryl,NED,36,"1984-09-28 00:00:00",17515,1409999,"3 / (4)",294.32
56,Rong,Ge,CHN,,,100177,9125121,"3 / (8)",293.42
57,Candrian,Sina,SUI,31,"1988-11-21 00:00:00",52643,9515010,"3 / (3)",292.96
58,Iwabuchi,Reira,JPN,18,"2001-12-14 00:00:00",81781,9305338,"2 / (2)",290.01
59,Thurgood,Jade,USA,,,95866,9535487,"3 / (4)",288.61
60,Flemming,Nadja,GER,24,"1995-12-07 00:00:00",90909,9205073,"3 / (6)",284.61
61,Adams,Kaitlyn,USA,15,"2005-09-16 00:00:00",90636,9535573,"3 / (6)",280.94
62,Kreisingerova,Marie,CZE,,,87889,9155054,"3 / (6)",278.36
63,Kozuback,Kamilla,CAN,16,"2004-05-05 00:00:00",93492,9105435,"3 / (9)",275.90
64,Immonen,Veera,FIN,,,95738,9185079,"3 / (4)",272.32
65,Roll,Bettina,NOR,,,92495,9425056,"3 / (6)",269.05
66,Traub,Terra,TPE,,,100993,,"3 / (4)",266.32
67,Gendron,Andie,CAN,17,"2003-09-03 00:00:00",88253,9105441,"3 / (7)",263.60
68,Wakushima,Cool,NZL,,,97576,9415037,"3 / (3)",259.18
69,Bischof,Babet,SUI,20,"2000-04-22 00:00:00",92594,9515178,"3 / (5)",258.06
70,Bockhorni,Heli,GER,,,93814,,"3 / (6)",257.60
71,Hahnl,Marie,GER,,,95335,9205088,"3 / (7)",256.28
72,Zaveska,Laura,CZE,13,"2006-10-30 00:00:00",99223,,"3 / (4)",255.57
73,Weiler,Danielle,USA,,,96933,,"3 / (3)",254.01
74,Volopichova,Vanessa,CZE,,,99076,,"3 / (3)",252.03
75,Sorensen,Ella,USA,,,98868,,"3 / (8)",248.57
76,Medlova,Klaudia,SVK,26,"1993-10-26 00:00:00",81727,1709938,"3 / (3)",248.20
77,Mittermueller,Silvia,GER,37,"1983-08-08 00:00:00",32669,1708267,"3 / (4)",245.63
78,Rose,Acacia,NOR,,,94573,9425058,"3 / (6)",243.94
79,Brookes,Mia,GBR,,,97672,,"3 / (3)",238.29
80,Tanno,Livia,SUI,18,"2002-07-27 00:00:00",92535,9515187,"3 / (4)",237.62
81,Romanova,Varvara,RUS,,,97654,,"3 / (7)",237.53
82,Moroco,Alyssa,USA,,,96934,,"3 / (7)",234.57
83,Coady,Tess,AUS,19,"2000-11-02 00:00:00",90557,9045103,"1 / (1)",233.33
84,Yoshika,Yuri,JPN,24,"1996-02-22 00:00:00",84863,9305266,"3 / (3)",233.15
85,Kampesaether,Live,NOR,,,100428,,"3 / (3)",232.53
86,Avelar,Rori,USA,,,98723,9535546,"3 / (5)",232.25
87,Somaini,Carla,SUI,29,"1991-10-13 00:00:00",80734,9515153,"2 / (2)",232.05
88,Hahnl,Laura,GER,,,95336,,"3 / (7)",230.24
89,Mylius,Maria,NOR,,,92494,9425054,"3 / (8)",228.76
90,Hanicova,Eva,SVK,,,97628,1709950,"3 / (7)",225.99
91,Dhondt,Brooke,CAN,15,"2005-03-09 00:00:00",93624,,"3 / (5)",217.68
92,Engholm,Novalie,SWE,,,100426,,"3 / (4)",214.25
93,"Plur De La Rosa",Manola,GER,14,"2006-08-03 00:00:00",96340,,"3 / (6)",211.15
94,Sakakibara,Kokona,JPN,,,99510,,"3 / (4)",210.64
95,Kellogg,Makayla,USA,18,"2002-03-06 00:00:00",94174,,"3 / (4)",208.24
96,Saarela,Enni,FIN,,,96441,,"3 / (5)",204.93
97,Marguerite,Sweeney,CAN,,,95650,9105386,"3 / (7)",202.04
98,Nakagawa,Ayano,JPN,,,97902,,"3 / (6)",199.87
99,"O Brien",Spencer,CAN,32,"1988-02-02 00:00:00",20671,7105013,"3 / (3)",198.14
100,Hallen,Veda,USA,,,98864,,"3 / (6)",197.38
101,Ren,Ziyan,CHN,,,96056,9125012,"3 / (4)",197.23
102,Fukada,Mari,JPN,,,100741,,"3 / (4)",195.30
103,Hyatt,Kianah,CAN,18,"2002-08-28 00:00:00",92616,9105404,"3 / (6)",195.05
104,Hendrix,Barrett,USA,,,96988,,"3 / (9)",194.53
105,Guo,Junyan,CHN,,,96919,9125071,"3 / (4)",194.11
106,Equy,Noemie,FRA,,,92072,9195205,"3 / (10)",192.98
107,"Williams ",Darcy-Jane,GBR,,,99215,,"3 / (5)",192.13
108,Cowan,Lola,USA,,,98229,,"3 / (6)",191.29
109,Tomanova,Anna,CZE,,,99077,,"3 / (5)",190.93
110,Suitiala,Ella,FIN,31,"1989-10-01 00:00:00",85514,9185036,"2 / (2)",188.85
111,Steeg,Philippa,GER,,,98609,,"3 / (5)",187.25
112,Yoshida,Remi,JPN,,,99482,,"3 / (5)",187.01
113,Colsters,Shania,NED,,,99298,,"3 / (4)",186.69
114,"Lane Hopkins","Luca Mai",GBR,17,"2002-11-13 00:00:00",96140,9225011,"3 / (5)",185.99
115,Poluzzi,Marilu,ITA,,,86549,9295175,"3 / (5)",184.41
116,Kolodziej,Shirly,SUI,,,94140,,"3 / (3)",182.85
117,Raisanen,Ida,FIN,,,93268,9185070,"3 / (4)",182.75
118,Yanez,Antonia,CHI,21,"1999-10-05 00:00:00",96053,1119982,"3 / (3)",179.81
119,Lehtinen,Sini,FIN,20,"2000-05-25 00:00:00",93267,9185075,"3 / (4)",179.33
120,Zvadova,Viktorie,CZE,,,99225,,"3 / (5)",178.28
121,"Van Vreden",Romy,NED,,,94927,9405053,"3 / (5)",173.89
122,"Espeli Olsen",Kamilla,NOR,,,96132,,"3 / (6)",172.12
123,Napess,Lounah,CAN,,,96609,9105474,"3 / (5)",169.35
124,Bogdanova,Elizaveta,RUS,,,91094,9485287,"3 / (3)",169.24
125,Pribosic,Urska,SLO,30,"1990-07-26 00:00:00",79937,1569959,"2 / (2)",167.80
126,Kashevnik,Nika,RUS,,,94714,9485307,"3 / (3)",166.85
127,Derminio,Lauren,USA,,,99121,,"3 / (5)",166.37
129,Stepanova,Eseniya,RUS,,,97655,,"3 / (4)",161.89
130,Morii,Kiara,JPN,,,96870,,"2 / (2)",161.07
131,Norman,Hahna,USA,,,98869,,"3 / (5)",161.06
132,Stroh,Karolina,GER,,,94810,,"3 / (4)",159.45
133,Luurila,Maija,FIN,,,95658,,"3 / (4)",159.11
134,Sano,Kokomi,JPN,,,100742,,"3 / (4)",157.84
135,Holzfeind,Kristina,AUT,,,99217,,"3 / (6)",157.02
136,Duchow,Ellie,USA,,,97817,9535539,"3 / (4)",154.32
137,Li,Dongyu,CHN,,,93917,9125005,"3 / (3)",152.95
138,Salgueira,Luan,FRA,19,"2001-01-01 00:00:00",81655,9190442,"3 / (4)",152.14
139,Fillion,Oceane,CAN,22,"1998-09-02 00:00:00",91853,9105340,"3 / (3)",151.99
140,Flynn,Rebecca,USA,,,98765,,"3 / (4)",149.83
141,Salis,Andrina,SUI,,,93064,,"3 / (3)",149.63
142,Jaakkola,Milja,FIN,,,95667,,"3 / (4)",149.38
143,Kvamme,Jenny,NOR,,,98269,,"3 / (4)",149.07
144,Kostenko,Elena,RUS,25,"1995-08-29 00:00:00",89882,9485178,"3 / (5)",146.73
145,Suzuki,Momo,JPN,,,100744,,"3 / (4)",146.55
146,Loginova,Anastasiia,RUS,,,94603,9485339,"3 / (5)",144.62
147,Zung,Kiara,AUT,,,92700,9055102,"3 / (3)",144.07
148,Kimura,Ryo,JPN,,,91139,9305360,"3 / (4)",142.75
149,Kulik,"Kristyna Leony",CZE,,,96147,9155039,"3 / (3)",140.80
150,Maeda,Suzuha,JPN,,,98211,9305453,"1 / (1)",140.72
151,Sarkipaju,Telma,FIN,,,97426,9185080,"3 / (3)",140.49
152,Dowley,Eve,AUS,,,96015,9045123,"3 / (5)",138.45
153,Birkkjaer,Bailey,CAN,23,"1996-12-14 00:00:00",91463,9105343,"3 / (3)",137.84
154,Jugovac,Lea,CRO,25,"1994-11-07 00:00:00",86375,1389930,"3 / (6)",135.26
155,Gale,Madison,CAN,18,"2002-03-19 00:00:00",95604,9105430,"3 / (9)",134.42
156,Tmusic,Katarina,SRB,,,95753,9315001,"3 / (7)",133.33
157,Zvadova,Sara,CZE,,,99224,,"3 / (3)",130.63
158,Araya,Rino,JPN,,,95790,9305377,"3 / (6)",128.48
159,Zhai,Yue,CHN,,,92445,1129993,"2 / (2)",127.53
160,Komuro,Yuna,JPN,19,"2000-11-19 00:00:00",81776,,"2 / (2)",125.95
161,Harinen,Ada,FIN,,,100611,,"3 / (3)",125.47
162,Cook,Ava,CAN,,,97943,,"3 / (7)",125.18
163,Ignjatov,Jelena,SRB,25,"1995-05-22 00:00:00",95314,1319997,"3 / (7)",124.70
164,Grempel,Mia,GER,,,93576,9205089,"2 / (2)",122.66
165,Aizawa,Mao,JPN,,,90219,9305334,"2 / (2)",121.61
166,Cospolich,Alina,USA,,,96935,,"3 / (6)",121.50
167,Evensen,Emilie,NOR,33,"1987-07-14 00:00:00",70621,,"2 / (2)",121.08
168,"Plur De La Rosa",Lucia,GER,,,97275,,"3 / (6)",120.94
169,Zhang,Tong,CHN,,,96059,9125011,"2 / (2)",120.89
170,Hjalland,Tina,NOR,,,99331,,"3 / (3)",119.26
171,Phillips,Molly,FRA,,,94632,9195252,"2 / (2)",116.70
172,Bakke,Emma,NOR,,,95307,,"3 / (4)",115.79
173,Maheux,Emeraude,CAN,,,97928,,"3 / (6)",115.16
174,Burri,Ariane,SUI,20,"2000-04-14 00:00:00",88779,9515168,"3 / (3)",114.63
175,Walker,Jenna,CAN,,,98468,,"3 / (4)",113.76
176,Rue,"Thea Christine",NOR,,,99333,,"3 / (4)",112.96
177,Chen,Alexandra,AUS,,,92293,9045098,"3 / (4)",111.50
178,Loetscher,Isabelle,SUI,,,88803,9515197,"3 / (3)",108.51
179,Lora,Anna,AUT,26,"1994-08-18 00:00:00",93604,,"3 / (5)",105.75
180,"Kristiansen Rue",Andrea,NOR,,,99339,,"1 / (1)",105.52
181,Mauro,Bella,USA,,,96936,,"3 / (5)",105.03
182,Kato,Imari,JPN,,,100743,,"2 / (2)",104.26
183,Nastic,Nicole,CRO,,,98192,,"3 / (7)",102.33
184,Zaradna,Paulina,POL,,,99563,,"3 / (3)",101.67
185,MacIejewska,Martyna,POL,,,97670,9435081,"3 / (4)",100.92
186,Johansen,Hege,NOR,,,97101,,"3 / (4)",100.77
187,Klacar,Asja,BIH,,,97369,1719915,"3 / (7)",100.00
187,Cornell,Nora,ESP,,,100531,,"3 / (3)",100.00
189,Geremia,Felicity,CAN,,,96569,,"3 / (5)",99.60
190,Benneker,Olivia,SUI,,,94955,,"3 / (3)",97.27
191,Elvy,Sascha,AUS,,,99422,,"3 / (6)",96.65
192,Sakakibara,Niina,JPN,,,99507,,"3 / (4)",95.85
193,McCaffrey,Angelina,CAN,,,98488,,"3 / (3)",93.83
194,Pizzutto,Matilde,ITA,,,99006,9295192,"3 / (3)",91.54
195,"Poggi Silveira",Morena,ARG,,,97540,1039981,"3 / (6)",90.97
196,Li,Rongrong,CHN,,,100226,,"2 / (2)",89.94
197,Locatin,Giorgia,ITA,,,80688,9295119,"2 / (2)",87.96
198,Walz,Janina,GER,12,"2008-01-01 00:00:00",100769,,"3 / (3)",87.62
199,Leenderts,Anine,NOR,18,"2001-11-05 00:00:00",93207,,"1 / (1)",87.59
200,Scheidegger,Yuna,SUI,,,96744,,"3 / (3)",87.45
201,"Chavez Martinez","Maria Azul",ARG,,,96050,1039974,"3 / (7)",86.96
202,Mueller,Paulina,GER,,,99291,,"3 / (6)",86.42
203,Takizawa,Futaba,JPN,,,100597,,"3 / (3)",85.97
204,Allen,Cerys,GBR,20,"2000-04-20 00:00:00",82326,9225010,"2 / (2)",85.70
205,Jin,Rongxi,CHN,,,100219,,"3 / (4)",84.98
206,Hlynsdottir,"Anna Kamilla",ISL,,,97436,1259947,"3 / (5)",84.33
207,Desjardins,Rose,CAN,,,96236,,"3 / (4)",82.56
208,Gennero,Emma,ITA,,,87512,9295171,"2 / (2)",82.04
209,Tsuchiya,Hanon,JPN,,,100767,,"3 / (4)",81.94
210,Collins,Kaiya,NZL,,,97605,,"2 / (2)",81.60
211,Haensel,Ronja,AUT,,,96457,9055105,"3 / (3)",81.28
212,Osther,Cornelia,NOR,,,97645,,"2 / (2)",80.71
213,Heinonen,Heta,FIN,,,100164,,"3 / (3)",80.66
214,Remans,Sky,BEL,,,99807,,"2 / (2)",80.23
215,Kaikuranta,Jasmin,FIN,,,96551,,"3 / (3)",79.21
216,"Da Silva",Aroa,ESP,,,100532,,"3 / (3)",78.89
217,Hill,Maisie,GBR,19,"2001-02-12 00:00:00",92534,9225000,"3 / (3)",78.58
218,Martinelli,Olga,ITA,,,97277,9295173,"1 / (1)",77.98
219,Schipani,Elena,USA,,,98861,,"2 / (2)",77.74
220,Peck,Dana,USA,,,98027,,"2 / (2)",77.52
221,Steinthorsdottir,Bergdis,ISL,,,99035,,"3 / (3)",77.03
222,Sebkova,Tereza,CZE,,,94190,9155035,"2 / (2)",76.03
223,Hasler,Leonie,SUI,,,99622,,"1 / (1)",75.90
224,Paul,Ilvy,AUT,,,96749,,"3 / (3)",75.87
225,Maekawa,Saya,JPN,,,99506,,"3 / (3)",75.66
226,Chymcakova,Anna,CZE,,,100443,,"3 / (3)",75.26
227,Boland,Riley,CAN,,,99948,,"3 / (3)",74.97
228,"Seijas Fidalgo",Andrea,ESP,,,100851,,"3 / (3)",73.98
229,Healey,Nora,USA,22,"1998-06-16 00:00:00",84507,9535374,"3 / (3)",73.73
230,Coumont,Summer,CAN,,,96589,,"3 / (3)",73.61
231,Ikola,Henna,FIN,22,"1998-04-26 00:00:00",84790,9185051,"3 / (3)",73.03
232,Oram,Viviana,USA,,,98764,,"3 / (4)",73.01
233,Utsumi,Kirari,JPN,,,98177,,"3 / (3)",72.85
234,Petkovska,Marija,MKD,,,99797,,"3 / (3)",71.71
235,Wright,Emily,CAN,,,100143,,"2 / (2)",70.08
236,Paul,Ronja,AUT,,,96750,,"2 / (2)",69.89
237,Kato,Hinoka,JPN,,,99512,,"2 / (2)",69.89
238,Herleiksplass,Karoline,NOR,22,"1997-10-21 00:00:00",74162,9425039,"1 / (1)",69.51
239,Valcl,"Tinkara Tanja",SLO,,,95193,9565009,"2 / (2)",68.82
240,Tan,Chu,CHN,,,100220,,"3 / (4)",68.60
241,"Dahle Stavanes",Eira,NOR,,,100429,,"3 / (3)",68.31
242,Merickova,Eliska,CZE,,,99073,,"3 / (3)",68.04
243,Overland,Ashyln,USA,,,100710,,"3 / (3)",67.00
244,Murase,Yura,JPN,,,93686,,"1 / (1)",66.67
245,Ren,Zizheng,CHN,,,96060,9125013,"2 / (2)",66.32
246,Murawskaia,Darina,BLR,,,92426,1669960,"3 / (3)",65.74
247,Watanabe,Nami,JPN,,,98164,,"2 / (2)",64.82
248,Kokushkina,Maria,RUS,,,100234,,"3 / (3)",64.43
249,Hlynsdottir,"Unnur Solveig",ISL,,,97439,1259948,"3 / (3)",63.83
250,Petrig,Celia,SUI,25,"1995-02-28 00:00:00",80756,9515142,"1 / (1)",63.36
251,"Van Lieshout",Sam,NED,,,94630,,"1 / (1)",63.03
252,"Jong De",Jacquelina,NED,14,"2006-03-08 00:00:00",88775,,"1 / (1)",62.49
253,Roegenaes,"Caroline Amalie",NOR,,,100435,,"1 / (1)",62.33
254,Moffat,Krystina,CAN,,,99401,,"2 / (2)",61.84
255,Ito,Kureha,JPN,,,99509,,"3 / (3)",61.38
256,Bruck,Sophia,USA,,,100654,,"3 / (3)",61.14
257,Starblanket,Ava,CAN,,,98467,,"3 / (3)",60.23
258,"Van Griensven",Demi,NED,,,99818,,"1 / (1)",60.16
259,Bogart,Kailey,USA,,,98061,,"1 / (1)",59.94
260,Oswald,Ronja,SUI,,,98603,,"1 / (1)",59.54
261,Kunitake,Maki,JPN,,,95000,9305336,"1 / (1)",58.94
262,Arvanitidou,Eleni,GRE,,,100629,,"3 / (4)",58.77
263,Pouch,Olivie,CZE,,,99294,,"2 / (2)",58.39
264,Banados,"Maria Teresa",CHI,,,96048,1119984,"3 / (5)",58.35
265,Spalding,Avery,CAN,,,93332,,"1 / (1)",58.08
266,Gregori,Jennifer,ITA,23,"1997-04-10 00:00:00",81850,9295189,"1 / (1)",57.13
266,Klacar,Adna,BIH,,,97368,1719914,"3 / (6)",57.13
268,Cook,Kaeleigh,CAN,,,98481,,"3 / (7)",56.86
269,Olejniczak,Emma,FRA,,,99923,,"2 / (2)",56.82
270,Gerry,Isabella,USA,,,100989,,"3 / (3)",56.78
271,Okado,Rion,JPN,,,99505,,"2 / (2)",55.49
272,Raun,Lissel,EST,,,100098,1399913,"2 / (2)",55.38
273,Sanchez,Selenata,ESP,,,100509,,"1 / (1)",55.31
274,Jekel,Lily,AUS,,,97547,,"3 / (4)",54.49
275,Kuoppala,Khaila,FIN,,,100163,,"2 / (2)",54.23
276,Saijo,Karen,JPN,,,99504,,"3 / (4)",54.15
277,Puustinen,Reetta,FIN,,,100162,,"1 / (1)",53.76
278,Kono,Kanna,JPN,,,99652,,"2 / (2)",52.79
279,Forno,"Anna Maria",ITA,,,97115,,"1 / (1)",52.32
280,Suzuki,Tokuko,JPN,,,76161,9305308,"1 / (1)",51.99
281,Pecanin,Uma,BIH,,,99364,,"2 / (2)",51.99
282,Gorshenina,Anastasiya,RUS,,,101082,,"1 / (1)",51.89
283,Meier,Julia,SUI,,,94951,,"1 / (1)",51.37
284,Springinsfeld,Camila,ARG,,,94358,1039970,"2 / (2)",50.63
285,Klemm,"Lua Marie",GER,,,99064,,"2 / (2)",49.79
286,Good,Natalie,NZL,30,"1990-01-09 00:00:00",84755,9415023,"1 / (1)",49.78
287,Misund,"Ine Marie",NOR,,,92496,9425053,"2 / (2)",49.67
288,Wada,Rein,JPN,,,95427,9305375,"2 / (2)",49.03
289,Thomassen,Ziggy,NED,,,99229,,"1 / (1)",48.75
290,"Hekne Herskedal",Aliya,NOR,,,100719,,"1 / (1)",48.59
291,Meersteiner,Madeleine,GER,,,92987,,"1 / (1)",48.40
292,Heimoz,Anina,SUI,,,99958,,"1 / (1)",47.88
293,Dobreska,Neda,MKD,,,99203,,"3 / (5)",47.80
294,Fuchs,Joanna,GER,,,100439,,"3 / (3)",47.77
295,Karrer,Sophia,AUT,,,100508,,"2 / (2)",46.97
296,Smirnova,Maria,RUS,,,100233,,"1 / (1)",46.69
296,Proydina,Juliya,RUS,,,94583,9485309,"1 / (1)",46.69
298,"Van Griensven",Daniek,NED,,,99234,,"1 / (1)",46.39
299,Kvaale,Mette,NOR,,,95876,,"1 / (1)",45.76
300,Hara,Yukino,JPN,,,95185,9305433,"1 / (1)",45.71
301,Milutinovic,"Angelina Gina",SRB,,,92997,9315000,"2 / (2)",45.48
302,Cardone,Amanda,CHI,,,99124,,"2 / (2)",45.04
303,Grangila,Elena,ITA,,,99184,,"1 / (1)",44.73
304,Okado,Riria,JPN,,,100762,,"3 / (3)",44.53
305,Gorcsosova,Ella,SVK,,,101011,,"1 / (1)",44.52
306,Schindler,Jule,GER,,,100963,,"1 / (1)",43.77
307,Nakamori,Hanna,JPN,,,100830,,"1 / (1)",43.56
308,Nerandzic,Nadja,SRB,,,99205,,"3 / (3)",42.83
309,Noskova,Denisa,CZE,,,99864,,"2 / (2)",42.45
310,Arellano,Josefa,CHI,,,100201,,"3 / (3)",42.43
311,Mikuni,Momoka,JPN,,,99552,9305446,"2 / (2)",42.22
312,Scott,Penelope,USA,,,100253,,"3 / (4)",41.91
313,Reinalter,Anna-Selina,SUI,,,99959,,"1 / (1)",41.76
314,Wilson,Beth,CAN,19,"2001-09-28 00:00:00",91609,9105393,"2 / (2)",41.53
315,Marzinotto,Laura,CAN,,,100144,,"1 / (1)",41.35
316,Merkhoffer,Melina,GER,26,"1994-01-09 00:00:00",82929,9205071,"2 / (2)",40.84
317,Larkiala,Stella,FIN,,,96552,,"2 / (2)",40.40
318,Tanaka,Yuna,JPN,,,89378,,"1 / (1)",40.00
319,Karrer,Hanna,AUT,,,100507,,"2 / (2)",39.39
320,Coffey,Peighton,USA,,,98726,,"2 / (2)",39.32
321,Wick,Lura,SUI,,,98256,,"1 / (1)",39.06
322,Olsen,Gabby,CAN,,,100601,,"3 / (3)",38.92
323,Ewoldt,Django,USA,,,95849,9535584,"2 / (2)",38.75
324,Hipp,Helene,GER,,,100964,,"1 / (1)",38.27
325,Antyasova,Tianina,RUS,,,100236,,"2 / (2)",37.97
326,Belikova,Dariya,RUS,,,94713,9485308,"1 / (1)",37.75
327,Black,Margie,USA,,,96505,9535502,"1 / (1)",37.75
327,Willemsen,Zoë,NED,,,99742,,"1 / (1)",37.75
329,Ghostkeeper,Mya,CAN,,,97859,,"2 / (2)",36.81
330,Janett,Soha,SUI,,,99519,,"1 / (1)",36.54
331,Naudi,Aixa,AND,,,100525,,"3 / (3)",36.54
332,Johnsen,Pia,NOR,,,100430,,"2 / (2)",36.29
333,Bachmann,Johanna,GER,,,99290,,"2 / (2)",35.98
334,Charlec,Maelis,FRA,,,98664,9195263,"1 / (1)",35.80
335,Krasneva,Varvara,CAN,23,"1997-09-08 00:00:00",95439,9105403,"1 / (1)",35.56
336,Solomon,Charley,CAN,,,100664,,"3 / (3)",35.51
337,Djogic,Andjela,SRB,,,100624,,"3 / (4)",35.46
338,Kokko,Anna-Sofia,FIN,,,97149,,"3 / (3)",34.83
339,Ogawa,Hikaru,JPN,,,84345,9305287,"1 / (1)",34.76
340,Fernandez,Nerea,AND,,,100521,,"3 / (3)",34.52
341,Bietenholz,Anouk,SUI,,,98365,,"1 / (1)",34.19
342,Johnsen,Emilie,NOR,,,99330,,"2 / (2)",34.12
343,Yanow,Chloe,CAN,,,97858,,"2 / (2)",33.65
344,Makela,Maaru,FIN,,,100161,,"2 / (2)",33.61
345,Simanaviciute,Goda,LTU,,,98193,,"1 / (1)",33.33
345,Weinberg,Rochelle,USA,,,97789,,"1 / (1)",33.33
345,Shute,Samantha,CAN,,,97384,,"1 / (1)",33.33
348,Peetz,Emma,GER,,,100965,,"1 / (1)",33.13
349,Huang,Zhixin,CHN,,,100227,9125128,"1 / (1)",32.73
350,Hanson,MacKenzie,CAN,,,99350,,"2 / (2)",32.71
351,Alba,Sonora,USA,,,96995,,"1 / (1)",32.23
352,Schrott,Tina,GER,,,95274,,"1 / (1)",32.05
353,Steinsdottir,"Lilja Ros",ISL,,,97462,1259940,"2 / (2)",32.03
354,Corti,Tosca,SUI,,,98364,,"1 / (1)",31.97
355,Klaussen,Emilie,NOR,,,96486,,"2 / (2)",31.95
356,Lundberg,Julia,SWE,,,89239,9505041,"3 / (3)",31.73
357,Eising,Dakoda,CAN,,,99351,,"2 / (2)",31.57
