lastName, firstName, position, points, sponsors, age, nationality, nationality_full, stance, height, residence, resort, website, facebook, twitter 
Gerard,  Redmond, 1, 882.98, Burton Snowboards | Celtek | Mountain Dew | Von Zipper | Wend Wax | Woodward Copper | , 20, USA, United States, Regular, 5ft.4in., Silverthorne, Copper, www.redgerard.net, www.facebook.com/redgerard, www.twitter.com/@RedmondGerard, , , 
Gray,  Nathan, 193, 196.45, , 19, FRA, France, , , St Martin De Belleville, , , , , , , 
Maffei,  Alberto, 194, 195.8,  | , 25, ITA, Italy, Regular, 175 cm, Madonna Di Campiglio, Madonna di Campiglio, , Alberto Maffei, , , , 
Suzuki,  Atsuhiro, 195, 195.47, , , JPN, Japan, , , , , , , , , , 
Denda,  Jeremy, 196, 194.94, , , SUI, Switzerland, , , , , , , , , , 
Stang,  Karis, 197, 193.36, , , USA, United States, , , , , , , , , , 
Brcic,  Dante, 198, 192.27, , , CRO, CRO, , , , , , , , , , 
Thelen,  Axel, 199, 191.99, Voelkl | , 22, FIN, Finland, Regular, , Helsinki, , , , , , , 
Vo,  Ryan, 200, 190.19, , , CAN, Canada, , , , , , , , , , 
Almqvist,  Gabriel, 201, 189.93, , , SWE, Sweden, , , , , , , , , , 
Freitas,  Jaden, 202, 189.34, , 16, USA, United States, , , Bend, , , , , , , 
Frey,  Leopold, 203, 188.83, , , GER, Germany, , , , , , , , , , 
Schwan,  Philip, 204, 188.37, Rossignol | Vans | , 20, GER, Germany, Regular, 188, Konolfingen, Grindelwald, , Philip Boby Schwan, , , , 
Schmitt,  Matias, 205, 187.09, , , ARG, Argentina, , , , , , , , , , 
Briggs,  Lucas, 206, 183.54, , , CAN, Canada, , , , , , , , , , 
Irarrazaval,  Inaqui, 207, 183.53, , 28, CHI, CHI, , , , , , , , , , 
Zulian,  Emil, 208, 182.05, Burton Snowboards | , 23, ITA, Italy, Goofy, 175 cm, Pozza Di Fassa, Buffaure| Pozza di Fassa, , Emilf Zulian, , , , 
Fairgrieve-Park,  Kalin, 209, 181.55, , 20, CAN, Canada, , , , , , , , , , 
Castro,  Jaime, 210, 181.36, , , ESP, Spain, , , , , , , , , , 
Valles,  Cole, 211, 181.1, , , USA, United States, , , , , , , , , , 
Karhila,  Roni, 212, 180.3, , , FIN, Finland, , , , , , , , , , 
Morauskas,  Motiejus, 213, 179.64, , , LTU, Lithuania, , , , , , , , , , 
Oliver,  Lenny, 214, 179.26, , , FRA, France, , , , , , , , , , 
Petrick,  Ryder, 215, 178.83, , 19, CAN, Canada, , , , , , , , , , 
Tyler,  Hayden, 216, 178.77, , , USA, United States, , , , , , , , , , 
Ironside,  Glen, 217, 178.76,  | , 21, GBR, United Kingdom, Regular, 178 cm, Unterhaching, , , www.facebook.com/pages/Glen-Ironside/436644083074592?fref=ts, , , , 
Merken,  Julien, 218, 177.83, , , FRA, France, , , , , , , , , , 
Liviero,  Nicola, 219, 176.8,  | , 21, ITA, Italy, Regular, , , , , , , , , 
Framarin,  Leo, 220, 175.45, , , ITA, Italy, , , , , , , , , , 
van Hoeij,  Dylan, 221, 173.75,  | , 16, BEL, Belgium, Regular, , Lommel, , , , , , , 
CHIARADIO DE LA IGLESIA,  Federico, 222, 173.69, , , ARG, Argentina, , , , , , , , , , 
Kristjansson,  Egill Gunnar, 223, 171.23, , , ISL, Iceland, , , , , , , , , , 
Lee,  Dongheon, 224, 171.09, , , KOR, Korea, Republic of, , , , , , , , , , 
Knop,  Kamil, 225, 170.34, , , POL, Poland, , , , , , , , , , 
Landmark,  Jesper, 226, 170.29, Dragon | Gnu | Union Bindings |  | , 21, SWE, Sweden, Regular, 178 cm, Leksand, Kläppen Ski Resort, www.vimeo.com/user14726408, Jeppe Landmark, , , , 
Fenning,  Lenny, 227, 170.2, , , GBR, United Kingdom, , , , , , , , , , 
Durand,  Alois, 228, 170.16, , 16, GER, Germany, , , , , , , , , , 
Ethier,  Laurent, 229, 169.72, , , CAN, Canada, , , , , , , , , , 
Widnig,  Felix, 230, 169.14, Bataleon | , 29, AUT, Austria, Regular, 180, Zlan, Dobratsch, www.instagram.com/flex_snow/, www.facebook.com/flexsnowbo/, , , , 
Tessand,  Jakob, 231, 168.8, , , NOR, Norway, , , , , , , , , , 
Brune Olsen,  Anders Johannes, 232, 168.48, , , NOR, Norway, , , , , , , , , , 
Murphy,  Keyser, 233, 168.22, , , USA, United States, , , , , , , , , , 
Morii,  Miruki, 234, 167.99, , , JPN, Japan, , , , , , , , , , 
Hrstka,  Ladislav, 235, 167.91, , 18, CZE, Czech Republic, , , , , , , , , , 
Saijo,  Kazuki, 236, 167.11, , , JPN, Japan, , , , , , , , , , 
Lovelock,  Zephyr, 237, 166.83, , , NZL, New Zealand, , , , , , , , , , 
Fantuz,  Dawson, 238, 166.47, , , CAN, Canada, , , , , , , , , , 
Kaku,  Yusei, 239, 166.28, , , JPN, Japan, , , , , , , , , , 
Lauffer,  Logan, 240, 166.22, , 18, USA, United States, Goofy, , Rifle, , , , , , , 
Tsuji,  Haruhi, 241, 162.53, , , JPN, Japan, , , , , , , , , , 
Anishchanka,  Pavel, 242, 161.47, , , BLR, Belarus, , , , , , , , , , 
Rice,  Brian, 243, 160.66, , , USA, United States, , , , , , , , , , 
Tokarczyk,  Piotr, 244, 159.78, , 29, POL, Poland, Regular, 161, Nowy Targ, tatry, snownt.pl.tl, , , , , 
Keuling,  Brendan, 245, 159.6, , 18, CAN, Canada, , , , , , , , , , 
Klundt,  Carson, 246, 159.38, , , USA, United States, , , , , , , , , , 
Negishi,  Ukyo, 247, 159.37, , , JPN, Japan, , , , , , , , , , 
Finnemore,  Samuel, 248, 158.11, , , NZL, New Zealand, , , , , , , , , , 
Ershov,  Petr, 249, 157.04, , , RUS, Russian Federation, , , , , , , , , , 
Hauschildt,  Kian Christopher, 250, 156.68, , , BRA, Brazil, , , , , , , , , , 
Kauranen,  Mitja, 251, 156.47, , , FIN, Finland, , , , , , , , , , 
Little,  Alec, 252, 156.21, , , USA, United States, , , , , , , , , , 
Nunez,  Jascha, 253, 156.05, , , AUT, Austria, , , , , , , , , , 
Reeves,  Joshua, 254, 155.24, , , CAN, Canada, , , , , , , , , , 
Eli,  Bouchard, 255, 154.64, , , CAN, Canada, , , , , , , , , , 
Scherrer,  Ian, 256, 154.58, , , CAN, Canada, , , , , , , , , , 
Rodriguez,  Lukas, 257, 154.5, , , ESP, Spain, , , , , , , , , , 
Aalto,  Roni, 258, 153.58, , , FIN, Finland, , , , , , , , , , 
Klein,  Oskar, 259, 153.22, , 19, CAN, Canada, , , , , , , , , , 
Cannicionnie,  Julien, 260, 153.19, , , CAN, Canada, , , , , , , , , , 
Cantelon,  Jonah, 261, 152.94, , , CAN, Canada, , , , , , , , , , 
Bucher,  Jeremy, 262, 152.87, , , SUI, Switzerland, , , , , , , , , , 
Abe,  Jinichiro, 263, 152.8, , , JPN, Japan, , , , , , , , , , 
Matteoli,  Ian, 264, 152.61, , , ITA, Italy, , , , , , , , , , 
Cornillat,  Lucas, 265, 152.08, , , FRA, France, , , , , , , , , , 
Schipani,  Dante, 266, 151.23, , , USA, United States, , , , , , , , , , 
Obata,  Kaishi, 267, 150.89, , , JPN, Japan, , , , , , , , , , 
Kimura,  Kira, 268, 150.79, , , JPN, Japan, , , , , , , , , , 
Holtzapfel,  Casper, 269, 150.44, , , NED, NED, , , , , , , , , , 
Lunn,  Tobias, 270, 150.15, , , NOR, Norway, , , , , , , , , , 
Amsuess,  Moritz, 271, 148.97, OutOf Goggles | Rip Curl | Santa Cruz | Santo Loco Shop | , 21, AUT, Austria, Goofy, , , , , , , , , 
Rygh,  Vetle, 272, 148.91, , , NOR, Norway, , , , , , , , , , 
Ganserer,  Jakob, 273, 148.17, , , GER, Germany, , , , , , , , , , 
Bastiaansen,  Erik, 274, 147.82, Ride Snowboards | Smith | , 22, NED, NED, Regular, , Terneuzen, , , , , , , 
Owczarek,  Krzysztof, 275, 147.06, , , POL, Poland, , , , , , , , , , 
Behensky,  Lukas, 276, 146.78, , , AUT, Austria, , , , , , , , , , 
Lamoureux,  Mathis, 277, 146.71, , , CAN, Canada, , , , , , , , , , 
Burns,  Owen, 278, 146.1, , 17, CAN, Canada, , , , , , , , , , 
Bidegain,  Pedro, 279, 145.27, , , ARG, Argentina, , , , , , , , , , 
Poulin,  Patrice, 280, 145.25, , 20, CAN, Canada, , , , , , , , , , 
Foy,  Rakim, 281, 144.94, , 18, NED, NED, , , , , , , , , , 
Pauli,  Stan, 282, 144.81, K2 Snowboarding | , 18, NED, NED, Goofy, , , , , , , , , 
Sandblom,  Shayne, 283, 144.5, , , USA, United States, , , , , , , , , , 
Waite,  Harrison, 284, 144.37, , , GBR, United Kingdom, , , , , , , , , , 
Berger,  Liam, 285, 143.13, , , CAN, Canada, , , , , , , , , , 
Merimee Mantovani,  Luca, 286, 143.11, , , FRA, France, , , , , , , , , , 
Shirakawa,  Mafuyu, 287, 143.09, , , JPN, Japan, , , , , , , , , , 
Wijnstra,  Thom, 288, 142.86, , , NED, NED, , , , , , , , , , 
Abozovik,  Nikita, 289, 142.81, , , RUS, Russian Federation, , , , , , , , , , 
Eibl,  Maxwell, 290, 142.6, , , CAN, Canada, , , , , , , , , , 
Hoffman,  Chris, 291, 141.25, , , RUS, United States, , , , , , , , , , 
Jaromin,  Jan, 292, 140.69, , 18, POL, Poland, , , Myslowice, , , , , , , 
Colebrook,  Aidan, 293, 140.63, , , CAN, Canada, , , , , , , , , , 
Cavanagh,  Connor, 294, 140.28, , , USA, United States, , , , , , , , , , 
Holzinger,  Dominik, 295, 137.98, , , AUT, Austria, , , , , , , , , , 
Allemand,  Romain, 296, 137.35, , , FRA, France, , , , , , , , , , 
Zawalykut,  Riley, 297, 136.84, , , CAN, Canada, , , , , , , , , , 
Almqvist,  William, 298, 136.68, , , SWE, Sweden, , , , , , , , , , 
Tarakanov,  Igor, 299, 136.39, , , , Russian Federation, , , , , , , , , , 
Bosch,  Anthon, 300, 135.28, Burton Snowboards | , 24, RSA, RSA, Regular, 180cm, Transtrand, Kläppen| Sälen, anthonbosch.com, https://www.facebook.com/anthon.bosch, , , , 
Leleu,  Martin, 301, 135.25, , , FRA, France, , , , , , , , , , 
Mork Danielsen,  Jonas, 302, 134.68, , , NOR, Norway, , , , , , , , , , 
Prentice,  Raymond, 303, 134.68, , , GBR, United Kingdom, , , , , , , , , , 
Dibben,  Jace, 304, 134.47, , 19, CAN, Canada, , , , , , , , , , 
Kuhar,  Ozbe, 305, 134.18, , , SLO, SLO, , , , , , , , , , 
Toledo,  Antoni, 306, 133.54, , , ESP, Spain, , , , , , , , , , 
Mortenson,  Jared, 307, 133.52, , , USA, United States, , , , , , , , , , 
Grassis,  Marcello, 308, 132.61, , , ITA, Italy, , , , , , , , , , 
Ju,  Sikyung, 309, 132.37, , , KOR, Korea, Republic of, , , , , , , , , , 
Goebel,  Ethen, 310, 132.36, , , USA, United States, , , , , , , , , , 
Valjus,  Antti, 311, 131.57, , , FIN, Finland, , , , , , , , , , 
Frischhut,  Paul, 312, 131.43, , , AUT, Austria, , , , , , , , , , 
Fasola,  Manuel, 313, 131.06, , , ARG, Argentina, , , , , , , , , , 
Kronlund,  Stian, 314, 130.72, , 18, NOR, Norway, Regular, , , , , , , , , 
Svendsen Tessan,  Jakob, 315, 130.64, , , NOR, Norway, , , , , , , , , , 
Sukke,  Niklas, 316, 129.99, , , NOR, Norway, , , , , , , , , , 
Coyne,  Jack, 317, 129.79, Anon Optics | Burton Snowboards | , 18, USA, United States, Regular, , Edwards, , , , , , , 
Deutinger,  Maximilian, 318, 129.44, , , AUT, Austria, , , , , , , , , , 
Fornes,  Anders, 319, 129.03, , , NOR, Norway, , , , , , , , , , 
Ayoubi,  Hudson, 320, 128.81, , , AUS, Australia, , , , , , , , , , 
Wikohika,  Tui, 321, 128.74, , , NZL, New Zealand, , , , , , , , , , 
Kawashita,  Jumpei, 322, 128.4, , , JPN, Japan, , , , , , , , , , 
Mouton,  Boris, 323, 128.29, Monster Energy | Vans | , 23, SUI, Switzerland, Goofy, 5ft.8in., Bex, Thyon central Camps, , www.facebook.com/boris.mouton, www.twitter.com/borismouton, , , 
Kim,  Gyeonguk, 324, 127.37, Capita | FLUX BINDINGS | 686 | , 19, KOR, Korea, Republic of, Regular, , Changwon, , , , , , , 
Kolarevic,  Janko, 325, 127.17, , 23, SRB, Serbia, , , , , , , , , , 
D'Astous,  Charles-Eric, 326, 127.07, , 16, CAN, Canada, , , , , , , , , , 
George,  Quentin, 327, 126.81, , 18, CAN, Canada, , , , , , , , , , 
Martin,  Kade, 328, 126.71, , , USA, United States, , , , , , , , , , 
Burns,  Henry, 329, 126.17, , , CAN, Canada, , , , , , , , , , 
Reicher,  Felix, 330, 126.0, , , AUT, Austria, , , , , , , , , , 
Huuhtanen,  Juhani, 331, 125.85, , , FIN, Finland, , , , , , , , , , 
Hovde Pettersen,  Adrian, 332, 125.54, , , NOR, Norway, , , , , , , , , , 
Gyosharkov,  Petar, 333, 125.51, , 24, BUL, BUL, Regular, , Samokov, , , , , , , 
Cielen,  Joshua, 334, 125.43, , , CAN, Canada, , , , , , , , , , 
Petit,  Noe, 335, 124.89, , , FRA, France, , , , , , , , , , 
Cachat,  Juan, 336, 124.59, Vans | , 20, FRA, France, Goofy, , Thollon Les Memises, , , , , , , 
Poll,  Bart, 337, 124.3, , , NED, NED, , , , , , , , , , 
Buchel,  Ben, 338, 124.15, , , CAN, Canada, , , , , , , , , , 
Hietikko,  Jere, 339, 123.85, , , FIN, Finland, , , , , , , , , , 
OESTRENG,  Aleksander, 340, 123.27, Hoppipolla | Monster Energy | Rome | , 29, NOR, Norway, Regular, 176cm, Rykkinn, Kirkerudbakken and Geilo, , , , , , 
Hendriks,  Lucas, 341, 123.04, , , NED, NED, , , , , , , , , , 
Boudjelal,  Yannick, 342, 122.43, , 35, DZA, , Goofy, , , , , , , , , 
Roll,  Bo, 343, 122.31, , , NOR, Norway, , , , , , , , , , 
Mattsson,  Niklas, 344, 122.15, Colour Wear | Dragon | Rome | Transform Gloves | , 28, SWE, Sweden, Regular, 186cm, Sundsvall, Sidelake, , , , , , 
Heflin,  Bodie, 345, 121.34, , , USA, United States, , , , , , , , , , 
Frey,  Emil, 346, 121.25, , , GER, Germany, , , , , , , , , , 
Venderotte,  Tom, 347, 121.14, , 19, FRA, France, , , , , , , , , , 
Salac,  Kristian, 348, 121.0, , , CZE, Czech Republic, , , , , , , , , , 
Shambo,  Grant, 349, 120.93, , , USA, United States, , , , , , , , , , 
Hensold,  Nanno, 350, 120.9, , , GER, Germany, , , , , , , , , , 
Moreno,  Valentin, 351, 120.76, , , ARG, Argentina, , , , , , , , , , 
Eckert,  Luis, 352, 120.72, , 24, GER, Germany, Goofy, , , , , , , , , 
Gifford,  Morris, 353, 120.15, , , USA, United States, , , , , , , , , , 
He,  Wei, 354, 119.96, , , CHN, China, , , , , , , , , , 
Huber,  Niklas, 355, 119.93, , 16, GER, Germany, , , , , , , , , , 
Marchiel,  Corben, 356, 119.4, , , CAN, Canada, , , , , , , , , , 
MacAulay,  Spencer, 357, 119.34, , , CAN, Canada, , , , , , , , , , 
Fox,  Nick, 358, 118.24, , , USA, United States, , , , , , , , , , 
Sigel,  Gus, 359, 118.21, , , USA, United States, , , , , , , , , , 
Carr,  Kyle, 360, 118.19, , , CAN, Canada, , , , , , , , , , 
Kelly,  Connor, 361, 117.54, , , CAN, Canada, , , , , , , , , , 
Lee,  Hyun-Jun, 362, 117.32, , , KOR, Korea, Republic of, , , , , , , , , , 
Chemodurov,  Yuriy, 363, 117.29, , 30, RUS, Russian Federation, Goofy, , Yushno-Sakhalinsk, , , , , , , 
Minamiya,  Hanato, 364, 116.81, , , JPN, Japan, , , , , , , , , , 
Ceron,  Diego, 365, 116.72, , 27, CHI, CHI, , , , , , , , , , 
Biele,  Gian Andrin, 366, 116.55, 015 Boards & Lifestyle | , 17, SUI, Switzerland, , , Stallikon, LAAX, , , , , , 
Sakaue,  Hinata, 367, 116.49, , , JPN, Japan, , , , , , , , , , 
Fejgl,  Samuel, 368, 115.36, , , CZE, Czech Republic, , , , , , , , , , 
Liu,  Haoyu, 369, 115.24, , , CHN, China, , , , , , , , , , 
Gray,  Charles, 370, 115.18, , , USA, United States, , , , , , , , , , 
Bulat,  Stephan, 371, 115.0, , , CAN, Canada, , , , , , , , , , 
Baskakov,  Ilia, 372, 114.83, , , RUS, Russian Federation, , , , , , , , , , 
Zaczyk,  MacIej, 373, 114.15, , , POL, Poland, , , , , , , , , , 
Ney,  Oscar, 374, 113.86, , , FRA, France, , , , , , , , , , 
Schiele,  Donovan, 375, 113.23, , , CAN, Canada, , , , , , , , , , 
Horky,  Vojtech, 376, 112.61, , , CZE, Czech Republic, , , , , , , , , , 
Patronen,  Roope, 377, 111.92, , , FIN, Finland, , , , , , , , , , 
Ishida,  Eito, 378, 111.69, , , JPN, Japan, , , , , , , , , , 
Muranaka,  Kosuke, 379, 111.57, , , JPN, Japan, , , , , , , , , , 
Allen,  Jeremy, 380, 110.87, , 18, CAN, Canada, , , , , , , , , , 
Teimurov,  Mark, 381, 110.57, , 23, RUS, Russian Federation, , , , , , , , , , 
Kikas,  Marten, 382, 109.82, , , EST, Estonia, , , , , , , , , , 
Layzell,  Chase, 383, 109.46, , 19, CAN, Canada, , , , , , , , , , 
Watson,  Noah, 384, 109.45, , , CAN, Canada, , , , , , , , , , 
Berdal Holm,  Jonas, 385, 109.33, , , NOR, Norway, , , , , , , , , , 
Kropov,  Volodymyr, 386, 109.26, , , UKR, Ukraine, , , , , , , , , , 
Virsunen,  Juho, 387, 109.13, , , FIN, Finland, , , , , , , , , , 
Steele,  Sunny, 388, 108.94, , 17, AUS, Australia, , , , , , , , , , 
Granli-Sommerud,  Andreas, 389, 108.63, , , NOR, Norway, , , , , , , , , , 
ROBERTSON-HAHN,  Joshua, 390, 108.58, , , AUS, Australia, , , , , , , , , , 
Salleras,  Narcis, 391, 107.56, , , ESP, Spain, , , , , , , , , , 
Won,  Youngkyo, 392, 107.19, , , KOR, Korea, Republic of, , , , , , , , , , 
Brown,  Nayte, 393, 106.66, , , CAN, Canada, , , , , , , , , , 
Jablonski,  Max, 394, 106.58, , , CAN, Canada, , , , , , , , , , 
Mostovoi,  Konstantin, 395, 106.39, , , RUS, Russian Federation, , , , , , , , , , 
Kervinen,  Nooa, 396, 106.08, , , FIN, Finland, , , , , , , , , , 
Hlynsson,  Reynar, 397, 105.75, , , ISL, Iceland, , , , , , , , , , 
McCorrister,  Maddox, 398, 105.66, , , CAN, Canada, , , , , , , , , , 
Lane,  Charlie, 399, 105.36, , , GBR, United Kingdom, , , , , , , , , , 
Gao,  Xuesong, 400, 105.32, , , CHN, China, , , , , , , , , , 
Moreno,  Valentin, 351, 120.76, , , ARG, Argentina, , , , , , , , , , 
Eckert,  Luis, 352, 120.72, , 24, GER, Germany, Goofy, , , , , , , , , 
Gifford,  Morris, 353, 120.15, , , USA, United States, , , , , , , , , , 
He,  Wei, 354, 119.96, , , CHN, China, , , , , , , , , , 
Huber,  Niklas, 355, 119.93, , 16, GER, Germany, , , , , , , , , , 
Marchiel,  Corben, 356, 119.4, , , CAN, Canada, , , , , , , , , , 
MacAulay,  Spencer, 357, 119.34, , , CAN, Canada, , , , , , , , , , 
Fox,  Nick, 358, 118.24, , , USA, United States, , , , , , , , , , 
Sigel,  Gus, 359, 118.21, , , USA, United States, , , , , , , , , , 
Carr,  Kyle, 360, 118.19, , , CAN, Canada, , , , , , , , , , 
Kelly,  Connor, 361, 117.54, , , CAN, Canada, , , , , , , , , , 
Lee,  Hyun-Jun, 362, 117.32, , , KOR, Korea, Republic of, , , , , , , , , , 
Chemodurov,  Yuriy, 363, 117.29, , 30, RUS, Russian Federation, Goofy, , Yushno-Sakhalinsk, , , , , , , 
Minamiya,  Hanato, 364, 116.81, , , JPN, Japan, , , , , , , , , , 
Ceron,  Diego, 365, 116.72, , 27, CHI, CHI, , , , , , , , , , 
Biele,  Gian Andrin, 366, 116.55, 015 Boards & Lifestyle | , 17, SUI, Switzerland, , , Stallikon, LAAX, , , , , , 
Sakaue,  Hinata, 367, 116.49, , , JPN, Japan, , , , , , , , , , 
Fejgl,  Samuel, 368, 115.36, , , CZE, Czech Republic, , , , , , , , , , 
Liu,  Haoyu, 369, 115.24, , , CHN, China, , , , , , , , , , 
Gray,  Charles, 370, 115.18, , , USA, United States, , , , , , , , , , 
Bulat,  Stephan, 371, 115.0, , , CAN, Canada, , , , , , , , , , 
Baskakov,  Ilia, 372, 114.83, , , RUS, Russian Federation, , , , , , , , , , 
Zaczyk,  MacIej, 373, 114.15, , , POL, Poland, , , , , , , , , , 
Ney,  Oscar, 374, 113.86, , , FRA, France, , , , , , , , , , 
Schiele,  Donovan, 375, 113.23, , , CAN, Canada, , , , , , , , , , 
Horky,  Vojtech, 376, 112.61, , , CZE, Czech Republic, , , , , , , , , , 
Patronen,  Roope, 377, 111.92, , , FIN, Finland, , , , , , , , , , 
Ishida,  Eito, 378, 111.69, , , JPN, Japan, , , , , , , , , , 
Muranaka,  Kosuke, 379, 111.57, , , JPN, Japan, , , , , , , , , , 
Allen,  Jeremy, 380, 110.87, , 18, CAN, Canada, , , , , , , , , , 
Teimurov,  Mark, 381, 110.57, , 23, RUS, Russian Federation, , , , , , , , , , 
Kikas,  Marten, 382, 109.82, , , EST, Estonia, , , , , , , , , , 
Layzell,  Chase, 383, 109.46, , 19, CAN, Canada, , , , , , , , , , 
Watson,  Noah, 384, 109.45, , , CAN, Canada, , , , , , , , , , 
Berdal Holm,  Jonas, 385, 109.33, , , NOR, Norway, , , , , , , , , , 
Kropov,  Volodymyr, 386, 109.26, , , UKR, Ukraine, , , , , , , , , , 
Virsunen,  Juho, 387, 109.13, , , FIN, Finland, , , , , , , , , , 
Steele,  Sunny, 388, 108.94, , 17, AUS, Australia, , , , , , , , , , 
Granli-Sommerud,  Andreas, 389, 108.63, , , NOR, Norway, , , , , , , , , , 
ROBERTSON-HAHN,  Joshua, 390, 108.58, , , AUS, Australia, , , , , , , , , , 
Salleras,  Narcis, 391, 107.56, , , ESP, Spain, , , , , , , , , , 
Won,  Youngkyo, 392, 107.19, , , KOR, Korea, Republic of, , , , , , , , , , 
Brown,  Nayte, 393, 106.66, , , CAN, Canada, , , , , , , , , , 
Jablonski,  Max, 394, 106.58, , , CAN, Canada, , , , , , , , , , 
Mostovoi,  Konstantin, 395, 106.39, , , RUS, Russian Federation, , , , , , , , , , 
Kervinen,  Nooa, 396, 106.08, , , FIN, Finland, , , , , , , , , , 
Hlynsson,  Reynar, 397, 105.75, , , ISL, Iceland, , , , , , , , , , 
McCorrister,  Maddox, 398, 105.66, , , CAN, Canada, , , , , , , , , , 
Lane,  Charlie, 399, 105.36, , , GBR, United Kingdom, , , , , , , , , , 
Gao,  Xuesong, 400, 105.32, , , CHN, China, , , , , , , , , , 
Eckert,  Coltan, 401, 105.23, , 17, CAN, Canada, , , , , , , , , , 
Mukai,  Kaito, 402, 104.52, , , JPN, Japan, , , , , , , , , , 
Pentecote,  Eliot, 402, 104.52, , , FRA, France, , , , , , , , , , 
Uehara,  Takuya, 404, 104.19, , 29, JPN, Japan, , , , , , , , , , 
Pothier,  Xavier, 405, 102.98, , , CAN, Canada, , , , , , , , , , 
Hirai,  Riku, 406, 102.35, , , JPN, Japan, , , , , , , , , , 
Peeters,  Lorenzo, 407, 102.07, Capita | , , BEL, Belgium, Goofy, , , , , , , , , 
Netland,  Walker, 408, 101.91, , , USA, United States, , , , , , , , , , 
Kamissek,  Luka, 409, 101.65, , , GER, Germany, , , , , , , , , , 
Zanka,  Roman, 410, 101.32, , , CZE, Czech Republic, , , , , , , , , , 
Lotz,  Peter, 411, 101.3, , , GER, Germany, , , , , , , , , , 
Nedielka,  Tadeas, 412, 101.23, , , SVK, Slovakia, , , , , , , , , , 
Haug,  Thorbjorn, 413, 101.02, , , NOR, Norway, , , , , , , , , , 
Okajima,  Daia, 414, 100.96, , , JPN, Japan, , , , , , , , , , 
Matena,  Timon, 415, 100.39, , , CZE, Czech Republic, , , , , , , , , , 
Harrison,  Tyler, 416, 100.2, , , CAN, Canada, , , , , , , , , , 
Fredlund,  Fredrik, 417, 100.0, , , SWE, Sweden, , , , , , , , , , 
Turpeinen,  Tuomas, 418, 99.95, , , FIN, Finland, , , , , , , , , , 
Seo,  Gyeong, 419, 99.59, , , KOR, Korea, Republic of, , , , , , , , , , 
Dovjak,  Eric, 420, 99.47, , , AUT, Austria, , , , , , , , , , 
Hunter,  Colin, 421, 99.39, , , CAN, Canada, , , , , , , , , , 
Skhvediani,  Jaba, 422, 98.9, , , GEO, , , , , , , , , , , 
Rogers,  Mac, 423, 97.93, , , NZL, New Zealand, , , , , , , , , , 
Falhaber,  Bart, 424, 97.82, , , NED, NED, , , , , , , , , , 
Hafsahl,  Storm, 425, 97.59, , , NOR, Norway, , , , , , , , , , 
Partanen,  Aatu, 426, 97.56, , , FIN, Finland, , , , , , , , , , 
Johansson,  Borgthor Omar, 427, 96.97, , , ISL, Iceland, , , , , , , , , , 
Sutton,  Alfred, 428, 96.47, , , FRA, France, , , , , , , , , , 
Schweizer,  Mika, 429, 96.45,  | , 12, GER, Germany, Goofy, 142, Kempten, Allgaeu Valley in Bavaria - Germany, , https://www.facebook.com/groups/1042965525731760/?ref=group_header, , , , 
Inokuchi,  Wayu, 430, 96.17, , , JPN, Japan, , , , , , , , , , 
Zhang,  Jiahao, 431, 95.97, , , CHN, China, , , , , , , , , , 
Cavers,  George, 432, 95.59, , , USA, United States, , , , , , , , , , 
Kim,  Sang-Jae, 433, 95.29, , , KOR, Korea, Republic of, , , , , , , , , , 
Hoeksema,  Steven, 434, 94.95, , , CAN, Canada, , , , , , , , , , 
Joensuu,  Topias, 435, 94.71, , , FIN, Finland, , , , , , , , , , 
Sundsvold Bjonness,  Emil, 435, 94.71, , , NOR, Norway, , , , , , , , , , 
Yang,  Wenlong, 437, 94.64, , , CHN, China, , , , , , , , , , 
Kallos,  Anderson, 438, 94.6, , , CAN, Canada, , , , , , , , , , 
Steed,  Jackson, 439, 94.59, , , CAN, Canada, , , , , , , , , , 
Muhonen,  Anton, 440, 94.03, , , SWE, Sweden, , , , , , , , , , 
Batchelor,  Zachary, 441, 93.93, , , CAN, Canada, , , , , , , , , , 
Tucker,  Rio, 442, 93.88, , , CAN, Canada, , , , , , , , , , 
Jinguji,  Kaito, 443, 93.87, , , JPN, Japan, , , , , , , , , , 
Kleivdal,  Morten, 444, 93.85, K2 Snowboarding | Von Zipper | , 29, NOR, Norway, Regular, 183, Geilo, Geilo| Norway, , , , , , 
Christensen,  Christian, 445, 93.11, , , NOR, Norway, , , , , , , , , , 
Saito,  Yuto, 446, 92.36, , , JPN, Japan, , , , , , , , , , 
Sitzia,  Leonardo, 447, 92.3, , , GER, Germany, , , , , , , , , , 
Teksle,  Petter, 448, 91.99, , , NOR, Norway, , , , , , , , , , 
Zverina,  Petr, 449, 91.29, , , CZE, Czech Republic, , , , , , , , , , 
Jedrej,  Joseph, 450, 91.1, , , CAN, Canada, , , , , , , , , , 
Alexis,  Genest, 451, 91.06, , , CAN, Canada, , , , , , , , , , 
Montalvo,  Blake, 452, 90.87, , , CAN, Canada, , , , , , , , , , 
Duncan,  Roahan, 453, 90.64, , , GBR, United Kingdom, , , , , , , , , , 
Vera,  Dante, 454, 90.18, , , ARG, Argentina, , , , , , , , , , 
Oki,  Fuki, 455, 90.11, , , JPN, Japan, , , , , , , , , , 
Malcolm,  George, 456, 89.97, , , CAN, Canada, , , , , , , , , , 
