Key,lastName,firstName_nospace, firstName, position, points, sponsors, age, nationality, nationality_full, stance, height, residence, resort, website, facebook, twitter ,,,,
DendaJeremy,Denda,Jeremy,  Jeremy,196,194.94, , , SUI, Switzerland, , , , , , , , , , ,
StangKaris,Stang,Karis,  Karis,197,193.36, , , USA, United States, , , , , , , , , , ,
BrcicDante,Brcic,Dante,  Dante,198,192.27, , , CRO, CRO, , , , , , , , , , ,
ThelenAxel,Thelen,Axel,  Axel,199,191.99, Voelkl | ,22, FIN, Finland, Regular, , Helsinki, , , , , , , ,
VoRyan,Vo,Ryan,  Ryan,200,190.19, , , CAN, Canada, , , , , , , , , , ,
AlmqvistGabriel,Almqvist,Gabriel,  Gabriel,201,189.93, , , SWE, Sweden, , , , , , , , , , ,
FreitasJaden,Freitas,Jaden,  Jaden,202,189.34, ,16, USA, United States, , , Bend, , , , , , , ,
FreyLeopold,Frey,Leopold,  Leopold,203,188.83, , , GER, Germany, , , , , , , , , , ,
SchwanPhilip,Schwan,Philip,  Philip,204,188.37, Rossignol | Vans | ,20, GER, Germany, Regular,188, Konolfingen, Grindelwald, , Philip Boby Schwan, , , , ,
SchmittMatias,Schmitt,Matias,  Matias,205,187.09, , , ARG, Argentina, , , , , , , , , , ,
BriggsLucas,Briggs,Lucas,  Lucas,206,183.54, , , CAN, Canada, , , , , , , , , , ,
IrarrazavalInaqui,Irarrazaval,Inaqui,  Inaqui,207,183.53, ,28, CHI, CHI, , , , , , , , , , ,
ZulianEmil,Zulian,Emil,  Emil,208,182.05, Burton Snowboards | ,23, ITA, Italy, Goofy, 175 cm, Pozza Di Fassa, Buffaure| Pozza di Fassa, , Emilf Zulian, , , , ,
Fairgrieve-ParkKalin,Fairgrieve-Park,Kalin,  Kalin,209,181.55, ,20, CAN, Canada, , , , , , , , , , ,
VallesCole,Valles,Cole,  Cole,210,181.1, , , USA, United States, , , , , , , , , , ,
KarhilaRoni,Karhila,Roni,  Roni,211,180.3, , , FIN, Finland, , , , , , , , , , ,
MorauskasMotiejus,Morauskas,Motiejus,  Motiejus,212,179.64, , , LTU, Lithuania, , , , , , , , , , ,
OliverLenny,Oliver,Lenny,  Lenny,213,179.26, , , FRA, France, , , , , , , , , , ,
PetrickRyder,Petrick,Ryder,  Ryder,214,178.83, ,19, CAN, Canada, , , , , , , , , , ,
TylerHayden,Tyler,Hayden,  Hayden,215,178.77, , , USA, United States, , , , , , , , , , ,
IronsideGlen,Ironside,Glen,  Glen,216,178.76,  | ,21, GBR, United Kingdom, Regular, 178 cm, Unterhaching, , , www.facebook.com/pages/Glen-Ironside/436644083074592?fref=ts, , , , ,
MerkenJulien,Merken,Julien,  Julien,217,177.83, , , FRA, France, , , , , , , , , , ,
LivieroNicola,Liviero,Nicola,  Nicola,218,176.8,  | ,21, ITA, Italy, Regular, , , , , , , , , ,
FramarinLeo,Framarin,Leo,  Leo,219,175.45, , , ITA, Italy, , , , , , , , , , ,
van HoeijDylan,van Hoeij,Dylan,  Dylan,220,173.75,  | ,16, BEL, Belgium, Regular, , Lommel, , , , , , , ,
CHIARADIO DE LA IGLESIAFederico,CHIARADIO DE LA IGLESIA,Federico,  Federico,221,173.69, , , ARG, Argentina, , , , , , , , , , ,
KristjanssonEgill Gunnar,Kristjansson,Egill Gunnar,  Egill Gunnar,222,171.23, , , ISL, Iceland, , , , , , , , , , ,
LeeDongheon,Lee,Dongheon,  Dongheon,223,171.09, , , KOR, Korea, Republic of, , , , , , , , , , 
KnopKamil,Knop,Kamil,  Kamil,224,170.34, , , POL, Poland, , , , , , , , , , ,
LandmarkJesper,Landmark,Jesper,  Jesper,225,170.29, Dragon | Gnu | Union Bindings |  | ,21, SWE, Sweden, Regular, 178 cm, Leksand, Kläppen Ski Resort, www.vimeo.com/user14726408, Jeppe Landmark, , , , ,
FenningLenny,Fenning,Lenny,  Lenny,226,170.2, , , GBR, United Kingdom, , , , , , , , , , ,
DurandAlois,Durand,Alois,  Alois,227,170.16, ,16, GER, Germany, , , , , , , , , , ,
EthierLaurent,Ethier,Laurent,  Laurent,228,169.72, , , CAN, Canada, , , , , , , , , , ,
WidnigFelix,Widnig,Felix,  Felix,229,169.14, Bataleon | ,29, AUT, Austria, Regular,180, Zlan, Dobratsch, www.instagram.com/flex_snow/, www.facebook.com/flexsnowbo/, , , , ,
TessandJakob,Tessand,Jakob,  Jakob,230,168.8, , , NOR, Norway, , , , , , , , , , ,
Brune OlsenAnders Johannes,Brune Olsen,Anders Johannes,  Anders Johannes,231,168.48, , , NOR, Norway, , , , , , , , , , ,
MurphyKeyser,Murphy,Keyser,  Keyser,232,168.22, , , USA, United States, , , , , , , , , , ,
MoriiMiruki,Morii,Miruki,  Miruki,233,167.99, , , JPN, Japan, , , , , , , , , , ,
HrstkaLadislav,Hrstka,Ladislav,  Ladislav,234,167.91, ,18, CZE, Czech Republic, , , , , , , , , , ,
SaijoKazuki,Saijo,Kazuki,  Kazuki,235,167.11, , , JPN, Japan, , , , , , , , , , ,
LovelockZephyr,Lovelock,Zephyr,  Zephyr,236,166.83, , , NZL, New Zealand, , , , , , , , , , ,
FantuzDawson,Fantuz,Dawson,  Dawson,237,166.47, , , CAN, Canada, , , , , , , , , , ,
KakuYusei,Kaku,Yusei,  Yusei,238,166.28, , , JPN, Japan, , , , , , , , , , ,
LaufferLogan,Lauffer,Logan,  Logan,239,166.22, ,18, USA, United States, Goofy, , Rifle, , , , , , , ,
TsujiHaruhi,Tsuji,Haruhi,  Haruhi,240,162.53, , , JPN, Japan, , , , , , , , , , ,
AnishchankaPavel,Anishchanka,Pavel,  Pavel,241,161.47, , , BLR, Belarus, , , , , , , , , , ,
RiceBrian,Rice,Brian,  Brian,242,160.66, , , USA, United States, , , , , , , , , , ,
TokarczykPiotr,Tokarczyk,Piotr,  Piotr,243,159.78, ,29, POL, Poland, Regular,161, Nowy Targ, tatry, snownt.pl.tl, , , , , ,
KeulingBrendan,Keuling,Brendan,  Brendan,244,159.6, ,18, CAN, Canada, , , , , , , , , , ,
KlundtCarson,Klundt,Carson,  Carson,245,159.38, , , USA, United States, , , , , , , , , , ,
NegishiUkyo,Negishi,Ukyo,  Ukyo,246,159.37, , , JPN, Japan, , , , , , , , , , ,
FinnemoreSamuel,Finnemore,Samuel,  Samuel,247,158.11, , , NZL, New Zealand, , , , , , , , , , ,
ErshovPetr,Ershov,Petr,  Petr,248,157.04, , , RUS, Russian Federation, , , , , , , , , , ,
HauschildtKian Christopher,Hauschildt,Kian Christopher,  Kian Christopher,249,156.68, , , BRA, Brazil, , , , , , , , , , ,
KauranenMitja,Kauranen,Mitja,  Mitja,250,156.47, , , FIN, Finland, , , , , , , , , , ,
LittleAlec,Little,Alec,  Alec,251,156.21, , , USA, United States, , , , , , , , , , ,
NunezJascha,Nunez,Jascha,  Jascha,252,156.05, , , AUT, Austria, , , , , , , , , , ,
ReevesJoshua,Reeves,Joshua,  Joshua,253,155.24, , , CAN, Canada, , , , , , , , , , ,
EliBouchard,Eli,Bouchard,  Bouchard,254,154.64, , , CAN, Canada, , , , , , , , , , ,
ScherrerIan,Scherrer,Ian,  Ian,255,154.58, , , CAN, Canada, , , , , , , , , , ,
AaltoRoni,Aalto,Roni,  Roni,256,153.58, , , FIN, Finland, , , , , , , , , , ,
KleinOskar,Klein,Oskar,  Oskar,257,153.22, ,19, CAN, Canada, , , , , , , , , , ,
CannicionnieJulien,Cannicionnie,Julien,  Julien,258,153.19, , , CAN, Canada, , , , , , , , , , ,
CantelonJonah,Cantelon,Jonah,  Jonah,259,152.94, , , CAN, Canada, , , , , , , , , , ,
BucherJeremy,Bucher,Jeremy,  Jeremy,260,152.87, , , SUI, Switzerland, , , , , , , , , , ,
AbeJinichiro,Abe,Jinichiro,  Jinichiro,261,152.8, , , JPN, Japan, , , , , , , , , , ,
MatteoliIan,Matteoli,Ian,  Ian,262,152.61, , , ITA, Italy, , , , , , , , , , ,
CornillatLucas,Cornillat,Lucas,  Lucas,263,152.08, , , FRA, France, , , , , , , , , , ,
SchipaniDante,Schipani,Dante,  Dante,264,151.23, , , USA, United States, , , , , , , , , , ,
ObataKaishi,Obata,Kaishi,  Kaishi,265,150.89, , , JPN, Japan, , , , , , , , , , ,
KimuraKira,Kimura,Kira,  Kira,266,150.79, , , JPN, Japan, , , , , , , , , , ,
HoltzapfelCasper,Holtzapfel,Casper,  Casper,267,150.44, , , NED, NED, , , , , , , , , , ,
LunnTobias,Lunn,Tobias,  Tobias,268,150.15, , , NOR, Norway, , , , , , , , , , ,
AmsuessMoritz,Amsuess,Moritz,  Moritz,269,148.97, OutOf Goggles | Rip Curl | Santa Cruz | Santo Loco Shop | ,21, AUT, Austria, Goofy, , , , , , , , , ,
RyghVetle,Rygh,Vetle,  Vetle,270,148.91, , , NOR, Norway, , , , , , , , , , ,
GansererJakob,Ganserer,Jakob,  Jakob,271,148.17, , , GER, Germany, , , , , , , , , , ,
BastiaansenErik,Bastiaansen,Erik,  Erik,272,147.82, Ride Snowboards | Smith | ,22, NED, NED, Regular, , Terneuzen, , , , , , , ,
OwczarekKrzysztof,Owczarek,Krzysztof,  Krzysztof,273,147.06, , , POL, Poland, , , , , , , , , , ,
BehenskyLukas,Behensky,Lukas,  Lukas,274,146.78, , , AUT, Austria, , , , , , , , , , ,
LamoureuxMathis,Lamoureux,Mathis,  Mathis,275,146.71, , , CAN, Canada, , , , , , , , , , ,
BurnsOwen,Burns,Owen,  Owen,276,146.1, ,17, CAN, Canada, , , , , , , , , , ,
BidegainPedro,Bidegain,Pedro,  Pedro,277,145.27, , , ARG, Argentina, , , , , , , , , , ,
PoulinPatrice,Poulin,Patrice,  Patrice,278,145.25, ,20, CAN, Canada, , , , , , , , , , ,
FoyRakim,Foy,Rakim,  Rakim,279,144.94, ,18, NED, NED, , , , , , , , , , ,
PauliStan,Pauli,Stan,  Stan,280,144.81, K2 Snowboarding | ,18, NED, NED, Goofy, , , , , , , , , ,
SandblomShayne,Sandblom,Shayne,  Shayne,281,144.5, , , USA, United States, , , , , , , , , , ,
WaiteHarrison,Waite,Harrison,  Harrison,282,144.37, , , GBR, United Kingdom, , , , , , , , , , ,
BergerLiam,Berger,Liam,  Liam,283,143.13, , , CAN, Canada, , , , , , , , , , ,
ShirakawaMafuyu,Shirakawa,Mafuyu,  Mafuyu,284,143.09, , , JPN, Japan, , , , , , , , , , ,
WijnstraThom,Wijnstra,Thom,  Thom,285,142.86, , , NED, NED, , , , , , , , , , ,
AbozovikNikita,Abozovik,Nikita,  Nikita,286,142.81, , , RUS, Russian Federation, , , , , , , , , , ,
EiblMaxwell,Eibl,Maxwell,  Maxwell,287,142.6, , , CAN, Canada, , , , , , , , , , ,
HoffmanChris,Hoffman,Chris,  Chris,288,141.25, , , RUS, United States, , , , , , , , , , ,
JarominJan,Jaromin,Jan,  Jan,289,140.69, ,18, POL, Poland, , , Myslowice, , , , , , , ,
ColebrookAidan,Colebrook,Aidan,  Aidan,290,140.63, , , CAN, Canada, , , , , , , , , , ,
CavanaghConnor,Cavanagh,Connor,  Connor,291,140.28, , , USA, United States, , , , , , , , , , ,
HolzingerDominik,Holzinger,Dominik,  Dominik,292,137.98, , , AUT, Austria, , , , , , , , , , ,
ZawalykutRiley,Zawalykut,Riley,  Riley,293,136.84, , , CAN, Canada, , , , , , , , , , ,
AlmqvistWilliam,Almqvist,William,  William,294,136.68, , , SWE, Sweden, , , , , , , , , , ,
TarakanovIgor,Tarakanov,Igor,  Igor,295,136.39, , , , Russian Federation, , , , , , , , , , ,
BoschAnthon,Bosch,Anthon,  Anthon,296,135.28, Burton Snowboards | ,24, RSA, RSA, Regular, 180cm, Transtrand, Kläppen| Sälen, anthonbosch.com, https://www.facebook.com/anthon.bosch, , , , ,
LeleuMartin,Leleu,Martin,  Martin,297,135.25, , , FRA, France, , , , , , , , , , ,
Mork DanielsenJonas,Mork Danielsen,Jonas,  Jonas,298,134.68, , , NOR, Norway, , , , , , , , , , ,
PrenticeRaymond,Prentice,Raymond,  Raymond,299,134.68, , , GBR, United Kingdom, , , , , , , , , , ,
DibbenJace,Dibben,Jace,  Jace,300,134.47, ,19, CAN, Canada, , , , , , , , , , ,
KuharOzbe,Kuhar,Ozbe,  Ozbe,301,134.18, , , SLO, , , , , , , , , , , ,
MortensonJared,Mortenson,Jared,  Jared,302,133.52, , , USA, , , , , , , , , , , ,
GrassisMarcello,Grassis,Marcello,  Marcello,303,132.61, , , ITA, , , , , , , , , , , ,
JuSikyung,Ju,Sikyung,  Sikyung,304,132.37, , , KOR, , , , , , , , , , , ,
GoebelEthen,Goebel,Ethen,  Ethen,305,132.36, , , USA, , , , , , , , , , , ,
ValjusAntti,Valjus,Antti,  Antti,306,131.57, , , FIN, , , , , , , , , , , ,
FrischhutPaul,Frischhut,Paul,  Paul,307,131.43, , , AUT, , , , , , , , , , , ,
FasolaManuel,Fasola,Manuel,  Manuel,308,131.06, , , ARG, , , , , , , , , , , ,
KronlundStian,Kronlund,Stian,  Stian,309,130.72, ,18, NOR, , Regular, , , , , , , , , ,
Svendsen TessanJakob,Svendsen Tessan,Jakob,  Jakob,310,130.64, , , NOR, , , , , , , , , , , ,
SukkeNiklas,Sukke,Niklas,  Niklas,311,129.99, , , NOR, , , , , , , , , , , ,
CoyneJack,Coyne,Jack,  Jack,312,129.79, Anon Optics | Burton Snowboards | ,18, USA, , Regular, , Edwards, , , , , , , ,
DeutingerMaximilian,Deutinger,Maximilian,  Maximilian,313,129.44, , , AUT, , , , , , , , , , , ,
FornesAnders,Fornes,Anders,  Anders,314,129.03, , , NOR, , , , , , , , , , , ,
AyoubiHudson,Ayoubi,Hudson,  Hudson,315,128.81, , , AUS, , , , , , , , , , , ,
WikohikaTui,Wikohika,Tui,  Tui,316,128.74, , , NZL, , , , , , , , , , , ,
KawashitaJumpei,Kawashita,Jumpei,  Jumpei,317,128.4, , , JPN, , , , , , , , , , , ,
MoutonBoris,Mouton,Boris,  Boris,318,128.29, Monster Energy | Vans | ,23, SUI, , Goofy, 5ft.8in., Bex, Thyon central Camps, , www.facebook.com/boris.mouton, www.twitter.com/borismouton, , , ,
KimGyeonguk,Kim,Gyeonguk,  Gyeonguk,319,127.37, Capita | FLUX BINDINGS | 686 | ,19, KOR, , Regular, , Changwon, , , , , , , ,
KolarevicJanko,Kolarevic,Janko,  Janko,320,127.17, ,23, SRB, , , , , , , , , , , ,
D'AstousCharles-Eric,D'Astous,Charles-Eric,  Charles-Eric,321,127.07, ,16, CAN, , , , , , , , , , , ,
GeorgeQuentin,George,Quentin,  Quentin,322,126.81, ,18, CAN, , , , , , , , , , , ,
MartinKade,Martin,Kade,  Kade,323,126.71, , , USA, , , , , , , , , , , ,
CastroJaime,Castro,Jaime,  Jaime,324,126.28, , , ESP, , , , , , , , , , , ,
BurnsHenry,Burns,Henry,  Henry,325,126.17, , , CAN, , , , , , , , , , , ,
ReicherFelix,Reicher,Felix,  Felix,326,126, , , AUT, , , , , , , , , , , ,
HuuhtanenJuhani,Huuhtanen,Juhani,  Juhani,327,125.85, , , FIN, , , , , , , , , , , ,
Hovde PettersenAdrian,Hovde Pettersen,Adrian,  Adrian,328,125.54, , , NOR, , , , , , , , , , , ,
GyosharkovPetar,Gyosharkov,Petar,  Petar,329,125.51, ,24, BUL, , Regular, , Samokov, , , , , , , ,
CielenJoshua,Cielen,Joshua,  Joshua,330,125.43, , , CAN, , , , , , , , , , , ,
PetitNoe,Petit,Noe,  Noe,331,124.89, , , FRA, , , , , , , , , , , ,
CachatJuan,Cachat,Juan,  Juan,332,124.59, Vans | ,20, FRA, , Goofy, , Thollon Les Memises, , , , , , , ,
PollBart,Poll,Bart,  Bart,333,124.3, , , NED, , , , , , , , , , , ,
BuchelBen,Buchel,Ben,  Ben,334,124.15, , , CAN, , , , , , , , , , , ,
HietikkoJere,Hietikko,Jere,  Jere,335,123.85, , , FIN, , , , , , , , , , , ,
OESTRENGAleksander,OESTRENG,Aleksander,  Aleksander,336,123.27, Hoppipolla | Monster Energy | Rome | ,29, NOR, , Regular, 176cm, Rykkinn, Kirkerudbakken and Geilo, , , , , , ,
HendriksLucas,Hendriks,Lucas,  Lucas,337,123.04, , , NED, , , , , , , , , , , ,
RollBo,Roll,Bo,  Bo,338,122.31, , , NOR, , , , , , , , , , , ,
MattssonNiklas,Mattsson,Niklas,  Niklas,339,122.15, Colour Wear | Dragon | Rome | Transform Gloves | ,28, SWE, , Regular, 186cm, Sundsvall, Sidelake, , , , , , ,
HeflinBodie,Heflin,Bodie,  Bodie,340,121.34, , , USA, , , , , , , , , , , ,
FreyEmil,Frey,Emil,  Emil,341,121.25, , , GER, , , , , , , , , , , ,
VenderotteTom,Venderotte,Tom,  Tom,342,121.14, ,19, FRA, , , , , , , , , , , ,
SalacKristian,Salac,Kristian,  Kristian,343,121, , , CZE, , , , , , , , , , , ,
ShamboGrant,Shambo,Grant,  Grant,344,120.93, , , USA, , , , , , , , , , , ,
HensoldNanno,Hensold,Nanno,  Nanno,345,120.9, , , GER, , , , , , , , , , , ,
MorenoValentin,Moreno,Valentin,  Valentin,346,120.76, , , ARG, , , , , , , , , , , ,
EckertLuis,Eckert,Luis,  Luis,347,120.72, ,24, GER, , Goofy, , , , , , , , , ,
GiffordMorris,Gifford,Morris,  Morris,348,120.15, , , USA, , , , , , , , , , , ,
HeWei,He,Wei,  Wei,349,119.96, , , CHN, , , , , , , , , , , ,
HuberNiklas,Huber,Niklas,  Niklas,350,119.93, ,16, GER, , , , , , , , , , , ,
MarchielCorben,Marchiel,Corben,  Corben,351,119.4, , , CAN, Canada, , , , , , , , , , ,
MacAulaySpencer,MacAulay,Spencer,  Spencer,352,119.34, , , CAN, Canada, , , , , , , , , , ,
FoxNick,Fox,Nick,  Nick,353,118.24, , , USA, United States, , , , , , , , , , ,
SigelGus,Sigel,Gus,  Gus,354,118.21, , , USA, United States, , , , , , , , , , ,
CarrKyle,Carr,Kyle,  Kyle,355,118.19, , , CAN, Canada, , , , , , , , , , ,
KellyConnor,Kelly,Connor,  Connor,356,117.54, , , CAN, Canada, , , , , , , , , , ,
LeeHyun-Jun,Lee,Hyun-Jun,  Hyun-Jun,357,117.32, , , KOR, Korea, Republic of, , , , , , , , , , 
ChemodurovYuriy,Chemodurov,Yuriy,  Yuriy,358,117.29, ,30, RUS, Russian Federation, Goofy, , Yushno-Sakhalinsk, , , , , , , ,
MinamiyaHanato,Minamiya,Hanato,  Hanato,359,116.81, , , JPN, Japan, , , , , , , , , , ,
CeronDiego,Ceron,Diego,  Diego,360,116.72, ,27, CHI, CHI, , , , , , , , , , ,
BieleGian Andrin,Biele,Gian Andrin,  Gian Andrin,361,116.55, 015 Boards & Lifestyle | ,17, SUI, Switzerland, , , Stallikon, LAAX, , , , , , ,
SakaueHinata,Sakaue,Hinata,  Hinata,362,116.49, , , JPN, Japan, , , , , , , , , , ,
FejglSamuel,Fejgl,Samuel,  Samuel,363,115.36, , , CZE, Czech Republic, , , , , , , , , , ,
LiuHaoyu,Liu,Haoyu,  Haoyu,364,115.24, , , CHN, China, , , , , , , , , , ,
GrayCharles,Gray,Charles,  Charles,365,115.18, , , USA, United States, , , , , , , , , , ,
BulatStephan,Bulat,Stephan,  Stephan,366,115, , , CAN, Canada, , , , , , , , , , ,
BaskakovIlia,Baskakov,Ilia,  Ilia,367,114.83, , , RUS, Russian Federation, , , , , , , , , , ,
ZaczykMacIej,Zaczyk,MacIej,  MacIej,368,114.15, , , POL, Poland, , , , , , , , , , ,
NeyOscar,Ney,Oscar,  Oscar,369,113.86, , , FRA, France, , , , , , , , , , ,
SchieleDonovan,Schiele,Donovan,  Donovan,370,113.23, , , CAN, Canada, , , , , , , , , , ,
HorkyVojtech,Horky,Vojtech,  Vojtech,371,112.61, , , CZE, Czech Republic, , , , , , , , , , ,
PatronenRoope,Patronen,Roope,  Roope,372,111.92, , , FIN, Finland, , , , , , , , , , ,
IshidaEito,Ishida,Eito,  Eito,373,111.69, , , JPN, Japan, , , , , , , , , , ,
MuranakaKosuke,Muranaka,Kosuke,  Kosuke,374,111.57, , , JPN, Japan, , , , , , , , , , ,
AllenJeremy,Allen,Jeremy,  Jeremy,375,110.87, ,18, CAN, Canada, , , , , , , , , , ,
TeimurovMark,Teimurov,Mark,  Mark,376,110.57, ,23, RUS, Russian Federation, , , , , , , , , , ,
ToledoAntoni,Toledo,Antoni,  Antoni,377,110.23, , , ESP, Spain, , , , , , , , , , ,
RodriguezLukas,Rodriguez,Lukas,  Lukas,378,110.11, , , ESP, Spain, , , , , , , , , , ,
KikasMarten,Kikas,Marten,  Marten,379,109.82, , , EST, Estonia, , , , , , , , , , ,
LayzellChase,Layzell,Chase,  Chase,380,109.46, ,18, CAN, Canada, , , , , , , , , , ,
WatsonNoah,Watson,Noah,  Noah,381,109.45, , , CAN, Canada, , , , , , , , , , ,
Berdal HolmJonas,Berdal Holm,Jonas,  Jonas,382,109.33, , , NOR, Norway, , , , , , , , , , ,
KropovVolodymyr,Kropov,Volodymyr,  Volodymyr,383,109.26, , , UKR, Ukraine, , , , , , , , , , ,
VirsunenJuho,Virsunen,Juho,  Juho,384,109.13, , , FIN, Finland, , , , , , , , , , ,
SteeleSunny,Steele,Sunny,  Sunny,385,108.94, ,17, AUS, Australia, , , , , , , , , , ,
Granli-SommerudAndreas,Granli-Sommerud,Andreas,  Andreas,386,108.63, , , NOR, Norway, , , , , , , , , , ,
ROBERTSON-HAHNJoshua,ROBERTSON-HAHN,Joshua,  Joshua,387,108.58, , , AUS, Australia, , , , , , , , , , ,
WonYoungkyo,Won,Youngkyo,  Youngkyo,388,107.19, , , KOR, Korea, Republic of, , , , , , , , , , 
BrownNayte,Brown,Nayte,  Nayte,389,106.66, , , CAN, Canada, , , , , , , , , , ,
JablonskiMax,Jablonski,Max,  Max,390,106.58, , , CAN, Canada, , , , , , , , , , ,
MostovoiKonstantin,Mostovoi,Konstantin,  Konstantin,391,106.39, , , RUS, Russian Federation, , , , , , , , , , ,
KervinenNooa,Kervinen,Nooa,  Nooa,392,106.08, , , FIN, Finland, , , , , , , , , , ,
HlynssonReynar,Hlynsson,Reynar,  Reynar,393,105.75, , , ISL, Iceland, , , , , , , , , , ,
McCorristerMaddox,McCorrister,Maddox,  Maddox,394,105.66, , , CAN, Canada, , , , , , , , , , ,
Merimee MantovaniLuca,Merimee Mantovani,Luca,  Luca,395,105.48, , , FRA, France, , , , , , , , , , ,
LaneCharlie,Lane,Charlie,  Charlie,396,105.36, , , GBR, United Kingdom, , , , , , , , , , ,
GaoXuesong,Gao,Xuesong,  Xuesong,397,105.32, , , CHN, China, , , , , , , , , , ,
EckertColtan,Eckert,Coltan,  Coltan,398,105.23, ,17, CAN, Canada, , , , , , , , , , ,
MukaiKaito,Mukai,Kaito,  Kaito,399,104.52, , , JPN, Japan, , , , , , , , , , ,
PentecoteEliot,Pentecote,Eliot,  Eliot,399,104.52, , , FRA, France, , , , , , , , , , ,
UeharaTakuya,Uehara,Takuya,  Takuya,401,104.19, ,29, JPN, Japan, , , , , , , , , , ,
PothierXavier,Pothier,Xavier,  Xavier,402,102.98, , , CAN, Canada, , , , , , , , , , ,
HiraiRiku,Hirai,Riku,  Riku,403,102.35, , , JPN, Japan, , , , , , , , , , ,
PeetersLorenzo,Peeters,Lorenzo,  Lorenzo,404,102.07, Capita | , , BEL, Belgium, Goofy, , , , , , , , , ,
NetlandWalker,Netland,Walker,  Walker,405,101.91, , , USA, United States, , , , , , , , , , ,
KamissekLuka,Kamissek,Luka,  Luka,406,101.65, , , GER, Germany, , , , , , , , , , ,
ZankaRoman,Zanka,Roman,  Roman,407,101.32, , , CZE, Czech Republic, , , , , , , , , , ,
LotzPeter,Lotz,Peter,  Peter,408,101.3, , , GER, Germany, , , , , , , , , , ,
NedielkaTadeas,Nedielka,Tadeas,  Tadeas,409,101.23, , , SVK, Slovakia, , , , , , , , , , ,
HaugThorbjorn,Haug,Thorbjorn,  Thorbjorn,410,101.02, , , NOR, Norway, , , , , , , , , , ,
OkajimaDaia,Okajima,Daia,  Daia,411,100.96, , , JPN, Japan, , , , , , , , , , ,
MatenaTimon,Matena,Timon,  Timon,412,100.39, , , CZE, Czech Republic, , , , , , , , , , ,
HarrisonTyler,Harrison,Tyler,  Tyler,413,100.2, , , CAN, Canada, , , , , , , , , , ,
FredlundFredrik,Fredlund,Fredrik,  Fredrik,414,100, , , SWE, Sweden, , , , , , , , , , ,
TurpeinenTuomas,Turpeinen,Tuomas,  Tuomas,415,99.95, , , FIN, Finland, , , , , , , , , , ,
SeoGyeong,Seo,Gyeong,  Gyeong,416,99.59, , , KOR, Korea, Republic of, , , , , , , , , , 
DovjakEric,Dovjak,Eric,  Eric,417,99.47, , , AUT, Austria, , , , , , , , , , ,
HunterColin,Hunter,Colin,  Colin,418,99.39, , , CAN, Canada, , , , , , , , , , ,
SkhvedianiJaba,Skhvediani,Jaba,  Jaba,419,98.9, , , GEO, , , , , , , , , , , ,
SallerasNarcis,Salleras,Narcis,  Narcis,420,98.4, , , ESP, Spain, , , , , , , , , , ,
BoudjelalYannick,Boudjelal,Yannick,  Yannick,421,98.15, ,35, DZA, , Goofy, , , , , , , , , ,
RogersMac,Rogers,Mac,  Mac,422,97.93, , , NZL, New Zealand, , , , , , , , , , ,
FalhaberBart,Falhaber,Bart,  Bart,423,97.82, , , NED, NED, , , , , , , , , , ,
HafsahlStorm,Hafsahl,Storm,  Storm,424,97.59, , , NOR, Norway, , , , , , , , , , ,
PartanenAatu,Partanen,Aatu,  Aatu,425,97.56, , , FIN, Finland, , , , , , , , , , ,
JohanssonBorgthor Omar,Johansson,Borgthor Omar,  Borgthor Omar,426,96.97, , , ISL, Iceland, , , , , , , , , , ,
SuttonAlfred,Sutton,Alfred,  Alfred,427,96.47, , , FRA, France, , , , , , , , , , ,
SchweizerMika,Schweizer,Mika,  Mika,428,96.45,  | ,12, GER, Germany, Goofy,142, Kempten, Allgaeu Valley in Bavaria - Germany, , https://www.facebook.com/groups/1042965525731760/?ref=group_header, , , , ,
InokuchiWayu,Inokuchi,Wayu,  Wayu,429,96.17, , , JPN, Japan, , , , , , , , , , ,
ZhangJiahao,Zhang,Jiahao,  Jiahao,430,95.97, , , CHN, China, , , , , , , , , , ,
CaversGeorge,Cavers,George,  George,431,95.59, , , USA, United States, , , , , , , , , , ,
KimSang-Jae,Kim,Sang-Jae,  Sang-Jae,432,95.29, , , KOR, Korea, Republic of, , , , , , , , , , 
HoeksemaSteven,Hoeksema,Steven,  Steven,433,94.95, , , CAN, Canada, , , , , , , , , , ,
JoensuuTopias,Joensuu,Topias,  Topias,434,94.71, , , FIN, Finland, , , , , , , , , , ,
Sundsvold BjonnessEmil,Sundsvold Bjonness,Emil,  Emil,434,94.71, , , NOR, Norway, , , , , , , , , , ,
YangWenlong,Yang,Wenlong,  Wenlong,436,94.64, , , CHN, China, , , , , , , , , , ,
KallosAnderson,Kallos,Anderson,  Anderson,437,94.6, , , CAN, Canada, , , , , , , , , , ,
SteedJackson,Steed,Jackson,  Jackson,438,94.59, , , CAN, Canada, , , , , , , , , , ,
MuhonenAnton,Muhonen,Anton,  Anton,439,94.03, , , SWE, Sweden, , , , , , , , , , ,
BatchelorZachary,Batchelor,Zachary,  Zachary,440,93.93, , , CAN, Canada, , , , , , , , , , ,
TuckerRio,Tucker,Rio,  Rio,441,93.88, , , CAN, Canada, , , , , , , , , , ,
JingujiKaito,Jinguji,Kaito,  Kaito,442,93.87, , , JPN, Japan, , , , , , , , , , ,
KleivdalMorten,Kleivdal,Morten,  Morten,443,93.85, K2 Snowboarding | Von Zipper | ,29, NOR, Norway, Regular,183, Geilo, Geilo| Norway, , , , , , ,
